source_id,kind,title,authority,year,priority_date,publication_date,identifier,url,accessed_date,coverage_area,claim_supported,verification_status,quality_tier,closest_feature,delta,notes
S010,patent,"Magnetic sensor, hall element, hall IC, magnetoresistive effect element, method of fabricating hall element, and method of fabricating magnetoresistive effect element",USPTO,2011,2007-08-28,2011-09-27,US8026718B2,https://patents.google.com/patent/US8026718B2/en,2026-08-05,gan_hall,concept1_hall_device_fabrication,verified_full,A,"Manuscript's GaN/AlGaN heterojunction Hall-element fabrication sequence (mesa etch, contacts, passivation - manuscript §II-A, F01-F07)","OLDEST independent-institution AlGaN/GaN Hall fabrication patent found (priority 2007, predates the group's own ref10/ref11 by 11-12 years). Claim 1 covers 'a GaN layer whose electron concentration is not more than 1x10^16/cm^3; and an AlGaN layer ... Al_xGa_(1-x)N (0<x<=0.3)' forming a heterojunction operating layer, plus associated fabrication-method claims. Device geometry in the specification is cross-shaped (50 um x 200 um), NOT the manuscript's regular octagonal plate. No mesa-etch/Ti-Al-Mo-Au/Al2O3-passivation recipe match; no fusion/plasma application.","Assignee NGK Insulators Ltd (Japan) (inventors Miyoshi, Tanaka). Establishes that GaN/AlGaN heterojunction Hall element composition and a fabrication method were already patented broadly well before the manuscript's group entered this space; relevant as a background/genus reference for Stage 30's fabrication-sequence screen, not a geometry match."
S011,paper,"Effect of Geometry on Sensitivity and Offset of AlGaN/GaN and InAlN/GaN Hall-effect Sensors",IEEE,2019,not_applicable,2019-01-30,10.1109/JSEN.2019.2895546,https://doi.org/10.1109/JSEN.2019.2895546,2026-08-05,group_prior_work,F02_octagonal_geometry,verified_full,B,"Manuscript's regular octagonal 200 um Hall-plate geometry choice (F02), explicitly cited by the manuscript itself (ref10) as the source of this design choice","This IS the manuscript's own cited source for its octagonal geometry - not an independent third-party reference, but the controlling same-group prior publication. Confirmed authors: Hannah S. Alpert, Karen M. Dowling, Caitlin A. Chapin, Ananth Saran Yalamarthy, Savannah R. Benbrook, Helmut Koeck, Udo Ausserlechner, Debbie G. Senesky (Senesky is also the manuscript's corresponding author). Abstract confirms study of 'sensitivities and signal-to-noise ratios of various octagonal AlGaN/GaN and InAlN/GaN Hall-effect sensors' and effect of metal-contact length on sensitivity/offset. No octagonal-geometry patent was found anywhere in this search (see search log) - this group's own geometry work appears to be publication-only, not separately patented, as far as this search could determine.","Verified via the arXiv preprint (arXiv:1812.01078, submitted 2018-12-03), which IEEE Xplore's own page (doc 8626430) would not render for direct fetch. Per CLAUDE.md, this paper and its geometry choice are prior art against the current manuscript, not part of its invention."
S012,paper,"Sensitivity of 2DEG-based Hall-effect sensors at high temperatures",AIP,2020,not_applicable,2020-02-01,10.1063/1.5139911,https://doi.org/10.1063/1.5139911,2026-08-05,group_prior_work,F04_anneal_recipe;576C_thermal_claim,verified_full,B,"Manuscript's 850C/35s Ti/Al/Mo/Au ohmic-contact anneal recipe (F04) and the 576C thermal-stability figure cited in the Introduction (L451), both explicitly attributed by the manuscript to this same-group paper (ref11)","This IS the manuscript's own cited source (ref11) - same-group prior publication, not independent third-party art. Confirmed via its arXiv preprint (arXiv:1912.00977, 'Temperature Dependence of Sensitivity of 2DEG-Based Hall-Effect Sensors,' submitted 2019-12-02, same author list ending in Senesky), which reports magnetic sensitivity of InAlN/GaN and AlGaN/GaN heterostructures up to 576C, voltage-scaled sensitivity declining at high temperature while current-scaled sensitivity remains stable.","IEEE/AIP page for the RSI-published version (10.1063/1.5139911) could not be directly rendered this session (403); identity/content verified instead through the arXiv preprint, whose title differs slightly ('Temperature Dependence of Sensitivity...' vs. the RSI title 'Sensitivity of 2DEG-based Hall-effect sensors at high temperatures') but shares the identical author list and 576C headline figure, consistent with a preprint/published-version pair. Per CLAUDE.md, this is prior art against the current manuscript, not part of its invention."
S013,paper,"Micro-Tesla Offset in Thermally Stable AlGaN/GaN 2DEG Hall-effect Plates using Current Spinning",IEEE,2019,not_applicable,2019-02-04,10.1109/LSENS.2019.2898157,https://doi.org/10.1109/LSENS.2019.2898157,2026-08-05,group_prior_work,excluded_current_spinning,verified_full,B,"Not implemented in the manuscript under review - listed only as a same-group comparator per IP_SCOPE.md","Confirmed same-group publication (Dowling, Alpert, Yalamarthy, Satterthwaite, Kumar, Koeck, Ausserlechner, Senesky) describing four-phase current-spinning to reduce Hall-plate offset to ~2.6 uT at low supply voltages, stable -100C to 200C. CURRENT-SPINNING IS AN EXPLICITLY EXCLUDED CONCEPT per IP_SCOPE.md (not implemented in the manuscript's bias/readout scheme, which uses simple two-terminal DC bias, F18). Recorded here strictly as a same-group prior-art comparator establishing that the group has already published (and not patented, so far as found) an offset-reduction technique it chose not to use in this manuscript.","Verified via arXiv:1812.00363 (submitted 2018-12-02, final 2018-12-28). Per CLAUDE.md/IP_SCOPE.md, this paper's content must not be imported into the manuscript's disclosure scope; listed here only to document that it is prior art the authors were aware of, not a manuscript feature."
S014,paper,"High temperature Hall effect sensors based on AlGaN/GaN heterojunctions",AIP,2006,not_applicable,2006-06-01,10.1063/1.2201339,https://doi.org/10.1063/1.2201339,2026-08-05,gan_hall,concept1_hall_device_independent_prior_art,verified_abstract,B,"Manuscript's basic AlGaN/GaN heterojunction Hall-sensor-for-high-temperature-use concept (F01, general device category)","OLDEST FULLY INDEPENDENT (non-same-group) AlGaN/GaN Hall-sensor paper found (2006), predating the Alpert/Senesky group's own work (S011-S013) by 12-13 years and predating S010's patent priority date by about 1 year. Authors H. Lu, P. Sandvik, A. Vertiatchikh, J. Tucker, A. Elasser (GE Global Research), unrelated to the manuscript's author group. Reports a SQUARE-shaped (not octagonal) AlGaN/GaN Hall sensor, room-temperature current-related sensitivity 55 V/A/T, temperature cross-sensitivity 103 ppm/C up to 300C - a materially lower demonstrated temperature ceiling than the 576C figure the manuscript cites from its own group's later work (ref11/S012).","Journal of Applied Physics 99, 114510 (2006). Abstract/metadata confirmed via search aggregation (ResearchGate, Semantic Scholar, publisher PDF listing); full text not independently read this session (verified_abstract). Establishes AlGaN/GaN-for-high-temperature-Hall-sensing as a known device concept well before this manuscript's group entered the field, independent of the ref10/ref11 lineage."
S015,paper,"High spatial resolution Hall sensor array for edge plasma magnetic field measurements",AIP,2005,not_applicable,2005-09-01,10.1063/1.2018628,https://pubs.aip.org/rsi/article/76/9/093501/400712/High-spatial-resolution-Hall-sensor-array-for-edge,2026-08-05,fusion_hall,concept2_fusion_deployment_precedent,verified_abstract,A,"Manuscript's core deployment concept: an in-vessel Hall-sensor array measuring edge-plasma perpendicular magnetic field near the plasma boundary","Closest 2005-era precedent for 'Hall sensor array measuring edge plasma magnetic field,' but uses INDIUM ANTIMONIDE (InSb) Hall probes, NOT a semiconductor 2DEG III-nitride device - a 20-element, 4-mm-resolution array on a 7-layer PCB, with a described bench+in-situ absolute calibration method (relevant background for the manuscript's stated future-work calibration gap, F38). No GaN/AlGaN material anywhere in this paper.","Rev. Sci. Instrum. 76, 093501 (2005). Confirmed via direct WebFetch of the AIP publisher page (redirected from the DOI). Predates the manuscript by two decades; establishes that Hall-sensor arrays for edge-plasma field measurement are a long-established diagnostic category using non-III-nitride materials."
S016,paper,"Long term operation of the radiation-hard Hall probes system and the path toward a high performance hybrid magnetic field sensor",IOP,2022,not_applicable,2022-09-22,10.1088/1741-4326/ac8aad,https://iopscience.iop.org/article/10.1088/1741-4326/ac8aad,2026-08-05,fusion_hall,concept2_fusion_deployment_precedent;ref5_manuscript_citation,verified_abstract,A,"Manuscript's ref5 citation (Quercia 2022, JET Hall probes) and general in-vessel radiation-hard Hall-probe deployment concept","This is the manuscript's own cited reference (ref5). Confirmed authors A. Quercia, A. Pironti, I. Bolshakova, R. Holyaka, I. Duran, A. Murari, and JET Contributors; Nuclear Fusion 62, 106032. Uses INDIUM ANTIMONIDE (InSb) Hall probes manufactured on InSb/i-GaAs heterostructures - NOT AlGaN/GaN - deployed at JET as the RHP diagnostic system, documenting 11+ years (2009-2021) and 19,000+ pulses of operation under D-T-relevant neutron flux (~1e13 cm^-2 s^-1). Proposes (not yet built, per this paper) a HYBRID coil+Hall probe with Luenberger-Kalman drift correction - an EXPLICITLY EXCLUDED concept per IP_SCOPE.md (Hall-coil hybrid architectures), noted here only as cited third-party context, not manuscript content.","Verified via direct WebFetch of the IOPscience article page. Confirms JET's own Hall-probe technology is InSb-based, not GaN-based, and that a semiconductor-based Hall probe has long operated in-vessel at JET (a tokamak) - but no GaN/AlGaN material and no stellarator deployment found here or elsewhere in this search."
S017,paper,"Metal Hall sensors for the new generation fusion reactors of DEMO scale",IOP,2017,not_applicable,2017-08-01,10.1088/1741-4326/aa7867,https://doi.org/10.1088/1741-4326/aa7867,2026-08-05,fusion_hall,concept2_fusion_deployment_precedent;ref6_manuscript_citation,verified_abstract,A,"Manuscript's ref6 citation (Bolshakova 2017, DEMO metal Hall sensors) and general fusion-reactor Hall-sensor-material-selection concept","This is the manuscript's own cited reference (ref6), and also the specific comparator named in the manuscript's cover-letter sensitivity claim (F51: 'metal Hall probes developed for ITER and DEMO'). Reports on-line neutron-irradiation testing (up to 1e24 n/m^2, IBR-2 reactor) of METAL (nano-thickness gold-film, 50-70 nm) Hall sensors - NOT a semiconductor and NOT GaN/AlGaN - recommending gold sensors for DEMO-scale magnetic diagnostics based on stable sensitivity (<1% change) across the fluence range.","Nuclear Fusion 57, 11 (2017). Verified via search-aggregated abstract (IOPscience/ResearchGate). Directly relevant to evaluating F51's unsupported comparative-sensitivity claim: the compared technology (gold-film metal Hall sensors) is a fundamentally different device class from the manuscript's 2DEG AlGaN/GaN device, and no quantitative sensitivity value for either platform appears in the manuscript to substantiate the 'substantially higher sensitivity' assertion."
S018,paper,"Final design of the ITER outer vessel steady-state magnetic sensors",Elsevier,2017,not_applicable,2017-06-01,10.1016/j.fusengdes.2017.03.043,https://www.sciencedirect.com/science/article/abs/pii/S092037961730265X,2026-08-05,fusion_hall,concept2_fusion_deployment_precedent,verified_abstract,A,"Manuscript's general 'Hall sensor deployed for steady-state in-vessel/ex-vessel magnetic field monitoring in a fusion device' concept","Describes the ITER Outer Vessel Steady-state Sensor (OVSS) subsystem: a 60-unit poloidal array welded to the ITER vacuum-vessel outer surface, each containing a pair of BISMUTH Hall sensors (poloidal + normal axes) plus an onboard thermocouple, tested to +-7 T at ITER-relevant temperature/neutron conditions. Bismuth, not GaN/AlGaN; ex-vessel/outer-vessel-surface mounting, not the manuscript's plasma-edge in-vessel placement; uses AC lock-in current-spinning signal processing (an excluded concept per IP_SCOPE.md, noted as third-party context only).","Fusion Engineering and Design 123 (2017). Verified via multiple corroborating abstract sources (ScienceDirect, ResearchGate) since the ScienceDirect abstract page itself was not directly fetchable in this session; content cross-confirmed by the companion calibration paper S020. Confirms a large-scale, mature Hall-sensor magnetic-diagnostic engineering program exists for ITER, using bismuth rather than any III-nitride semiconductor."
S019,paper,"Ceramic-Chromium Hall Sensors for Environments with High Temperatures and Neutron Radiation",MDPI,2021,not_applicable,2021-01-20,10.3390/s21030721,https://www.mdpi.com/1424-8220/21/3/721,2026-08-05,fusion_hall,concept2_fusion_deployment_precedent,verified_full,A,"Manuscript's harsh-environment (high-temperature/radiation) Hall-sensor-for-fusion concept, and its use of a ceramic-based sensor package","Ceramic-CHROMIUM (metal-film-on-ceramic) Hall sensors, NOT semiconductor/GaN - tested to 550C and 14 T; sensitivity 6.2 mV/A/T at 20C, 4.6 mV/A/T at 500C; simulated neutron-transmutation study projects 0.27% chromium-layer transmutation after 5.2 DEMO operational years at the most-exposed (behind-divertor) location. Authors Entler, Soban, Duran, Kovarik, Vyborny, Sebek, Tazlaru, Strelecek, Sladek (IPP Prague / Czech group) - unrelated to the manuscript's author group.","Sensors 21(3), 721 (2021), also indexed at PMC7865485. Abstract read in full via search aggregation. Relevant as the closest 'ceramic + Hall sensing element' packaging concept found in the fusion literature, though the ceramic here IS the sensing substrate itself (metal-film-on-ceramic Hall element), not a passive holder/carrier as in the manuscript's zirconia holder (F13) - a materially different use of 'ceramic' in the two disclosures."
S020,paper,"Calibration of the ITER outer vessel steady-state magnetic sensors",Elsevier,2021,not_applicable,2021-03-01,10.1016/j.fusengdes.2021.112398,https://www.sciencedirect.com/science/article/abs/pii/S0920379621001745,2026-08-05,validation_method,concept2_fusion_deployment_precedent;calibration_methodology,verified_abstract,A,"Manuscript's explicitly-stated future-work item: absolute B-field calibration of the sensor (F33/F38/F47)","Companion/follow-on paper to S018, describing the full pre-installation calibration procedure for the same bismuth OVSS units: thermocouple calibration, sensor-controller calibration, per-unit tilt measurement, and sensitivity-vs-temperature-and-field mapping across the ITER-relevant range, targeting a 4 mT (2-sigma) accuracy requirement over 0-2.5 T. No such absolute-calibration procedure has been performed for the manuscript's device (explicitly future work per F33/F38).","Fusion Engineering and Design 165 (2021). Verified via search-aggregated abstract; ScienceDirect abstract page itself not directly fetchable this session. Useful as a concrete example of what a rigorous absolute-calibration protocol looks like for a comparable in-vessel fusion Hall-sensor system, informing the size of the gap the manuscript itself already discloses (F38/F47)."
S021,paper,"Magnetic diagnostic optimization for plasma equilibrium reconstruction in the HSX stellarator",IOP,2015,not_applicable,2015-10-01,10.1088/0029-5515/55/11/113012,https://hsx.wisc.edu/wp-content/uploads/sites/747/2016/04/Magnetic-diagnostic-optimization-for-plasma-equilibrium-reconstruction-in-the-HSX-stellarator_Chlechowitz_Talmadge_Hanson_Anderson-FSB_Anderson-DT_2015.pdf,2026-08-05,fusion_hall,concept2_HSX_first_claim_check;ref17_manuscript_citation,verified_full,A,"Manuscript's cover-letter claim (F49) that this is 'the first GaN-based Hall-effect sensor deployed inside a stellarator,' and the manuscript's own ref17 citation for its planned future absolute-calibration cross-reference (L506)","This is the manuscript's own cited reference (ref17/Chlechowitz et al. 2015). Confirms the HSX facility's established magnetic-diagnostic set as of 2015 (before this manuscript) comprised Rogowski coils, diamagnetic loops, two poloidal 'belt' arrays of coils separated by 1/3 field period, and internal coils - an 80-diagnostic optimized set. NO Hall probe or Hall sensor of any material is listed anywhere in this description of HSX's pre-existing magnetic-diagnostic suite.","Nuclear Fusion 55, 113012 (2015); full text available via the HSX facility's own repository (hsx.wisc.edu). This is the strongest single piece of evidence found bearing on the cover letter's 'first ... inside a stellarator' claim: no Hall probe of any kind is documented in HSX's pre-2015 diagnostic set, and this search (see log) found no GaN/AlGaN or any other Hall sensor reported as deployed in ANY stellarator (HSX, Wendelstein 7-X, LHD, TJ-II) prior to this manuscript. This is an absence finding from a bounded search, not proof of a negative - it cannot rule out an undocumented or non-English-language prior deployment."
N002,paper,"Experimental investigation on the effect of temperature on the frequency limit of GaAs-AlGaAs and AlGaN-GaN 2DEG Hall-effect sensors",arXiv,2024,not_applicable,2024-02-17,arXiv:2402.11393,https://arxiv.org/abs/2402.11393,2026-08-05,group_prior_work,concept1_hall_device_readout_bandwidth_context,verified_full,C,"Manuscript's 1 MHz readout-bandwidth headline figure (F23) and general AlGaN/GaN 2DEG frequency-response characterization","Same-group device-physics/frequency-response characterization study (2DEG Hall sensor frequency limit vs. temperature), NOT a fusion or in-vessel deployment paper - purely lab device characterization. Authors: Anand V. Lalwani, Abel John, Satish Shetty, Miriam Giparakis, Kanika Arora, Avidesh Maharaj, Gottfried Strasser, Aaron Maxwell Andrews, Helmut Koeck, Alan Mantooth, Gregory Salamo, and Debbie G. Senesky.","IMPORTANT CROSS-REFERENCE: three of this paper's co-authors (Shetty, Mantooth, Salamo) are also three of the five named inventors on patent S009 (US11137310B2, assignee University of Arkansas at Little Rock), and Senesky is the corresponding author of the manuscript under review. This establishes a documented, contemporaneous (2024) collaborative relationship between the manuscript's author group and S009's assignee/inventor group. Flagged as a fact relevant to Stage 30/50 inventorship and prior-art-awareness questions; not a legal conclusion. Predates the manuscript (2026-07-02); valid prior-art-context timing."
N003,paper,"Study of GaN Hall Effect Magnetic Sensors",IEEE,2025,not_applicable,2025-02-01,10.1109/ACCESS.2025.3539435,https://ieeexplore.ieee.org/abstract/document/10876122,2026-08-05,gan_hall,concept1_hall_device_independent,verified_abstract,B,"Manuscript's general AlGaN/GaN Hall-sensor-fabrication concept (F01-F09)","Reports 'the first three-terminal current sensing GaN Hall sensor reported in literature,' designed for in-situ condition monitoring integrated on GaN power transistors - a POWER-ELECTRONICS/current-sensing application, unrelated to plasma/fusion diagnostics and to this manuscript's author group. IEEE Access 13 (2025), pp. 25622-25636.","Verified via search-aggregated abstract (IEEE Xplore listing, Coventry University repository, ResearchGate). Predates the manuscript (2026-07-02). Independent evidence that GaN Hall-sensor fabrication/characterization is an active, multi-group field in 2025, with 'first' claims being made for narrow sub-applications (three-terminal current sensing) distinct from the manuscript's claimed 'first' (in-vessel stellarator deployment) - the two 'first' claims do not overlap or conflict, but both illustrate how narrowly such claims must be scoped in this crowded field."
N004,paper,"A Portable Gauss Meter With Low Offset Based on AlGaN/GaN Hall Sensor Probe Suitable for High-Temperature Environment",IEEE,2026,not_applicable,not_exposed,not_exposed,https://ieeexplore.ieee.org/document/11217153/,2026-08-05,gan_hall,concept1_hall_device_geometry_context,lead_only,C,"Manuscript's AlGaN/GaN Hall-plate geometry (F02) and high-temperature application framing","Describes cross-shaped (not octagonal), quadruple-rotationally-symmetric AlGaN/GaN Hall sensors, stable room-temp-to-400C, minimum temperature-drift coefficient 374.8 ppm/K, packaged as a portable gauss meter - a lab-instrument application, not a fusion/plasma deployment.","TIMELINE FLAG - DATE COULD NOT BE PINNED DOWN: IEEE Xplore's own document metadata was not renderable this session; a secondary index (ResearchGate) shows an index date of 2025-01-01 while the IEEE copyright-line search snippet showed '2026,' which is internally inconsistent and could reflect an early-access/forthcoming-issue listing. Because this may POSTDATE the manuscript's 2026-07-02 creation date, it is not used to support any novelty-destroying or context conclusion and is marked lead_only pending a firmer date; recorded only so a later stage does not independently re-surface it as if newly found."
S022,manufacturer,"EPO-TEK 353ND Technical Data Sheet",Epoxy Technology,2026,not_applicable,not_exposed,EPO-TEK-353ND,https://www.epotek.com/product/353nd/,2026-08-05,uhv_package,F11_epoxy_encapsulation,verified_full,A,"Manuscript's EPO-TEK 353ND epoxy encapsulation choice and 150C/1hr vacuum bake (F11/F12)","Manufacturer datasheet confirms EPO-TEK 353ND is marketed specifically for semiconductor/hybrid/fiber-optic UHV-sealing applications; measured hydrocarbon outgassing rate ~1e-15 torr-L/s/cm^2; passes NASA low-outgassing standard ASTM E595 with proper cure. This is a ROUTINE, manufacturer-directed material selection for UHV sensor packaging, not a novel formulation or process invented by the manuscript's authors.","Confirmed current manufacturer page plus a corroborating independent qualification record: LIGO document E1300653 (RGA/outgassing test results for EPO-TEK 353ND for UHV service, see N007). SOURCE_POLICY requires testing whether this choice is conventional/manufacturer-directed; this evidence supports that conclusion for the epoxy element specifically (Stage 40's job to weigh this against the rest of the module)."
