feature_id,manuscript_location,feature,disclosure_level,implemented,validated,authors_claim_novel,known_group_work,missing_enablement,commercial_use,notes
F18,"regular_lsens.tex L479-483 (§II-C, Eq.1)","Voltage-bias scheme: two opposite terminals biased at V_bias = 0.4 V (biased) or 0 V (unbiased); Hall voltage measured across orthogonal terminals",explicit,yes,yes,no,no,"None identified for the bias scheme itself.",yes,"Directly demonstrated in Fig.4(a) (shots 63/65)."
F19,"regular_lsens.tex L483 (§II-C; Fig.3 label)","Bias supplied by the built-in waveform generator of a Keysight DSOX1204G oscilloscope",explicit,yes,yes,no,no,"None identified; instrument named.",no,"Off-the-shelf lab instrument, not a fabricated element."
F20,"regular_lsens.tex L483 (§II-C; Fig.3, x10 stage)","Instrumentation amplifier (Texas Instruments INA849), first readout stage",explicit,yes,yes,no,no,"Individual stage gain (x10) shown only in Fig.3, not restated numerically in body text.",yes,"Commercial IC used as designed; part of the disclosed readout chain."
F21,"regular_lsens.tex L483 (§II-C; Fig.3, x10 and x2 stages)","Two Texas Instruments OPA814 operational-amplifier stages following the INA849",explicit,yes,yes,no,no,"Individual stage gains (x10, x2) shown only in Fig.3, not restated numerically in body text.",yes,"Commercial ICs used as designed; combine with F20 for total gain F22."
F22,"regular_lsens.tex L483 (§II-C)","Total readout voltage gain of 200 V/V",explicit,yes,yes,no,no,"None identified; value stated directly and consistent with Fig.3 stage breakdown (10 x 10 x 2 = 200).",yes,"Used throughout Fig.4/Fig.5 amplified-output data."
F23,"regular_lsens.tex L483 (§II-C)",Readout bandwidth of 1 MHz,explicit,yes,yes,no,no,"None identified; value stated directly.",yes,"Also referenced in Abstract (L428) and Introduction (L453) as a headline performance figure."
F24,"regular_lsens.tex L479 (§II-C)","Vacuum feedthroughs connecting in-vessel sensor to external bias/readout/DAQ electronics",explicit,yes,yes,no,no,"No feedthrough type, pin count, or connector specification given.",no,"Enables the vessel-interior/vessel-exterior split shown in Fig.3."
F25,"regular_lsens.tex L478-479, L496 (§II-C, §III-A)","In-vessel deployment location: inside the HSX vessel near the plasma edge",explicit,yes,yes,no,no,"None identified for placement itself; exact distance-to-plasma or poloidal/toroidal coordinate not quantified in text (shown only pictorially in Fig.2/graphical abstract).",yes,"Location illustrated in Fig.2 and graphical abstract (submission.pdf p.8)."
F26,"regular_lsens.tex L453, L496, L506 (§I, §III-A, §IV)",Operation across 68 consecutive plasma discharge shots,explicit,yes,yes,no,no,"None identified; shot count stated repeatedly and consistently.",yes,"Headline validation metric, repeated in Abstract (L428), Intro (L453), Results (L496), and Conclusion (L506)."
F27,"regular_lsens.tex L496 (§III-A; Fig.4(a))","Biased (shot 65, V_bias=0.4V) vs unbiased (shot 63, V_bias=0V) output comparison, confirming response is bias-dependent",explicit,yes,yes,no,no,"Raw/tabulated numeric trace data not provided, only the plotted waveforms (Fig.4(a)).",yes,"Directly supports the claim that the observed signal originates from the biased Hall element, not background pickup."
F28,"regular_lsens.tex L496 (§III-A; Fig.4(b))","Plasma-discharge (shot 65) vs coil-only (shot 68) output comparison, isolating plasma-induced response from background coil field",explicit,yes,yes,no,no,"Raw/tabulated numeric trace data not provided, only the plotted waveforms (Fig.4(b)).",yes,"Shows the plasma-ignition transient is plasma-specific, not just coil-field pickup."
F29,"regular_lsens.tex L503-504 (§III-B; Fig.5)","Temporal comparison of amplified sensor output against HSX diamagnetic-loop stored energy for a high-energy discharge (shot 21), late-breakdown discharge (shot 18), and failed-breakdown case (shot 19), with a stated ~30 ms DAQ relative timing offset from delayed triggering",explicit,yes,yes,no,partial,"No quantitative correlation coefficient or lag-corrected overlay is reported, only qualitative visual/temporal agreement described in text; diamagnetic-loop diagnostic itself is cited (ref16), not developed in this paper.",yes,"Explicitly stated as temporal correlation of physically distinct quantities, not interchangeable measurement (L504) - per IP_SCOPE.md this distinction must be preserved."
F30,"regular_lsens.tex L496 (§III-A, closing sentence)","Repeatability claim: transient shape and timing 'repeated reliably under comparable conditions' across the 68 shots, indicating stable sensor operation",explicit,yes,partial,no,no,"No quantitative repeatability statistic (e.g., shot-to-shot variance, drift trend) is reported; claim is qualitative.",yes,"Supports overall functional-stability narrative but is not itself a numeric result."
F31,"regular_lsens.tex L453, L496 (§I, §III-A)","HSX facility operating context during validation: 1 T on-axis field; up to 200 kW of 28 GHz ECRH; 18 motor generators driving 48 field coils; ~800 ms coil-current saturation; 50 ms plasma flat-top window",explicit,yes,yes,no,yes,"Facility parameters are context for the validation, not sensor-invention detail; no gap for enablement of the sensor itself.",no,"HSX facility design/operating parameters are attributed to refs 13/14 (host-facility citations), not an invention of this manuscript."
F32,"regular_lsens.tex Fig.4 (L488-493), Fig.5 (L497-502)","Quantitative validation record: amplified output vs time waveforms (0-0.4 V range) and stored-energy vs time traces (0-60 J range) for the shots discussed",explicit,yes,yes,no,no,"Data exists only as plotted figures; no accompanying numeric data table, raw file, or exact axis values beyond visual reading is provided in the three controlling artifacts.",yes,"See also absent item F48 (no tabulated/raw numeric data)."
F33,"regular_lsens.tex L487 (§II-C); L506 (§IV, citing ref17)","Future work: absolute calibration of V_off and the sensor's B-field response, including in-situ cross-reference with established HSX magnetic diagnostics",future,no,no,no,partial,"Not implemented or validated in this manuscript; this is explicitly declared future work, not a manuscript invention (CLAUDE.md hard rule).",unclear,"L506 attributes the planned cross-reference method to ref17 (Chlechowitz et al. 2015), i.e., an existing HSX diagnostic-optimization publication, reinforcing that the calibration approach itself is not new to this paper."
F34,"regular_lsens.tex L487 (§II-C)","Future work: quantitative correction for the temperature dependence of V_off",future,no,no,no,yes,"Not implemented or validated in this manuscript; explicitly declared future work.",unclear,"The general fact that V_off is temperature-dependent is attributed to ref15 (Dowling, Stanford Ph.D. dissertation, 2019); the correction itself is not attempted here."
F35,"regular_lsens.tex L506 (§IV Conclusion)","Future work: extended-duration deployment in HSX to evaluate offset stability",future,no,no,no,no,"Not implemented or validated in this manuscript; explicitly declared future work.",unclear,"Listed as one of four future-work items in the closing conclusion sentence."
F36,"regular_lsens.tex L506 (§IV Conclusion)","Future work: radiation and neutron irradiation characterization at a dedicated facility to assess radiation hardness",future,no,no,no,no,"Not implemented or validated in this manuscript; explicitly declared future work. Excluded per IP_SCOPE.md from evaluation as a radiation-compensation architecture unless/until actually implemented.",unclear,"Must not be converted into a manuscript invention per CLAUDE.md; recorded strictly as stated future intent."
F37,"regular_lsens.tex L506 (§IV Conclusion)","Future work: integration of lower-noise readout electronics for resolving smaller-amplitude magnetohydrodynamic (MHD) fluctuations",future,no,no,no,no,"Not implemented or validated in this manuscript; explicitly declared future work. Excluded per IP_SCOPE.md as an 'unpublished readout invention' unless/until actually implemented.",unclear,"Must not be converted into a manuscript invention per CLAUDE.md; recorded strictly as stated future intent."
F38,"Absent - cf. regular_lsens.tex L487, L504, L506",Absolute magnetic-field calibration data (no B-field-in-Tesla value or measured voltage-scaled sensitivity S_v is reported anywhere in the three artifacts),absent,no,no,no,no,"Material gap: without a calibrated S_v, the sensor's amplified-output waveforms (Fig.4/5) cannot be converted to an absolute field value; blocks any claim of quantitative field measurement, only qualitative/temporal detection is enabled.",unclear,"Text explicitly and repeatedly flags this as future work (L487, L506) - recorded here as an absence for enablement purposes, consistent with F33/F34, not as a new finding of non-disclosure."
F39,"Absent - cf. regular_lsens.tex L451",In-manuscript temperature-characterization data (no measured in-vessel or lab temperature-vs-output data for this specific device/deployment),absent,no,no,no,no,"The 576°C thermal-stability figure in the text (L451) is attributed to ref11 (prior group publication), not measured in this paper; no temperature sensor reading, thermal log, or offset-vs-temperature curve for the HSX-deployed unit is presented.",yes,"Directly relevant to F34's future-work status: without this data, the temperature-dependence of V_off referenced at L487 is asserted from prior literature, not demonstrated here."
F40,"Absent - cf. regular_lsens.tex L465","Drawings, dimensions, aperture layout, or photographs (beyond the small in-context Fig.2/graphical-abstract images) of the grounded graphite shield",absent,no,no,no,no,"No engineering drawing, dimension callouts, material spec (beyond 'graphite'), or aperture/clearance detail for the shield is present in the TeX or PDF; a third party could not reproduce the shield geometry from this disclosure alone.",unclear,"Directly responsive to IP_SCOPE.md's open question: 'Are there drawings, photographs, dimensions...?' - the only photographic evidence is the small in-vessel photo in Fig.2/graphical abstract, which does not clearly resolve the shield independently of the rest of the assembly."
F41,"Absent - cf. regular_lsens.tex L465","Grounding route, electrical connection point, or ground-path specification for the 'grounded' graphite shield",absent,no,no,no,no,"The word 'grounded' (L465) is not accompanied by any description of how or where the shield is grounded, its resistance to ground, or its electrical isolation from the sensor/holder.",unclear,"Relevant to IP_SCOPE.md's open question about grounding route."
F42,"Absent - cf. regular_lsens.tex L465","Documented failure mode, arcing incident, or epoxy-degradation observation with or without the graphite shield (comparative data)",absent,no,no,no,no,"No before/after, with/without-shield comparison, incident log, or failure narrative is reported; the shield's efficacy is asserted by stated purpose only, not demonstrated by data.",unclear,"Directly responsive to IP_SCOPE.md's open question: 'Was there a documented failure mode or comparison without the shield?' - answer from this disclosure alone is no."
F43,"Absent - cf. regular_lsens.tex L465","Outgassing data, residual-gas analysis (RGA), leak-test results, or an explicit numeric UHV acceptance criterion (e.g., target base pressure) satisfied by the 150°C/1-hour bake",absent,no,no,no,no,"'meet the ultra-high-vacuum (UHV) requirements of the HSX facility' (L465) is not quantified; no pressure target, outgassing rate limit, or test method is given anywhere in the three artifacts.",unclear,"Directly responsive to IP_SCOPE.md's open question: 'What UHV acceptance criterion did the one-hour bake satisfy?'"
F44,"Absent - entire manuscript and submission.pdf","Explicit inventorship, conception date, or conception-attribution statement for any specific package/shield/holder element",absent,no,no,no,no,"No statement in the TeX, PDF body, cover letter, or graphical abstract identifies who conceived the graphite shield, holder, or flange, or when; author list (TeX L381-388) states institutional affiliation only, not per-element inventorship.",unclear,"Directly responsive to IP_SCOPE.md's open questions on shield conception and UW-Madison personnel contribution; this document does not and cannot resolve inventorship - flagged for Stage 50/OTL."
F45,"Absent - cf. regular_lsens.tex L496, L504",Quantitative noise-floor or signal-to-noise-ratio (SNR) figures for the readout chain or the sensor signal,absent,no,no,no,no,"Only qualitative descriptions ('clear transient responses,' 'elevated fluctuations') and time-series plots (Fig.4/5) are given; no numeric noise floor, SNR, or minimum-detectable-field figure is stated in text.",unclear,"Relevant to evaluating the stated future work on 'lower-noise readout electronics' (F37) - without a baseline noise figure, the improvement target is unquantified."
F46,"Absent - cf. regular_lsens.tex L465","Glow-discharge-cleaning (GDC) cycle count, exposure duration, or exposure-log data for the deployed module",absent,no,no,no,no,"No record of how many GDC cycles or how much cumulative plasma exposure the packaged module experienced during the 68-shot campaign; only the shield's protective purpose is stated (L465), not exposure data.",unclear,"See also F17 (implicit GDC/plasma exposure) - this row flags the absence of any quantitative exposure record."
F47,"Absent - cf. regular_lsens.tex Eq.1, L480-482",Numeric value of the voltage-scaled sensitivity S_v (units V/V/T) for the fabricated device,absent,no,no,no,no,"S_v is defined symbolically in Eq.1 (L480-482) but never assigned a measured numeric value anywhere in the three artifacts.",unclear,"Directly ties to F38 (no absolute calibration) - without S_v, Eq.1 cannot be used to convert V_H to a field value."
F48,"Absent - entire manuscript and submission.pdf",Tabulated or raw numeric data files underlying Fig.4 and Fig.5 (only rendered plots are provided),absent,no,no,no,no,"No data table, supplementary data file, or numeric appendix accompanies the figures; all quantitative results must be read off plot axes.",unclear,"General reproducibility/enablement gap applicable across all deployment-result rows (F25-F32)."
F49,"submission.pdf p.9 (cover letter, paragraph 2)","Authors' novelty assertion: first GaN-based Hall-effect sensor deployed inside a stellarator for in-situ magnetic field monitoring",explicit,yes,yes,yes,no,"Assertion appears only in the cover letter, not in the manuscript body, abstract, or graphical abstract; this stage does not verify the assertion against prior art (Stage 20's task).",yes,"Exact quote: ""To our knowledge, this is the first GaN-based Hall-effect sensor deployed inside a stellarator for in-situ magnetic field monitoring."" Underlying deployment (F25-F30) is implemented and validated in-manuscript; the 'first' characterization itself is an unverified assertion at this stage."
F50,"submission.pdf p.9 (cover letter, paragraph 3)","Authors' novelty/differentiation assertion: manuscript reports the first deployment and validation of this sensing platform in an operating stellarator, with no data/text overlap with the authors' own earlier laboratory-characterization papers",explicit,yes,yes,yes,yes,"Assertion appears only in the cover letter; distinguishes this paper from ref10/ref11 by application context (in-vessel stellarator deployment) rather than by new device/process invention.",yes,"Exact quote: ""The present manuscript reports the first deployment and validation of this platform in an operating stellarator and contains no overlap in data or text with these earlier studies."" Immediately follows citation of the authors' own Alpert 2019 (ref10) and Alpert 2020 (ref11) papers, making this row both a novelty claim and a group-work attribution."
F51,"submission.pdf p.9 (cover letter, paragraph 3)","Authors' comparative claim: the 2DEG-based platform offers substantially higher sensitivity than metal Hall probes developed for ITER and DEMO by other groups, while retaining thermal tolerance",explicit,no,no,yes,no,"No quantitative sensitivity comparison data (numeric S_v values for either platform) is provided anywhere in the three controlling artifacts to support 'substantially higher'; this is an unsupported comparative assertion as disclosed.",yes,"Exact quote: ""Compared with the metal Hall probes developed for ITER and DEMO by other groups, the 2DEG-based platform offers substantially higher sensitivity while retaining thermal tolerance."" Comparison is against third-party prior art (ref5 Quercia 2022, ref6 Bolshakova 2017), not the authors' own earlier work; implemented/validated marked 'no' because this specific comparative measurement was not performed in this paper."
