requirement_id,user_requirement,interpretation,stage,deliverable,acceptance_test,status,notes
R11,"README decision Q1: is Hall-validation-first / hybridization-second / module-third the correct sequence, or is a different sequence better","Reconstruct what 06 actually says about sequencing (this stage) versus decide the mission's own recommended sequence with decision gates (later stage)","00_inventory (reconstruction only); 60_research_program (recommendation)","outputs\00_INPUT_INVENTORY.md section 2 (this stage); outputs\06_INTEGRATED_RESEARCH_PROGRAM.md; outputs\06_DECISION_GATES_AND_ROADMAP.md (stage 60)","00_INPUT_INVENTORY.md classifies each of the 3 sub-claims as confirmed/partly confirmed/not confirmed with file citations; stage 60's output states an explicit recommended sequence with named decision gates, independent of the user's or 06's framing","00_inventory portion: done; 60_research_program portion: pending","See section 2 of 00_INPUT_INVENTORY.md: overall verdict PARTLY CONFIRMED (2.1 confirmed / 2.2 partly confirmed / 2.3 not confirmed)"
R12,"README decision Q2: can coil dynamics identify Hall drift and can Hall DC data correct coil/integrator drift, under exactly what conditions","Same technical question as R03; restated here because README_START.md poses it as one of the 4 headline decisions the whole mission must answer","20_observability","outputs\02_OBSERVABILITY_AND_IDENTIFIABILITY.md; outputs\02_MUTUAL_CALIBRATION_FEASIBILITY.md","Explicit per-scenario answer (observable/unobservable states, excitation/reference/estimator requirements) for all 5 DECISION_FRAMEWORK.md scenarios","pending","Duplicate of R03 at the mission-level framing; tracked separately because README_START.md and DECISION_FRAMEWORK.md phrase it as a top-level deliverable, not just a technical sub-task"
R13,"README decision Q3: which application or research-group directions deserve collaboration effort","Same as R04, restated as a headline mission decision","40_applications_collaboration","outputs\04_APPLICATION_SCORECARD.csv; outputs\04_COLLABORATION_STRATEGY.md","Scored candidate list with vetoes; explicit statement of likely access, competition/prior-art risk, and whether outreach should wait for bench evidence (DECISION_FRAMEWORK.md 'Collaboration decision')","pending","Duplicate of R04 at the mission-level framing"
R14,"README decision Q4: hard limitations, failure modes, prior-art constraints, cost/accuracy tradeoffs, and advantages relative to other magnetic diagnostics","Same as R05, restated as a headline mission decision","50_limitations_comparison","outputs\05_LIMITATIONS_AND_FAILURE_MODES.md; outputs\05_TECHNOLOGY_COMPARISON.csv","Every named alternative technology is compared within a realistic regime; every hard limitation is sourced or labeled inference","pending","Duplicate of R05 at the mission-level framing"
R15,"Evidence gates (>=120 unique verified peer-reviewed final sources; >=75 new relative to 06; topic quotas 25 hybrid / 30 radiation / 25 applications / 20 calibration)","Deterministic numeric and dedup gates the final ledger must clear before later stages may rely on it","10d_evidence_merge","outputs\01_SOURCE_LEDGER.csv; outputs\01_NEW_SOURCE_AUDIT.csv; outputs\01_SOURCE_COVERAGE.md","Ledger has >=120 rows after cross-lane dedup, exact SOURCE_POLICY.md 16-column header, 0 duplicate normalized DOI/title, >=75 rows absent from 06's normalized DOI/title set, and each topic quota met (a row may count toward multiple quotas)","pending","06's comparison baseline confirmed present and readable: 06\outputs\01_SOURCE_LEDGER.csv, 231 rows, exact-matching header"
R16,"No claim of radiation experiments performed by Tim; radiation stays literature/simulation/architecture-level or collaborator/co-author-led","Scope discipline carried from the root project memory and this mission's own MISSION.md into every narrative output","cross-cutting; governed by MISSION.md boundary conditions and root 01\CLAUDE.md scope rule","Every narrative output in outputs\ and evidence\","Text-scan of all narrative outputs for any claim that Tim has performed or will personally perform a neutron/gamma/proton/electron/heavy-ion experiment; none should exist","in_progress","Honored in this stage's own outputs (see 00_INPUT_INVENTORY.md section 5); root 01\CLAUDE.md: 'No neutron/gamma radiation experiments are planned'"
R17,"Epistemic labeling discipline (observed / derived / inferred / proposed / unknown)","Every substantive claim in every output carries one of the 5 labels defined in this folder's CLAUDE.md","cross-cutting; all stages","All narrative outputs","Spot-check of major claims in each output shows an explicit label or an equivalent phrase (for example 'Confirmed', 'Not confirmed', 'per precedent, not derived')","in_progress","Applied throughout this stage's own outputs (see 00_INPUT_INVENTORY.md section 2 verdict labels)"
R18,"Source-ID traceability (stable IDs; every technical claim cites a ledger row)","Every inline citation resolves in the lane/final ledger; unresolved claims are labeled inference/proposal/unknown instead of cited","cross-cutting; begins at 10d_evidence_merge and applies through 80_synthesis","All narrative outputs citing sources; outputs\01_SOURCE_LEDGER.csv","Every inline source-ID citation resolves to a ledger row (mirrors 06's own 70_audit_crossrefs.py cross-check pattern)","pending","No ledger exists yet; this stage cites 06's ledger by file path, not by S#### ID, since 06's ledger is read-only external evidence, not this mission's own ledger"
R19,"Read-only boundary: do not modify folder 06, folder 07, or other 01 siblings","Every sibling file inspected in this stage (and expected in later stages) is read-only context","cross-cutting; all stages","N/A (negative requirement)","No file under ..\06, ..\07_HSX_august2025_results, or any other 01-level sibling shows a content or mtime change attributable to this mission","done (this stage)","Verified for this stage: only Read/Grep/Glob tools were used on sibling paths; no Edit/Write tool was invoked outside 08's own outputs/state"
R20,"Checkpoint and worklog updates after each major milestone","state\PROJECT_STATE.md and state\WORKLOG.md are updated, and a state\checkpoints\CP_<stage>_<timestamp>.md is created, at stage completion","cross-cutting; CHECKPOINT_PROTOCOL.md","state\PROJECT_STATE.md; state\WORKLOG.md; state\checkpoints\CP_00_inventory_<timestamp>.md","Files reflect the current stage's completion, output counts, and next action immediately after this stage's main response","done (this stage)","Produced as part of this stage's closeout, immediately following this table"
R21,"Full final package and reading order","All 12 stages complete; final synthesis package readable in the order README_START.md specifies","80_synthesis","outputs\FINAL_EXECUTIVE_DECISION.md; outputs\FINAL_PLAIN_LANGUAGE_GUIDE.md; outputs\FINAL_ACTION_PLAN.md; outputs\FINAL_DELIVERABLE_INDEX.md; outputs\FINAL_AUDIT.md","outputs\FINAL_AUDIT.md states a completion determination equivalent to 06's 'FINAL STATUS: PASS', with every prior-stage gate re-verified","pending","0 of 12 stages complete as of this stage's start (state\PROJECT_STATE.md: READY_TO_START)"
