"source_id","normalized_doi","normalized_title","found_in_folder_06","evidence","new_source_flag"
"R031","10.1016/s0168-583x(98)00722-8","electrical characterization of low temperature he ion irradiated gan","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R032","10.1016/j.nimb.2023.165228","threshold displacement energies and primary radiation damage in aln from molecular dynamics simulations","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R033","10.1149/06104.0171ecst","invited effect of annealing on electronic carrier transport properties of gamma irradiated algan gan high electron mobility transistors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R034","10.1063/5.0279267","review of radiation induced defects in gaas","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R035","10.1088/0022-3719/18/20/012","irradiation induced defects in gaas","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R036","10.1103/physrevb.37.4760","mechanism of fermi level stabilization in semiconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R037","10.1134/1.1568456","electrical properties of inas irradiated with protons","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R038","10.1134/1.1777597","electrical properties and limiting position of the fermi level in insb irradiated with protons","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R039","10.1134/1.1427970","electrical properties of the proton irradiated semi insulating gaas cr","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R040","10.1016/s0168-9002(98)01475-2","leakage current of hadron irradiated silicon detectors material dependence","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R041","10.1109/23.273529","damage correlations in semiconductors exposed to gamma electron and proton radiations","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R042","10.1063/5.0318998","damage generation efficiency of protons and 60co gammas in iii v infrared semiconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R043","10.1109/sim.2002.1242720","electrical properties of semi insulating gaas irradiated with neutrons","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R044","10.3390/s20143946","investigation of radiation effects on fd soi hall sensors by tcad simulations","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R045","10.1016/j.nima.2014.01.052","investigation of unique total ionizing dose effects in 0 2 micron partially depleted silicon on insulator technology","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R046","10.1016/j.nima.2016.05.072","synergistic effect of mixed neutron and gamma irradiation in bipolar operational amplifier op07","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R047","10.1016/j.microrel.2014.07.091","influence of temperature and dose rate on the degradation of bicmos operational amplifiers during total ionizing dose testing","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R048","10.1016/j.fusengdes.2007.05.024","induced voltages and currents in copper and stainless steel core mineral insulated cables due to radiation and thermal gradients","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R049","10.1016/j.fusengdes.2005.06.010","experimental study of radiation induced currents in copper and stainless steel core mineral insulated cables in the br2 research reactor","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R050","10.3390/electronics7120429","a radiation hardened instrumentation amplifier for sensor readout integrated circuits in nuclear fusion applications","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R051","10.1088/1748-0221/10/08/p08009","evaluation of commercial adc radiation tolerance for accelerator experiments","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R052","10.1109/tns.2004.839196","investigation of millisecond long analog single event transients in the lm6144 op amp","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R053","10.1016/j.rinp.2021.104672","radiation induced conductivity in polyethyleneterephthalate and polyimide trap distribution effects","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R054","10.1016/j.fusengdes.2017.12.001","in vessel electrical integration in iter requirements solutions","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R055","10.1109/radecs53308.2021.9954538","total ionizing dose effects on current sense amplifiers","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R056","10.1016/s0920-3796(03)00328-4","study of the radiation induced electromotive force effect on mineral insulated cables for magnetic diagnostics in iter","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R057","10.1016/j.jnucmat.2004.04.253","riemf in mgo and al2o3 insulated mi cable iter magnetic diagnostic coils","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R058","10.1016/s0168-583x(96)00786-0","radiation induced electromotive force in mineral insulated cable under reactor irradiation","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R059","10.1063/1.1622976","theoretical study of radiation induced electromotive force effects on mineral insulated cables","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R060","10.1063/1.1622977","experimental study of radiation induced electromotive force effects on mineral insulated cables","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R061","10.1016/s0022-3115(97)00012-3","low temperature fast neutron and gamma irradiation of kapton polyimide films","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R062","10.1016/s0011-2275(97)00116-1","low temperature fast neutron and gamma irradiation of alumina","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R063","10.3390/s25216552","assessment of neutron radiation effects on the fiber optics current sensor performance during jet dte2 experimental campaign","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R064","10.3390/photonics13030277","gamma irradiation effect on the verdet constant of standard single mode ge doped optical fibre","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R065","10.1016/j.fusengdes.2025.115011","radiation effects in optical fibres measured during jet dt plasma experiments","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R066","10.1016/j.fusengdes.2019.02.123","fault analysis and improved design of jet in vessel mirnov coils","S0082","same normalized DOI as folder-06 row S0082","reused"
"R067","10.1109/wisee44079.2020.9262639","study of radiation induced frequency shifts in quarz crystal oscillators","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R068","10.1016/j.radphyschem.2022.110372","study on irradiation effect of insulating materials for fusion superconducting magnets interlaminar shear strength at liquid helium temperature","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R069","10.1016/j.fusengdes.2015.04.047","development of the iter continuous external rogowski from conceptual design to final design","S0151","same normalized DOI as folder-06 row S0151","reused"
"R070","10.1016/j.fusengdes.2023.113984","procedure qualification and integration of the continuous external rogowski diagnostics to the superconducting magnets of iter tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R071","10.1016/j.fusengdes.2013.02.055","performance of metal hall sensors based on copper","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R072","10.1016/j.fusengdes.2019.01.002","improved neutron activation dosimetry for fusion","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R073","10.1016/j.fusengdes.2012.02.129","neutronics diagnostics for european iter tbms activation foil spectrometer for short measurement cycles","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R074","10.1016/j.fusengdes.2011.02.090","test facility for a neutron flux spectrometer system based on the foil activation technique for neutronics experiments with the iter tbm","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R075","10.1016/j.fusengdes.2021.112286","application of verdi detectors for neutron fluence measurements during the jet 2019 deuterium deuterium campaign","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R076","10.1016/j.fusengdes.2019.03.055","verdi detector benchmark experiment at the enea 14 mev frascati neutron generator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R078","10.1088/1748-0221/7/05/c05009","diagnostic neutron activation system for kstar","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R079","10.1016/j.fusengdes.2015.06.108","development of magnetic sensors for jt 60sa","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P001","10.1016/j.fusengdes.2013.02.018","r d on iter in vessel magnetic sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P002","10.1016/j.fusengdes.2019.01.106","design and development of the mechanical support structure for iter in vessel magnetic sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P003","10.1063/1.4964435","high magnetic field test of bismuth hall sensors for iter steady state magnetic diagnostic","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P004","10.1063/1.5036537","the new magnetic diagnostics in the west tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P005","10.1016/j.fusengdes.2008.12.014","design and stress analysis of in vessel saddle coils for mhd control in asdex upgrade","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P006","10.1016/j.fusengdes.2017.03.010","progress of the magnetic sensor development for jt 60sa","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P007","10.1016/j.fusengdes.2007.07.045","design developments for the iter in vessel equilibrium pick up coils and halo current sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P008","10.1063/1.4932545","halo current diagnostic system of experimental advanced superconducting tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P009","10.1016/j.fusengdes.2025.115070","advanced magnetic diagnostic coils based on tpc technology for compass u and eu demo","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P010","10.1016/j.fusengdes.2025.115486","preliminary validation of iter magnetic diagnostic algorithms by using jt 60sa magnetic measurements","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P011","10.1088/1361-6587/ae7719","bayesian experimental design of magnetic diagnostics on the west tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P012","10.1016/j.fusengdes.2005.06.124","correction possibilities of magnetic field errors in wendelstein 7 x","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P013","10.1088/1361-6587/aae96b","error fields in the wendelstein 7 x stellarator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P014","10.1016/j.fusengdes.2017.03.104","the wendelstein 7 x trim coil system commissioning and first operational results","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P015","10.1109/tasc.2016.2527245","wendelstein 7 x commissioning of the superconducting magnet system","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P016","10.1016/0920-3796(93)90027-f","requirements for accuracy of superconducting coils in the large helical device","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P017","10.1063/5.0102037","measurements of magnetic field fluctuations in tj ii plasmas with new in vessel helical arrays of magnetic coils","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P018","10.1063/1.5100744","mapping of the hidra stellarator magnetic flux surfaces","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P019","10.1109/lawpp.2017.8692203","vacuum magnetic flux surface measurements on the scr 1 stellarator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P020","10.1109/tps.2008.920215","magnetic surface visualizations in the columbia non neutral torus","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P021","10.1063/5.0123448","radiation optical power flow and electrical diagnostics at the z facility layout and techniques utilized to operate in the harsh environment","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"P022","10.1103/physrevstab.11.100401","differential output b dot and d dot monitors for current and voltage measurements on a 20 ma 3 mv pulsed power accelerator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
