"claim_id","claim","claim_type","source_ids","evidence_strength","counterevidence_ids","limitations","used_by_stage"
"C23","Heavily irradiated III-V material converges toward a material-specific limiting Fermi level (InAs to n+-type, InSb to p-type, under 5-10 MeV protons at 2e16 cm-2), consistent with Fermi-level-stabilization theory. Inference: radiation-induced InSb/InAs Hall parameter drift may asymptote (bounded) rather than diverge - a falsifiable model input, unconfirmed under neutron exposure.","inferred","R036;R037;R038","mechanism_based_inference","R042","Proton-only evidence; R042 warns cross-species scaling within III-Vs can err by an order of magnitude, so the neutron-case asymptote must be tested, not assumed.","30_radiation_compensation;60_research_program"
"C24","Transmutation is a permanent (non-annealable at service temperatures) damage channel: thermal-neutron Ga-to-Ge conversion in GaN required a 950 C activation anneal; In/Sb thermal-neutron capture is the attributed driver of InSb fission-spectrum sensitivity loss.","observed","R025;R001;R002","moderate_direct","","R025 is a doping demonstration on bulk GaN, not a sensor-degradation study; the permanence-in-service conclusion is a labeled inference from the 950 C figure.","30_radiation_compensation"
"C25","Readout-chain radiation failure modes are distinct from sensor-die damage and must be budgeted separately: bipolar op-amp offset/bias-current degradation with neutron+gamma synergy; millisecond-scale single-event transients originating in op-amp bias/startup circuitry; COTS ADC TID/SEU evaluation exists as methodology; the only 1-MGy-class rad-hard instrumentation-amplifier design found is simulation-only.","observed","R046;R052;R051;R050;R047;R055","moderate_direct","","Most quantitative thresholds are secondary-sourced or unread (publisher access); R050 must never be cited as experimental validation.","30_radiation_compensation;50_limitations_comparison"
"C26","Activation-foil dosimetry is a mature, validated fluence-monitoring practice: VERDI detectors benchmarked at a 14 MeV D-T reference field (C/E = 1.05 +/- 0.13) and then validated in-machine at JET D-D to 8% agreement; the two-step protocol (reference-field calibration, then in-machine validation) is the model for any Hall irradiation campaign's dosimetry.","observed","R076;R075;R072;R073;R074;R078","strong_direct_multiple_sources","","Foil dosimetry gives fluence/spectrum, not sensor-parameter drift; surrogate-facility flux can sit 3-5 orders of magnitude below the target environment (R074).","30_radiation_compensation;60_research_program"
"C27","ITER's OVSS is the strongest real-machine-DESIGN precedent for pairing a DC Hall subsystem with the inductive set: 60 bismuth-Hall pair units on the vacuum vessel outer shell (final design published, units manufactured; ITER not yet operating). The published OVSS calibration plan additionally foresees the REVERSE direction - readjusting slowly-reducing OVSS sensitivity by cross-calibration against outer-vessel inductive coils during plasma current ramps (H067). It is a system-level pairing of separate sensor heads, not a co-located single-package hybrid; neither direction of the pairing has operated on any tokamak yet.","observed","H067;H068;P003","single_source_direct","H059","Stage-70 correction: former single-source anchoring on P003 removed (its abstract is sensor qualification only); H067's cross-calibration sentence is body-level search-index text, flagged; 'precedent' is design-stage - there is no operating-tokamak experience for either direction.","40_applications_collaboration;60_research_program;80_synthesis"
"C28","Persistent-mode superconducting/HTS magnets are a documented poor fit: a coil is structurally blind to a static trapped field (no dB/dt after magnetization), and the field's accepted precision reference for that state is NMR, not a coil (persistent-mode NMR magnet held >2 years at ~3e-5 ppm/h drift with NMR cross-check).","observed","P042;P038;P040;P041;P045","strong_direct_fulltext","P039;P049","Counterevidence limited to the brief magnetization transient itself, where pickup coils and Hall arrays are both used (P039, P049).","40_applications_collaboration;50_limitations_comparison"
"C29","Accelerator-magnet metrology already combines Hall probes + rotating/fixed coils + NMR as decades-old production practice, including in-situ calibration of rotating coils against a reference magnet - direct prior art that vetoes any architecture-level novelty claim in that domain.","observed","P052;P054;P057;P058;P055;P056;P075","strong_direct_multiple_sources","","Bench/test-stand context without fusion-grade radiation; the radiation/in-situ-embedded angle remains open (C36).","40_applications_collaboration;50_limitations_comparison;70_redteam"
"C30","Z-pinch/pulsed-power practice solved its redundancy need by cross-calibrating and fusing two inductive sensors (B-dot + Rogowski, +/-13-15%), deliberately bypassing Hall sensors; Hall-effect current sensors are independently documented as EMI-susceptible (tangential RF E-field) in power-electronics testing.","observed","P025;P028;P022;P021","moderate_direct","","The EMI-susceptibility-to-z-pinch transfer is an explicit inference (power-electronics test conditions, not a z-pinch measurement); ns-us timescales leave no DC baseline for a Hall channel to anchor.","40_applications_collaboration;50_limitations_comparison"
"C31","Magnetoresistive alternatives compete directly on the DC+broadband axis: TMR sensors span DC-to-broadband in one channel and showed no key-parameter degradation to 5 Mrad(Si) gamma/X-ray under bias; AMR tolerated 200 krad(Si) gamma with the front-end electronics as the weaker element.","observed","P064;P063;P062","moderate_direct","","Gamma/X-ray only - no neutron displacement-damage evidence for TMR/AMR was found; P063 was upgraded to verified at 10D after its author list was resolved.","40_applications_collaboration;50_limitations_comparison;70_redteam"
"C32","Stellarator field verification relies on electron-beam flux-surface mapping during commissioning (vacuum only, cannot coexist with plasma) plus trim-coil correction informed by it; no literature exists on a Hall+coil hybrid for stellarator field mapping.","observed","P013;P018;P019;P020;P012;P014;P016","systematic_absence_after_documented_search","P077","The absence cuts both ways: an open niche for the user's HSX context, but zero prior validation to build on. Stage-70 addition: adjacent TOKAMAK commissioning practice exists and must be cited-and-distinguished - KSTAR measured field errors with an e-beam plus Hall sensor arrays in addition to pickup coils (P077, snippet-level content); e-beam mapping remains the entrenched, higher-accuracy stellarator incumbent.","40_applications_collaboration;60_research_program"
"C33","Long-pulse/steady-state magnetic diagnostics need non-inductive DC sensing as a design requirement, not a preference: DEMO's antimony-Hall steady-state program states inductive sensors 'require supplementation'; DEMO-class printed coils are qualified to >=500 C; WEST rebuilt its 469-sensor suite for ~1000-s pulses.","observed","H065;P009;P004;P006;P010","strong_direct_multiple_sources","","JT-60SA's 200 C / 9 MGy in-vessel figures (P006) are secondary-sourced and unconfirmed at full text.","40_applications_collaboration;60_research_program"
"C34","Fibre-optic (Faraday) current sensing is a credible competing upgrade path for tokamak current measurement (ITER FOCS accuracy limited by Faraday-mirror imperfections with a published compensation route; T-15MD concept; JET DTE2 validation) - EMI-immune, integrator-free, DC-capable.","observed","P066;P067;R063;H029;H030","strong_direct_multiple_sources","","FOCS measures enclosed current, not local field - it competes with Rogowski/current diagnostics, not with local field mapping.","40_applications_collaboration;50_limitations_comparison"
"C35","Where the environment already forced practitioners to abandon magnetic probes entirely (MagLIF load region uses optical PDV for peak current; hot dense pinch column uses spectroscopic Zeeman splitting), a Hall+coil hybrid adds no survivability and is out of scope.","observed","P031;P032","moderate_direct","","Two sub-domains; the boundary is physical survivability, not sensing principle.","40_applications_collaboration;50_limitations_comparison"
"C36","Novelty constraints after direct prior-art analysis: architecture-level 'Hall+coil hybrid' is NOT novel (C01, C29). The credible remaining gaps, each narrowed at stage 70: (a) a joint gain+bias+state identifiability proof for the Hall+coil pair - no such analysis found through 2026 (H021 excludes sensor gain; aerospace magnetometer scale-factor/bias observability work relies on a known-field/attitude mechanism and must be scoped against); (b) hardware-validated PASSIVE bidirectional mutual correction in a real plasma and/or radiation environment - the CONCEPT is published prior art (H003 section 5; ITER OVSS calibration plan H067) and ACTIVE microsolenoid recalibration under D-T/fission irradiation is demonstrated (C05, H011), so what remains open is the passive demonstration plus its identifiability treatment; (c) in-situ radiation-aware Hall recalibration against a material-diverse PASSIVE witness sensor (actuator-winding recalibration is demonstrated, H011); (d) the stellarator-mapping application niche (no stellarator instance found; adjacent KSTAR Hall-array+coil commissioning practice P077 must be distinguished).","derived","H021;H001;H002;H004;H059;H003;H067;H068;H011;H006;P077;P052;P057;R071;P013","synthesis_of_documented_gaps","","Each gap is an absence claim bounded by this mission's search scope; a dedicated prior-art search should precede any publication claim on gaps (a)-(d). Stage-70 addition: 2009/2010 patents on combined sensors for in-situ Hall calibration (GB2427700/FR2887991 formats, via H003 refs 66-67, discovery-level) mean a PATENT search is mandatory before any embedded-actuation novelty claim.","60_research_program;70_redteam;80_synthesis"
"C37","Sequencing: validating the Hall channel first, then hybridizing, remains a defensible engineering order (a working calibrated Hall channel is a prerequisite for any fused system), but hybridization itself must not be the headline novelty claim; the contribution should target the C36 gaps.","proposed","H001;H002;H003;H004;H021","proposal_from_documented_premises","","Scope decision belongs to the user/advisor; this stage records the evidence-side constraints only.","60_research_program;80_synthesis"
