# B20_align FULL attempt-1 — 39 rows covering the complete A30 idea universe (41 union IDs; E-01 consolidated into C-01 per SEM-01 and B-01 into C-04 per SEM-02 — see ALIGNMENT.md §2). Direction cells use: direct leverage / adjacent leverage / speculative transfer / negative interference; overall classes and rubric in ALIGNMENT.md §3. Cxx = B10 PHD_FACTS claims; EVxx/Pxxxx = B15 evidence rows/papers; G1-G6/M1-M7/BT-x = B15 GAPS items; A30:* = A30-verified opened primaries; S-B20-xx = web sources opened (SOURCES.csv); NEW-SEL = new06 outputs/70_audit/FINAL/SELECTION.json entry; corpus-dated market facts are record-vintage, not asserted current.
idea_id,idea_name,source_version,phd_to_startup,startup_to_phd,mechanism,evidence,dependency,time_horizon,conflict,confidence,falsifier,action
P3R2-C-09,"Standardized solid-state pulsed-power platform (stackable Marx/modulator modules, digital droop control) for e-beam/X-ray/accelerator RF","old06-killed+new06+blind (record: new06 FINAL/DEEP/D09.md read this run; OLD P4 G7 kill 64.4 + P5 revival re-kill 52.2; A30 DIS-C09 verified the split on opened primaries; A30 ranks BLIND 4 / OLD killed / NEW 12)","speculative transfer (modular high-voltage pulsed-power engineering, interface standardization, and OEM platform economics are outside all PhD evidence; pulse-fidelity metrology and acceptance protocols are a non-core sliver)","speculative transfer (accelerator-lab collaborator adjacency only; nothing feeds the thesis)","The venture's core is stacked solid-state switching at tens-to-hundreds of kV with droop/jitter control and an open interface standard — power-conversion platform engineering per EV30/EV31's loose-analogy boundary; B10's demonstrated ledger contains no high-voltage or pulsed-power hardware. Slivers: module acceptance testing against IEC 60060-1-class high-voltage test technique and fleet telemetry are measurement-flavored but non-core. BLIND's rank 4 rested partly on an EtO-regulatory leg that A30-verified primaries show reversed (EPA proposal, A30:C09-DIS-02) — alignment analysis inherits the corrected, non-EtO-led demand picture (cargo NII + isotope legs verified: A30:C09-DIS-01/03).","EV30;EV31;A30:C09-DIS-01;A30:C09-DIS-02;A30:C09-DIS-03","No PhD-side dependency; venture gate is OEM design-in (no design-in by 2033 = kill per its own record)","Cargo/isotope procurement dated 2025-2026 (A30-verified); platform build 2027-2030","Scope drift high; no idea-specific publication conflict","medium-high (that the transfer is weak)","A paid acceptance-metrology engagement (droop/jitter qualification as the purchased deliverable) would create a thin adjacent link","Treat as PhD-independent; the interoperable-module thesis stands or falls on power-electronics execution, not on any PhD asset"
P3R2-C-22,"Electrolyzer stack degradation-emulation and bankability test systems (programmable ripple/intermittency benches)","old06+new06+blind (record: new06 FINAL/DEEP/D10.md read this run; old06 DD_P3R2_C_22.md exists, not read this run; A30 ranks BLIND 15 / OLD 2 / NEW 13)","speculative transfer (the differentiator is stress-synthesis power electronics plus electrochemical degradation attribution — both outside PhD evidence; precision electrical measurement and protocol discipline are supporting, non-core slivers)","speculative transfer (no return channel to the magnetics thesis)","The venture's wedge per its own record is 'stress synthesis plus attribution': arbitrary-ripple power electronics (EV30 boundary — topology/control differentiates) plus impedance-spectroscopy/voltage-decay electrochemistry — a domain discipline with no PhD evidence. The bankability/method-authority theme parallels C-05 but the load-bearing skill here is electrochemical mechanism attribution, not traceable-uncertainty metrology, so the WP-C methodology bridge is weaker; measurement infrastructure inside the bench is supporting per EV30. Hydrogen-hub cost-share and CN tender facts are corpus-dated.","C06;EV30;EV31","No PhD-side dependency; venture gates are hydrogen FIDs surviving and Greenlight not adding stress synthesis (its own key_kill; incumbent-gap re-verified 2026-07 per the record itself — corpus-internal, not independently reopened)","Bench sales cycle 2027-2029; corpus-dated hydrogen-market facts refresh-sensitive","Scope drift high; no idea-specific publication conflict","medium","If paid engagements price the uncertainty-budgeted measurement/acceptance layer (not stress synthesis), forward upgrades toward adjacent; hydrogen FID collapse kills the venture independent of alignment","Treat as PhD-independent despite old06's rank 2; OLD's high rank reflected venture quality, not founder-mechanism fit — the axes must not be conflated in B40"
P3R2-C-08,"Thermal-shock-tolerant printed-circuit heat exchangers (PCHE) — merchant diffusion-bonded recuperators for sCO2/heat pumps/H2 precooling","old06+new06+blind (records: old06 30_SCREENING/EVIDENCE/P3R2-C-08.md read this run; new06 SELECTION.json rank-14 entry; A30 ranks BLIND 8 / OLD 11 / NEW 14)","speculative transfer (no mechanism: diffusion-bonded manufacturing, thermal-transient qualification, and ASME code work share no instrument, method, dataset, or buyer with Hall metrology)","speculative transfer (no return channel identified)","Mechanism absence: the venture is metallurgy/manufacturing plus thermal-hydraulic qualification of heat-exchanger cores — no measurement-electronics, magnetics, or estimator content anywhere in its record; the closest hook (transient-qualification test protocols) is thermal-mechanical test engineering, a different discipline from electrical metrology. One-line adjacency honestly stated: none beyond generic engineering literacy. NRC Part 53 / STEP / Chaotan One demand facts are corpus-dated (record's own fetches, 2026-07).","EV30 (by analogy: domain-specific engineering differentiates);EV31","No PhD-side dependency; venture gate is a >=10MW-class merchant order by 2033 (its own kill)","Corpus-dated 2026 regulatory/pilot triggers; capital-heavy build 2027-2030","Scope drift total; $600k first experiment misfits PhD-parallel work; no publication conflict","high (that the transfer is weak)","A named buyer demanding third-party instrumented transient-qualification metrology (data acquisition as the purchased value) would create a thin adjacent sliver","Retire from alignment consideration in B40's synergy axis; assess purely as a standalone venture if at all"
P3R2-E-04,"High-density cryogenic interconnect loader with co-packaged 4K readout front-end (superconducting flex + cryo-CMOS mux + cryo-LNA)","old06+new06+blind (records: old06 30_SCREENING/EVIDENCE/P3R2-E-04.md read this run; new06 SELECTION.json rank-16 entry; A30 ranks BLIND 21 / OLD 13 / NEW 16)","adjacent leverage (demonstrated readout-chain design and multi-channel packaging discipline map onto the venture's system-integration layer — non-core; the core cryo-CMOS/superconducting-flex differentiators are not PhD-evidenced)","speculative transfer (cryo-electronics practice; quantum-lab collaborators are irrelevant to the HSX thesis)","Functionally the nearest venture to the PhD's readout work: the product IS a multi-channel readout front-end (mux + LNA + harness) for a harsh environment, and the PhD demonstrates readout-chain design (C03: AD8429 chain, spinning demodulation; C13: bench-verified boards/firmware) plus a proposed synchronized three-board multi-channel architecture (C14) and one-shot harsh-environment packaging (C46). But the environment axis inverts (4 K cryo vs 150C bake) and the core differentiators — cryo-CMOS IC design, superconducting flex, dilution-fridge heat budgets — are distinct specializations with zero PhD evidence, exactly the A-14 structure (EV31-class loose analogy on the environment-specific layer; EV13's lesson that drift/stability engineering is material-specific). Export-control finding from the record: BIS Sept-2024 quantum/cryo ECCNs (incl. 3A904) impose license burdens even for allies and deemed-export exposure for non-US-person researchers — directly relevant to an international-student founder-researcher (C42) if pursued during the PhD.","C03;C13;C14;C46;C42;EV13;EV31","No PhD-side gate; venture gates are Delft/Bluefors absorption and IBM-style chip-to-chip links obviating harness density (record's own risks)","DOE QIS program window 2028-2032 (corpus-dated); collides with PhD tail years","Deemed-export/licensing exposure for cryo-CMOS technology work by non-US persons (record-cited BIS rule) — an idea-specific friction for this founder; scope drift high","medium","If the venture's buyable unit proves to be the cryo-IC itself (not the integrated loader), forward downgrades to speculative; a joint program using the PhD's packaging line for cryo-qualification would upgrade toward strong","Carry at the medium/weak boundary; flag the deemed-export/international-student interaction explicitly to B40 — it is a conflict short of ADVERSE because the mechanism remains positive"
P3R2-C-04,"PFAS-free pumped two-phase direct-to-chip cooling loop (hermetic fluid-agnostic evaporator/condenser subsystem; consolidates P3R2-B-01 per A30 SEM-02)","old06+new06+blind, B-01 old06-only (records: old06 30_SCREENING/EVIDENCE/P3R2-C-04.md and P3R2-B-01.md headers read this run; new06 SELECTION.json rank-19 entry; A30 ranks C-04 BLIND 11 / OLD 16 / NEW 19; B-01 OLD 12, absorbed by BLIND and NEW into C-04)","speculative transfer (no mechanism: two-phase thermal-fluids engineering and fluid co-qualification share nothing with Hall metrology)","speculative transfer (no return channel)","Mechanism absence: hermetic evaporator/condenser design, low-GWP fluid qualification, and leak-safe loop engineering are thermal/fluids and materials-compatibility disciplines with no electrical-metrology, magnetics, or estimator content; the regulatory driver (AIM Act step-down, EU F-gas — corpus-dated record fetches) is orthogonal to any PhD asset. B-01 (sealed negative-pressure water variant, CN-primary) is the same loop thesis per new06's own merge note and both A10 and new06 collapsed it into C-04 — consolidated here with no separate mechanism.","EV30 (domain-engineering boundary);EV31","No PhD-side dependency; venture gate is a non-PFAS fluid reaching datacenter-scale qualification by 2031 (its own kill)","Fluid-qualification window 2027-2031 (corpus-dated regulation timeline)","Scope drift total; no publication conflict","high (that the transfer is weak)","A buyer paying specifically for instrumented two-phase metrology (flow/void-fraction measurement) would create a thin sliver; none appears in any record read","Retire from alignment consideration; note the SEM-02 consolidation explicitly in any downstream count reconciliation"
P3R2-F-02,"Superconducting-magnet electrical balance-of-plant platform (10 ppm-class drive-and-dump skids, current leads, busbars)","old06+blind (records: old06 30_SCREENING/EVIDENCE/P3R2-F-02.md header read this run; NEW P4 score-cut at 59.4; A30 ranks BLIND 16 / OLD 15 / NEW cut)","speculative transfer (precision high-current DC conversion and energy-dump engineering are power electronics outside PhD evidence; the 10 ppm current-metrology enabler and the magnet-community buyer overlap are real but non-core slivers)","speculative transfer (magnet-lab collaborator channel, weaker than D-01's; a trusted high-current reference bench could in principle serve coil-chain calibration needs — concrete but unplanned)","The venture's core is kA-class converter/dump engineering (EV30: topology/control differentiates); no PhD hardware evidence applies. Two honest slivers: (a) 10 ppm-class regulation requires precision DC current metrology (DCCT/zero-flux class — not Hall, EV28's contested ground), method-adjacent to the PhD's precision-measurement discipline (C03 demonstrated; C06 proposed); (b) the buyer class (CFS/Realta/WHAM merchant-magnet world, verified current via S-B20-02) is the same community as D-02/D-01 — buyer adjacency, not mechanism. Reverse sliver: FT-05/BT-3 (coil-referenced gain recovery) needs a trusted current/field excursion chain — a precision-current vendor owns exactly such references, but nothing plans this linkage.","C03;C06;EV28;EV30;S-B20-02;BT-3","No PhD-side gate; venture faces OCEM/Danfysik-class incumbents (its own binding map) and CFS bundling risk","Merchant-magnet procurement mid-2030s per the record (corpus-dated); nearer-term lab skids 2027-2029","Scope drift high; no publication conflict","medium","A magnet-lab purchase order that names calibrated measurement uncertainty (not converter capacity) as the differentiator would upgrade forward to adjacent leverage","Keep visible to B40 as buyer-class-adjacent to the D-02/D-01 cluster despite WEAK mechanism; do not let the shared buyer create a false synergy claim"
P3R2-F-12,"Classification-certified DC power and protection stacks for battery-electric/battery-swap vessels (CCS Rules-native; CN-primary)","old06-only final (record: old06 30_SCREENING/EVIDENCE/P3R2-F-12.md header read this run; NEW P4 score-cut at 56.0; BLIND not selected (ACCESS); A30 ranks OLD 17 only)","speculative transfer (no mechanism: marine DC protection, CCS classification certification, and containerized-pack interfaces share nothing with Hall metrology)","speculative transfer (no return channel)","Mechanism absence: CCS rules-native protection engineering is the C-01/E-14 discipline family (EV30/EV31 loose analogy) transposed to a CN-regulated marine market; no instrument, dataset, calibration asset, or buyer overlaps the PhD. CN-primary market structure adds access friction for a US-based founder (both baselines' own records; BLIND excluded it on ACCESS grounds).","EV30;EV31","None PhD-side","CCS 2025 rules in force (corpus-dated); CN shipbuilding procurement cycle","CN-primary access friction for a US-domiciled international student; scope drift total","high (that the transfer is weak)","A US-flag or classification-society-neutral variant with a paid metrology/acceptance role would create a thin sliver; none exists in the record","Retire from alignment consideration"
P3R2-G-01,"Closed-loop UHV chamber conditioning and acceptance-certification systems for China's big-science vacuum supply chain (CN-only)","old06-only final (record: old06 30_SCREENING/EVIDENCE/P3R2-G-01.md header read this run; NEW P4 G1 kill — CEPC excluded from 15th FYP per A30; BLIND not selected (ACCESS+PROGRAM); A30 ranks OLD 18 only)","speculative transfer (UHV practice is a real but component-level PhD asset; chamber-scale conditioning/acceptance and CN big-science procurement are outside all PhD evidence)","speculative transfer (no return channel; CN-facility collaboration is implausible for this founder profile)","The PhD demonstrates component-level UHV discipline (C46: UHV packaging, vacuum bake, in-vessel deployment) — genuine vocabulary-plus-practice overlap with vacuum engineering, but the venture's core is chamber-scale bakeout/conditioning process control and CN-tender acceptance certification, neither PhD-evidenced; and the anchor demand trigger (CEPC) was A30-recorded as negated by new06's refresh (G1 kill). CN-only market plus a US DOE-funded researcher profile makes the access structure adverse-leaning but generic, not an idea-specific interference mechanism.","C46;EV30 (domain boundary)","None PhD-side; venture anchor trigger negated per new06 refresh (A30 rank-delta note)","CN facility construction windows (BEST 2025-2030, corpus-dated); CEPC negated","CN-only access friction; potential US-person/technology-transfer sensitivities around CN big-science (generic, not idea-specific); scope drift high","high (that the transfer is weak)","A US-facility variant (EIC/PIP-II acceptance metrology) would re-open a thin adjacent lane — that variant is A-05-adjacent, not this record","Retire from alignment consideration; both baselines and the blind run independently declined it"
P3R2-G-03,"DC-conversion acceptance and commissioning instrumentation (portable measurement island + standardized protocols + signed dossiers)","old06+new06 (record: new06 SELECTION.json rank-15 entry read this run — the canonical audited record; old06 EVIDENCE file exists, not read; BLIND not selected (CONTINGENT near-miss); A30 ranks OLD 20 / NEW 15)","speculative transfer (bench electrical metrology discipline is real but the field-acceptance domain at power-system scale, safety-rated field work, and protocol authority are unevidenced; boundary case toward adjacent)","speculative transfer (no return channel to the thesis)","The venture is 'the measurement layer of the DC transition' — swept-impedance stability analysis, insulation/ground-fault characterization, transient capture, signed acceptance dossiers. Method-family adjacency to the PhD is real (bench instrumentation C03 demonstrated; uncertainty/documentation discipline C06 proposed — the same WP-C methodology family as C-05), but the deployment context is field commissioning of kV/kA power rooms, a safety-rated electrical-trades domain with no PhD evidence, and the record read is selection-entry depth only, thinner than C-05's deep dive. Classified WEAK at the weak/medium boundary rather than MEDIUM for exactly these two reasons — disclosed rather than smoothed.","C03;C06;EV30","No PhD-side gate; venture gates are operator acceptance of vendor self-certification and instrument majors shipping DC suites first (its own key_kill; Chroma/Keysight/Hioki gap is the record's own 2026-07 verification, corpus-internal)","DC conversion wave 2026-2030 (corpus-dated)","Scope drift high; field-electrical safety certification burden; no publication conflict","medium","Reading the full old06 evidence record or a paid engagement pricing traceable-uncertainty dossiers as the product would resolve the boundary — upgrade to MEDIUM if the metrology-authority layer dominates","Revisit in B40 alongside C-05: same method-authority family, one tier weaker on both record depth and domain fit"
P3R2-D-12,"Electrohydrodynamically-pumped two-phase cold plates (field-driven per-chip flow control)","old06-only final (record: old06 30_SCREENING/EVIDENCE/P3R2-D-12.md header read this run; NEW near-miss (repair-bound, EHD research-only); BLIND not selected (PHYSICS-OPT); A30 ranks OLD 21 only)","speculative transfer (no mechanism: EHD pumping physics and two-phase thermal management share nothing with Hall metrology)","speculative transfer (no return channel)","Mechanism absence: electrohydrodynamic flow control is applied electrostatics/fluids; the venture's own screening verdict records the EHD demand bridge as nonexistent and the fluid triple-intersection unsolved. No electrical-metrology, magnetics, or estimator content. High-voltage drive electronics inside the product is the only electrical element — EV30/EV31 loose analogy.","EV30;EV31","None PhD-side; venture blocked on its own fluid-intersection and demand-bridge gates","Corpus-dated; research-maturity per new06 refresh","Scope drift total","high (that the transfer is weak)","A funded EHD co-development with instrumented flow metrology as the purchased deliverable would create a thin sliver; none exists","Retire from alignment consideration"
P3R2-F-23,"PEM electrolyzer protective operating-envelope controllers with warranty-grade black-box logging","old06+new06 (records: new06 SELECTION.json rank-23 entry read this run; old06 EVIDENCE file exists, not read; BLIND not selected (CONTINGENT); A30 ranks OLD 22 / NEW 23)","speculative transfer (embedded plant control plus electrochemical degradation economics — outside PhD evidence; the notarized-evidence/logging layer is data engineering, not metrology)","speculative transfer (no return channel)","Mechanism absence with one nuance: the product shapes electrical stress (current/OCV envelopes) and produces bankable degradation evidence — the same electrochemistry-plus-power domain as C-22 (EV30 boundary), with the evidence layer being logging/attestation rather than traceable measurement; no PhD asset maps onto either. Hydrogen-market facts corpus-dated.","EV30;EV31","None PhD-side; venture gate is the 2000h A/B showing measurable degradation-rate reduction (its own kill)","Corpus-dated hydrogen window; retrofit audits 2027-2029","Scope drift total","high (that the transfer is weak)","Same as C-22: a paid uncertainty-budgeted acceptance-measurement role would create a sliver","Retire from alignment consideration"
P3R2-F-06,"Precision wideband DC current/voltage sensing platform (optical + zero-flux hybrid) for HVDC stations, electrolyzer plants, and magnet systems","old06-only final (record: old06 30_SCREENING/EVIDENCE/P3R2-F-06.md header read this run; NEW P4 score-cut at 59.5; BLIND not selected; A30 ranks OLD 23 only; US-only per elegance downgrade)","adjacent leverage (proposed WP-C traceable-calibration/uncertainty methodology maps onto the venture's core differentiator — precision + qualification of DC sensing; demonstrated weak-signal bench discipline maps onto supporting elements; the chosen modalities — FOCS and zero-flux DCCT — are not Hall and not PhD-evidenced hardware)","speculative transfer (a precision-current vendor's calibrated reference chains are mechanistically what the PhD's coil-referenced tests (FT-05/BT-3) require — a concrete, unplanned reverse channel; otherwise no thesis return)","The only universe idea whose entire product IS precision magnetic/current metrology — the PhD's own discipline class. B15 maps the exact problem family: DC-capable current sensing is contested ground (EV28: TMR/GMR incumbency; P0050's Hall drift/bandwidth critique), FOCS already owns the radiation total-current niche (EV20; consistent with B10 C27's veto of Hall there), and the cross-domain fused-channel convergence (EV34) is the venture's architecture. Forward transfer is methodology (traceable calibration, uncertainty budgets, drift characterization — C06 proposed, C03 demonstrated at bench scale), not hardware: the venture's optical/zero-flux stack shares no component with the GaN Hall program. Both baselines rate the venture weak commercially (old rank 23; new cut) — alignment and viability diverge here in the opposite direction from C-22.","C03;C06;C27;EV20;EV28;EV34;P0050;BT-3","No PhD-side gate; venture faces mature metrology incumbents (Hitachi/ABB zero-flux lineage per its record) and was demand-downgraded to US-only","HVDC construction window 2029-2032 (corpus-dated)","Scope drift moderate (nearest-discipline venture); no publication conflict — precision-metrology work is publishable","medium","If the venture's value concentrates in optical-fiber sensor physics (not calibration/qualification authority), forward downgrades to speculative; a Hall-vs-TMR-vs-FOCS benchmark (BT-6 class) decisively unfavorable to magnetics-adjacent methods would cut the bridge","Carry at the medium/weak boundary as the discipline-nearest low-viability case; B40 must weigh weak venture evidence against strongest-in-class discipline fit honestly"
P3R2-F-03,"High-speed PM turbo-generator + power-converter electrical cartridge (0.3-20 MW) for waste-heat sCO2/geothermal/ORC","old06-only final (record: old06 30_SCREENING/EVIDENCE/P3R2-F-03.md header read this run; NEW P4 score-cut at 58.3; BLIND not selected (INCUMBENT); A30 ranks OLD 24 only)","speculative transfer (no mechanism: rotating-machine design and MW-class power conversion share nothing with Hall metrology)","speculative transfer (no return channel)","Mechanism absence: PM machine electromagnetics is 'magnetic' vocabulary at most — machine design (torque, cooling, rotordynamics) is a distinct discipline from field metrology (EV30/EV31 boundary); Calnetix-class incumbency per its own record. No slivers worth naming.","EV30;EV31","None PhD-side","Corpus-dated","Scope drift total","high (that the transfer is weak)","None realistic identified — a machine-instrumentation role would be generic engineering services","Retire from alignment consideration"
P5-USSCI2-S01,"Diamond transmission-dynode cartridge for hybrid MCP-PMTs (EIC/fast-photon programs)","old06-only final — P5 supplemental, never in BLIND/NEW universes (record: old06 40_DEEP_DIVES/DD_P5_USSCI2_S01.md read this run; A30 ranks OLD 6 only)","speculative transfer (UHV/bake/acceptance-dossier discipline and big-physics community adjacency are real but peripheral; the core — CVD diamond processing, NEA surface chemistry, electron-emission physics — has zero PhD evidence)","speculative transfer (BNL detector-group collaborators; off-thesis instrument-physics publications at best)","The venture is thin-film materials processing and vacuum-electronics qualification: membrane thinning, surface termination, electron-yield metrology, 200C bake and helium-leak acceptance. The PhD's demonstrated UHV packaging/bake practice (C46) and serialized-acceptance mindset overlap the qualification periphery, not the diamond/surface-science core; timing-physics constraints (<=50 ps budgets) are a specialist detector discipline outside all PhD and B15 evidence streams (disclosed as corpus distance). Buyer world (DOE detector programs) is community-adjacent to fusion diagnostics but purchases none of the PhD's assets.","C46","No PhD-side dependency; venture dies 2029-12-31 without a paid qualification per its own record; upgrade-only timing thesis","EIC Detector II funding uncommitted (record's own); 2027-2028 experiment window","Scope drift total; no publication conflict","high (that the transfer is weak)","A detector-program engagement that specifically buys packaged-sensor qualification metrology from the founder would create a thin sliver","Retire from alignment consideration; the P5-supplemental provenance (old06-only, post-longlist) already limits its cross-run support"
P5R2-CN-01,"Retrofit X-ray computed-laminography kit for advanced-packaging failure analysis (CN-primary)","old06-only final — P5 supplemental, never in BLIND/NEW universes (record: old06 40_DEEP_DIVES/DD_P5R2_CN_01.md read this run; A30 ranks OLD 8 only; red-team 65% kill probability per the record)","speculative transfer (the load-bearing engineering — geometric calibration, sparse-view inverse reconstruction, uncertainty discipline — is method-class adjacent to the PhD's proposed estimator/reconstruction package and named fallback direction, but nothing is demonstrated in imaging and the domain/market are far)","speculative transfer (reconstruction-methods practice could feed the OPT3 fallback skillset; concrete but unplanned and off-thesis)","The venture's decisive problem is calibrated inverse reconstruction: projection-matrix estimation with residuals, repeated-registration error <2 um, artifact-honest sparse-view algorithms, blind validation — the same method family B15 documents as established and advancing (EV16: inverse reconstruction with quantified error scaling) and the same class as Opt2 Element 3's estimator/reconstruction package (C10, proposed) and the corpus's named fallback direction (C47: physics-informed reconstruction). The honesty rules the record itself imposes (learned priors can hallucinate; every defect must survive blind trials) mirror FT-02/BT-1 estimator-honesty discipline (C31/C48). All of this is methodology-class adjacency on proposed-only PhD assets, in a far domain (X-ray imaging) with a CN-primary market — hence speculative, not adjacent.","C10;C31;C47;C48;EV16;BT-1","No PhD-side gate; venture gates are two-cabinet-brand repeatability and incumbent retrofit absorption (ZEISS/Fraunhofer VOLEX/TRI per its record)","JCET Lingang ramp 2028+ (corpus-dated); CN failure-analysis demand cycle","CN-primary access friction; scope drift total","medium (that the transfer is speculative, not absent)","A US-lab variant purchasing calibrated-reconstruction methodology would upgrade toward adjacent; the 65% kill probability is the venture-side dominant fact","Retire from B40's synergy shortlist but record the reconstruction-methods bridge — it is the concrete evidence that Element-3/OPT3 skills have merchant value in far domains"
P5R2-CN-03,"Field-deployable industrial high-temperature heat-pump commissioning and M&V island (CN+US)","old06-only final — P5 supplemental, never in BLIND/NEW universes (record: old06 30_SCREENING/P5_SUPPLEMENTAL_CANDIDATES.json entry read this run; no deep dive exists; A30 ranks OLD 14 only)","speculative transfer (no mechanism: thermal M&V and heat-pump commissioning are commodity thermal/electrical metering, not the PhD's traceable-field-calibration niche)","negative interference (opportunity-cost only — no idea-specific conflict and no return channel; the thinnest record in the universe)","Mechanism absence: performance M&V of industrial heat pumps uses commodity flow/temperature/power metering — the same adjudication as C-07's M&V leg (commodity metrology is not the PhD's WP-C niche); diagnostic_test product role is thematically 'measurement' but nothing in the record requires precision-electrical or magnetic competence. Record depth is a screening JSON entry only — the weakest evidentiary basis in this universe, disclosed.","C06 (contrast);EV35 (contrast)","None","Corpus-dated CN industrial-electrification window","CN-leg access friction; scope drift total","medium (limited by record thinness)","A regulator mandating traceable third-party M&V with published uncertainty budgets would create the same thin sliver contemplated for C-07","Retire from alignment consideration; flag record thinness to B40"
P3R2-C-07,"Low-ripple active-front-end rectification retrofits for electrochemical plants (hydrogen electrolyzers / copper electrowinning)","killed/cut idea (record: old06 30_SCREENING/EVIDENCE/P3R2-C-07.md; OLD P4 G7 kill at 60.0; NEW gates-clean 61.6 but first-excluded below the survivor cut; BLIND rank 10; A30 DIS-C07 verified the kill facts on opened primaries)","speculative transfer (no concrete mechanism; kA-class plant rectifier engineering and energy-savings M&V are outside all PhD evidence)","negative interference (generic opportunity cost only — no idea-specific conflict mechanism and no identified return channel to the PhD)","kA-class AFE/IGBT rectifier retrofits and performance-contract M&V share no instrument, method, dataset, or buyer with Hall metrology; the 'power electronics' link is the same loose analogy B15 adjudicates (EV30/EV31), and plant-scale energy metering is commodity metrology, not the PhD's traceable-field-calibration niche. A30-verified opened primaries show the US hydrogen leg structurally impaired (45V construction-start deadline pulled to before 2028-01-01, PL 119-21) and the AFE category already merchant-served (Ingeteam INGECON H2 shipping since 2023, <3% harmonic distortion) — so time spent here buys neither durable startup position nor PhD progress. No credible reverse channel identified.","EV30;EV31;A30:C07-DIS-01;A30:C07-DIS-02","None","Window impaired now (2027 construction-start deadline verified); largely moot for a founder on a PhD-completion timeline","Opportunity cost only","high","A named US electrowinning tender explicitly demanding third-party measurement-grade M&V from a metrology-credentialed vendor would create a thin adjacent link (none found in any record read)","Retire from alignment consideration; both baselines reject it and A30 verified the kill facts on primary sources"
P3R2-C-12,"kW-class 20-80 K turbo-Brayton cryocoolers (gas-bearing modular cryogenic engines; US-only)","killed/cut idea (record: old06 30_SCREENING/EVIDENCE/P3R2-C-12.md header read this run; OLD P4 G1+G7 kill 44.4; NEW gates-clean 54.9 but cut; BLIND rank 22; A30 records the gate-flip-without-membership-change)","speculative transfer (no mechanism: turbomachinery, gas bearings, and cryogenic thermodynamics share nothing with Hall metrology)","speculative transfer (cryocooler access would serve HTS/quantum labs the PhD does not need; no thesis return)","Mechanism absence with one buyer-adjacency note: 20-80 K cryocoolers serve the HTS-magnet and quantum worlds (the D-01/D-02/E-04 buyer communities), but community co-location is not mechanism; the venture's differentiators (gas-bearing rotordynamics, thermodynamic cycle engineering) have zero PhD evidence and no B15 stream coverage (disclosed as corpus distance).","EV30 (domain boundary)","None PhD-side; venture gated by its own staged-capex/LOI discipline per the record","Corpus-dated","Scope drift total","high (that the transfer is weak)","None realistic identified","Retire from alignment consideration"
P3R2-A-02,"Modular MVDC (1-35 kV) hybrid solid-state circuit breaker","killed/cut idea (record: old06 30_SCREENING/EVIDENCE/P3R2-A-02.md read this run; OLD P4 survivor 55.2 + P5 KILL (82%); NEW survivor 64.8 but selection near-miss; BLIND rank 19)","speculative transfer (no mechanism: MV solid-state interruption is the C-01 discipline family at higher voltage; no PhD asset maps onto it)","speculative transfer (no return channel)","Mechanism absence: same adjudication as C-01's core minus even the telemetry sliver's proximity (grid/campus scale, not rack scale); EV30/EV31 loose analogy; the record's own red-team finding (DG Matrix/Amperesand already shipping SST-class hardware) plus the $1.5M first experiment misfit (new06's own near-miss note) dominate. Alignment adds nothing to what C-01's row already establishes for this family.","EV30;EV31","None PhD-side","Corpus-dated DC buildout wave","Scope drift total; capital misfit named by new06 itself","high (that the transfer is weak)","Same as C-01's falsifier, one tier weaker","Retire from alignment consideration"
P3R2-A-05,"US merchant NEG-coating and low-outgassing surface engineering line for UHV/XHV chambers","killed/cut idea revived by NEW (records: old06 30_SCREENING/EVIDENCE/P3R2-A-05.md read this run; new06 SELECTION.json rank-11 entry; OLD P4 survivor 63.2 + P5 KILL (82%); A30 ranks BLIND 17 / OLD killed / NEW 11)","speculative transfer (component-level UHV practice is demonstrated PhD experience but the venture's core — NEG thin-film sputter process engineering at chamber scale — is a distinct materials-process discipline with zero PhD evidence)","speculative transfer (accelerator-lab collaborator adjacency; conceivable outgassing/vacuum-qualification learning; nothing feeds the thesis)","The PhD demonstrably works in UHV (C46: UHV-compatible packaging, vacuum bake, in-vessel deployment at HSX) — real practice, component scale. The venture's differentiator is CERN-lineage NEG coating process transfer (sole global merchant incumbent SAES per the record) — sputter-deposition process engineering and big-chamber logistics, not sensor packaging; the overlap is working-culture familiarity with vacuum specs and big-physics buyers (EIC/PIP-II — the same DOE ecosystem the PhD's facility belongs to), a credibility asset short of mechanism. Big-physics procurement facts corpus-dated.","C46;EV30 (domain boundary)","None PhD-side; venture kill is SAES announcing US capacity (its own record)","EIC long-lead approved, PIP-II completes 2028 (corpus-dated)","Scope drift high; no publication conflict","medium-high (that the transfer is weak)","A paid role where sensor/instrument-grade vacuum qualification (outgassing metrology with uncertainty budgets) is the purchased deliverable would upgrade the sliver toward adjacent","Treat as PhD-independent with the honest note that this is the venture whose daily working environment most resembles the PhD's lab practice — familiarity, not leverage"
