paper_id,doi,title,authors,year,venue,publisher,publication_type,peer_review_status,publisher_url,topic_stream,relevance,evidence_status,access_status,correction_status,retraction_status,notes
P0011,10.3390/s21113740,"Design and Calibration of a Hall Effect System for Measurement of Six-Degree-of-Freedom Motion within a Stacked Column","Olafur Oddbjornsson; Panos Kloukinas; Tansu Gokce; Kate Bourne; Tony Horseman; Luiza Dihoru; Matt Dietz; Rory E White; Adam J Crewe; Colin A Taylor",2021,"Sensors, vol. 21, issue 11, art. 3740","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC8198809/,hall_metrology,"Hall-sensor-array calibration procedure and measurement uncertainty; topical to hall_metrology calibration/uncertainty sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC8198809; mdpi.com direct page not attempted this row (pattern of HTTP 403 established elsewhere this session)","none found on PMC record","none found on PMC record","Received 6 May 2021, accepted 26 May 2021; academic editor Arcady Zhukov. Accessed 2026-07-28."
P0012,10.1038/s41467-020-18007-5,"Magnetic field detection limits for ultraclean graphene Hall sensors","Brian T Schaefer; Lei Wang; Alexander Jarjour; Kenji Watanabe; Takashi Taniguchi; Paul L McEuen; Katja C Nowack",2020,"Nature Communications, vol. 11, art. 4163","Springer Nature (Nature Publishing Group)",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7441171/,hall_metrology,"Graphene Hall-sensor detection-limit/noise-floor study; topical to hall_metrology noise/bandwidth sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC7441171; nature.com direct fetch this session redirected to an IdP authentication wall (HTTP 303) and was not pursued further given the established block pattern","Correction found: 'This article has been corrected. See Nat Commun. 2021 Jan 18;12:554' noted on the PMC record — original article retained, correction is not a retraction","none found — no retraction/expression-of-concern notice on PMC record","Peer-review information statement present on record. Correction disclosed, not concealed; does not affect acceptance per LIT_POLICY (corrections != retraction). Accessed 2026-07-28."
P0013,10.1038/ncomms7806,"Quantum Hall resistance standards from graphene grown by chemical vapour deposition on silicon carbide","F Lafont; R Ribeiro-Palau; D Kazazis; A Michon; O Couturaud; C Consejo; T Chassagne; M Zielinski; M Portail; B Jouault; F Schopfer; W Poirier",2015,"Nature Communications, vol. 6, art. 6806","Springer Nature (Nature Publishing Group)",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4410644/,hall_metrology,"Quantum-Hall resistance-standard traceability study; topical to hall_metrology traceability sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC4410644","none found on PMC record","none found on PMC record","Received 14 Jul 2014, accepted 27 Feb 2015. Accessed 2026-07-28."
P0014,10.3390/s151027359,"A Monolithic CMOS Magnetic Hall Sensor with High Sensitivity and Linearity Characteristics","Haiyun Huang; Dejun Wang; Yue Xu",2015,"Sensors, vol. 15, issue 10, art. 27359","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4634499/,hall_metrology,"CMOS Hall-sensor sensitivity/linearity design; topical to hall_metrology sensitivity/noise sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC4634499; mdpi.com direct not attempted (established block pattern)","none found on PMC record","none found on PMC record","CC BY licensed; peer-reviewed MDPI Sensors article. Accessed 2026-07-28."
P0015,10.3390/s21165288,"Magnetic Field Sensors' Calibration: Algorithms' Overview and Comparison","Konstantinos Papafotis; Dimitris Nikitas; Paul P Sotiriadis",2021,"Sensors, vol. 21, issue 16, art. 5288","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC8401862/,hall_metrology,"Review of in-situ magnetic-sensor calibration algorithms; directly topical to hall_metrology calibration sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC8401862","none found on PMC record","none found on PMC record","Received 7 Jun 2021, accepted 22 Jul 2021; academic editor Nicolo Marconato. Accessed 2026-07-28."
P0016,10.3390/s120202162,"A Highly Sensitive CMOS Digital Hall Sensor for Low Magnetic Field Applications","Yue Xu; Hong-Bin Pan; Shu-Zhuan He; Li Li",2012,"Sensors, vol. 12, issue 2, art. 2162","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC3304160/,hall_metrology,"CMOS digital Hall-sensor sensitivity design; topical to hall_metrology sensitivity sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC3304160 (PMID 22438758)","none found on PMC record","none found on PMC record","Received 22 Dec 2011, revised 20 Jan 2012, accepted 21 Jan 2012. Accessed 2026-07-28."
P0017,10.3390/s110100876,"Hall Sensors for Extreme Temperatures","Jakub Jankowski; Semir El-Ahmar; Maciej Oszwaldowski",2011,"Sensors, vol. 11, issue 1, art. 876","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC3274123/,hall_metrology,"Review of Hall-sensor behavior across extreme temperature ranges; directly topical to hall_metrology temperature-effects sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC3274123",none found on PMC record,none found on PMC record,"Received 19 Nov 2010, revised 13 Dec 2010, accepted 10 Jan 2011. Older/seminal-adjacent item for hall_metrology. Accessed 2026-07-28."
P0018,10.3390/s20143946,"Investigation of Radiation Effects on FD-SOI Hall Sensors by TCAD Simulations","Linjie Fan; Jinshun Bi; Kai Xi; Gangping Yan",2020,"Sensors, vol. 20, issue 14, art. 3946","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7412317/,hall_metrology,"TCAD study of total-ionizing-dose and transient radiation effects on Hall sensors; directly topical to hall_metrology radiation-effects sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC7412317","none found on PMC record","none found on PMC record","Received 1 Jul 2020, accepted 12 Jul 2020; CC BY. Accessed 2026-07-28."
P0019,10.3390/s120404447,"Gamma Irradiation of Magnetoresistive Sensors for Planetary Exploration","Ruy Sanz; Ana B Fernandez; Jose A Dominguez; Boris Martin; Marina D Michelena",2012,"Sensors, vol. 12, issue 4, art. 4447","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC3355420/,hall_metrology,"Gamma-irradiation effects on magnetic-field sensor hysteresis/repeatability; topical to hall_metrology radiation-effects sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC3355420","none found on PMC record","none found on PMC record","Received 28 Feb 2012, revised 12 Mar 2012, accepted 19 Mar 2012. Accessed 2026-07-28."
P0020,10.1088/0029-5515/41/6/307,"Magnetic diagnostics: General principles and the problem of reconstruction of plasma current and pressure profiles in toroidal systems","V.D. Pustovitov",2001,"Nuclear Fusion, vol. 41, no. 6, p. 721","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/0029-5515/41/6/307,hybrid_diagnostics,"Seminal general-principles paper on magnetic-diagnostic inverse reconstruction; seminal older reference for hybrid_diagnostics",accepted_core,"publisher landing page opened directly","none found","none found","Received 21 Feb 2000, accepted 12 Feb 2001. Seminal (2001) item for hybrid_diagnostics. Accessed 2026-07-28."
P0021,10.1088/1741-4326/ae1621,"Reconstruction of current profiles from external magnetic and MSE measurements on DIII-D","Xuexi Zhang; Guoqiang Li; Torrin Bechtel Amara",2025,"Nuclear Fusion, vol. 66, no. 1, art. 016015","IOP Publishing Ltd on behalf of the IAEA",journal_article,verified,https://iopscience.iop.org/article/10.1088/1741-4326/ae1621,hybrid_diagnostics,"Inverse current-profile reconstruction from external magnetics; directly topical to hybrid_diagnostics inverse-reconstruction sub-topic",accepted_core,"publisher landing page opened directly (open access, CC BY)","none found","none found","Received 28 Jun 2025, accepted 22 Oct 2025, published 10 Nov 2025. Accessed 2026-07-28."
P0022,10.3390/s25103116,"Robust Current Sensing in Rectangular Conductors: Elliptical Hall-Effect Sensor Array Optimized via Bio-Inspired GWO-BP Neural Network","Yue Tang; Jiajia Lu; Yue Shen",2025,"Sensors, vol. 25, issue 10, art. 3116","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC12115906/,hybrid_diagnostics,"Hall-array current sensing/imaging with neural-network correction; topical to hybrid_diagnostics current-imaging sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC12115906 (PMID 40431908)","none found on PMC record","none found on PMC record","Received 2 Apr 2025, accepted 13 May 2025; CC BY. Accessed 2026-07-28."
P0023,10.3390/s18051439,"Study of Current Measurement Method Based on Circular Magnetic Field Sensing Array","Zhenhua Li; Siqiu Zhang; Zhengtian Wu; Ahmed Abu-Siada; Yuan Tao",2018,"Sensors, vol. 18, issue 5, art. 1439","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC5982253/,hybrid_diagnostics,"Circular Hall-sensor-array current measurement/imaging; topical to hybrid_diagnostics sensor-placement/current-imaging sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC5982253","none found on PMC record","none found on PMC record","Peer-reviewed MDPI Sensors open-access article. Accessed 2026-07-28."
P0024,10.3390/s20102929,"Accurate Magnetic Sensor System Integrated Design","Nicolo Marconato; Roberto Cavazzana; Paolo Bettini; Andrea Rigoni",2020,"Sensors, vol. 20, issue 10, art. 2929","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7288339/,hybrid_diagnostics,"Integrated magnetic-diagnostic sensor-system design for fusion devices; topical to hybrid_diagnostics sensor-placement/validation sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC7288339","none found on PMC record","none found on PMC record","Received 27 Apr 2020, accepted 19 May 2020; CC BY. Accessed 2026-07-28."
P0025,10.3390/s24175779,"Magnetic Sensor Array for Electric Arc Reconstruction in Circuit Breakers","Gabriele D'Antona; Luca Ghezzi; Sara Prando; Francesco Rigamonti",2024,"Sensors, vol. 24, issue 17, art. 5779","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC11397838/,hybrid_diagnostics,"Magnetic sensor-array inverse reconstruction of arc/current distribution; topical to hybrid_diagnostics current-imaging/inverse-reconstruction sub-topics",accepted_core,"verified via PubMed Central open-access mirror PMC11397838 (PMID 39275690)","none found on PMC record","none found on PMC record","Received 28 Jul 2024, revised 30 Aug 2024, accepted 1 Sep 2024; CC BY. Accessed 2026-07-28."
P0026,10.3390/s19224964,"Rectangular Array Electric Current Transducer with Integrated Fluxgate Sensors","Pavel Ripka; Pavel Mlejnek; Pavel Hejda; Andrey Chirtsov; Jan Vyhnanek",2019,"Sensors, vol. 19, issue 22, art. 4964","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC6891350/,hybrid_diagnostics,"Sensor-array current-transducer design combining multiple field sensors; topical to hybrid_diagnostics sensor-placement sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC6891350","none found on PMC record","none found on PMC record","Peer-reviewed MDPI Sensors open-access article. Accessed 2026-07-28."
P0027,10.3390/s18020578,"Circular Array of Magnetic Sensors for Current Measurement: Analysis for Error Caused by Position of Conductor","Hao Yu; Zheng Qian; Huayi Liu; Jiaqi Qu",2018,"Sensors, vol. 18, issue 2, art. 578","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC5856180/,hybrid_diagnostics,"Circular sensor-array current measurement with positional-error analysis; topical to hybrid_diagnostics sensor-placement sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC5856180 (PMID 29443868)","none found on PMC record","none found on PMC record","Received 10 Jan 2018, accepted 10 Feb 2018. Accessed 2026-07-28."
P0028,10.1088/1361-6587/ae7719,"Bayesian experimental design of magnetic diagnostics on the WEST tokamak","Y Zhang; J De Rycke; D Mazon; P Moreau; J Morales; G Verdoolaege; the WEST team",2026,"Plasma Physics and Controlled Fusion, vol. 68, no. 6, art. 065038","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6587/ae7719,hybrid_diagnostics,"Bayesian optimization of magnetic-diagnostic (pick-up coil) placement/design; topical to hybrid_diagnostics sensor-placement/validation sub-topics",accepted_core,"publisher landing page opened directly","none found","none found","Single-anonymous review with 1 revision; received 25 Feb 2026, accepted 2 Jun 2026. Accessed 2026-07-28."
P0029,10.3390/s25216552,"Assessment of Neutron Radiation Effects on the Fiber Optics Current Sensor Performance During JET DTE2 Experimental Campaign","Andrei Gusarov; Perry Beaumont; JET Contributors",2025,"Sensors, vol. 25, issue 21, art. 6552","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC12609596/,hybrid_diagnostics,"Radiation-effects validation of a current-sensor technology in an operating fusion device; topical to hybrid_diagnostics diagnostic-validation sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC12609596 (PMID 41228775)","none found on PMC record","none found on PMC record","Academic editor Nelia J Alberto. Accessed 2026-07-28."
P0030,10.1038/s41598-022-15777-4,"Magnetic field mapping of inaccessible regions using physics-informed neural networks","Umit H Coskun; Bilgehan Sel; Brad Plaster",2022,"Scientific Reports, vol. 12, art. 12858","Springer Nature (Nature Publishing Group)",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC9329379/,hybrid_diagnostics,"Physics-informed inverse reconstruction of magnetic fields in inaccessible regions; directly topical to hybrid_diagnostics inverse-reconstruction sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC9329379","none found on PMC record","none found on PMC record","CC BY 4.0 licensed peer-reviewed article. Accessed 2026-07-28."
P0031,10.3390/s24186071,"A Wide-Bandwidth Inexpensive Current Sensor Based on the Signal Fusion of Tunneling Magnetoresistance and a Current Transformer","Kun Wang; Bin Li; Lixin Wang; Jiafu Wang; Chuansheng Li; Zhiwen Ding; Haiming Shao",2024,"Sensors, vol. 24, issue 18, art. 6071","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC11435727/,hybrid_diagnostics,"TMR + current-transformer bandwidth-fusion current sensor; directly topical to hybrid_diagnostics bandwidth/data-fusion sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC11435727; mdpi.com direct publisher page returned HTTP 403 in the pilot run for this same item (pilot exclusion E10) — resolved this run via the PMC mirror","none found on PMC record","none found on PMC record","Revised 11 Sep 2024, accepted 11 Sep 2024. Same paper as pilot EXCLUSIONS.csv E10; now accepted_core via PMC mirror not previously located. Accessed 2026-07-28."
P0032,10.1088/1361-6668/ad3f83,"An open-source 3D FE quench simulation tool for no-insulation HTS pancake coils","Sina Atalay; Erik Schnaubelt; Mariusz Wozniak; Julien Dular; Georgia Zachou; Sebastian Schops; Arjan Verweij",2024,"Superconductor Science and Technology, vol. 37, no. 6, art. 065005","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6668/ad3f83,hts_quench_current,"Open-source 3D quench-simulation tool for no-insulation HTS coils; directly topical to hts_quench_current no-insulation-behavior sub-topic",accepted_core,"publisher landing page opened directly (open access, CC BY)","none found","none found","Single-anonymous review, 1 revision; received 30 Nov 2023, accepted 16 Apr 2024. Accessed 2026-07-28."
P0033,10.1088/1361-6668/aca83c,"Quench detection and early warning based on thermoelastic strain rate for HTS tapes thermally triggered by heat spots","Jiaxiang Chen; Mingzhi Guan; Yujin Tong; Xingzhe Wang; Youhe Zhou",2023,"Superconductor Science and Technology, vol. 36, no. 1, art. 015013","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6668/aca83c,hts_quench_current,"Strain-based early quench-warning method for HTS tapes; directly topical to hts_quench_current quench-detection sub-topic",accepted_core,"publisher landing page opened directly","none found","none found","Single-anonymous review, 1 revision; received 15 Sep 2022, accepted 2 Dec 2022. Accessed 2026-07-28."
P0034,10.1088/1402-4896/adb24f,"Investigation on the quench characteristics of parallel high temperature superconducting tapes","Wenze Si; Xianhao Li; Ying Xu; Xiao Zhou; Li Ren; Haipeng Zhang; Yingjie Tong; Yunshu Zhou; Dazhi Li",2025,"Physica Scripta, vol. 100, no. 3, art. 035522","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1402-4896/adb24f,hts_quench_current,"Quench characteristics of parallel HTS tapes (current redistribution among parallel conductors); directly topical to hts_quench_current sub-topic",accepted_core,"publisher landing page opened directly","none found","none found","Single-anonymous review, 3 revisions; received 24 Oct 2024, accepted 4 Feb 2025. Accessed 2026-07-28."
P0035,10.1088/0953-2048/28/3/035001,"Effect of variations in terminal contact resistances on the current distribution in high-temperature superconducting cables","G P Willering; D C van der Laan; H W Weijers; P D Noyes; G E Miller; Y Viouchkov",2015,"Superconductor Science and Technology, vol. 28, no. 3, art. 035001","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/0953-2048/28/3/035001,hts_quench_current,"Terminal-contact-resistance effects on HTS cable current distribution; directly topical to hts_quench_current current-redistribution sub-topic",accepted_core,"publisher landing page opened directly","none found","none found","Received 22 Sep 2014, revised 11 Nov 2014, accepted 13 Nov 2014. Older item for hts_quench_current. Accessed 2026-07-28."
P0036,10.3390/ma16124356,"Numerical Study on Mechanical Responses during Quench Protection in High-Temperature Superconducting Coils","Ruoshan Jiao; Mingzhi Guan",2023,"Materials, vol. 16, issue 12, art. 4356","MDPI",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10300705/,hts_quench_current,"Mechanical/electro-thermal quench-protection modeling for HTS pancake coils; directly topical to hts_quench_current sub-topic",accepted_core,"verified via PubMed Central open-access mirror PMC10300705","none found on PMC record","none found on PMC record","CC BY licensed peer-reviewed MDPI Materials article. Accessed 2026-07-28."
P0037,10.1109/tasc.2023.3238987,"Sudden-Discharging Quench Dynamics in a No-Insulation Superconducting Coil","Fangliang Dong; Dongkeun Park; Junseong Kim; Juan Bascunan; Yukikazu Iwasa",2023,"IEEE Transactions on Applied Superconductivity, vol. 33, issue 5, art. 4600105","IEEE",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC9937513/,hts_quench_current,"Sudden-discharge quench dynamics/current redistribution in a no-insulation coil; directly topical to hts_quench_current sub-topic",accepted_core,"verified via NIH PMC author-manuscript mirror PMC9937513 (record states 'Author manuscript; available in PMC'); IEEE Xplore direct access not attempted this session given the established access-failure pattern for ieeexplore.ieee.org","none found on PMC record","none found on PMC record","Metadata (volume/issue/article number, DOI) taken from the PMC citation record for the published IEEE TAS version. Accessed 2026-07-28."
P0038,10.1088/1741-4326/adb0dd,"IntelliMIK: a novel intelligent quench detection method for fusion devices","Qing Yan; Yanlan Hu",2025,"Nuclear Fusion, vol. 65, no. 3, art. 036022","IOP Publishing Ltd on behalf of the IAEA",journal_article,verified,https://iopscience.iop.org/article/10.1088/1741-4326/adb0dd,hts_quench_current,"AI-based quench-detection method for fusion-magnet systems; directly topical to hts_quench_current quench-detection sub-topic",accepted_core,"publisher landing page opened directly","none found","none found","Received 2 Aug 2024, revised 14 Jan 2025, accepted 31 Jan 2025. Accessed 2026-07-28."
P0039,10.1088/1361-6668/ae77b2,"Microwave-based, sensor-free rapid quench detection for rebco-based magnets and power transmission lines","Jian Rong; Harshit Kumar Singh; Lingfeng Zhu; Shengchen Xue; Jithin Sai Sandra; Martha Suarez-Villagran; Jarek Wosik; Venkat Selvamanickam",2026,"Superconductor Science and Technology, vol. 39, no. 6, art. 065017","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6668/ae77b2,hts_quench_current,"Sensor-free rapid quench-detection method for REBCO magnets; directly topical to hts_quench_current quench-detection sub-topic",accepted_core,"publisher landing page opened directly","none found","none found","Single-anonymous review, 1 revision; received 15 Feb 2026, accepted 2 Jun 2026. Accessed 2026-07-28."
P0040,10.1109/tasc.2021.3070240,"Hot-Spot Modeling of REBCO NI Pancake Coil: Analytical and Experimental Approaches","Wooseung Lee; Dongkeun Park; Yoonhyuck Choi; Yi Li; Juan Bascunan; Yukikazu Iwasa",2021,"IEEE Transactions on Applied Superconductivity, vol. 31, issue 5, art. 4603305","IEEE",journal_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC8127627/,hts_quench_current,"Hot-spot analytical/experimental modeling for no-insulation REBCO coils; directly topical to hts_quench_current sub-topic",accepted_core,"verified via NIH PMC author-manuscript mirror PMC8127627; IEEE Xplore direct access not attempted this session","none found on PMC record","none found on PMC record","Metadata taken from the PMC citation record for the published IEEE TAS version. Accessed 2026-07-28."
