# Timestamp convention: no system clock exposed; date 2026-07-28 used for all rows with time NOT_EXPOSED; query_id order = execution order (Q01-Q10 carried unchanged from the accepted pilot; Q11+ are new to this full run).
query_id,topic_stream,platform,query_text,searched_at_utc,result_count,screened_count,notes
Q26,hts_quench_current,WebSearch,"high temperature superconductor current redistribution turn-to-turn contact resistance journal",2026-07-28T NOT_EXPOSED,9,9,"Located IOPscience 2015 terminal-contact-resistance/current-distribution paper, accepted P0035"
Q27,power_conversion,WebSearch,"SiC MOSFET gate driver design journal IEEE Transactions Power Electronics",2026-07-28T NOT_EXPOSED,8,8,"Results were mostly IEEE conference papers and IET journal items (established access-block pattern for IET); no item accepted directly from this query"
Q28,power_conversion,WebSearch,"wide bandgap power converter reliability qualification journal review",2026-07-28T NOT_EXPOSED,9,9,"Found SpringerLink JPE review (same item as pilot exclusion E08, auth-wall) and MDPI Electronics comprehensive review, excluded E16 (HTTP 403)"
Q29,power_conversion,WebSearch,"Micromachines MDPI SiC GaN power converter review PMC",2026-07-28T NOT_EXPOSED,8,8,"Found MDPI Electronics 2019 GaN-HEMT-converter review (not pursued, redundant with other selected items) and several Micromachines special-issue index pages; informed later targeted Micromachines searches"
Q30,power_conversion,WebSearch,"GaN power device current sensing IEEE Access open access journal",2026-07-28T NOT_EXPOSED,9,9,"Located MDPI Sensors three-phase GaN-IC current-sensing paper, accepted P0047 via PMC10383237; other results were IEEE conference papers, not journal articles, not pursued"
Q31,power_conversion,WebSearch,"EMI EMC wide bandgap converter journal Electronics Micromachines open access",2026-07-28T NOT_EXPOSED,8,8,"Found MDPI Electronics EMI-suppression review; mdpi.com direct blocked HTTP 403, excluded E17"
Q32,power_conversion,WebSearch,"hardware-in-the-loop power electronics testing journal open access",2026-07-28T NOT_EXPOSED,10,10,"Found Data in Brief HIL-test-database article via PMC6994824; opened and peer-review-verified but excluded on content-type/scope grounds, E19"
Q33,power_conversion,WebSearch,"magnetics inductor transformer design wide bandgap converter journal review",2026-07-28T NOT_EXPOSED,8,8,"Found MDPI Energies planar-magnetics review, excluded E18 (HTTP 403); also surfaced the piezoelectric-transformer WBG paper accepted P0049 (PMC10761399) and the nonlinear-model current-sensor paper accepted P0048 (PMC10221569)"
Q34,power_conversion,WebSearch,"current sensor shunt Hall closed-loop review journal IEEE Sensors Journal",2026-07-28T NOT_EXPOSED,10,10,"Results dominated by IEEE Xplore items not individually pursued this query (established access-failure pattern); background context only, no item accepted directly from this query"
Q35,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" wide bandgap power converter review",2026-07-28T NOT_EXPOSED,8,8,"Located PMC10386427 (current-sensor integration WBG converters), accepted P0050; and PMC10899663 (hybrid multimodule DC-DC converters), accepted P0051"
Q36,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" GaN gate driver review",2026-07-28T NOT_EXPOSED,6,6,"Located PMC10609112 (vertical GaN MOSFET devices), accepted P0054; PMC11197798 (GaN-on-Si review), accepted P0052; PMC10818513 (p-GaN gate HEMT review), accepted P0053"
Q37,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor current measurement power electronics",2026-07-28T NOT_EXPOSED,9,9,"Located PMC12115906 (elliptical Hall-array current sensing), accepted P0022; PMC5982253 (circular magnetic sensing array), accepted P0023; also re-surfaced PMC10386427 (already selected as P0050)"
Q38,hts_quench_current,WebSearch,""""pmc.ncbi.nlm.nih.gov"" HTS quench detection superconducting coil",2026-07-28T NOT_EXPOSED,6,6,"Located PMC10300705 (mechanical-response quench-protection modeling), accepted P0036; PMC9937513 (sudden-discharging quench dynamics), accepted P0037"
Q39,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor calibration magnetic field",2026-07-28T NOT_EXPOSED,10,10,"Located PMC8401862 (magnetic-field-sensor calibration-algorithms review), accepted P0015; PMC3304160 (CMOS digital Hall sensor), accepted P0016"
Q40,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Rogowski coil current sensor fusion",2026-07-28T NOT_EXPOSED,8,8,"Located PMC7435420 (Rogowski coil for press-pack IGBT), accepted P0055; PMC6806593 (PCB Rogowski coil transient current), accepted P0056; PMC9607237 (TMR+Rogowski composite sensor) noted but superseded by the later, more directly on-point PMC11435727 (P0031) found via Q62"
Q41,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" sensor fusion inductive coil Hall diagnostic",2026-07-28T NOT_EXPOSED,9,9,"Located PMC7288339 (accurate magnetic-sensor system integrated design), accepted P0024; also re-surfaced the Kalman-filter drift-integration paper already known from the pilot (E07)"
Q42,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" magnetic sensor array current imaging conductor",2026-07-28T NOT_EXPOSED,8,8,"Located PMC11397838 (magnetic sensor array for arc reconstruction), accepted P0025; PMC6891350 (rectangular fluxgate current transducer), accepted P0026; PMC5856180 (circular magnetic sensor array error analysis), accepted P0027"
Q43,hts_quench_current,WebSearch,""""pmc.ncbi.nlm.nih.gov"" no-insulation HTS coil quench",2026-07-28T NOT_EXPOSED,8,8,"Located PMC8127627 (hot-spot modeling REBCO NI coil), accepted P0040; PMC7453491 (winding tension NI ReBCO coil), accepted P0041; PMC7500416 (transient behaviors NI REBCO coils), accepted P0042; PMC7596694 (Teion Kogaku bulletin item) excluded E20, peer-review status unresolved"
Q44,hts_quench_current,WebSearch,"IOPscience Superconductor Science Technology quench detection machine learning 2022 2023 2024",2026-07-28T NOT_EXPOSED,5,5,"Located IOPscience IntelliMIK fusion-device quench-detection paper, accepted P0038; and IOPscience microwave-based sensor-free quench-detection paper, accepted P0039; confirmed pilot item P0002 (ae26d7) already in ledger"
Q45,hybrid_diagnostics,WebSearch,"IOPscience Nuclear Fusion magnetic diagnostic Hall probe tokamak 2021 2022 2023",2026-07-28T NOT_EXPOSED,8,8,"Located IOPscience Bayesian WEST-tokamak magnetic-diagnostics paper, accepted P0028; confirmed pilot items P0001/P0003 already in ledger"
Q46,hybrid_diagnostics,WebSearch,"Kalman filter data fusion coil Hall sensor bandwidth journal Review Scientific Instruments",2026-07-28T NOT_EXPOSED,6,6,"Re-surfaced the ScienceDirect FED item (already known blocked, E06) and the MDPI Sensors Kalman-filter item (already known pilot quota exclusion, E07); no new item accepted from this query"
Q47,power_conversion,WebSearch,"silicon carbide power device review classic paper high voltage high temperature IEEE Transactions Electron Devices",2026-07-28T NOT_EXPOSED,10,10,"Located MDPI Micromachines SiC-converters-and-MEMS critical review via PMC6631602, accepted P0057; IEEE classic review items (Shenai 1989, Bhatnagar/Baliga 1991) noted as background but not individually pursued (pre-PMC-era IEEE/ISPSD items, access not attempted)"
Q48,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" GaN power semiconductor device review 2020 2021",2026-07-28T NOT_EXPOSED,10,10,"Located PMC8622694 (GaN-on-Si HEMT breakdown voltage), accepted P0058; PMC8230248 (E/D-mode GaN inverter), accepted P0059; PMC7074802 (Ka-band GaN HEMT) judged off-scope (RF, not power conversion), not pursued"
Q49,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor GaN AlGaN heterostructure characterization",2026-07-28T NOT_EXPOSED,9,9,"Results were mostly ResearchGate/ScienceDirect AlGaN/GaN Hall-sensor items already represented by earlier-accepted items or blocked domains (E01, E02 pattern); no new item accepted directly from this query"
Q50,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" fluxgate sensor magnetic field measurement review",2026-07-28T NOT_EXPOSED,8,8,"NEGATIVE for this corpus: fluxgate-sensor reviews located (e.g. PMC7926354) are outside the hall_metrology/hybrid_diagnostics stream definitions (not Hall-effect or Hall+coil hybrid sensing) and were not pursued or accepted"
Q51,hall_metrology,WebSearch,"AlGaN GaN Micro-Hall Effect Devices Simultaneous Current Temperature Measurements Line Currents DOI IEEE Sensors Journal",2026-07-28T NOT_EXPOSED,10,10,"NEGATIVE: located the specific IEEE Sensors Journal DOI (10.1109/JSEN.2018.2794264) via search snippet only; IEEE Xplore direct access not attempted this session given the established access-failure pattern, and no PMC mirror was located; not accepted"
Q52,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" GaN Hall sensor sensitivity temperature IEEE Sensors Journal",2026-07-28T NOT_EXPOSED,7,7,"Located PMC3274123 (Hall Sensors for Extreme Temperatures), accepted P0017"
Q53,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" magnetoresistive sensor GMR TMR current sensing",2026-07-28T NOT_EXPOSED,8,8,"Located PMC10224531 (multi-stage TMR sensors), accepted P0060; PMC6982712 (differential GMR current sensor), accepted P0061; PMC6515315 (spin-valve GMR quasi-static current measurement), accepted P0062"
Q54,hts_quench_current,WebSearch,""""pmc.ncbi.nlm.nih.gov"" superconducting fault current limiter HTS quench",2026-07-28T NOT_EXPOSED,10,10,"Located PMC9652021 (AIP Applied Physics Letters fault-mode phenomenon in NI magnets), accepted P0043; PMC6695643 (2G HTS tape quenching-characteristics study), accepted P0044"
Q55,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor repeatability reproducibility uncertainty budget",2026-07-28T NOT_EXPOSED,8,8,"NEGATIVE for this corpus: results were general metrology/electrochemistry uncertainty-budget papers, not Hall-sensor-specific; no new item accepted directly from this query"
Q56,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" plasma current diagnostic sensor validation stellarator tokamak",2026-07-28T NOT_EXPOSED,8,8,"Located PMC12609596 (neutron-radiation-effects assessment on a JET fiber-optic current sensor), accepted P0029"
Q57,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall effect sensor linearity nonlinearity temperature drift correction algorithm",2026-07-28T NOT_EXPOSED,9,9,"NEGATIVE for this corpus: results were generic sensor-linearization papers (piezoresistive, inductive-proximity, TMR-micro-magnetic), not Hall-effect-specific; no new item accepted directly from this query"
Q58,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" magnetic field mapping array inverse problem current distribution reconstruction",2026-07-28T NOT_EXPOSED,7,7,"Located PMC9329379 (physics-informed-neural-network magnetic field mapping of inaccessible regions), accepted P0030"
Q59,hall_metrology,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor space radiation proton irradiation effect",2026-07-28T NOT_EXPOSED,9,9,"Located PMC7412317 (TCAD radiation-effects simulation on FD-SOI Hall sensors), accepted P0018; PMC3355420 (gamma irradiation of magnetoresistive sensors), accepted P0019"
Q60,power_conversion,WebSearch,""""pmc.ncbi.nlm.nih.gov"" GaN power amplifier converter efficiency review 2024 2025",2026-07-28T NOT_EXPOSED,9,9,"NEGATIVE for this corpus: all results were RF/microwave GaN power-amplifier papers (wireless power transfer, X-band MMIC, 5G PAs), judged off-scope for power_conversion (RF amplification, not power converters/supplies/current sensing); none accepted"
Q61,hts_quench_current,WebSearch,""""pmc.ncbi.nlm.nih.gov"" superconducting magnet quench protection review high field",2026-07-28T NOT_EXPOSED,9,9,"Located PMC10065139 (National Science Review, mechanical issues in high-field superconducting magnets), accepted P0046"
Q62,hybrid_diagnostics,WebSearch,""""pmc.ncbi.nlm.nih.gov"" Hall sensor array current sensor multi-sensor fusion bandwidth extension",2026-07-28T NOT_EXPOSED,10,10,"Located PMC11435727, the PMC mirror of the pilot's blocked E10 item (TMR+current-transformer signal-fusion sensor); opened, verified, and accepted as P0031, resolving the pilot exclusion"
