claim_id,claim,classification,evidence_path,evidence_locator,status,confidence,notes
C011,"Decision outcome was decline-with-invitation-to-revise-and-resubmit under a new manuscript ID, not a final reject",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,"Letter body, 'we must decline... we invite you to consider submitting a revised manuscript...'",as_stated_in_source,high,"Central fact for the R005/R023 manuscript-route comparison and for C012 below"
C012,"The manuscript was published in 2023 (parent-project claim)",prior_project_claim,../CLAUDE.md;../01_PhD_Research_Folder_Info.md,"'2023 -- IEEE Sensors Letters (1st author, published)'; 'Demonstrated in-situ (2023 Letters)'",contradicted_by_primary_evidence,low,"See 00_CONFLICT_LEDGER.md item C1: inputs/IEEE_submission_bundle_2026-07-02.pdf and inputs/Decision_Letter_IEEE_2026-07-23.pdf show submission 2-Jul-2026 and decline 23-Jul-2026 under Manuscript ID SENSL-26-07-RL-1061, with blank DOI/Associate Editor fields in the manuscript source and no supplied acceptance record for any date"
C013,"The 2026 current-spinning readout 'supersedes the voltage-bias, uncalibrated readout of the 2023... deployment' and is described via a comparison table as achieving 'absolute, Helmholtz + in-situ' calibration",prior_project_claim,../02_HSX_Hall_Sensor_Readout/CLAUDE.md;../02_HSX_Hall_Sensor_Readout/docs/SPECS.md,"CLAUDE.md opening scope line; SPECS.md 2023-vs-2026 comparison table",aspirational_not_yet_achieved,medium,"See 00_CONFLICT_LEDGER.md item C6: NOTES.md/journal show only a resistor-ring-emulator bench test with an open, unresolved ~109x magnitude anomaly; no Helmholtz calibration run exists in the folder; do not treat 'calibrated' as an accomplished fact for the 2026 single-axis system"
C014,"AD8429 in-amp gain: R_G = 60.4 ohm, 'reads approximately 59.8 ohm in-circuit'",measured_value,../02_HSX_Hall_Sensor_Readout/docs/SPECS.md;../02_HSX_Hall_Sensor_Readout/CLAUDE.md,"SPECS.md amplifier spec line",as_stated_in_source,high,"Recorded as a DMM/bench-confirmed as-built value per the project's own notes"
C015,"As-built R9 = R10 = 100 ohm (DMM-confirmed)",measured_value,../02_HSX_Hall_Sensor_Readout/docs/SPECS.md;../02_HSX_Hall_Sensor_Readout/NOTES.md,"SPECS.md; NOTES.md 2026-07-06 entry",as_stated_in_source,high,"Bench-confirmed measured value"
C016,"On 2026-07-08, a dynamic spinning-current bench run on a resistor-ring emulator (20 kHz/20 mA) demonstrated offset cancellation: 686 mV raw offset collapsed to <=5 mV (>=130x suppression)",measured_value,../02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md,"Journal entry, 2026-07-08",as_stated_in_source,medium-high,"Genuine bench measurement, but performed on a resistor-ring emulator standing in for the sensor, not the real GaN Hall die -- do not generalize to 'the sensor is calibrated' without qualification"
C017,"Open unresolved anomaly: measured 0.686 V raw offset vs. a ~75 V predicted rail value (~109x smaller than predicted), logged as top priority with the explicit note not to calibrate against these magnitudes yet",measured_value,../02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md,"Journal entry, 2026-07-08, anomaly note",unresolved_anomaly,high,"Live open blocker as of the latest entry in this folder (no NOTES.md/journal entries after 2026-07-08 exist as of today, 2026-07-24); must be reflected as an open gate in any later stage that references project 02's readiness"
C018,"Project 02 target: HSX stellarator install, target August 2026",proposal,../02_HSX_Hall_Sensor_Readout/CLAUDE.md,"Scope line, 'target August 2026'",planned_not_yet_executed,medium,"No field-deployment evidence exists in the folder; this is a target date, not an achieved installation"
C019,"Project 03 target: submission to Review of Scientific Instruments, ~March 2027",proposal,../03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md,"Header, lines 7-8",planned_not_yet_executed,medium,"Contingent on an Aug/Nov 2026 HSX campaign schedule and Sep/Oct 2026 hardware gates, none of which have occurred as of 2026-07-24"
C020,"Project 03 thesis: 'the first absolutely calibrated, multi-axis (2-3 component) GaN Hall-effect probe operated inside a stellarator, with offset suppression by spinning-current demonstrated in-vessel, and vector output validated quantitatively against the computed vacuum field...'",proposal,../03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md,"Lines 55-60",planned_not_yet_achieved,medium,"Depends on resolving project 02's open calibration blocker (C013/C017) and on completing the unexecuted November 2026 HSX campaign #2; treat as a target claim, not a current result, in any later-stage novelty assessment"
C021,"Project 04's reference_registry.csv contains 122 references with peer-review status largely self-reported by the generating pipeline, independently re-verified via Crossref for only a small subset",prior_project_claim,../04_Magnetic_Sensor_Review_Sensors2026/outputs/reference_registry.csv;../04_Magnetic_Sensor_Review_Sensors2026/outputs/70_bibliography_report.md,"reference_registry.csv (122 rows); 70_bibliography_report.md status breakdown and DOI-verification note",partially_verified_by_source_itself,low-medium,"Per SOURCE_POLICY.md, any row reused toward the 150-paper minimum in stages 10a-10d must be independently re-verified (DOI resolution / publisher record), not counted on the strength of this registry's self-reported status column"
C022,"The 07_HSX_august2025_results archive is the amplified Hall-effect sensor's output with only bias voltage known (other variables unknown)",supplied_fact,inputs/ORIGINAL_REQUEST.txt,"User framing paragraph, final lines",corroborated_by_raw_data_inspection,high,"Confirmed by direct inspection: all scope_*.csv files are two-column second/Volt traces; the only sensor-relevant parameter documented anywhere in the archive is the applied bias voltage (0.2-0.4 V) in test_note.docx; no gain, sensitivity, or calibration factor exists in the archive"
C023,"Governing sensor equations: V_H = S_v x V_bias x B (Hall voltage); V_out = A_v x V_H + V_off (amplified output with offset)",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Numbered equations in Section II/III",as_stated_in_source,high,"Defines the offset term V_off that is the central unresolved calibration unknown referenced throughout C005, C013, C017"
C024,"The co-authored TCAD radiation-sensitivity paper (Van Gorp, Dawes, Zhao, Senesky) is simulation-only and is an early/incomplete draft",supplied_fact,../01_Publications/in_preparation/vangorp_dawes_zhao_senesky_radiation_TCAD_sensitivity_modeling_DRAFT.pdf,"Abstract field still contains unedited IEEE Word-template boilerplate text; body contains unfinished notes (e.g. a stray French comment, 'given by times x?? (formula)')",as_observed,high,"Consistent with the mission scope rule that no experimental (non-simulation) radiation work is planned in Tim's first-author HSX work"
C025,"Core project trajectory: 2023 Sensors Letters (single-axis, uncalibrated) -> 2026 current-spinning calibrated readout (project 02) -> 2026-27 2-3 axis vector probe + RSI paper (project 03) -> co-authored TCAD radiation paper (simulation only)",prior_project_claim,../CLAUDE.md,"Trajectory section, items 1-4",internally_consistent_except_publication_premise,medium,"The sequencing/dependency logic between projects 02, 03, and the TCAD paper is internally consistent across their respective CLAUDE.md/NOTES.md files; the only flagged weakness is the 'published 2023' premise for item 1, per C012 and 00_CONFLICT_LEDGER.md item C1"
