requirement_id,user_requirement,acceptance_test,planned_stage,planned_output,status,notes
R011,"Model safeguard: on first Fable-5 downgrade, pause, regenerate prompt, retry once with Fable 5; on second downgrade, fall back per policy; log every model/effort adjustment (ORIGINAL_REQUEST paragraph 6; MODEL_POLICY.md sections 'Fable final-result integrity policy')",No stage marker exists showing a Fable-assigned stage accepted a non-Fable final result without a logged quarantine + regenerated-prompt retry attempt in state/OPERATION_LOG.csv,all_fable_stages,state/OPERATION_LOG.csv;state/attempts/<stage>.json,not_yet_triggered,"No Fable-assigned stage has run yet in this fresh restart (0/12 complete); mechanism is defined in MODEL_POLICY.md but unexercised as of this stage"
R012,"Second-downgrade fallback: originally requested as automatic 'use codex (mcp) 5.6 sol' (ORIGINAL_REQUEST paragraph 6, paragraph 8); implemented instead as a manual, user-confirmed ChatGPT Windows continuation, never automatic (MODEL_POLICY.md, CLAUDE.md mission contract: 'Do not invoke another AI provider, external agent CLI, or MCP server')","No stage output or log entry shows Claude Code autonomously invoking codex or another AI provider; state/CHATGPT_HANDOFF_STATE.json flags remain manual/false (external_agent_runtime_enabled: false, connector_runtime_enabled: false)",all_stages,state/CHATGPT_HANDOFF_STATE.json;state/CHATGPT_HANDOFF.md,deviated_by_design,"Material deviation from the user's original literal request, made deliberately at mission-setup time for safety/architecture reasons; recorded as unresolved-by-this-stage in 00_CONFLICT_LEDGER.md item C3 (name the controlling evidence, do not silently resolve)"
R013,"20-minute Claude inactivity should automatically switch to Codex (ORIGINAL_REQUEST paragraph 7); PROJECT_STATE.md instead states 'Inactivity timeout: disabled; the user may stop PowerShell manually'",No automatic provider switch after any elapsed-time threshold appears anywhere in CLAUDE.md/MODEL_POLICY.md/EXECUTION_PLAN.md/CHECKPOINT_PROTOCOL.md,n/a,n/a,deviated_by_design,"Same class of deviation as R012 — automatic cross-provider invocation is explicitly forbidden by this mission's own CLAUDE.md operating rules regardless of the original request; flagged, not silently dropped"
R014,"One-command resume with least manual interaction (ORIGINAL_REQUEST paragraph 6: 'I want the least manual interaction, just one command and let claude code finish the rest')","RUN_EVERYTHING.ps1 / RUN_PHD_RESEARCH.ps1 exists at the mission root and can resume from state/attempts and state/markers without re-running completed stages",n/a,RUN_EVERYTHING.ps1;RUN_PHD_RESEARCH.ps1,implemented_unverified,"Both launcher scripts exist at 01_PhD_Research/ and 06_.../ roots per file listing; this stage did not execute them end-to-end or verify resume-from-partial behavior functionally"
R015,"Pre-mission connectivity test ('Before everything starts, I would like to perform a test to see if everything set up correctly')",state/CLAUDE_MODEL_CONNECTION_TEST.json status field equals PASS for both sonnet and fable probes,n/a,state/CLAUDE_MODEL_CONNECTION_TEST.json,complete,"Verified in this stage: status PASS, both claude-sonnet-5 and claude-fable-5 probes returned expected tokens on 2026-07-24T23:12:43-07:00, prior to this stage's start"
R016,"Provide a table of stages and corresponding models (ORIGINAL_REQUEST paragraph 8)",A stage-to-model-and-effort table exists and matches the models actually requested per stage in state logs,n/a,EXECUTION_PLAN.md;MODEL_POLICY.md;MODEL_ROUTING_TABLE.md,complete,"EXECUTION_PLAN.md (mission folder) and MODEL_ROUTING_TABLE.md (parent root, includes ChatGPT-Windows-equivalent column) both satisfy this; verified present and internally consistent with each other in this stage"
R017,"Use the supplied files as ground truth; state conflicts explicitly rather than resolving by convenience (fixed preference)","00_CONFLICT_LEDGER.md exists and names the controlling evidence or explicitly labels an issue unresolved for every material contradiction found",00_inventory,outputs/00_CONFLICT_LEDGER.md,complete,"Satisfied in this stage; see 00_CONFLICT_LEDGER.md, especially item C1 (2023-published claim vs. 2026 decline letter)"
R018,"Do not fabricate, infer, or 'correct' measured values (fixed preference; also CLAUDE.md root-level instruction 'Never invent or correct a measured value')",Every numeric value carried from source data into any Stage-00 output matches its source file byte-for-byte or is explicitly marked as a derived/summary statistic with its source cited,00_inventory,outputs/00_CLAIM_BASELINE.csv,complete,"Checked in this stage: all numeric values quoted in 00_CLAIM_BASELINE.csv and 00_INPUT_INVENTORY.md were copied verbatim from source (manuscript, SPECS.md, NOTES.md, decision letter) with an evidence_locator"
R019,"No new neutron or gamma radiation experiments in scope; radiation work stays confined to the co-authored TCAD simulation paper (fixed preference; parent CLAUDE.md scope rule)",No stage output proposes an experimental (non-simulation) radiation measurement as part of Tim's first-author HSX work,20_direction;40_experiment,outputs/02_RESEARCH_DIRECTION_DECISION.md;outputs/04_HSX_EXPERIMENT_PLAN.md,acknowledged,"Confirmed consistent in this stage: in_preparation/vangorp...TCAD draft is simulation-only (Group B); 03_HSX_Vector_Probe_RSI2026's own plan explicitly restates the same no-radiation scope rule"
R020,"Do not broaden the mission into unrelated startup ideas or unrelated PhD fields (fixed preference)",outputs/06_STARTUP_READINESS.md and outputs/02_RESEARCH_DIRECTION_DECISION.md stay within the GaN/Hall-sensor/fusion-diagnostics domain and the user's own stated 2029/2030 startup timeframe,20_direction;60_timeline,outputs/02_RESEARCH_DIRECTION_DECISION.md;outputs/06_STARTUP_READINESS.md,not_started,"Constraint to be checked at stages 20 and 60"
R021,"Make no external submission, disclosure, email, purchase, filing, account change, or cloud-document mutation (fixed preference; also CLAUDE.md mission contract boundary)","No stage output or tool action in any log sends, submits, uploads, files, purchases, or mutates an external account",all_stages,state/OPERATION_LOG.csv,complete_for_this_stage,"No such action taken in Stage 00; only local read and local write-inside-mission-folder actions performed"
R022,"Treat international-student status as a scheduling/career constraint only, not a basis for immigration or legal advice (fixed preference)",outputs/06_24_MONTH_PHD_ROADMAP.md and outputs/06_STARTUP_READINESS.md discuss visa/status only as a scheduling constraint and contain no immigration-law conclusions,60_timeline,outputs/06_24_MONTH_PHD_ROADMAP.md;outputs/06_STARTUP_READINESS.md,not_started,"Constraint to be checked at stage 60"
R023,"Manuscript options must be compared, not just one prosecuted (mission item 5; MISSION.md 'Compare a revised Sensors Letters submission against... arXiv... and RSI')",Duplicate of R005; retained as a distinct trace row because MISSION.md and the stage-30 prompt both independently state the comparison requirement,30_manuscript,outputs/03_PUBLICATION_ROUTE_DECISION.md,not_started,"See R005; listed separately per the stage-00 prompt's explicit instruction to trace 'manuscript options' as its own item"
R024,"Pre-publication IP screen must occur before any public disclosure decision is finalized (mission item 7 timing constraint: 'before showing it to the publication')","outputs/05_DISCLOSURE_HOLD_CHECKLIST.md exists and stage 50_patent is sequenced before any stage that would recommend public disclosure (arXiv posting, journal submission) is finalized",50_patent,outputs/05_DISCLOSURE_HOLD_CHECKLIST.md,not_started,"EXECUTION_PLAN.md sequences 50_patent (order 9) after 30_manuscript (order 7) and 40_experiment (order 8) but before 60_timeline/70_redteam/80_synthesis, satisfying the ordering constraint on paper"
R025,"Mission completion condition: all EXECUTION_PLAN.md stages pass acceptance checks, the 150-paper ledger passes deterministic validation, independent red-team corrections are incorporated, and outputs/FINAL_AUDIT.md states 'FINAL STATUS: PASS' (MISSION.md 'Completion condition')","outputs/FINAL_AUDIT.md contains the literal string 'FINAL STATUS: PASS' and all 12 stage completion markers exist under state/markers/",80_synthesis,outputs/FINAL_AUDIT.md,not_started,"Terminal acceptance criterion for the whole mission; depends on all R001-R024 rows completing first"
