art_id,type,title,identifier_or_citation,priority_or_publication_date,assignee_or_authors,url,relevant_features,overlap_with_supplied_work,potential_distinction,evidence_accessed,confidence,notes
"PA-P11","patent_application","Integrated multi-axis hybrid magnetic field sensor","WO2011119317A1","published 2011 (priority not captured)","applicant per search result not captured (Everspin-related per Google Patents listing)","https://patents.google.com/patent/WO2011119317A1/en","Hybrid multi-axis sensing combining two magnetoresistive elements (in-plane axes) with a Hall element (out-of-plane axis)","Context art for CC-3/CC-4: mixed-technology vector sensing in one module","Mixed MR+Hall on-chip; not fusion, not discrete cube, not spun GaN. Included to show 'hybrid multi-axis magnetic sensor' phrasing is pre-occupied","Search-result metadata only (Google Patents listing); record page not fetched","medium","Metadata-only row; verify full record before any reliance beyond keyword-landscape awareness"
"PA-N01","journal_article","A low-offset spinning-current Hall plate","Munter, Sensors and Actuators A, 1990; DOI 10.1016/0924-4247(89)80069-X","1990","P.J.A. Munter","https://doi.org/10.1016/0924-4247(89)80069-X","Origin of the spinning-current offset-cancellation principle for Hall plates","Anticipates the physical principle of CC-2's offset cancellation entirely","None - foundational NPL prior art; must be cited, cannot be claimed around","Verified in mission source ledger (S0033)","high","36-year-old core art; stage 20 SS5 already flags spinning-current as expressly not novel"
"PA-N02","conference_paper","Limits of offset cancellation by the principle of spinning current Hall probe","Ausserlechner, Proc. IEEE Sensors 2004; DOI 10.1109/ICSENS.2004.1426372","2004","U. Ausserlechner (Infineon)","https://doi.org/10.1109/ICSENS.2004.1426372","Theory of residual offset limits in spinning-current probes","Bounds what CC-2 can claim about achievable offset suppression (the ~109x anomaly investigation C017 sits inside this known theory)","None - analytic prior art on the same mechanism","Verified in mission source ledger (S0041)","high",""
"PA-N03","journal_article","Micro-Tesla Offset in Thermally Stable AlGaN/GaN 2DEG Hall Plates Using Current Spinning","Dowling et al., IEEE Sensors Letters, 2019; DOI 10.1109/LSENS.2019.2898157","2019 (arXiv 1812.00363 also public)","K. M. Dowling, H. S. Alpert et al. (Stanford Senesky group)","https://doi.org/10.1109/LSENS.2019.2898157","Current spinning applied to AlGaN/GaN 2DEG Hall plates achieving micro-tesla offset; thermal stability","The single closest NPL to CC-2: the advisor group itself already published spun GaN 2DEG Hall plates in 2019. Any CC-2 claim reciting 'spinning current on a GaN 2DEG Hall plate' is anticipated by the group's own art","Only system/application-level combinations (external discrete chain, in-vessel fusion deployment, floating bias loop) survive this reference even conditionally","Verified in mission source ledger (S0005); arXiv version confirmed public via search","high","Also a >1-year-old public disclosure by the same research group - a central fact for counsel's novelty analysis of CC-2"
"PA-N04","journal_article","Effect of Geometry on Sensitivity and Offset of AlGaN/GaN and InAlN/GaN Hall-Effect Sensors","Alpert et al., IEEE Sensors Journal, 2019; DOI 10.1109/JSEN.2019.2895546","2019","Alpert, Dowling et al. (Stanford Senesky group)","https://doi.org/10.1109/JSEN.2019.2895546","GaN Hall plate geometry incl. the octagonal plate family used in the deployed die","The deployed sensor die design lineage is published by the group (manuscript ref10 cites it for the octagon geometry)","Device geometry cannot be claimed; supports 'existing topology' framing of MISSION preference","Verified in mission source ledger (S0004)","high",""
"PA-N05","journal_article","Sensitivity of 2DEG-based Hall-effect sensors at high temperatures","Alpert et al., Review of Scientific Instruments, 2020; DOI 10.1063/1.5139911","2020","Alpert, Chapin, Dowling et al. (Stanford Senesky group)","https://doi.org/10.1063/1.5139911","High-temperature current-scaled sensitivity stability of 2DEG Hall sensors (to 576 C)","Publishes the why-GaN temperature argument used in the manuscript introduction","Argument is citable motivation, not claimable subject matter","Verified in mission source ledger (S0006)","high",""
"PA-N06","journal_article","High Temperature Hall Effect Sensors Based on AlGaN/GaN Heterojunctions","Lu et al., Journal of Applied Physics, 2006; DOI 10.1063/1.2201339","2006","Lu, Sandvik et al. (GE)","https://doi.org/10.1063/1.2201339","AlGaN/GaN heterojunction Hall sensors for high temperature (industrial origin, 2006)","20-year-old anticipation of the GaN-Hall-for-harsh-environment premise of CC-1/CC-2","None at device level","Verified in mission source ledger (S0017)","high",""
"PA-N07","journal_article","Robust Hall Effect Magnetic Field Sensors for Operation at High Temperatures and in Harsh Radiation Environments","Abderrahmane et al., IEEE Trans. Magnetics, 2012; DOI 10.1109/TMAG.2012.2196986","2012","Abderrahmane et al.","https://doi.org/10.1109/TMAG.2012.2196986","GaN 2DEG Hall sensors stable to 400 C and after 380 keV proton irradiation","Publishes the radiation-tolerance headroom argument (outlook-only in Tim's scope)","None; motivational citation","Verified in mission source ledger (S0002)","high",""
"PA-N08","thesis","Offset and noise behavior of microfabricated AlGaN/GaN 2DEG Hall-effect sensors","Dowling, Ph.D. dissertation, Stanford University, 2019 (manuscript ref15)","2019","K. M. Dowling (Stanford Senesky group)","","Offset physics and noise of the exact GaN 2DEG Hall sensor family; basis for V_off understanding in the manuscript","Public dissertation from the same group covering offset behavior CC-2 addresses","Thesis art further constrains offset-related claims; also relevant to inventorship history questions","Cited as ref15 in supplied manuscript; public availability of Stanford dissertations assumed, not independently re-verified","medium","Counsel should obtain and review the dissertation's readout chapters before drafting anything on CC-2"
"PA-N09","journal_article","Metal Hall sensors for the new generation fusion reactors of DEMO scale","Bolshakova et al., Nuclear Fusion, 2017; DOI 10.1088/1741-4326/aa7867","2017","I. Bolshakova et al.","https://doi.org/10.1088/1741-4326/aa7867","Gold-film metal Hall sensors engineered for DEMO-scale radiation/temperature","Fusion in-vessel Hall sensing lineage; bounds CC-1's 'Hall in fusion' breadth","Tim's work differs in material system (GaN 2DEG) and facility class (stellarator), not in the concept of in-vessel Hall diagnostics","Verified in mission source ledger (S0066)","high",""
"PA-N10","journal_article","Long term operation of the radiation-hard Hall probes system and the path toward a high performance hybrid magnetic field sensor","Quercia et al., Nuclear Fusion, 2022; DOI 10.1088/1741-4326/ac8aad","2022","Quercia, Pironti, Bolshakova, et al. (JET)","https://doi.org/10.1088/1741-4326/ac8aad","11+ year JET InSb Hall system at 0.07% stability; explicitly proposes a hybrid Hall+coil combined probe for in-vessel use (DTT/COMPASS-U path)","Direct NPL anticipation of CC-4's hybrid concept in the fusion context, published 2022","CC-4 could differ in estimator detail (Kalman drift-state), sensor material, and stellarator deployment - all conditional and narrow","Verified in mission source ledger (S0068)","high","The 'hybrid probe' language in this paper is the key reference counsel must read against CC-4"
"PA-N11","journal_article","The magnetic field configuration measurement on EAST tokamak","Shen et al., Fusion Engineering and Design, 2009; DOI 10.1016/j.fusengdes.2008.07.045","2009","B. Shen et al. (EAST)","https://doi.org/10.1016/j.fusengdes.2008.07.045","Hall-sensor-based field configuration measurement on a superconducting tokamak","In-vessel/around-vessel fusion Hall measurement precedent","Facility and material differences only","Verified in mission source ledger (S0069)","high",""
"PA-N12","journal_article","Measurement of safety factor using Hall probes on CASTOR tokamak","Kovarik et al., Czechoslovak Journal of Physics, 2006; DOI 10.1007/s10582-006-0185-4","2006","Kovarik, Duran, Bolshakova et al.","https://doi.org/10.1007/s10582-006-0185-4","In-vessel Hall probe measurements inside a tokamak (CASTOR)","20-year-old in-vessel fusion Hall deployment precedent bounding CC-1","Material system and stellarator context differ","Verified in mission source ledger (S0070)","high",""
"PA-N13","journal_article","Magnetic measurements using array of integrated Hall sensors on the CASTOR tokamak","Duran et al., Review of Scientific Instruments, 2008; DOI 10.1063/1.2971209","2008","Duran, Hronova, Stockel et al.","https://doi.org/10.1063/1.2971209","Array of integrated Hall sensors operated on CASTOR","Multi-sensor in-vessel Hall arrays predate CC-3's multi-die ambitions","Vector (orthogonal-axis) probe vs spatial array; GaN; spinning - conditional distinctions","Verified in mission source ledger (S0117)","high",""
"PA-N14","journal_article","Development of the ITER magnetic diagnostic set and specification","Vayakis et al., Review of Scientific Instruments, 2012; DOI 10.1063/1.4732077","2012","Vayakis et al. (ITER)","https://doi.org/10.1063/1.4732077","ITER's magnetic diagnostic architecture incl. the 60-unit steady-state Hall array decision","Institutional-scale precedent for Hall-in-fusion; bounds any architecture-level claim breadth","None at concept level","Verified in mission source ledger (S0113)","high",""
"PA-N15","journal_article","Steady state magnetic sensors for ITER and beyond: Development and final design (invited)","Kocan et al., Review of Scientific Instruments, 2018; DOI 10.1063/1.5038871","2018","Kocan, Duran, Entler, Vayakis et al.","https://doi.org/10.1063/1.5038871","Final design of ITER outer-vessel steady-state (bismuth Hall) sensors incl. qualification approach","Shows a complete engineered fusion Hall sensor system incl. packaging/qualification published in detail","Distinctions limited to material, readout (spinning), and stellarator context","Verified in mission source ledger (S0114)","high",""
"PA-N16","journal_article","Antimony Hall sensors with W-Ti diffusion barriers for long-pulse operations in ITER and DEMO","Duran et al., Plasma Physics and Controlled Fusion, 2026; DOI 10.1088/1361-6587/ae6c59","2026","Duran, Entler, Vilemova et al.","https://doi.org/10.1088/1361-6587/ae6c59","Current-generation fusion Hall sensor materials engineering (Sb with diffusion barriers)","Freshest fusion-Hall art; the field is actively publishing sensor-level improvements","Tim's claims must avoid sensor-materials territory entirely (his die is an existing topology)","Verified in mission source ledger (S0112)","high",""
"PA-N17","journal_article","Ceramic-Chromium Hall Sensors for Environments with High Temperatures and Neutron Radiation","Entler et al., Sensors, 2021; DOI 10.3390/s21030721","2021","Entler, Soban, Duran et al.","https://doi.org/10.3390/s21030721","High-temperature ceramic-packaged Hall sensors for fusion-relevant environments","Ceramic packaging of fusion Hall sensors is published art bounding CC-1's packaging claims","CC-1's specific stack (LCC + Al wedge + EPO-TEK 353ND + 150 C vacuum bake + zirconia holder + grounded graphite GDC shield) is a different, more specific combination - conditional distinction","Verified in mission source ledger (S0153)","high",""
"PA-N18","journal_article","Hall probe measurements of the poloidal magnetic field in Compact Toroidal Hybrid plasmas","Stevenson et al., Review of Scientific Instruments, 2014; DOI 10.1063/1.4894209","2014","Stevenson, Knowlton, Hartwell et al. (CTH)","https://doi.org/10.1063/1.4894209","GaAs Hall array in a non-axisymmetric device validated against Biot-Savart computed vacuum fields","The closest NPL to CC-5: comparing in-vessel Hall output against computed vacuum field is published methodology (stage 20 calls it the validation paradigm the field accepts)","CC-5 could differ only in specifics: surveyed-pose matrix-calibrated vector anchor, traceable uncertainty chain, QHS stellarator - conditional, method-detail-level distinctions","Verified in mission source ledger (S0143)","high","This reference makes any broad method claim on 'validate in-vessel Hall against computed vacuum field' unavailable"
"PA-N19","journal_article","Sensor fusion and magnetic drift estimation in magnetic measurements using Kalman filter for long-duration plasma operations","Kim et al., Nuclear Fusion, 2025; DOI 10.1088/1741-4326/adb599","2025","J. Kim, J. Kim, Ghim et al. (KSTAR)","https://doi.org/10.1088/1741-4326/adb599","Kalman-filter fusion of inductive coils and Hall sensors with drift-state estimation on a fusion device","Direct, recent NPL anticipation of CC-4's algorithmic core (Kalman coil+Hall drift correction in fusion)","Only stellarator deployment, GaN sensing element, and implementation details remain as conditional distinctions","Verified in mission source ledger (S0118)","high","Published 2025 - fresh art; also a falsifiability trigger tracked by stage 20 SS11"
"PA-N20","journal_article","Data fusion of magnetic coils and Hall sensors using Kalman filtering","Ivanek et al., Fusion Engineering and Design, 2025; DOI 10.1016/j.fusengdes.2025.115180","2025","Ivanek, Duran, Entler et al. (COMPASS lineage)","https://doi.org/10.1016/j.fusengdes.2025.115180","Kalman data fusion of coils + Hall sensors for fusion magnetics","Second independent 2025 anticipation of CC-4's core","Same as PA-N19: only narrow implementation/deployment distinctions remain","Verified in mission source ledger (S0122)","high",""
"PA-N21","journal_article","Drift-Free Integration in Inductive Magnetic Field Measurements Achieved by Kalman Filtering","Arpaia et al., Sensors, 2021; DOI 10.3390/s22010182","2021","Arpaia, Buzio et al. (CERN lineage)","https://doi.org/10.3390/s22010182","First-order Kalman fusion of coil + Hall probe (and coil + excitation current) removing integrator drift by three orders of magnitude","Non-fusion-facility NPL anticipation of the CC-4 estimator, incl. the coil-current-as-reference variant that CC-5/CC-6 conversions echo","None at estimator level","Verified in mission source ledger (S0179)","high",""
"PA-N22","journal_article","Integrator Drift Compensation of Magnetic Flux Transducers by Feed-Forward Correction","Amodeo, Arpaia, Buzio, Sensors, 2019; DOI 10.3390/s19245455","2019","Amodeo, Arpaia, Buzio","https://doi.org/10.3390/s19245455","Feed-forward integrator-drift compensation for flux transducers","Alternative (non-Kalman) drift-correction art bounding CC-4","None","Verified in mission source ledger (S0180)","high",""
"PA-N23","journal_article","Traceably Calibrated Scanning Hall Probe Microscopy at Room Temperature","Gerken et al., Journal of Sensors and Sensor Systems, 2020; DOI 10.5194/jsss-9-391-2020","2020","Gerken, Solignac et al. (PTB lineage)","https://doi.org/10.5194/jsss-9-391-2020","Metrologically traceable Hall probe calibration with written uncertainty budget","The traceable-calibration methodology CC-5/WP-C follows is published metrology practice","Practice, not claimable subject matter; supports the 'thin claims' assessment","Verified in mission source ledger (S0051)","high",""
"PA-N24","journal_article","Three-Axis Teslameter With Integrated Hall Probe","Popovic et al., IEEE Trans. Instrumentation and Measurement (Senis/EPFL lineage)","2007 (per publisher PDF; not independently dated beyond title page)","R. S. Popovic et al. (Senis AG)","https://www.senis.swiss/wp-content/uploads/2023/02/ieee-transactions-on-instrumentation-and-measurement_popovic.pdf","First commercial fully integrated 3-axis Hall probe (planar + vertical Hall elements, single chip, 0.1 deg orthogonality); Senis also markets discrete 3-axis Hall probes and mapped ITER magnets","Commercial vector-Hall art bounding CC-3: precision 3-axis Hall probes with calibrated orthogonality are an established product category (incl. fusion-adjacent use)","CC-3's distinctions are environment-specific: UHV/high-temp GaN dies, cube-of-LCC package, in-vessel deployment, synchronized external spinning - each conditional","Publisher PDF hosted by Senis accessed via search 2026-07-25; DOI not independently verified","medium","Popovic lineage holds ~95 patent applications (per Senis materials); a professional FTO search around Senis/Sentron vertical-Hall and probe-packaging patents is advisable before any CC-3 filing"
