requirement_id,reviewer_or_science_driver,measurement,minimum_design,preferred_design,hardware_or_signal_needed,replicates,independent_variable,dependent_variable,acceptance_metric,uncertainty_component,dependency,priority,fallback_if_unavailable
B-05,"AE-07 (noise); WP-A noise-floor column; project 02 plan Week 1","Bench noise floor: PSD of demodulated output with emulator attached (zero field by construction), expressed in V/sqrt(Hz) and, after calibration, uT/sqrt(Hz)","Single long capture at chosen f_spin and blanking; Welch PSD; noise floor at 1 kHz ENBW quoted","PSD at f_spin = 10/40/100 kHz and at >=2 bias currents; spur inventory of DC/DC switching lines; comparison against AD8429 + source-impedance noise model","Board #1, emulator plug, Pico 2, scope (all exist); real-die repeat needs the packaged sensor (inventory gate I-4)",">=3 independent captures per configuration","frequency; f_spin; bias current","noise spectral density","Noise floor quoted with method and ENBW; consistency with the amplifier noise model discussed (factor-of-2 agreement expected, not enforced); SPECS expectation ~25-30 uT rms at 1 kHz ENBW tested, not assumed","Noise term in the field-uncertainty budget","B-01","P1","Emulator-only noise floor if the real die is unavailable, labeled as chain-noise (not sensor-noise) measurement"
B-06,"AE-07 parasitics; AE-08 packaging/system framing; project 02 plan sections 2.7 and Week 4","Parasitic and settling characterization: mux charge-injection glitch amplitude/settling time vs f_spin, blanking-fraction study, and long-cable/feedthrough-equivalent capacitance test","Glitch/settling capture at phase edges at 3 spin rates; blanking fraction chosen and documented; one long-cable (10-20 m harness-type) re-check","Add packaging-parasitic estimate for bond+LCC path (step-response method with geometry-based L/C estimate); quantify settling change vs cable length","Board #1 + emulator + scope (exist); representative long cable (procurement status NOT ESTABLISHED - inventory gate I-7); LCR meter NOT ESTABLISHED - step-response fallback is the plan",">=3 captures per configuration","f_spin; cable length; phase edge","glitch amplitude, settling time, residual offset after blanking","Chosen f_spin + blanking documented with data; settling margin at HSX cable length demonstrated before campaign; any packaging-parasitic novelty claim (AE-08) made only if measured","Residual-offset and settling terms; feeds failure-mode register","B-01","P1","If no long cable available: bound the effect with added discrete capacitance equal to estimated harness C, labeled as emulated"
C-01,"AE-04/R1-01 calibration traceability; S0051 norm (doi.org/10.5194/jsss-9-391-2020)","Helmholtz coil build and coil-constant triangulation: geometry+shunt (primary), AC pickup coil, commercial reference sensor cross-check","Build per SPECS recipe (R = 50 mm, N = 100/coil, k about 1.8 mT/A); geometry + 0.1% shunt determination of k with written uncertainty","All three methods (geometry, AC pickup, commercial sensor) agreeing within their stated uncertainties per plan section 7.2","All to be procured/built (~$90 shopping list, plan section 7.4 - NOT yet purchased): magnet wire, printed former + cradle, 1 Ohm 0.1% shunt, REF200 source, DRV5055A1/TLE493D/MLX90393 breakouts; DMM + bench supply asserted existing (inventory gate I-1)","3 independent methods; >=3 repeat determinations for the primary method","coil current I","field B at center (via each method)","k determined with u(k)/k <= 2% (plan target 1.5-2%); three methods consistent within combined uncertainties; disagreement resolved before use, not averaged away","Coil-constant term u(k)/k - the expected dominant term in the absolute budget","B-01 (gate G1); purchases","P0","No commercial gaussmeter is established as available; the calculable-standard route (geometry+shunt) is deliberately the primary; if reference breakouts unavailable, two-method triangulation with wider stated uncertainty"
C-02,"AE-01/AE-04/R1-01/R2-02 (absolute calibration - the P0 core); WP-C","DC calibration of the real GaN die in current-bias mode: demod output vs B, bipolar sweep, up and down","Bipolar >=11-point sweep over +/-2.7 mT at 100 uA (per plan Week 3); fit slope m [V/T], intercept, residuals","Same sweep repeated on >=3 separate days with full remount (feeds D-02); training/held-out point split per plan section 7.3","Helmholtz bench (C-01); board #1; packaged GaN die (inventory gate I-4: deployed-module location and health NOT ESTABLISHED FROM SUPPLIED FILES); floating 100 uA source (REF200 to be purchased or SMU if available - gate I-2)",">=11 field points x up/down x >=3 sweep repetitions","applied B (bipolar)","demodulated output (V)","Absolute sensitivity m with u(m)/m <= 2%; linearity residuals < 0.5% of full scale (plan targets); slope sign fixed vs known magnet polarity","Sensitivity term u(m)/m; linearity term; enters every tesla-denominated claim","B-01, B-02, C-01, I-4","P0","If no packaged die is available at bench (all at UW or damaged): STOP - this is a blocking gate to escalate to advisor/UW, not to engineer around; no tesla claim without it"
C-03,"AE-01/AE-05 retroactive conversion of the 2025 dataset (Fig. 5 in field units)","Voltage-bias-mode sensitivity: S_v of the deployed-generation die at the 2023 deployment bias settings (0.2/0.3/0.4 V), replicating the deployed configuration as closely as bench allows","S_v at three bias voltages via Helmholtz sweep using the same die generation and a documented amplifier chain; conversion chain to the deployed G = 200 configuration stated explicitly","Same measurement on the actual deployed die and, if it still exists (gate I-6), the actual 2023 INA849+2xOPA814 chain","Helmholtz bench (C-01); the deployed die or a same-wafer sibling (gate I-4/I-5); voltage-bias source (scope wavegen per 2023 method, asserted available); chain per gate I-6",">=11 points x up/down per bias setting; >=2 sweep repetitions",applied B,"output voltage before/after amplification","S_v (V/V/T) at each deployed bias setting with uncertainty; same-die vs sibling-die basis stated in every downstream use","Retroactive-conversion sensitivity term; die-transfer assumption term (widened if sibling die used)","C-01, C-02, I-4/I-5/I-6","P0","Sibling-die calibration + die-to-die spread bound from D-01 as the transfer uncertainty, clearly labeled; if no die of the deployed generation is available, the 2025 traces stay in volts and AE-05 is answered with bounds only if E-02/F-01 provide an independent field scale"
C-04,"Bias-scaling physics check (current-scaled sensitivity assumption); project 02 plan Week 3","Sensitivity vs bias current: m at I = 50/100/200/500 uA","Four-point m(I) with linear fit through origin","Add noise-vs-I at each point to choose the HSX operating current deliberately","Helmholtz bench; board #1; die; adjustable current source (gate I-2)",">=2 sweeps per current",bias current I,"slope m(I)","m proportional to I within fit CI; HSX bias point chosen and recorded","Bias-current term u(I)/I (0.1% class via shunt)","C-02","P1","If only a fixed 100 uA source exists: single-current calibration with the linearity-in-I assumption cited to prior GaN characterization (S0006/S0017) and flagged as assumed, not measured"
C-05,"Offset - the headline improvement over 2023 (V_off unknown, C005); R2-02","Zero-field residual offset of the spun readout with the real die, using 180-degree flip pairs to remove ambient field; raw (unspun) plate offset via mode-2 static measurement for the same die","Demodulated residual offset b with flip-pair averaging; raw offset at 100 uA via measure_chopped()","Add residual-vs-f_spin map and emulator-vs-die comparison to separate chain residual from die-specific contact effects","Board #1 + die (gate I-4); mode-2 firmware first hardware validation; no field source needed (zero-field)",">=5 repeated determinations (spread is the point)","flip orientation (0/180 deg); f_spin","residual offset b (V and uT equivalent)","b quoted with spread; suppression factor vs raw offset quoted; claim language keeps emulator result (C016) and die result strictly separate","Offset/intercept term u(b); dominates near-zero-field claims","B-01; I-4","P0","None for the die measurement itself (no die = C-02 stop); emulator-only residual is already on record (C016) and may be cited only as readout-architecture validation"
C-06,"Hysteresis characterization (stage prompt requirement; supports linearity claim)","Field-sweep hysteresis: up-sweep vs down-sweep output difference over the bipolar range","Hysteresis extracted from the C-02 up/down sweeps (no extra bench time)","Add a slow full-cycle loop at >=3 sweep rates to separate thermal lag from magnetic/electronic hysteresis","Same as C-02","Contained in C-02 replicates","sweep direction and rate","output difference at matched fields","Hysteresis < 0.5% of full scale or honestly quantified and included in the budget","Hysteresis term (folded into linearity if small)","C-02","P1","n/a - free by-product of C-02"
C-07,"Temperature dependence (S_v/S_I and offset); AE-01 credibility for in-vessel use; 2023 claim I5 context","Temperature characterization 25-100 degC: residual offset b(T) and sensitivity m(T) of die + chain; emulator on the same profile as control","Hotplate/oven steps 25/50/75/100 degC; b and m at each step","Add one calibration sweep at elevated T (per plan section 7.3 held-out protocol) and bond the emulator control run","Hotplate or oven (availability NOT ESTABLISHED FROM SUPPLIED FILES - inventory gate I-8); Helmholtz coil must tolerate or exclude the heat path (fixture design note); die + board + bench",">=2 temperature cycles (repeatability of the coefficients)","temperature","b(T), m(T)","Temperature coefficients quoted with CI; in-vessel ΔT bound stated (F-05 or assumption); coefficients enter the budget, not just the text","Temperature term: (dm/dT)*u(ΔT) and (db/dT)*u(ΔT)","C-02; I-8","P1","If no hotplate/oven: cite prior GaN temperature stability (S0006 to 576 degC) as external evidence, measure nothing, and carry an explicit worst-case temperature term using literature coefficients - labeled as literature-derived"
C-08,"Long-sequence stability/drift (2023 V_off criticism; long-pulse credibility); S0168 Allan norm (doi.org/10.1109/TIM.2007.908635)","Overnight zero-field drift: Allan deviation of the demodulated output; parallel mode-2 log of the un-spun channel to show what spinning buys","> = 12 h overnight log at zero field, Allan deviation plot, bias-instability floor identified","Repeat on >=3 nights; add temperature co-logging to attribute drift","Board #1 + die; mode-2 firmware validated (B-02 preferred design); no field source; room-temperature logging",">=1 overnight run minimum; >=3 preferred","averaging time tau","Allan deviation sigma(tau)","Allan curve published-quality with knee identified; drift claim quantified in uT over stated interval; spun-vs-static difference shown","Drift term for shot-sequence and long-pulse claims","B-01; I-4","P1","Single-night run with the limitation stated; emulator-only version measures chain drift alone and is labeled as such"
D-01,"AE-03/R2-02 fabrication repeatability (P0); WP-B; S0218 statistics template (doi.org/10.3390/jsan2010085)","Multi-die repeatability: raw offset (mode 2) and sensitivity m (Helmholtz spot-sweep) across >=3 packaged dies of the same fabrication lineage","Raw-offset survey across >=3 packaged dies at 100 uA; sensitivity spot-check (>=5-point sweep) per die; mean, SD, and worst-case spread reported",">=5 dies including >=1 gen-2 (if fabricated) and >=2 2023-generation, full C-02-style sweep per die","> = 3 packaged dies (die count and gen-2 status = advisor decision 3, stage 20 section 10 - NOT ESTABLISHED; stage 30's matrix cites the same gate as advisor question 4, a numbering slip noted here); LCC packages + wedge-bond access for any unpackaged dies (assembly-lab process per stage 20 section 7; bonder access NOT ESTABLISHED - inventory gate I-5); Helmholtz bench; mode-2 setup",">=3 dies (the AE's own requested number); >=3 repeat measurements per die to separate within-die from between-die variance","die ID (and generation)","raw offset; sensitivity m","Between-die SD and range quoted with n; within-die repeatability quoted; single-module 2025 deployment rationale documented from team record (never invented)","Device-to-device variance component; transfer term for any sibling-die argument (C-03 fallback)","I-4/I-5 (die supply - advisor gate); C-01; B-01","P0","Honest single-device fallback: (a) repeated remount/recalibration of the one available module (D-02) quantifies operational repeatability only; (b) prior-literature die statistics cited (S0004, S0218); (c) manuscript explains why one module was deployed (team record) and states the fabrication-repeatability limitation verbatim - per the uncertainty plan's limitations language"
D-02,"Separates setup/remount variance from device variance; protects D-01 interpretation","Module/setup repeatability: full remove-remount-recalibrate cycle on one die in the cradle fixture","> = 3 remount cycles with a C-02-style sweep each; SD of m and b across cycles","Add >=1 thermal cycle (bake-profile representative) between remounts","Helmholtz bench + cradle (C-01 build includes the printed cradle); one packaged die (gate I-4)",">=3 remount cycles","remount cycle index","m and b per cycle","Setup-repeatability SD quoted; shown smaller than (or honestly compared to) between-die spread in D-01","Reproducibility variance component (enters replication logic)","C-01, C-02","P1","n/a once C-02 runs; if only one die exists this IS the repeatability evidence (see D-01 fallback)"
D-03,"Channel/board repeatability for the vector instrument (RSI genre); project 03 section 2.3","Board-to-board gain/phase skew: emulator measured on all three hsx_2026_v1 copies with shared clock","Emulator + DeltaV gain check per board; inter-board gain spread and demod phase alignment","Full B-02/B-05 suite per board","Boards 2-3 exist only as gerbers + parts plan (NOT built - project 03 plan section 2.3: budget real bench days); shared-clock fan-out wiring",">=3 measurements per board","board ID","gain, phase skew, residual offset","Inter-board spread quoted; matrix calibration absorbs it (project 03 section 3.2) - measured, not assumed","Channel-gain variance for vector reconstruction","Boards built (project 03 Sep 2026 gate G3); B-01","P2","Single-board results only; vector-probe claims deferred (this is RSI-package scope, not SENSL scope)"
E-01,"R1-02 class ('conventional field probe') - bench-feasible half; C-01 method 3","Bench cross-check against independent commercial field sensors: DRV5055A1 (analog) and/or TLE493D/MLX90393 (digital) read at the Helmholtz center","One commercial reference at >=5 field points compared against geometry+shunt prediction","Two independent references plus agreement matrix among all methods and the GaN result","Reference breakouts (to be purchased, ~$15, plan section 7.4); Pico I2C bus (exists); Helmholtz bench","> = 5 field points x >=2 references x >=2 runs","applied B","reference-sensor reading vs predicted B","All methods agree within stated class uncertainties (2-5% for the references); GaN calibration shown consistent with an independent physical standard","Cross-check consistency (validates u(k), does not replace it)","C-01","P1","Geometry+shunt + AC pickup coil two-method triangulation with the limitation stated; a borrowed calibrated gaussmeter is preferred if genuinely available but is NOT ESTABLISHED and must not be assumed"
E-02,"R1-02 (direct 1:1 comparison vs B-dot/Mirnov in HSX) - the named reviewer alternative; WP-D seed","UW data request: do co-located B-dot/Mirnov/pickup-coil records exist for the Aug-2025 shots, at what channel positions and sampling, and can they be shared?","Written request (advisor-authorized July UW email, stage 20 section 10 item 4) enumerating shots 9-68 and the diamagnetic-loop channel already used","Same plus HSX archive sizing question (prices the OPT3 fallback) and campaign #1 co-located channel reservation","None (email/authorization only) - advisor gate; UW response","n/a (data request)","n/a","existence + access to co-located 2025 records","Binary gate resolved and logged: records exist/do not exist; if yes, comparison moves to analysis (see 04_DATA_ANALYSIS_PLAN.md section 6); if no, comparison moves to campaign #1 (F-03)","Enables the 1:1 residual analysis; no uncertainty term until data exists","Advisor authorization (stage 20 decision 4)","P0","If UW holds no 2025 co-located records: plan the co-located measurement in campaign #1 (F-03) and make no bound claim now - per stage 30 matrix R1-02 note"
E-03,"Helmholtz ceiling (2.7 mT) vs HSX field (~0.5 T) - a ~185x extrapolation the budget must not hide","High-field linearity extension: either a borrowed electromagnet + calibrated gaussmeter session, or the HSX coil-only anchor (F-01) as the in-situ high-field point","State the extrapolation limitation explicitly with the 2DEG linearity literature cited; rely on F-01 for the high-field anchor","Borrowed electromagnet + gaussmeter session to >=0.1 T with >=5 points (access implied by prior group high-T Hall work per plan section 7.2.4 - an inference, NOT ESTABLISHED)","Electromagnet + gaussmeter (borrow - gate I-9); else F-01 campaign anchor","> = 5 points if bench path; >=3 settings x >=3 shots if F-01 path","applied B (high range)","output linearity vs low-field slope","Either a measured high-field point chain or an explicit extrapolation-limitation statement in every tesla claim about HSX-scale fields","Linearity-extrapolation term (dominant systematic if unmeasured)","C-02; I-9 or F-01","P1","Extrapolation limitation stated in text + F-01 anchor as the only high-field evidence; never silently extrapolate the 2.7 mT calibration to 0.5 T"
F-01,"AE-01 absolute-output in the machine; S0143 validation paradigm (doi.org/10.1063/1.4894209); project 03 section 3.3","Coil-only absolute anchor: measured field at the probe vs computed vacuum field from coil currents at a surveyed pose, at multiple field settings","2 field settings x >=3 repeated coil-only shots, single axis (campaign #1, Aug 2026 target)","3 settings x >=3 shots plus a half-field QHS configuration point (mirrors 2025 shot types)","HSX shot time (C018 - planned, NOT confirmed); UW vacuum-field computation at the probe pose (advisor/UW gate); installed sensor + readout; coil-current logs from HSX","> = 3 shots per setting (repeatability of the anchor); >=2 settings (tests scale linearity in-machine)","coil-current setting","measured B vs computed B_vac at pose","Measured/computed ratio with combined uncertainty; agreement within the joint budget (target <=2-3% per project 03 section 3.4) or discrepancy investigated, not averaged","In-situ anchor term; validates the bench-to-machine transfer","Campaign occurs (gate G2); F-02; C-02 complete before install","P0 for RSI package / P1 for SENSL minimum","If campaign #1 slips: SENSL revision proceeds on bench package alone (stage 20 fallback F1); anchor moves to next window; no in-situ absolute claim made meanwhile"
F-02,"Pose uncertainty feeds every anchor and vector claim; project 03 section 3.3","Probe pose survey: position and orientation of the sensor plate on its mount in machine coordinates","Fixture CAD + machinist survey to +/-1 mm, +/-1 deg","Photogrammetry cross-check; repeat survey after the run (checks nothing moved)","Access during installation (UW gate); survey tooling at HSX (UW-side, NOT ESTABLISHED - include in July email)","2 surveys (before/after run) preferred; 1 minimum","n/a","pose (x,y,z, angles) + uncertainty","Pose uncertainty document delivered with the anchor analysis; gradient*pose term computed from UW field model","Pose term: (grad B)*u(pose) + angular cosine term","UW email answered; campaign access","P0 for RSI / P1 for SENSL","If no survey possible: pose from CAD nominal with a widened uncertainty band and the limitation stated; anchor claim degrades to consistency-check language"
F-03,"R1-02 in-machine 1:1 comparison; WP-D data; discharge-taxonomy continuity with 2025","Plasma-shot matrix (campaign #1): biased/unbiased controls, discharge-class repeats, co-located B-dot/pickup recording if channels exist","Biased vs unbiased pair per session (>=2 pairs); >=3 repeats of one standard discharge class; co-located conventional-signal recording if E-02/UW confirms channels","Project 03 shot-list scale: ~6 biased/unbiased, ~6 high-energy repeats, ~4 late/failed-breakdown, with bias settings interleaved (not blocked) across the day to break time-order confounds","HSX plasma shot time (NOT confirmed - gate); co-located diagnostic channels (UW gate from E-02); installed system; DAQ per F-04","Counts above are the request, not a promise - final n set by HSX allocation and logged; >=3 per cell needed for any between-class statistic (see uncertainty plan section 4)","shot class; bias state; time order","sensor trace; co-located diagnostic traces; machine metadata","Every shot logged with full metadata (see 04_DATA_ANALYSIS_PLAN.md section 2); controls present; n per cell reported with the stats","Between-shot variance; EMI/artifact terms via controls","Campaign; E-02 answer; F-04","P1","Fewer shots: priority order is (1) coil-only anchor, (2) biased/unbiased pair, (3) one repeated class; drop taxonomy breadth first - repetition beats coverage for the resubmission"
F-04,"Synchronization (the ~30 ms DAQ offset from 2025); R-4 timing credibility","Timing tie-in: common trigger/clock with HSX DAQ, or measured trigger-offset characterization","Record the HSX trigger on a spare scope channel; measure offset and jitter across >=5 shots","Full clock tie-in to the HSX timebase (project 03 DAQ strategy C) - integration effort with UW","HSX trigger signal access (UW gate); scope channel budget (v_meas + sync uses 2 of 4)","> = 5 shots for offset+jitter statistics","shot","trigger offset (ms), jitter","Offset known to << the correlation lags being claimed; A-03's measured 2025 offset cross-checked","Timing term in correlation/lag claims","Campaign; UW trigger access","P1","If no trigger access: post-hoc alignment via coil-current ramp feature matching, with the added alignment uncertainty quantified"
F-05,"Temperature during shots (unknown in 2025 - stage 30 section 4.2 table); qualifies C-07 coefficients","In-vessel sensor temperature monitoring during the shot sequence","None (minimum design is the fallback: bound ΔT from bench coefficients + worst-case assumption, stated in text)","A temperature channel at/near the probe (thermocouple/RTD through an existing spare feedthrough pin) logged per shot","New instrumentation NOT ESTABLISHED FROM SUPPLIED FILES; feedthrough spare-pin availability = UW gate (2023 harness used 4 of 9 DSUB pins - spares plausible but unconfirmed)","continuous log if installed","time within shot/sequence","sensor temperature","If installed: ΔT during shots quantified and multiplied into the C-07 coefficients; if not: worst-case ΔT assumption stated with its budget contribution","Temperature term activation (in-vessel ΔT)","UW feedthrough answer; campaign","P2","Bound via bench coefficients + assumed worst-case ΔT, clearly labeled an assumption - the honest 2025-status quo"
F-06,"The V_off stability criticism (2023 baseline); project 03 campaign objective 3","In-vessel offset stability with spinning on: b(t) across a long fixed-setting shot sequence and idle dwells","> = 10-shot fixed-setting sequence (project 03 shot list) with b re-measured between shots","Same plus overnight in-vessel dwell log if access permits","Campaign time (gate); installed spun system; no extra hardware","> = 10 shots in sequence (the project 03 ask); final n logged","shot index / elapsed time","demodulated offset b(t)","b(t) trace with drift statistics; direct quantitative contrast with the 2023 uncalibrated V_off narrative","Drift term under machine conditions","Campaign; C-08 bench baseline first","P1","Bench C-08 Allan result alone, labeled bench-only; in-vessel stability claim deferred"
F-07,"Failure handling and device health across environment steps (bake, GDC, run) - plan section 8 risk register","Health-check protocol: 4-point resistance map of the packaged sensor before/after every environment step; runbook + spares discipline","Resistance map at Stanford pre-ship, at HSX pre-bake, post-bake, post-GDC, post-run; go/no-go thresholds pre-agreed","Add mode-2 30-second offset health check at each step (scope-free)","DMM at HSX (confirm in July email - NOT ESTABLISHED); packed spares per plan Week 4 (spare emulator plug, spare Pico, cables; spare sensor existence = gate I-4)","Every environment transition (event-driven, not statistical)","environment step","resistance map; quick offset","Any step changing the map beyond threshold triggers the documented failure branch (swap spare / fall back to fast-mode / abort install) instead of improvisation","Attrition risk control (protects all campaign requirements)","Campaign logistics","P1","If no spare module exists (I-4), the failure branch is measure-and-document-only - stated in the campaign plan"
