audit_id,source_id,audit_type,field_checked,claimed_value,verified_value,verification_url,result,severity,required_correction,notes
AUD012,S0055,bibliographic_identity,title/year/venue/first_author/doi,title='Radiation effects in GaN materials and devices'; year=2013; venue=Journal of Materials Chemistry C; first_author=A. Y. Polyakov,"title='Radiation effects in GaN materials and devices'; years=[2012, 2013]; venue=J. Mater. Chem. C; first_author_family=Polyakov; type=journal-article",https://api.crossref.org/works/10.1039/C2TC00039C,match_after_adjudication,none,none,stratum=cell:A/abstract_metadata; tier=A; access=abstract_metadata; flag ['VENUE_DIFF'] adjudicated benign: venue abbreviation 'J. Mater. Chem. C' = 'Journal of Materials Chemistry C'
AUD013,S0068,bibliographic_identity,title/year/venue/first_author/doi,title='Long term operation of the radiation-hard Hall probes system and the path toward'; year=2022; venue=Nuclear Fusion; first_author=A. Quercia,title='Long term operation of the radiation-hard Hall probes system and the path toward'; years=[2022]; venue=Nuclear Fusion; first_author_family=Quercia; type=journal-article,https://api.crossref.org/works/10.1088/1741-4326/ac8aad,match,none,none,stratum=targeted; tier=A; access=full_text
AUD014,S0071,bibliographic_identity,title/year/venue/first_author/doi,title='Investigation of the instabilities of the plasma string in the Tokamak-3 system '; year=1971; venue=Soviet Atomic Energy; first_author=S. V. Mirnov,"title='Investigation of the instabilities of the plasma string in the Tokamak-3 system '; years=[1971, 2005]; venue=Soviet Atomic Energy; first_author_family=Mirnov; type=journal-article",https://api.crossref.org/works/10.1007/BF01788387,match,none,none,stratum=targeted; tier=A; access=metadata_only
AUD015,S0078,bibliographic_identity,title/year/venue/first_author/doi,title='A sparsity-based method for the analysis of magnetic fluctuations in unevenly-sp'; year=2008; venue=Plasma Physics and Controlled Fusion; first_author=A. Klein,title='A sparsity-based method for the analysis of magnetic fluctuations in unevenly-sp'; years=[2008]; venue=Plasma Physics and Controlled Fusion; first_author_family=Klein; type=journal-article,https://api.crossref.org/works/10.1088/0741-3335/50/12/125005,match,none,none,stratum=band:2000s; tier=A; access=metadata_only
AUD016,S0079,bibliographic_identity,title/year/venue/first_author/doi,title='MHD mode identification by higher order singular value decomposition of C-2W Mir'; year=2021; venue=Review of Scientific Instruments; first_author=M. Tobin,title='MHD mode identification by higher order singular value decomposition of C-2W Mir'; years=[2021]; venue=Review of Scientific Instruments; first_author_family=Tobin; type=journal-article,https://api.crossref.org/works/10.1063/5.0043802,match,none,none,stratum=band:2020-23; tier=B; access=metadata_only
AUD017,S0103,bibliographic_identity,title/year/venue/first_author/doi,title='A digital long pulse integrator for EAST Tokamak'; year=2014; venue=Fusion Engineering and Design; first_author=Y. Wang,title='A digital long pulse integrator for EAST Tokamak'; years=[2014]; venue=Fusion Engineering and Design; first_author_family=Wang; type=journal-article,https://api.crossref.org/works/10.1016/j.fusengdes.2014.02.019,match,none,none,stratum=cell:B/metadata_only; tier=B; access=metadata_only
AUD018,S0108,bibliographic_identity,title/year/venue/first_author/doi,title='Chapter 2: Magnetic Diagnostics'; year=2008; venue=Fusion Science and Technology; first_author=E. J. Strait,"title='Chapter 2: Magnetic Diagnostics'; years=[2008, 2017]; venue=Fusion Science and Technology; first_author_family=Strait; type=journal-article",https://api.crossref.org/works/10.13182/fst08-a1674,match,none,none,stratum=targeted; tier=A; access=metadata_only
AUD019,S0116,bibliographic_identity,title/year/venue/first_author/doi,title='Realization and Tests of Prototype Fluxgate Magnetic Sensors for the ITER Neutra'; year=2023; venue=Sensors; first_author=Giuseppe Chitarin,title='Realization and Tests of Prototype Fluxgate Magnetic Sensors for the ITER Neutra'; years=[2023]; venue=Sensors; first_author_family=Chitarin; type=journal-article,https://api.crossref.org/works/10.3390/s23031492,match,none,none,stratum=cell:B/full_text; tier=B; access=full_text
AUD020,S0121,bibliographic_identity,title/year/venue/first_author/doi,title='Status of steady-state magnetic diagnostic for ITER and outlook for possible mat'; year=2019; venue=Fusion Engineering and Design; first_author=Ivan Duran,title='Status of steady-state magnetic diagnostic for ITER and outlook for possible mat'; years=[2019]; venue=Fusion Engineering and Design; first_author_family=Ďuran; type=journal-article,https://api.crossref.org/works/10.1016/j.fusengdes.2019.03.201,match,none,none,stratum=cell:B/metadata_only; tier=A; access=metadata_only
AUD021,S0122,bibliographic_identity,title/year/venue/first_author/doi,title='Data fusion of magnetic coils and Hall sensors using Kalman filtering'; year=2025; venue=Fusion Engineering and Design; first_author=Matej Ivanek,title='Data fusion of magnetic coils and Hall sensors using Kalman filtering'; years=[2025]; venue=Fusion Engineering and Design; first_author_family=Ivánek; type=journal-article,https://api.crossref.org/works/10.1016/j.fusengdes.2025.115180,match,none,none,stratum=targeted; tier=B; access=metadata_only
AUD022,S0128,bibliographic_identity,title/year/venue/first_author/doi,title='Resilient stellarator divertor characteristics in the Helically Symmetric eXperi'; year=2025; venue=Plasma Physics and Controlled Fusion; first_author=K. A. Garcia,title='Resilient stellarator divertor characteristics in the Helically Symmetric eXperi'; years=[2025]; venue=Plasma Physics and Controlled Fusion; first_author_family=Garcia; type=journal-article,https://api.crossref.org/works/10.1088/1361-6587/adb179,match,none,none,stratum=targeted; tier=A; access=abstract_metadata
AUD023,S0132,bibliographic_identity,title/year/venue/first_author/doi,title='Magnetic diagnostic optimization for plasma equilibrium reconstruction in the HS'; year=2015; venue=Nuclear Fusion; first_author=E. Chlechowitz,title='Magnetic diagnostic optimization for plasma equilibrium reconstruction in the HS'; years=[2015]; venue=Nuclear Fusion; first_author_family=Chlechowitz; type=journal-article,https://api.crossref.org/works/10.1088/0029-5515/55/11/113012,match,none,none,stratum=targeted; tier=A; access=abstract_metadata
AUD024,S0135,bibliographic_identity,title/year/venue/first_author/doi,title='Reconstruction of current profile parameters and plasma shapes in tokamaks'; year=1985; venue=Nuclear Fusion; first_author=L. L. Lao,"title='Reconstruction of current profile parameters and plasma shapes in tokamaks'; years=[1985, 2011]; venue=Nuclear Fusion; first_author_family=Lao; type=journal-article",https://api.crossref.org/works/10.1088/0029-5515/25/11/007,match,none,none,stratum=cell:B/abstract_metadata; tier=A; access=abstract_metadata
AUD025,S0141,bibliographic_identity,title/year/venue/first_author/doi,title='Real-time plasma equilibrium reconstruction and shape control for the MAST Upgra'; year=2024; venue=Nuclear Fusion; first_author=H. Anand,title='Real-time plasma equilibrium reconstruction and shape control for the MAST Upgra'; years=[2024]; venue=Nuclear Fusion; first_author_family=Anand; type=journal-article,https://api.crossref.org/works/10.1088/1741-4326/ad5c80,match,none,none,stratum=cell:B/abstract_metadata; tier=A; access=abstract_metadata
AUD026,S0142,bibliographic_identity,title/year/venue/first_author/doi,title='Non-axisymmetric equilibrium reconstruction of a current-carrying stellarator us'; year=2015; venue=Physics of Plasmas; first_author=X. Ma,title='Non-axisymmetric equilibrium reconstruction of a current-carrying stellarator us'; years=[2015]; venue=Physics of Plasmas; first_author_family=Ma; type=journal-article,https://api.crossref.org/works/10.1063/1.4938031,match,none,none,stratum=band:2015-19; tier=B; access=metadata_only
AUD027,S0166,bibliographic_identity,title/year/venue/first_author/doi,title='Current Density Reconstruction in Vacuum Arcs by Inverting Magnetic Field Data'; year=2012; venue=IEEE Transactions on Magnetics; first_author=Luca Ghezzi,title='Current Density Reconstruction in Vacuum Arcs by Inverting Magnetic Field Data'; years=[2012]; venue=IEEE Transactions on Magnetics; first_author_family=Ghezzi; type=journal-article,https://api.crossref.org/works/10.1109/TMAG.2012.2192287,match,none,none,stratum=band:2010-14; tier=C; access=abstract_metadata
AUD028,S0167,bibliographic_identity,title/year/venue/first_author/doi,title='Inverse Problem Solution and Regularization Parameter Selection for Current Dist'; year=2018; venue=Mathematical Problems in Engineering; first_author=Jinlong Dong,title='Inverse Problem Solution and Regularization Parameter Selection for Current Dist'; years=[2018]; venue=Mathematical Problems in Engineering; first_author_family=Dong; type=journal-article,https://api.crossref.org/works/10.1155/2018/7452863,match,none,none,stratum=tierC; tier=C; access=abstract_metadata
AUD029,S0168,bibliographic_identity,title/year/venue/first_author/doi,title='Analysis and Modeling of Inertial Sensors Using Allan Variance'; year=2008; venue=IEEE Transactions on Instrumentation and Measurement; first_author=Naser El-Sheimy,"title='Analysis and Modeling of Inertial Sensors Using Allan Variance'; years=[2007, 2008]; venue=IEEE Transactions on Instrumentation and Measurement; first_author_family=El-Sheimy; type=journal-article",https://api.crossref.org/works/10.1109/TIM.2007.908635,match,none,none,stratum=cell:C/abstract_metadata; tier=A; access=abstract_metadata
AUD030,S0169,bibliographic_identity,title/year/venue/first_author/doi,title='Aligning the Forces -- Eliminating the Misalignments in IMU Arrays'; year=2014; venue=IEEE Transactions on Instrumentation and Measurement; first_author=John-Olof Nilsson,title='Aligning the Forces—Eliminating the Misalignments in IMU Arrays'; years=[2014]; venue=IEEE Transactions on Instrumentation and Measurement; first_author_family=Nilsson; type=journal-article,https://api.crossref.org/works/10.1109/TIM.2014.2344332,match_after_adjudication,none,none,stratum=cell:C/abstract_metadata; tier=B; access=abstract_metadata; flag ['TITLE_DIFF'] adjudicated benign: em-dash vs '--' transliteration only
AUD031,S0182,bibliographic_identity,title/year/venue/first_author/doi,title='Neural net modeling of equilibria in NSTX-U'; year=2022; venue=Nuclear Fusion; first_author=J. T. Wai,title='Neural net modeling of equilibria in NSTX-U'; years=[2022]; venue=Nuclear Fusion; first_author_family=Wai; type=journal-article,https://api.crossref.org/works/10.1088/1741-4326/ac77e6,match,none,none,stratum=cell:C/full_text; tier=A; access=full_text
AUD032,S0184,bibliographic_identity,title/year/venue/first_author/doi,title='Real time equilibrium reconstruction for tokamak discharge control'; year=1998; venue=Nuclear Fusion; first_author=J. R. Ferron,"title='Real time equilibrium reconstruction for tokamak discharge control'; years=[1998, 2002]; venue=Nuclear Fusion; first_author_family=Ferron; type=journal-article",https://api.crossref.org/works/10.1088/0029-5515/38/7/308,match,none,none,stratum=band:1990s; tier=A; access=abstract_metadata
AUD033,S0192,bibliographic_identity,title/year/venue/first_author/doi,title='Grad-Shafranov equilibria via data-free physics informed neural networks'; year=2024; venue=Physics of Plasmas; first_author=Byoungchan Jang,title='Grad–Shafranov equilibria via data-free physics informed neural networks'; years=[2024]; venue=Physics of Plasmas; first_author_family=Jang; type=journal-article,https://api.crossref.org/works/10.1063/5.0188634,match_after_adjudication,none,none,stratum=cell:C/full_text; tier=A; access=full_text; flag ['TITLE_DIFF'] adjudicated benign: en-dash vs hyphen in 'Grad-Shafranov' only
AUD034,S0194,bibliographic_identity,title/year/venue/first_author/doi,title='Improving ideal MHD equilibrium accuracy with physics-informed neural networks'; year=2026; venue=Nuclear Fusion; first_author=Timo Thun,"title='Improving ideal MHD equilibrium accuracy with physics-informed neural networks'; years=[2025, 2026]; venue=Nuclear Fusion; first_author_family=Thun; type=journal-article",https://api.crossref.org/works/10.1088/1741-4326/ae2937,match,none,none,stratum=cell:C/metadata_only; tier=A; access=metadata_only
AUD035,S0196,bibliographic_identity,title/year/venue/first_author/doi,title='Digital Twins in Fusion Energy Research: Current State and Future Directions'; year=2025; venue=IEEE Access; first_author=Michael I. Battye,title='Digital Twins in Fusion Energy Research: Current State and Future Directions'; years=[2025]; venue=IEEE Access; first_author_family=Battye; type=journal-article,https://api.crossref.org/works/10.1109/ACCESS.2025.3561920,match,none,none,stratum=band:2024-26; tier=A; access=abstract_metadata
AUD036,S0225,bibliographic_identity,title/year/venue/first_author/doi,title='Development of bismuth metallic hall sensors for the HL-2A tokamak magnetic meas'; year=2024; venue=Fusion Engineering and Design; first_author=A. Wang,"title='Development of bismuth metallic hall sensors for the HL-2A tokamak magnetic meas'; years=[2023, 2024]; venue=Fusion Engineering and Design; first_author_family=Wang; type=journal-article",https://api.crossref.org/works/10.1016/j.fusengdes.2023.114115,match,none,none,stratum=cell:C/metadata_only; tier=B; access=metadata_only
AUD037,S0068,content_fulltext,content_fulltext,"notes: 15,473 useful pulses; +/-0.07% cal. stability std dev (compensated)","15,473 useful pulses; +/-0.07% compensated / +/-0.1% uncompensated std dev",https://iopscience.iop.org/article/10.1088/1741-4326/ac8aad,match,none,none,"Open-access IOP full text confirms both; ledger note correctly reflects the compensated figure. Abstract also confirms Oct 2009 - Mar 2021 (11+ yr), >19,000 pulses, hybrid coil+Hall Luenberger-Kalman proposal. Most load-bearing precedent in the ledger."
AUD038,S0128,verbatim_quote,verbatim_quote,notes verbatim quote: 'HSX is the first and only stellarator experiment optimized for quasi-helical symmetry (QHS)',identical sentence present in the article introduction (IOP page fetched 2026-07-25),https://iopscience.iop.org/article/10.1088/1361-6587/adb179,match,none,none,Load-bearing for the stage-30 QHS-wording recommendation; independently confirmed this stage.
AUD039,S0002,content_secondary,content_secondary,notes: tolerance to 1e13 cm-2 at 380 keV proton dose; 400C operation,phys.org and ScienceDaily (2012) report the same numbers; publisher abstract remains elided/blocked,https://phys.org/news/2012-03-hall-effect-magnetic-field-sensors.html,consistent_secondary_only,none,none,Ledger verification_basis honestly records snippet-level basis. Do not quote these numbers in a manuscript table without primary-PDF confirmation (existing stage-10D rule already covers this).
AUD040,,prior_art_patent,prior_art_patent,"PA-P01 US9389284B2: Active, anticipated expiration 2029-04-09, Infineon",Google Patents 2026-07-25: status Active; expiration 2029-04-09; assignee Infineon Technologies AG,https://patents.google.com/patent/US9389284B2/en,match,none,none,Spot-check of stage-50 patent-row accuracy.
AUD041,,external_policy,external_policy,"03 route decision 4.1: SENSL 4-page max incl. reference column; 'Submission-to-ePublication = 4.8 weeks, median'; sensor-centric scope",live page 2026-07-25 quotes all three verbatim,https://ieee-sensorsletters.org/information-for-authors/,match,none,none,Stage-30 policy claim re-verified live.
AUD042,,external_policy,external_policy,03 route decision 4.3: RSI refuses papers covering material previously published in any peer-reviewed journal; considers material previously published but not yet peer-reviewed,both sentences verbatim in Internet Archive snapshot (2025-11-15) of the official page; live page Cloudflare-403,https://web.archive.org/web/20251115144142/https://pubs.aip.org/aip/rsi/pages/policies,match,none,annotation added to 03_PUBLICATION_ROUTE_DECISION.md 4.3 (correction F-7),Open gate from stage 30 closed. Snapshot also adds: 'A previously published instrument is not considered to be novel' - sharpens the Route-C novelty requirement; recorded in the same annotation. Re-check the live page before actual submission.
AUD043,,external_policy,external_policy,06 roadmap [EE]: Stanford EE reading committee in year 3; University Oral Exam in year 4,official EE degree-progress pages confirm both,https://ee.stanford.edu/academics/graduate-degree-progress,match,low,links added to 06_24_MONTH_PHD_ROADMAP.md header (correction F-4),Claims were correct but cited no URL anywhere in stage-60 outputs. Second URL: https://ee.stanford.edu/academics/graduate-degree-progress/oral-exam
AUD044,,deterministic_schema,deterministic_schema,01_SOURCE_LEDGER.csv: 231 rows; exact 16-col header; unique sequential IDs; unique normalized DOIs/titles; all verified_peer_reviewed; no disallowed types; enums/years valid,independent script state/tools/70_audit_ledger.py: PASS on all checks,,PASS,none,none,Fresh audit script; does not reuse 10d_validate.py logic.
AUD045,,deterministic_crossref,deterministic_crossref,All inline [S####](doi) citation links across outputs match ledger DOIs; all output CSVs parse; all relative links resolve,276/276 links match; 9/9 CSVs single-width; 97/97 links resolve (state/tools/70_audit_crossrefs.py),,PASS,none,none,Two scanner false-positive classes documented (Elsevier PII DOIs; PFR article number S2054 inside row S0090's citation string).
AUD046,,sampling_coverage,sampling_coverage,"Stratified sample design: >=30 rows across topic groups, years, tiers, access levels",36 rows; 9/9 lane-x-access cells; 7/7 year bands (1971-2026); tiers A21/B12/C3; 7/7 SOURCE_POLICY topic groups; deterministic md5 rule (state/tools/70_sample_verify.py),,PASS,none,none,Sampling rule independent of the stage-10D 32-DOI sample; 36/36 identity-verified.
