item_id,category,description,nominal_mm,tolerance_or_bound,worst_case_or_clearance_mm,requirement,calculation_or_kernel_check,result,status,evidence_or_gate
D30D-016,structure,Folded bracket lower datum Z,12.200,concept nominal,1.790 above provisional 10.410 keepout,bottom structural sheet above keepout,12.200-10.410,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-06
D30D-017,structure,Trihedral face outside dimension,13.600,flat blank and formed dimension proposal,nominal,three orthogonal mounting faces,real-kernel geometry,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-03 vendor DFM
D30D-018,structure,CP-Ti sheet thickness,0.500,proposal pending stock/forming review,nominal,survive clamp and hot-cycle loads,real-kernel geometry,PENDING,HOLD - DO NOT FABRICATE,G30D-03/G30D-04 coupon and FEA
D30D-019,structure,Active-area window,6.400,proposal,nominal,clear protected sensor and field aperture,real-kernel geometry,PENDING,HOLD - DO NOT FABRICATE,G30D-02 loop/field keepout
D30D-020,structure,Nominal face border beside window,3.600,half-width calculation,not a strength allowble,positive structural border,"(13.600-6.400)/2",PASS arithmetic,VERIFIED CALCULATION,G30D-03 stress model
D30D-021,fastener,Face-screw center offset from face center,5.500,proposal,1.300 to sheet edge,clear cartridge and remain in clamp border,6.800-5.500,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-04
D30D-022,fastener,Minimum sheet ligament beyond face-screw clearance,0.600,"6.800-5.500-0.700",not a strength allowble,positive edge ligament,face half minus center minus clearance radius,PASS arithmetic,ENGINEERING PROPOSAL - VALIDATE,G30D-03/G30D-04 FEA and coupon
D30D-023,fastener,Minimum sheet ligament beyond open hook slot,0.550,"6.800-5.800-0.450",open-edge lead-in still gated,positive remaining edge/hook geometry,face half minus slot center minus half slot length,PASS arithmetic,ENGINEERING PROPOSAL - VALIDATE,G30D-04 exact keyhole and load test
D30D-024,cartridge,Protected cartridge outside width,10.900,+/-0.050 proposed,10.850 to 10.950,fit all three faces without interference,CAD and tolerance stack,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-02 bonded cartridge measurement
D30D-025,cartridge,Protected cartridge total thickness envelope,2.400,+/-0.040 proposed,2.360 to 2.440,fit clamp and bond guard,CAD envelope,PENDING,HOLD - DO NOT FABRICATE,G30D-02 measured stack
D30D-026,ceramic,Flat guard thickness candidate,0.635,Kyocera standard substrate thickness with +/-0.020 representative tolerance,0.615 to 0.655,stock-substrate process candidate,source comparison,PASS source candidate,VERIFIED SOURCE VALUE,S057; exact product G30D-01
D30D-027,ceramic,Flat guard outside width,10.900,+/-0.050 RFQ target,10.850 to 10.950,laser-cut flat part only,CAD and source process capability,PENDING,HOLD - DO NOT ORDER,G30D-01 drawing-specific RFQ
D30D-028,ceramic,Flat guard window,6.400,+/-0.050 RFQ target,minimum nominal ring 2.250,laser-cut through window with radiused corners,CAD and S056 representative tolerance,PENDING,HOLD - DO NOT ORDER,G30D-01 edge/chip proof
D30D-029,ceramic,Tapped or internal ceramic threads,0,hard target,0,exactly zero,fastener schedule sum,PASS,VERIFIED DESIGN RULE,AGENTS.md
D30D-030,ceramic,Fixed structural ceramic seat count,0,selected architecture,three seats eliminated,no fixed ceramic in structural head,CAD and BOM comparison,PASS concept,VERIFIED DESIGN CHANGE,D30D decision
D30D-031,ceramic,Unique custom ceramic geometry count,1,one repeated flat guard,quantity 3,minimum ceramic NRE,three identical parts,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-01
D30D-032,thermal,Ti-minus-alumina lateral expansion over 10.90 mm from 20 to 250 C,0.005766,"(9.5-7.2)e-6*10.90*230",clearance increases if those representative CTEs apply,record only,first-order CTE arithmetic,PASS arithmetic,VERIFIED CALCULATION,S051/S056; actual lots G30D-01
D30D-033,thermal,Ti-minus-alumina normal expansion over 2.40 mm from 20 to 250 C,0.001270,"(9.5-7.2)e-6*2.40*230",not a force margin,record only,first-order CTE arithmetic,PASS arithmetic,VERIFIED CALCULATION,G30D-04 full force stack
D30D-034,preload,Proposed clamp elastic displacement at 20 C,0.150,0.100 to 0.220 target range,not qualified,positive elastic preload against hard stops,formed-strap target only,PENDING,HOLD - DO NOT FABRICATE,G30D-04 FEA/coupon/hot cycle
D30D-035,bond protection,Guard clearance above measured highest loop,0.300,minimum proposal,loop measurement unavailable,no contact during tolerance/service,measured loop plus allowance,PENDING,HOLD - DO NOT FABRICATE,G30D-02 microscope survey and sweep
D30D-036,service,Other cartridges removed to service one axis,0,hard requirement,0,independent module replacement,one screw plus two hooks and remote pigtail,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-07 instrumented service trial
D30D-037,service,Nominal clamp slide to disengage hooks,0.800,proposal,service outside installed envelope,no neighbour removal,open-edge hook motion,PENDING,HOLD - DO NOT FABRICATE,G30D-04/G30D-07 mockup
D30D-038,service,External tool directions,3,"+X +Y +Z straight drivers",noncrossing,all heads accessible,CAD fastener axes,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-07 chamber mockup
D30D-039,adjacency,Minimum nominal X-to-Y cartridge corner gap,2.616,conservative Cartesian gap,positive,"sqrt(2)*(7.300-5.450)",PASS,VERIFIED CALCULATION,30D CAD dimensions
D30D-040,cost proxy,Old face-retention discrete parts,21,"3 clamps + 6 screws + 6 nut plates + 6 keepers",comparison only,reduce recurring parts and assembly labor,accepted final baseline,PASS baseline fact,VERIFIED CALCULATION,50_FINAL_FASTENER_AND_THREAD_SCHEDULE.csv
D30D-041,cost proxy,Cost-down face-retention discrete parts,9,"3 hook clamps + 3 screws + 3 captive nut plates",12 fewer than old,retain each cartridge independently,CAD and fastener schedule,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G30D-04/G30D-05
D30D-042,cost proxy,Prior connected cage volume,440.917,kernel geometric proxy,not a cost,comparison uses cage including posts,50_CAD_KERNEL_REPORT.txt,PASS baseline fact,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
D30D-043,cost proxy,Cost-down bracket plus four posts volume,324.6,kernel geometric proxy,about 26 percent below prior,not a price estimate,30D kernel geometry,PASS calculation,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-044,harness,Minimum proposed cable bend radius,8.250,5x 1.650-mm finished OD rule,not qualified,no smaller than accepted process rule,5*1.650,PENDING,HOLD - DO NOT FABRICATE,G30D-06 exact cable/hot bend trial
D30D-045,qualification,Mutual-axis stability after hot cycles,not numeric,user signed angular/error budget absent,not calculated,full 3x3 calibration matrix stable after bake/service,metrology and vector calibration,PENDING,HOLD - PERFORMANCE CLAIM,G30D-07
