requirement_id,domain,requirement,source,accepted_evidence,status,finding_ids,required_closure
R-012,ceramic,"Prefer identical flat ceramic parts",AGENTS.md,"Concept A uses repeated flat carrier tiles as the provisional baseline",PASS,F40-P07,"Confirm machinability and tolerances with the zirconia vendor"
R-013,service,"No crossing or hidden bolts and all tools remain accessible",AGENTS.md,"Stage 30 tool-axis drawings show noncrossing access; full corrected cage remains to be regenerated",CONDITIONAL,"F40-B05;F40-M06","Demonstrate access with the corrected assembled geometry"
R-014,materials,"Do not use unqualified PEEK in the hot reusable baseline",AGENTS.md,"No PEEK appears in the Stage 30 baseline",PASS,F40-P07,"Reject substitutions unless separately qualified"
R-015,materials,"Do not rely on unqualified BeCu stress relaxation",AGENTS.md,"No BeCu appears in the Stage 30 baseline",PASS,F40-P07,"Reject substitutions unless separately qualified"
R-016,magnetics,"Avoid magnetic nickel or steel near the sensors",AGENTS.md,"Baseline proposes CP-Ti and zirconia locally but exact contact and feedthrough magnetic properties remain unresolved",CONDITIONAL,"F40-B04;F40-M09;F40-M14","Measure magnetic moment and field perturbation for the complete installed stack"
R-017,vacuum,"Avoid virtual leaks trapped volumes and blind nut traps",AGENTS.md,"Vent intent exists but captive nut and screw-interface vent details are not fully defined",CONDITIONAL,F40-M04,"Add continuous vent paths and verify by drawing review and vacuum test"
R-018,solder,"No solder with inadequate continuous-temperature margin or flux residue in vacuum",AGENTS.md,"Baseline excludes in-vessel solder",PASS,F40-P07,"Maintain no-solder hot-zone construction"
R-019,mechanical,"No mechanical load path shall pass through electrical joints",AGENTS.md,"Intent is explicit but the preferred fastener reaction structure is incomplete and the fanout strain relief is schematic",FAIL,"F40-B05;F40-M14","Prove continuous mechanical load paths bypass bonds pads and contacts"
R-020,lcc_map,"Resolve the pad-14 versus pad-18 routing inconsistency",AGENTS.md,"Stage 10 distinguishes inner pad 14 with route 18 to 14; Stage 40 independently verified the notation",PASS,F40-P01,"Keep both physical pad and route identifiers in every traveler"
R-021,lcc_map,"Do not guess p1 through p4 die orientation",AGENTS.md,"Stage 10 maintains an orientation-parametric map and microscope sign-off gate",PASS,F40-P02,"Do not release a fixed q-to-pad assignment before microscope evidence"
R-022,lcc_map,"Use proposed inner pads 8 3 19 and 14",AGENTS.md,"Conditional q map uses these four inner pads",CONDITIONAL,F40-B02,"Confirm die p orientation and bondability under microscope"
R-023,lcc_map,"Route 8 to 4 and 3 to 9",AGENTS.md,"Stage 10 route table and drawings agree",PASS,F40-P01,"Continuity-check the manufactured LCC"
R-024,lcc_map,"Route 19 to 13 and route 18 to inner pad 14",AGENTS.md,"Stage 10 route table and drawings agree and preserve 18 as route identifier",PASS,F40-P01,"Continuity-check the manufactured LCC"
R-025,bonding,"Avoid crossed and overlong bond wires",prompts/40_redteam.md,"Stage 10 proposes a noncrossing map but actual die orientation and loop geometry are not measured",CONDITIONAL,"F40-B02;F40-M06","Microscope-measure pad coordinates and qualify loop sweep and clearance"
R-026,bonding,"Protect bond wires against sweep and service damage",prompts/40_redteam.md,"Stage 30 includes cover and service intent but no qualified clearance or instrumented service demonstration",CONDITIONAL,F40-M06,"Perform thermal and handling sweep tests in the corrected cage"
R-027,bonding,"Address Al-Au intermetallic aging for continuous 250 deg C life",prompts/40_redteam.md,"Literature and vendor claims show risk or limited-duration evidence; exact stack is not qualified",FAIL,F40-B03,"Run same-stack thermal-vacuum aging with pull resistance cross-section and drift endpoints"
R-028,bonding,"Qualify adhesive die attach for the exact sensor LCC stack",MISSION.md,"353ND data and general UHV use do not establish exact continuous-life stack performance",FAIL,F40-B03,"Complete same-lot bonded-coupon qualification"
R-029,feedthrough,"Use nineteen unique feedthrough signal pins without shortage",MISSION.md,"Twelve signals plus seven spares occupy V1 through V19 exactly once",PASS,F40-P03,"Preserve the pin traveler"
R-030,feedthrough,"Provide seven spare signal pins",MISSION.md,"Stage 20 assigns V13 through V19 as spares",PASS,F40-P03,"Do not repurpose without revising the controlled map"
R-031,shielding,"Cable screens shall not consume signal pins",MISSION.md,"All six screens terminate to shells or chassis as specified",PASS,F40-P04,"Verify screen continuity and insulation during assembly"
R-032,feedthrough,"Distinguish vacuum-view and air-view mirror orientation",MISSION.md,"Stage 20 has V and A maps and an involutive mirror permutation",PASS,F40-P03,"Retain dual-view drawings at the assembly station"
R-033,feedthrough,"Do not rely solely on uncertain vendor mirror wording",prompts/40_redteam.md,"Vendor drawing pattern is usable but caution sentence misnames 9C on a 19C drawing",CONDITIONAL,F40-N01,"Obtain vendor clarification or record first-article V-to-A continuity"
R-034,feedthrough,"Use a 19-contact feedthrough compatible with the selected map",MISSION.md,"110240 and 19C-275 support 19-contact geometry; exact ordered configuration remains gated",CONDITIONAL,F40-B04,"Freeze part number orientation gender materials and certifications before order"
R-035,feedthrough,"Do not treat 250 deg C catalog maximum as continuous-life qualification",AGENTS.md,"Artifacts label the 250 deg C feedthrough statement as catalog evidence rather than life proof",PASS,F40-P08,"Obtain continuous-duty vendor statement or qualify the assembly"
R-036,cabling,"Use UHV high-temperature conductors for all twelve sensor paths",MISSION.md,"KAP301 is vendor-rated UHV and 300 deg C but the selected two-pair bundle does not fit the modeled corridor",FAIL,F40-B06,"Select a smaller qualified cable or enlarge corridor and rerun geometry"
R-037,cabling,"Account for cable capacitance in bandwidth and settling",prompts/40_redteam.md,"Vendor capacitance values were recovered but are not included in a closed-loop acquisition budget",CONDITIONAL,F40-M10,"Calculate worst-case settling with installed lengths and verify by measurement"
R-038,cabling,"Provide strain relief independent of electrical terminations",MISSION.md,"Stage 10 and 30 show intent but exact hot-zone clamp and fanout process are schematic",CONDITIONAL,F40-M14,"Qualify clamp load transfer and terminal process"
R-039,cabling,"Avoid excessive conductor magnetic perturbation near the sensor",MISSION.md,"Twisted screened-pair concept reduces loop area but complete-current field impact is not measured",CONDITIONAL,F40-M09,"Measure installed-head magnetic moment and driven-current field"
R-040,board,"Use three parallel per-axis readout paths",MISSION.md,"Stage 20 shows three repeated mux and instrumentation-amplifier chains",PASS,F40-P04,"Maintain channel identity through DAQ"
R-041,board,"Use one controlled excitation source per sensor axis",MISSION.md,"Current source is a block-level proposal without compliance noise drift and reversal qualification",FAIL,F40-B07,"Design and validate all three current sources across hot-sensor resistance and cable bounds"
R-042,board,"Resolve the historical approximately 109-times current anomaly",MISSION.md,"Diagnostic procedure is proposed but no hardware measurement closes it",FAIL,F40-B07,"Bench-test the existing board and record root cause before trusting sensor data"
R-043,board,"Prevent digital control fanout overload and power-sequence uncertainty",MISSION.md,"One SN74LVC125A output was proposed to drive all boards without proven loading and OE bias",FAIL,F40-M02,"Provide one isolated control output per board and verify timing and power sequencing"
R-044,isolation,"Do not join isolated sensor domains through ambient board grounds",AGENTS.md,"Existing netlist and common acquisition create a measurable DC return path",FAIL,F40-B01,"Use galvanically isolated board supplies control and acquisition with an isolation test"
R-045,daq,"Acquire the three axes simultaneously with bounded interchannel aperture skew",MISSION.md,"DSOX1204G has four channels but available evidence does not establish required galvanic isolation or aperture skew",FAIL,F40-M03,"Select and qualify isolated simultaneous-sampling DAQ hardware"
R-046,daq,"Define a valid phase-step sample rate",MISSION.md,"Eight samples per phase gives 5 kS/s at 40 Hz and 20 kS/s at 160 Hz; initial shorthand was ambiguous",CONDITIONAL,F40-M01,"Freeze rate definitions and verify anti-alias and settling margins"
R-047,grounding,"Provide a safe EMI strategy without defeating galvanic isolation",MISSION.md,"Shield topology is documented but AGND_STAR and grounded BNC use defeat inter-axis isolation",FAIL,F40-B01,"Use chassis-referenced shields with isolated signal domains and test common-mode paths"
R-048,board,"Separate verified schematic facts from proposed corrections",AGENTS.md,"Stage 20 and red-team explicitly distinguish netlist evidence from proposed hardware",PASS,F40-P08,"Carry status labels into final release table"
R-049,mechanical,"Develop at least three package concepts",MISSION.md,"Stage 30 contains concepts A B and C with CAD and drawings",PASS,F40-P07,"Use concepts as trade evidence only"
R-050,mechanical,"Use hard safety and physics gates before weighted scoring",AGENTS.md,"Scoring was computed before open hard gates were closed",FAIL,F40-M08,"Correct and re-gate concepts before any down-select score is treated as decisive"
R-051,mechanical,"Provide a continuous structural load path from each clamp screw to the base",MISSION.md,"Concept A nut pads are unconnected solids and concept B lacks a complete saddle cage",FAIL,F40-B05,"Regenerate connected CP-Ti cage and verify contact and reaction interfaces"
R-052,mechanical,"Capture replaceable nuts or nut plates without blind traps",AGENTS.md,"Replaceable nut concept exists but its retention and venting are not defined",FAIL,"F40-B05;F40-M04","Model captured vented accessible nuts and provide assembly section views"
R-053,mechanical,"Use external accessible nonmagnetic fasteners",AGENTS.md,"External M1.6 CP-Ti fasteners are proposed but exact parts and torque are not qualified",CONDITIONAL,F40-B08,"Freeze sourced hardware and validate preload and reuse"
R-054,mechanical,"Avoid reliance on electrical pads bonds or fanout for module retention",AGENTS.md,"Retention intent bypasses the LCC but reaction structure and strain relief are incomplete",FAIL,"F40-B05;F40-M14","Demonstrate structural independence under shock bake and service"
R-055,mechanical,"Define preload with ceramic stress and thermal mismatch bounds",prompts/40_redteam.md,"Stage 30 gives an illustrative preload window but no flexure geometry ceramic contact stress or life calculation",FAIL,F40-B08,"Complete nonlinear contact and flexure-life analysis and validate on coupons"
R-056,mechanical,"Prevent zirconia chipping at holes edges and clamp contacts",prompts/40_redteam.md,"Edge breaks and compliant contacts are proposed without production dimensions or vendor process approval",CONDITIONAL,"F40-M05;F40-M06","Add producible edge geometry surface finish and contact-stress limits"
R-057,mechanical,"Account for thermal expansion across 250 deg C operation",prompts/40_redteam.md,"First-order material expansion is discussed but full stack contact and flexure displacement are not solved",CONDITIONAL,F40-B08,"Calculate hot and cold tolerance stack and verify preload retention"
R-058,mechanical,"Prevent LCC rotation and preserve chamfer orientation",prompts/40_redteam.md,"Keying and chamfer convention exist but actual fabricated key geometry and service validation are open",CONDITIONAL,"F40-B02;F40-M06","Add physical anti-rotation features and keyed traveler checks"
R-059,mechanical,"Ensure cable exits meet bend and clearance requirements",MISSION.md,"Modeled 3.00 mm corridor is smaller than two worst-case 1.65 mm cable diameters before clearance",FAIL,F40-B06,"Freeze cable construction and rerun bend radius and corridor collision"
R-060,mechanical,"Protect adjacent axes during independent module service",MISSION.md,"Guard-loop and tool-clearance concepts are not physically validated",CONDITIONAL,F40-M06,"Perform a service trial with witness wires and record pass criteria"
R-061,mechanical,"Define full manufacturing tolerances and GD&T before fabrication",AGENTS.md,"Concept dimensions are bounded but production datums position profile and surface controls are incomplete",FAIL,F40-M13,"Release controlled manufacturing drawings only after vendor DFM"
R-062,mechanical,"No package may be released from collision-only CAD",AGENTS.md,"STEP reimport and overlap checks passed but connectivity and flexible harness content were not represented",FAIL,"F40-B05;F40-B06","Run a full assembly contact connectivity clearance and motion audit"
R-063,mechanical,"Concept C axial clearance shall include a usable margin",MISSION.md,"Concept C has only about 0.10 mm modeled axial margin",CONDITIONAL,F40-M07,"Increase margin or reject concept C"
R-064,cad,"Use a real CAD kernel for STEP and STL inspection when available",AGENTS.md,"CadQuery/OpenCascade generated solids and reimported STEP bounds",PASS,F40-P07,"Repeat after corrected geometry"
R-065,cad,"Drawings tables and CAD shall agree on dimensions units axes and part identities",AGENTS.md,"Stage 30 concept set is internally cross-referenced but known structural omissions prevent release",CONDITIONAL,"F40-B05;F40-B06;F40-M13","Audit corrected production set against a single controlled parameter table"
R-066,cost,"Unsupported prices shall not be presented as verified quotations",AGENTS.md,"Stage 30 labels costs as ROM proposals",PASS,F40-P08,"Obtain comparable vendor quotes before procurement"
R-067,cost,"Do not claim monolithic ceramic is cheaper without vendor evidence",prompts/40_redteam.md,"Concept C is not selected on an unsupported low-cost claim",PASS,F40-P08,"Use vendor quotes in final procurement decision"
R-068,service,"Record replaceable and reusable part boundaries",MISSION.md,"Stage 30 parts and service tables identify module carrier cage and fastener roles",CONDITIONAL,F40-M06,"Validate repeated removal and reinstall cycles"
R-069,evidence,"Separate verified fact calculation engineering proposal and unresolved gate",AGENTS.md,"All stage outputs use explicit evidence classes and release labels",PASS,F40-P08,"Retain labels in synthesis"
R-070,evidence,"Label unsupported numerical limits ENGINEERING PROPOSAL - VALIDATE",AGENTS.md,"Stage 10 through 30 use this label for proposed bounds",PASS,F40-P08,"Audit final tables for the label"
R-071,evidence,"Label unresolved fabrication or purchase details HOLD - DO NOT FABRICATE/ORDER",AGENTS.md,"Stage outputs and red-team use hold language for open gates",PASS,F40-P08,"Maintain a release-blocker checklist"
R-072,evidence,"Use primary current sources and direct URLs for vendor or process claims",AGENTS.md,"Source ledger includes manufacturer standards government and peer-reviewed sources; Stage 40 reopened critical sources",PASS,F40-P08,"Archive controlled copies or access dates for release"
R-073,evidence,"Do not infer continuous-life qualification from bake survival or catalog maximum",AGENTS.md,"Red-team explicitly rejects this inference for feedthrough cable adhesive and bonds",PASS,F40-P08,"Require life evidence at the complete-stack level"
R-074,quality,"Run an independent red-team after design stages and before synthesis",AGENTS.md,"This Stage 40 audit was performed without editing Stage 10 20 or 30 artifacts",PASS,F40-P08,"Carry all blocker and major closures into Stage 50"
R-075,quality,"Explicitly audit PEEK BeCu nickel steel solder flux virtual leaks trapped volumes hidden nuts and crossing bolts",prompts/40_redteam.md,"Named-hazard table covers each item",PASS,"F40-P05;F40-M04;F40-B04;F40-B05;F40-M09","Retain unresolved hazards as open gates"
R-076,quality,"Explicitly audit shared returns pin shortage and unsynchronized acquisition",prompts/40_redteam.md,"Pin arithmetic passes; shared ground and DAQ architecture fail",FAIL,"F40-B01;F40-M03;F40-P03","Correct isolation and demonstrate simultaneous acquisition"
R-077,quality,"Explicitly audit 14 versus 18 mirror chamfer and die orientation",prompts/40_redteam.md,"14 versus 18 and mirror math pass; die orientation remains gated",CONDITIONAL,"F40-P01;F40-P02;F40-B02","Complete microscope sign-off and first-article continuity"
R-078,quality,"Every blocker and major finding shall have a correction and closure test",prompts/40_redteam.md,"F40 table provides required correction and closure criterion for all BLOCKER and MAJOR rows",PASS,F40-P08,"Verify implementation evidence during synthesis"
R-079,release,"Do not fabricate or order while design-changing blockers remain",AGENTS.md,"Eight blockers remain after independent review",FAIL,"F40-B01;F40-B02;F40-B03;F40-B04;F40-B05;F40-B06;F40-B07;F40-B08","Keep final package at COMPLETE_WITH_OPEN_GATES and HOLD status"
R-080,release,"Final baseline must incorporate red-team corrections rather than silently accepting failed Stage 30 geometry",MISSION.md,"Stage 40 defines correction hierarchy; implementation is deferred to Stage 50",CONDITIONAL,"F40-B01;F40-B05;F40-B06","Publish corrected synthesis architecture drawings ledgers and release checklist"
