source_id,title,organization,url,source_type,accessed_date,claim_supported,status,limitations
S013,300C UHV shielded twisted pair KAP301,Allectra,https://www.allectra.com/wp-content/uploads/2025/02/301-KAPM-025-PAIR1.pdf,manufacturer datasheet,2026-07-12,"32-AWG 7x0.08-mm silver-plated copper; Kapton; 1.5+/-0.15-mm OD; 300C; UHV typical 1e-12 mbar; 0.4 A typical at 250C; pair/screen capacitance data",verified,"Six separate shielded pairs may be too bulky for the head exit; screen alloy/underplate and continuous flex life need confirmation"
S014,KAP301 twisted-pair live product,Allectra,https://www.allectra.com/products/301-kapm-025-pair1-10m/,vendor product page,2026-07-12,"Orderable 10-m 300C UHV cable; live listed 434 USD excluding VAT",verified,"Price and stock are time-sensitive; purchase length far exceeds prototype need"
S015,300C UHV 28-AWG Kapton wire,Allectra,https://www.allectra.com/products/301-kapm-035-10m/,vendor product page,2026-07-12,"0.7-mm-OD single silver-plated-copper Kapton wire rated 300C for UHV",verified,"Untwisted singles need a defined pairing/shielding/strain-relief plan; silver/plating stack needs magnetic confirmation"
S016,Aluminum wedge bonds aged to 250C,Johannessen et al. / SINTEF,https://www.sintef.no/en/publications/publication/1274740/,peer-reviewed paper record,2026-07-12,"25-um Al wedge bonds aged at up to 250C for 6-12 months; Al to thin-film Au was reported reliable for Au thickness up to about 1 um",conditional,"Coupon substrates/processes are not the actual die/LCC/UHV stack; actual pad metal thickness wire and bonding recipe require qualification"
S017,Thermal soaking of small aluminum wire bonds,NASA Technical Reports Server,https://ntrs.nasa.gov/citations/19750024389,government test report,2026-07-12,"150C 72-h exposure reduced pull strength substantially for Al bonds on both thick- and thin-film Au in tested assemblies",conditional,"Older materials/processes and 150C exposure are not direct project qualification; supports aged-distribution testing rather than a design limit"
S018,Au-Al ball-bond degradation at 175 and 250C,Journal of Materials Research,https://www.cambridge.org/core/journals/journal-of-materials-research/article/degradation-and-failure-mechanisms-in-thermally-exposed-aual-ball-bonds/C4FF4BA55BF4F1AFED224396ECB84E85,peer-reviewed paper,2026-07-12,"Au wire on Al pads develops intermetallic transformations cavities and failure mechanisms during thermal exposure including 250C",conditional,"Opposite wire/pad direction from the proposed Al-wire-to-Au-shelf interface; relevant warning not a direct lifetime prediction"
S019,MIL-STD-883 active document landing,DLA Quick Search,https://quicksearch.dla.mil/qsDocDetails.aspx?ident_number=283310,government standard landing,2026-07-12,"MIL-STD-883 is active and current revisions/changes are controlled at DLA",verified,"Project must freeze the exact revision/change in its traveler before accepting numeric criteria"
S020,MIL-STD-883 Part 2 Method 2011 bond pull,DLA Land and Maritime,https://landandmaritimeapps.dla.mil/Downloads/MilSpec/Docs/MIL-STD-883/std883-2.pdf,government standard,2026-07-12,"Method 2011 destructive bond-pull apparatus specimen representation and minimum-force framework",verified,"MIL minimums alone do not establish continuous-250C life; actual geometry and aged control distributions are required"
S021,NASA-STD-8739.4 crimp harness workmanship,NASA,https://standards.nasa.gov/standard/nasa/nasa-std-87394,government standard landing,2026-07-12,"Active workmanship standard for critical crimp cable and harness assemblies",verified,"Workmanship acceptance is not a 250C-UHV material or lifetime qualification"
S022,NASA-STD-8739.4A with Change 2,NASA,https://standards.nasa.gov/sites/default/files/standards/NASA/A/2/nasa-std-87394a_w_change_2.pdf,government standard,2026-07-12,"Detailed crimp harness process inspection and acceptance controls",verified,"Applicability to custom miniature vacuum joints must be tailored and documented"
S023,Resistance welding stranded copper wire,microJoining Solutions,https://www.microjoining.com/docs/1352551504_microtip_resistance_stranded_copper_wire.pdf,equipment/process supplier paper,2026-07-12,"Resistance welding stranded copper to terminals is feasible with alloy/plating/geometry-specific process development",conditional,"Not an off-the-shelf qualified joint; requires actual-material DOE pull resistance cross-section and thermal-vacuum aging"
S024,Plating effects in resistance welding,microJoining Solutions,https://www.microjoining.com/docs/1352550977_microtip_plating_issues.pdf,equipment/process supplier paper,2026-07-12,"Gold finish type and plated-surface condition materially affect weld consistency",verified,"Qualitative process warning; no project-specific weld schedule"
S025,Electrical contacts for high temperature applications,Deringer-Ney,https://deringerney.com/products/electrical-contacts/,manufacturer capability page,2026-07-12,"Custom separable contacts for operation up to 250C and attachment by laser/resistance welding solder crimp or braze are commercially credible",conditional,"No UHV outgassing magnetic-permeability or continuous-force qualification for a proposed contact geometry"
S026,Paliney 7 contact alloy,Deringer-Ney,https://deringerney.com/products/precious-metal-alloys/paliney-7/,manufacturer material page,2026-07-12,"Age-hardenable precious-metal contact alloy with 1015C solidus and high-strength contact use",conditional,"Composition magnetic permeability UHV behavior exact temper and 250C stress-relaxation acceptance need vendor declaration"
S027,Ney Contact Manual,Deringer-Ney,https://deringerney.com/wp-content/uploads/2022/04/Ney-Contact-Manual-Revised-1st-Edition.pdf,manufacturer engineering manual,2026-07-12,"Stress-relaxation curves at 200/250C for Paliney contact alloys and contact-design guidance",conditional,"Graph values depend on alloy temper initial stress and time; actual geometry requires analysis and coupon validation"
S028,Victrex PEEK material properties,Victrex,https://www.victrex.com/en/material-properties,manufacturer material page,2026-07-12,"PEEK family temperature capability and grade-dependent property framework",conditional,"Family-level maximum cannot qualify an unspecified grade as a structural preload element at 250C"
S029,Victrex PEEK product guide,Victrex,https://www.victrex.com/-/media/downloads/technical-guides/victrex-product-guide-victrex-peek-properties-en-09-2018.pdf,manufacturer technical guide,2026-07-12,"Tg about 143C; CTE rises above Tg; listed RTI values distinguish electrical and mechanical categories",verified,"RTI is not vacuum creep or contact-preload retention; 250C exceeds listed mechanical-without-impact RTI for unfilled grades"
S030,Temperature effects on copper-alloy properties,Materion,https://www.materion.com/en/insights/blog/in-our-element-temperature-affect-material-properties,manufacturer technical article,2026-07-12,"Creep/stress relaxation are time-temperature processes; C17200 precipitation begins near 260C and long-term exposure must be considered",conditional,"No exact retained-force curve for the proposed BeCu temper/stress at 250C"
S031,EPO-TEK 353ND technical data sheet,Epoxy Technology,https://www.epotek.com/docs/en/Datasheet/353ND.pdf,manufacturer datasheet,2026-07-12,"150C/1-h recommended cure; Tg at least 90C; weight-loss tests include 250C; suggested operating temperature below 350C is intermittent; ASTM E595 pass with proper cure",verified,"Typical values are guidance not guaranteed; no continuous-250C load-bearing life in UHV and operating point is far above Tg"
S032,Epoxy adhesive test measurement guide,Epoxy Technology,https://www.epotek.com/docs/en/Related/Epoxy%20Adhesive%20Test%20Measurement%20Guide.pdf,manufacturer technical guide,2026-07-12,"353ND example NASA outgassing values TML 0.81 percent and CVCM 0.01 percent after specified cure",verified,"ASTM E595 screening is a 125C vacuum test and does not establish continuous 250C mechanical/electrical life"
S033,NASA outgassing database user guide,NASA GSFC,https://etd.gsfc.nasa.gov/capabilities/outgassing-database/user-guide/,government test-method guide,2026-07-12,"ASTM E595 database method exposes samples in vacuum at 125C and reports TML/CVCM/WVR; historical screening thresholds 1.0/0.10 percent",verified,"Spaceflight screening is not a UHV pressure-outgassing rate or continuous-250C qualification"
S034,Gold-tin solder alloy PDS,Indium Corporation,https://documents.indium.com/qdynamo/download.php?docid=328,manufacturer datasheet,2026-07-12,"80Au20Sn eutectic melts at 280C and has published mechanical properties",verified,"Only 30C liquidus margin over 250C; no joint-creep UHV or sensor-stack qualification and no load path should rely on it without test"
S035,Power semiconductor assembly alloy table,Indium Corporation,https://scp.indium.com/download-files/power_semiconductor_assembly_98464_r0.pdf,manufacturer technical guide,2026-07-12,"AuSn 280C; AuGe 356C; AuSi 363C eutectic joining options",verified,"Higher-temperature alloys require metallization/wetting studies and process temperatures may damage an assembled sensor/LCC"
S036,ADG1208 ADG1209 Rev E datasheet,Analog Devices,https://www.analog.com/media/en/technical-documentation/data-sheets/ADG1208_1209.pdf,manufacturer datasheet,2026-07-12,"ADG1209 uses A0/A1/EN; 2.0-V high threshold; 2-pF typical digital input capacitance at dual supply; 120-ohm typical on resistance; active product",verified,"Live board also exposes a2 for its eight-state system; netlist remains authoritative for actual fanout"
S037,ADG5236 Rev B datasheet,Analog Devices,https://www.analog.com/media/en/technical-documentation/data-sheets/adg5236.pdf,manufacturer datasheet,2026-07-12,"3-V logic compatibility; 2.0-V high threshold; 3-pF typical digital input capacitance; recommended for new designs",verified,"Board net mapping and cable capacitance still determine total fanout and edge integrity"
S038,AD8429 Rev A datasheet,Analog Devices,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8429.pdf,manufacturer datasheet,2026-07-12,"1-nV/sqrt-Hz input noise; gain 1-10000; 1.2-MHz bandwidth at gain 100; -40 to 125C specified",verified,"Does not resolve the live board's 109x amplitude anomaly; analog electronics are ambient only"
S039,RP2350 datasheet,Raspberry Pi,https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf,manufacturer datasheet,2026-07-12,"GPIO drive is programmable 2/4/8/12 mA; slow/fast slew control; ADC is a shared on-chip peripheral rather than three simultaneous converter cores",verified,"GPIO cable capacitance and timing must be measured in the assembled three-board harness; on-chip ADC should not be assumed simultaneous"
S040,Raspberry Pi Pico 2 product page,Raspberry Pi,https://www.raspberrypi.com/products/raspberry-pi-pico-2/,manufacturer product page,2026-07-12,"Pico 2 has 26 multifunction GPIO and three ADC-capable channels; production commitment through at least January 2040",verified,"Three ADC pins do not imply simultaneous sampling; product page does not specify acquisition skew"
S041,InfiniiVision 1000 X-Series data sheet,Keysight,https://www.keysight.com/zz/en/assets/7018-06411/data-sheets/5992-3484.pdf,manufacturer datasheet,2026-07-12,"DSOX1204G family provides four analog channels up to 2 GSa/s and 2-Mpoint memory with 8-bit ADC",verified,"Actual sample-rate sharing acquisition mode channel skew anti-aliasing and data export must be configured and bench-verified"
S042,DSOX1204G product page,Keysight,https://www.keysight.com/sg/en/product/DSOX1204G/oscilloscope-70-100-200-mhz-4-analog-channels-waveform-generator.html,manufacturer product page,2026-07-12,"Four analog channels; 2 GSa/s maximum; 2 Mpoints; 70-MHz base bandwidth; 8-bit ADC",verified,"Pricing/options and exact installed bandwidth are lab-specific; scope is a validation/acquisition option not a deterministic embedded DAQ"
S043,RS6 series DC-DC datasheet,RECOM Power,https://recom-power.com/pdf/Econoline/RS6.pdf,manufacturer datasheet,2026-07-12,"RS6-2415D provides isolated +/-15V; 1.6-kVDC one-minute isolation; 110-pF max isolation capacitance; isolation is functional",verified,"Three boards need three independent modules/returns; functional isolation is not a protective-earth safety barrier and common 24-V input can couple noise"
S044,CoorsTek thick-film substrate design guide,CoorsTek,https://www.coorstek.com/media/4221/thick-film-ceramic-substrates-design-guide.pdf,manufacturer design guide,2026-07-12,"Representative ceramic rules favor radiused internal corners; hole/edge webs at least substrate thickness; typical laser-machined tolerances are documented for substrates",conditional,"Guide is for CoorsTek substrates not the proposed 3D zirconia parts; use only as DFM direction pending zirconia-vendor review"
S045,Ceramic injection molding design guidance,CoorsTek,https://coorstek.com/en/products-applications/ceramic-injection-molding/,manufacturer process guidance,2026-07-12,"Thin uniform sections and flat support surfaces improve processability; complex zirconia forms may be molded/joined",conditional,"Tooling economics likely unsuitable for 1-10 prototypes; vendor RFQ decides"
S046,UHV accessory components,CeramTec Ceramaseal,https://www.ceramtec-industrial.com/en/products-applications/hermetically-sealed-components/ceramaseal-accessories,manufacturer product page,2026-07-12,"Ceramic UHV accessories and in-vacuum cables are available with ratings above 250C",verified,"Not a direct miniature LCC disconnect solution; part-specific materials geometry and magnetic properties must be checked"
S047,Combo Lids square,Spectrum Semiconductor Materials,https://www.spectrum-semi.com/products/combo-lid-square,manufacturer product page,2026-07-12,"CL-30010 is a 0.300-in square combo lid; standard combo lids use Alloy 42 or Kovar, nickel/gold plating and an attached 80Au20Sn frame",verified,"Ferromagnetic alloy/nickel and a sealed/preform architecture conflict with the near-sensor magnetic and vented-UHV baseline; no project-specific field calculation"
S048,19C PEEK female connector drawing and wiring caution,Accu-Glass Products,https://www.accuglassproducts.com/sites/default/files/PDF/Partpdf/110240.pdf,manufacturer drawing,2026-07-12,"Official 19-cavity rear-view number pattern; numbers do not appear on the part; pin-1 position reverses/mirrors across a male-to-male feedthrough; Type-T2 contact options",verified,"Drawing caution text names 9C in one sentence while the sheet is the 19C connector; apply the explicitly shown 19-cavity pattern and prove all 19 paths by continuity; PEEK/contact continuous-250C life remains open"
S049,SN74LVC125A quad buffer Rev T,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn74lvc125a.pdf,manufacturer datasheet,2026-07-12,"Active four-channel 1.65-3.6V three-state buffer; 5-pF typical input capacitance; 3.3V propagation/drive specifications; independent output enables",verified,"Ambient junction candidate only; exact package, OE power-up behavior, branch resistor, cable and fault performance require schematic and bench validation"
S050,Complex Shape Forming Technology F-Molding and zirconia properties,Kyocera,https://global.kyocera.com/prdct/fc/technologies/001.html,manufacturer process and material page,2026-07-12,"Representative zirconia ZO206N properties include 10.4e-6/K CTE from 40-400 C; 1100 MPa three-point flexural strength; 210 GPa modulus; near-net forming plus final grinding process sequence",verified,"Representative in-house values are explicitly not guaranteed specifications; the project part needs a drawing-specific grade process tolerance and strength basis"
S051,TIMETAL 75A commercially pure titanium Grade 4 datasheet,TIMET,https://www.timet.com/assets/local/documents/datasheets/cpgrades/75a.pdf,manufacturer datasheet,2026-07-12,"ASTM Grade 4 equivalent; nonmagnetic; mean CTE 9.5e-6/K from 20-300 C; typical continuous service up to 425 C; elevated-temperature strength data",verified,"Material-property basis only; it does not qualify a formed miniature flexure fastener cleaning state galling behavior or retained force in this exact 250 C UHV assembly"
S052,SNZT-M1.6 titanium miniature screws,NBK America,https://www.nbk1560.com/en-US/products/specialscrew/nedzicom/titaniumscrew/SNZT/SNZT-M1.6/,manufacturer product page,2026-07-12,"Grade 1 Ti M1.6 screws in 3-6 mm lengths; 2.3 mm head diameter; cleanroom wash and packing; magnetic permeability 1.0001 representative; 0.07 N m listed maximum tightening torque",verified,"Geometry/commercial candidate only; not vented and no continuous-250 C UHV service qualification; baseline material remains custom CP-Ti Grade 4 or qualified equivalent and exact fastener is HOLD"
S053,Vented screws and vacuum screws overview,NBK,https://www.nbk1560.com/en/products/specialscrew/nedzicom/vacuumscrew/,manufacturer product page,2026-07-12,"Vacuum fasteners use ventilation holes to discharge gas trapped beneath threads and reduce virtual-leak behavior; titanium vented families are available in larger sizes",verified,"The titanium vented catalog families found start above the modeled miniature axes; no exact M1.4/M1.6 250 C UHV part is established; use open through-holes or custom vented hardware pending qualification"
S054,Green Bonding alumina representative properties,Kyocera,https://global.kyocera.com/prdct/fc/technologies/003.html,manufacturer process and material page,2026-07-12,"Representative alumina material CTE 7.2e-6/K from 40-400 C",conditional,"Used only for a sensitivity calculation; Spectrum must confirm the actual LCC02046 ceramic grade and its dimensional/thermal data before release"
S055,InfiniiVision 1000 X-Series oscilloscope data sheet,Keysight,https://www.keysight.com/sg/en/assets/7018-06411/data-sheets/5992-3484.pdf,manufacturer data-sheet asset,2026-07-12,"The DSOX1204G family has four analog-channel models and documents bandwidth sample-rate and acquisition features",conditional,"The accessible data-sheet text does not establish galvanic channel isolation or a channel-to-channel aperture-skew bound; all BNC shells are treated as common grounded instrumentation until the exact unit/manual and bench test prove otherwise"
S056,High-precision laser processing technology,Kyocera,https://global.kyocera.com/prdct/fc/technologies/020.html,manufacturer process and material page,2026-07-13,"Laser processing supports small-lot CAD-driven production without a mold; Kyocera explicitly identifies mold-cost and lead-time reduction and lists alumina grades through 99.6 percent; representative guidance covers plates up to 1.0 mm and hole tolerance plus or minus 0.05 mm",conditional,"Commercial process capability and representative material values only; no drawing-specific price UHV cleaning edge strength or continuous-life guarantee for the HSX guard"
S057,Polished alumina substrates,Kyocera,https://global.kyocera.com/prdct/fc/industries/products/069.html,manufacturer product page,2026-07-13,"99.6 percent alumina polished substrates are offered in standard 0.25 0.38 and 0.635 mm thicknesses with representative plus or minus 0.02 mm thickness tolerance below 3 inch square",conditional,"Does not establish that a 10.90 mm guard with window and notch is stocked or UHV-qualified; exact lot process edge finish and price require RFQ"
S058,Production and processing of ceramic substrates,CeramTec,https://www.ceramtec-industrial.com/en/products-applications/substrates/manufacturing-and-processing,manufacturer process page,2026-07-13,"CeramTec lists stamping laser cutting dry pressing and hard machining; laser-cut alumina supports external contours through holes and CAD-driven prototypes without tooling and is described as economical at small and large volumes",conditional,"Marketing/process capability is not a quote or qualification; the project must obtain drawing-specific DFM cost cleanliness chip-edge and hot-vacuum evidence"
S059,Miniature 3-dimensional package for MEMS sensors EP1642365B1,European Patent Office,https://data.epo.org/publication-server/rest/v1.2/patents/EP1642365NWB1/document.pdf,official patent publication,2026-07-13,"Shows orthogonal ceramic sensor mounting surfaces accepting individually packaged LCC devices and explicitly describes individual sensor rework",conditional,"Architecture inspiration only; the recessed monolithic package is not evidence of low cost UHV compatibility 250 C life or the HSX envelope"
S060,Three-axis prismatic Hall probe for K3A,SENIS,https://www.senis.swiss/wp-content/uploads/2023/03/3-Axis-Prismatic-Hall-Probe-for-K3A-Cryogenic-Magnetic-Field-Transducers_rev.1.0.pdf,manufacturer datasheet,2026-07-13,"A commercial 9.0 x 4.5 x 4.5 mm three-axis probe uses three discrete Hall sensors in a printed alumina ceramic package and a remote cable/electronics architecture",conditional,"Geometry inspiration only; cryogenic product uses a different sensor/assembly and does not establish independent LCC reuse 250 C UHV no-adhesive retention or HSX calibration"
