task_id,artifact_scope,requested_model,requested_effort,observed_model,observed_effort,evidence_path,evidence_strength,downgrade,verdict
PATCH-2030-TIMING,"config/support: patch installing the 2030 company-launch timing constraint; configuration only","claude-fable-5",xhigh,"NOT_APPLICABLE (actual_model=not_run_patch_configuration in log)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 130, source=patch); sources/old06/05_STATE/2030_COMPANY_LAUNCH_PATCH_2026-07-12.md; sources/old06/05_STATE/PROGRESS_LOG.md (line 21)",config_request_only,none_recorded,UNKNOWN
ORCH-SESSION-1,"session record: Claude Code session 1 (launched 2026-07-12T07:27Z; P0 init, P1 waves 1-3, wave-4 dispatch; exited per launcher at 10:08Z local 03:08)","claude-fable-5 (orchestrator main thread)",xhigh,"claude-fable-5 on every main-thread assistant record (140 fable-model record lines; 2472 sonnet-model record lines all in scout/verifier sidechains; 1 '<synthetic>' system record; no other model strings)","NOT_RECORDED (no runtime effort field exists in any transcript; only slash-command metadata and prose contain the word effort)","sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl; sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
ORCH-SESSION-2,"session record: Claude Code session 2 (launched 17:38Z; only wave-4 L13-L16 scout redispatch; interrupted ~17:41Z)","claude-fable-5 (orchestrator main thread)",xhigh,"claude-fable-5 on main-thread records (48 fable-model lines; 527 sonnet-model lines in scout sidechains; no other models)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/claude_20260712_103843.jsonl (Agent dispatches lines 125/147/183/236); sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 73-76, 79-82)",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
ORCH-SESSION-3,"session record: Claude Code session 3 (launched 17:55Z; P1 wave 4 + top-ups, P2 validation + atlas adjudication, P3 round-1 seeds A-D and W)","claude-fable-5 (orchestrator main thread)",xhigh,"claude-fable-5 on main-thread and idea-architect sidechain records (498 fable-model lines; 1888 sonnet-model lines in scout/verifier sidechains; no other models)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (22 Agent dispatches, lines 122-5641)",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
ORCH-SESSION-4,"session record: Claude Code session 4 (launched 2026-07-13T00:12Z; P2A audit + adjudication, P3R2 full round, longlist freeze, P4 groups + curation, scorer A/B dispatch; interrupted)","claude-fable-5 (orchestrator main thread)",xhigh,"claude-fable-5 on main-thread and all Fable-task sidechain records (1829 fable-model lines; 3314 sonnet-model lines in P2A/P4 sidechains; no other models)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/claude_20260712_171240.jsonl (50 Agent dispatches, lines 181-11643); sources/old06/30_SCREENING/LONGLIST.md (frozen 2026-07-13T10:51:59Z)",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
ORCH-SESSION-5,"session record: Claude Code session 5 (launched 16:07Z; P4 scorer S1-S4 retry dispatch; ended before scorers completed; ChatGPT continuation began 22:05 local)","claude-fable-5 (orchestrator main thread)",xhigh,"claude-fable-5 on every model-bearing record in the session (250 fable-model lines; zero sonnet; no other models)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/claude_20260713_090735.jsonl (Agent dispatches lines 176/190/211/246)",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
P0-ORCHESTRATOR-INIT,"support/state: P0 initialization, anti-anchoring plan, assumptions, folder/state setup by orchestrator","claude-fable-5",xhigh,"claude-fable-5 (session-1 main-thread records; work not separately dispatched)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 6, complete); sources/old06/05_STATE/PROGRESS_LOG.md (line 5); sources/old06/05_STATE/ANTI_ANCHORING_PLAN.md; sources/old06/05_STATE/ASSUMPTIONS.md; sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl",runtime_transcript_aggregate,none_recorded,PARTIAL_PROVENANCE
P1-L01-SCOUT,"source discovery: lane L01 industrial plasma scout; outputs sources/old06/10_SOURCE_ATLAS/L01_raw_sources.json + L01_industrial_plasma.md (present); first dispatch failed (lane-scout agent type unregistered) then general-purpose retry pinned to sonnet","claude-sonnet-5","medium (initial); agent-reported (retry)","claude-sonnet-5 (retry sidechain: 81 assistant records model=claude-sonnet-5, 0 fable, parent_tool_use_id=toolu_01W7aF22bLHSjDHDhSSzjUhB)","NOT_RECORDED (log: unknown, agent-reported model verified)","sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 7/11/15/19); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (failed dispatch line 201; retry dispatch line 258)",strong_runtime_sidechain,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L02-SCOUT,"source discovery: lane L02 power electronics scout; outputs L02_raw_sources.json + L02_power_electronics.md (present); failed first dispatch then sonnet-pinned retry","claude-sonnet-5","medium; agent-reported","claude-sonnet-5 per paired orchestrator log; session-1 sidechains are sonnet-only in aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 8/12/16/20); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (dispatches lines 203, 276)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L03-SCOUT,"source discovery: lane L03 superconducting systems scout; outputs L03_* (present)","claude-sonnet-5","medium; agent-reported","claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 9/13/17/21); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (lines 205, 309)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L04-SCOUT,"source discovery: lane L04 heat-to-power scout; outputs L04_* (present)","claude-sonnet-5","medium; agent-reported","claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 10/14/18/22); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (lines 207, 339)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L01-VERIFY,"source screening: lane L01 verification wave 1; output L01_verified_sources.json (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 23/27); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 1313)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L02-VERIFY,"source screening: lane L02 verification wave 1; output L02_verified_sources.json (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 24/28); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 1328)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L03-VERIFY,"source screening: lane L03 verification wave 1; output L03_verified_sources.json (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 25/29); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 1340)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L04-VERIFY,"source screening: lane L04 verification wave 1; output L04_verified_sources.json (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 26/30); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 1379)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L05-SCOUT,"source discovery: lane L05 pulsed power scout wave 2; outputs L05_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 31/35); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 2340)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L06-SCOUT,"source discovery: lane L06 semicon subsystems scout wave 2; outputs L06_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 32/36); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 2364)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L07-SCOUT,"source discovery: lane L07 vacuum ultraclean scout wave 2; outputs L07_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 33/37); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 2403)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L08-SCOUT,"source discovery: lane L08 DC grids scout wave 2; outputs L08_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 34/38); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 2427)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L05-VERIFY,"source screening: lane L05 verification wave 2","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 39/43); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 3419)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L06-VERIFY,"source screening: lane L06 verification wave 2","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 40/44); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 3431)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L07-VERIFY,"source screening: lane L07 verification wave 2","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 41/45); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 3443)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L08-VERIFY,"source screening: lane L08 verification wave 2","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 42/46); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 3458)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L09-SCOUT,"source discovery: lane L09 space power scout wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 47/51); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 4506)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L10-SCOUT,"source discovery: lane L10 heavy electrification scout wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 48/52); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 4524)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L11-SCOUT,"source discovery: lane L11 electrochemical power scout wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 49/53); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 4557)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L12-SCOUT,"source discovery: lane L12 photonics lasers scout wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 50/54); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 4605)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L09-VERIFY,"source screening: lane L09 verification wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 55/59); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 5823)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L10-VERIFY,"source screening: lane L10 verification wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 56/60); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 5835)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L11-VERIFY,"source screening: lane L11 verification wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 57/61); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 5852)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L12-VERIFY,"source screening: lane L12 verification wave 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 58/62); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 5874)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L13-SCOUT,"source discovery: lane L13 big-science electronics scout wave 4; dispatched three times across sessions 1/2/3 after two session interruptions; completed in session 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 63/69/73/79/83/90); sources/old06/98_RUN_LOGS/claude_20260712_002709.jsonl (line 7102); sources/old06/98_RUN_LOGS/claude_20260712_103843.jsonl (line 125); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 122)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L14-SCOUT,"source discovery: lane L14 extreme thermal scout wave 4; three dispatches across sessions 1/2/3; completed in session 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 64/70/74/80/84/87); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 154)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L15-SCOUT,"source discovery: lane L15 harsh-env electronics scout wave 4; three dispatches across sessions 1/2/3; completed in session 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 65/71/75/81/85/89); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 190)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L16-SCOUT,"source discovery: lane L16 wildcards scout wave 4; three dispatches across sessions 1/2/3; completed in session 3","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 66/72/76/82/86/88); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 244)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L13-VERIFY,"source screening: lane L13 verification wave 4","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 91/98); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 1673)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L14-VERIFY,"source screening: lane L14 verification wave 4","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 92/95); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 1691)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L15-VERIFY,"source screening: lane L15 verification wave 4","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 93/96); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 1720)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L16-VERIFY,"source screening: lane L16 verification wave 4","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 94/97); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 1761)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L01-T1TOPUP-SCOUT,"source discovery: L01 strictly-T1 top-up scout; outputs L01_t1topup_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 99/103); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 2951)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L02-T1TOPUP-SCOUT,"source discovery: L02 strictly-T1 top-up scout; outputs L02_t1topup_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 100/106); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 2979)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L04-T1TOPUP-SCOUT,"source discovery: L04 strictly-T1 top-up scout; outputs L04_t1topup_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 101/105); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 3002)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L09-T1TOPUP-SCOUT,"source discovery: L09 strictly-T1 top-up scout; outputs L09_t1topup_* (present)","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 102/104); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 3027)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L01-T1TOPUP-VERIFY,"source screening: L01 T1 top-up verification","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 107/112); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 4062)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L02-T1TOPUP-VERIFY,"source screening: L02 T1 top-up verification","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 108/113); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 4083)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L04-T1TOPUP-VERIFY,"source screening: L04 T1 top-up verification","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 109/111); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 4103)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P1-L09-T1TOPUP-VERIFY,"source screening: L09 T1 top-up verification","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 110/114); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 4152)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
P2-FETCHFIX,"repair/support: mechanical repair of 4 accepted records with fetched=false before source-validation pass","claude-sonnet-5",agent-reported,"claude-sonnet-5 per paired orchestrator log + session-3 aggregate",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 115/116); sources/old06/98_RUN_LOGS/claude_20260712_105503.jsonl (line 4788)",orchestrator_log_paired,none_recorded_policy_sonnet_route,PARTIAL_PROVENANCE
