original_archive_path,fixed_archive_path
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.html,P/01/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.html
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.md,P/01/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.html,P/01/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.html
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/SPECS.md,P/01/02_HSX_Hall_Sensor_Readout/docs/SPECS.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.md,P/01/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/CLAUDE.md,P/01/02_HSX_Hall_Sensor_Readout/CLAUDE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/analysis/,P/01/02_HSX_Hall_Sensor_Readout/analysis/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/analysis/figures/,P/01/02_HSX_Hall_Sensor_Readout/analysis/figures/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/analysis/figures/2026-07-08_spin_verify.png,P/01/02_HSX_Hall_Sensor_Readout/analysis/figures/2026-07-08_spin_verify.png
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/analysis/spin_verify_nosync.py,P/01/02_HSX_Hall_Sensor_Readout/analysis/spin_verify_nosync.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/analysis/hsx_demod_scope_csv.py,P/01/02_HSX_Hall_Sensor_Readout/analysis/hsx_demod_scope_csv.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/,P/01/02_HSX_Hall_Sensor_Readout/circuit/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/hsx_setup_v1_Y23.zip,P/01/02_HSX_Hall_Sensor_Readout/circuit/hsx_setup_v1_Y23.zip
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/ltspice_1.pdf,P/01/02_HSX_Hall_Sensor_Readout/circuit/ltspice_1.pdf
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/hsx_2026_v1.net,P/01/02_HSX_Hall_Sensor_Readout/circuit/hsx_2026_v1.net
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/kicad_01.pdf,P/01/02_HSX_Hall_Sensor_Readout/circuit/kicad_01.pdf
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/circuit/hall_sensor_measurement_system_v1.net,P/01/02_HSX_Hall_Sensor_Readout/circuit/hall_sensor_measurement_system_v1.net
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/journal/,P/01/02_HSX_Hall_Sensor_Readout/journal/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md,P/01/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.html,P/01/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.html
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/NOTES.md,P/01/02_HSX_Hall_Sensor_Readout/NOTES.md
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/,P/01/03_HSX_Vector_Probe_RSI2026/
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/.claude/,P/01/03_HSX_Vector_Probe_RSI2026/.claude/
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/.claude/settings.json,P/01/03_HSX_Vector_Probe_RSI2026/.claude/settings.json
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/docs/,P/01/03_HSX_Vector_Probe_RSI2026/docs/
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.html,P/01/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.html
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md,P/01/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/CLAUDE.md,P/01/03_HSX_Vector_Probe_RSI2026/CLAUDE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/NOTES.md,P/01/03_HSX_Vector_Probe_RSI2026/NOTES.md
PHD_HYBRID_2026-07-27/01_PhD_Research/RUN_PHD_RESEARCH.ps1,P/01/RUN_PHD_RESEARCH.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/tools/,P/01/tools/
PHD_HYBRID_2026-07-27/01_PhD_Research/tools/md2html.py,P/01/tools/md2html.py
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/,P/01/.claude/
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/agents/,P/01/.claude/agents/
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/agents/rsi-editor.md,P/01/.claude/agents/rsi-editor.md
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/commands/,P/01/.claude/commands/
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/commands/log.md,P/01/.claude/commands/log.md
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/commands/specs.md,P/01/.claude/commands/specs.md
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/commands/deep.md,P/01/.claude/commands/deep.md
PHD_HYBRID_2026-07-27/01_PhD_Research/.claude/settings.json,P/01/.claude/settings.json
PHD_HYBRID_2026-07-27/01_PhD_Research/VALIDATOR_PS51_HOTFIX_2026-07-24.md,P/01/VALIDATOR_PS51_HOTFIX_2026-07-24.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/MODEL_POLICY.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/MODEL_POLICY.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RUN_HYBRID_RADIATION_ANALYSIS.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RUN_HYBRID_RADIATION_ANALYSIS.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/VALIDATE_PACKAGE.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/VALIDATE_PACKAGE.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/TEST_CLAUDE_MODELS.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/TEST_CLAUDE_MODELS.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/70_redteam.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/70_redteam.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10d_evidence_merge.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10d_evidence_merge.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/60_research_program.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/60_research_program.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/50_limitations_comparison.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/50_limitations_comparison.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10b_literature_radiation.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10b_literature_radiation.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/80_synthesis.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/80_synthesis.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/00_inventory.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/00_inventory.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10c_literature_applications.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10c_literature_applications.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/40_applications_collaboration.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/40_applications_collaboration.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10a_literature_hybrid.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/10a_literature_hybrid.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/_shared_system.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/_shared_system.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/20_observability.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/20_observability.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/30_radiation_compensation.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/prompts/30_radiation_compensation.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/LITERATURE_SEEDS.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/LITERATURE_SEEDS.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/outputs/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/outputs/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/OFFICIAL_SETUP_REFERENCES.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/OFFICIAL_SETUP_REFERENCES.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/MISSION.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/MISSION.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/SOURCE_POLICY.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/SOURCE_POLICY.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/tools/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/tools/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/.claude/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/.claude/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/.claude/settings.json,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/.claude/settings.json
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/evidence/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/evidence/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/PERFORMANCE_LOG.csv,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/PERFORMANCE_LOG.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/PROJECT_STATE.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/PROJECT_STATE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/CLAUDE_EVENT_LOG.jsonl,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/CLAUDE_EVENT_LOG.jsonl
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/OPERATION_LOG.csv,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/OPERATION_LOG.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/MODEL_EFFORT_LOG.csv,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/MODEL_EFFORT_LOG.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/SESSION_INDEX.csv,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/SESSION_INDEX.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/WORKLOG.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/state/WORKLOG.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_MANIFEST.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_MANIFEST.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_VALIDATION.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_VALIDATION.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/DECISION_FRAMEWORK.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/DECISION_FRAMEWORK.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/logs/,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/logs/
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/logs/RUN_HISTORY.jsonl,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/logs/RUN_HISTORY.jsonl
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/AGENTS.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/AGENTS.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CLAUDE.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CLAUDE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CHECKPOINT_PROTOCOL.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CHECKPOINT_PROTOCOL.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/EXECUTION_PLAN.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/EXECUTION_PLAN.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RESUME_GUIDE.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RESUME_GUIDE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/README_START.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/README_START.md
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/INVOKE_CLAUDE_CHILD.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/INVOKE_CLAUDE_CHILD.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/README_START_HERE.md,P/01/README_START_HERE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/MODEL_ROUTING_HYBRID_RADIATION.md,P/01/MODEL_ROUTING_HYBRID_RADIATION.md
PHD_HYBRID_2026-07-27/01_PhD_Research/HYBRID_RADIATION_PACKAGE_TEST_REPORT_2026-07-27.md,P/01/HYBRID_RADIATION_PACKAGE_TEST_REPORT_2026-07-27.md
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/,P/01/07_HSX_august2025_results/
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/,P/01/07_HSX_august2025_results/hsx_20250821/
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_33.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_33.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_32.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_32.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_45.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_45.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_62.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_62.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/qhs_1T_1s_onvsoff.png,P/01/07_HSX_august2025_results/hsx_20250821/qhs_1T_1s_onvsoff.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_51.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_51.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_28.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_28.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_38.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_38.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_52.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_52.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_49.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_49.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_59.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_59.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_61.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_61.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/fig3.fig,P/01/07_HSX_august2025_results/hsx_20250821/fig3.fig
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_25.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_25.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_55.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_55.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_54.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_54.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_52.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_52.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_27.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_27.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/25_8_21_#21_overview.png,P/01/07_HSX_august2025_results/hsx_20250821/25_8_21_#21_overview.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_63.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_63.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_4.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_4.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/tmp.png,P/01/07_HSX_august2025_results/hsx_20250821/tmp.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_41.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_41.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_11.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_11.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_33.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_33.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/lowelon_05T.png,P/01/07_HSX_august2025_results/hsx_20250821/lowelon_05T.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_62.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_62.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_61.csv,P/01/07_HSX_august2025_results/hsx_20250821/scope_61.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/Fig3_SensorVerification_Combined.png,P/01/07_HSX_august2025_results/hsx_20250821/Fig3_SensorVerification_Combined.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/qhs_05T.png,P/01/07_HSX_august2025_results/hsx_20250821/qhs_05T.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/scope_9.png,P/01/07_HSX_august2025_results/hsx_20250821/scope_9.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/qhs_1T_1s_off.png,P/01/07_HSX_august2025_results/hsx_20250821/qhs_1T_1s_off.png
PHD_HYBRID_2026-07-27/01_PhD_Research/07_HSX_august2025_results/hsx_20250821/25_8_21_#19_overview.png,P/01/07_HSX_august2025_results/hsx_20250821/25_8_21_#19_overview.png
