original_archive_path,fixed_archive_path,path_token_replacements
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RUN_HYBRID_RADIATION_ANALYSIS.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RUN_HYBRID_RADIATION_ANALYSIS.ps1,2
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/VALIDATE_PACKAGE.ps1,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/VALIDATE_PACKAGE.ps1,1
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_MANIFEST.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/PACKAGE_MANIFEST.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CLAUDE.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/CLAUDE.md,3
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RESUME_GUIDE.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/RESUME_GUIDE.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/README_START.md,P/01/08_Hall_Coil_Hybrid_Radiation_Strategy_2026-07/README_START.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/README_START_HERE.md,P/01/README_START_HERE.md,4
PHD_HYBRID_2026-07-27/01_PhD_Research/AGENTS.md,P/01/AGENTS.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/RETRY_CLAUDE_AFTER_HANDOFF.md,P/01/RETRY_CLAUDE_AFTER_HANDOFF.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/CLAUDE.md,P/01/CLAUDE.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/01_PhD_Research_Folder_Info.md,P/01/01_Folder_Info.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/CLAUDE_ONLY_MIGRATION_2026-07-24.md,P/01/CLAUDE_ONLY_MIGRATION_2026-07-24.md,4
PHD_HYBRID_2026-07-27/01_PhD_Research/04_Magnetic_Sensor_Review_Sensors2026/README_SETUP.md,P/01/04_Magnetic_Sensor_Review_Sensors2026/README_SETUP.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/04_Magnetic_Sensor_Review_Sensors2026/CLAUDE.md,P/01/04_Magnetic_Sensor_Review_Sensors2026/CLAUDE.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/README_HYBRID_RADIATION_ANALYSIS.md,P/01/README_HYBRID_RADIATION_ANALYSIS.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/outputs/00_CLAIM_BASELINE.csv,P/01/06/_history/r0/outputs/00_CLAIM_BASELINE.csv,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/outputs/00_CONFLICT_LEDGER.md,P/01/06/_history/r0/outputs/00_CONFLICT_LEDGER.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/outputs/00_INPUT_INVENTORY.md,P/01/06/_history/r0/outputs/00_INPUT_INVENTORY.md,4
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/attempts/10a_literature_gan.json,P/01/06/_history/r0/state/attempts/10a_literature_gan.json,4
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/CHATGPT_HANDOFF.md,P/01/06/_history/r0/state/CHATGPT_HANDOFF.md,5
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/PROJECT_STATE.md,P/01/06/_history/r0/state/PROJECT_STATE.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/CLAUDE_EVENT_LOG.jsonl,P/01/06/_history/r0/state/CLAUDE_EVENT_LOG.jsonl,11924
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/OPERATION_LOG.csv,P/01/06/_history/r0/state/OPERATION_LOG.csv,108
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/attempt_state_before_retry.json,P/01/06/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/attempt_state_before_retry.json,6
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/CHATGPT_HANDOFF_before_retry.md,P/01/06/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/CHATGPT_HANDOFF_before_retry.md,7
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/CHATGPT_HANDOFF_STATE_before_retry.json,P/01/06/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/CHATGPT_HANDOFF_STATE_before_retry.json,7
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/USER_RETRY_AUTHORIZATION.json,P/01/06/_history/r0/state/handoff_history/retry_2026-07-24_185945_717_cycle_1_10a_literature_gan/USER_RETRY_AUTHORIZATION.json,3
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/CHATGPT_HANDOFF_STATE.json,P/01/06/_history/r0/state/CHATGPT_HANDOFF_STATE.json,5
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/checkpoints/CP_00_inventory_20260724-171635.md,P/01/06/_history/r0/state/checkpoints/CP_00_inventory_20260724-171635.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/SESSION_INDEX.csv,P/01/06/_history/r0/state/SESSION_INDEX.csv,13
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/CLAUDE_MODEL_CONNECTION_TEST.json,P/01/06/_history/r0/state/CLAUDE_MODEL_CONNECTION_TEST.json,8
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/state/build_10a_csv.py,P/01/06/_history/r0/state/build_10a_csv.py,3
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/RUN_HISTORY.jsonl,P/01/06/_history/r0/logs/RUN_HISTORY.jsonl,23
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/rejected_attempt_4_outputs/QUARANTINE_MANIFEST.json,P/01/06/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/rejected_attempt_4_outputs/QUARANTINE_MANIFEST.json,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/rejected_attempt_3_outputs/QUARANTINE_MANIFEST.json,P/01/06/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/rejected_attempt_3_outputs/QUARANTINE_MANIFEST.json,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/cycle_1_attempt_4_new/stream.jsonl,P/01/06/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/cycle_1_attempt_4_new/stream.jsonl,408
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/cycle_1_attempt_3_new/stream.jsonl,P/01/06/_history/r0/logs/run_2026-07-24_185945_717/10a_literature_gan/cycle_1_attempt_3_new/stream.jsonl,597
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/rejected_attempt_2_outputs/QUARANTINE_MANIFEST.json,P/01/06/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/rejected_attempt_2_outputs/QUARANTINE_MANIFEST.json,3
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/rejected_attempt_1_outputs/QUARANTINE_MANIFEST.json,P/01/06/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/rejected_attempt_1_outputs/QUARANTINE_MANIFEST.json,3
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/attempt_2_new/stream.jsonl,P/01/06/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/attempt_2_new/stream.jsonl,342
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/attempt_1_new/stream.jsonl,P/01/06/_history/r0/logs/run_2026-07-24_170610_693/10a_literature_gan/attempt_1_new/stream.jsonl,282
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/run_2026-07-24_170610_693/00_inventory/attempt_1_new/stream.jsonl,P/01/06/_history/r0/logs/run_2026-07-24_170610_693/00_inventory/attempt_1_new/stream.jsonl,478
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/claude_model_connection_test/fable/stream.jsonl,P/01/06/_history/r0/logs/claude_model_connection_test/fable/stream.jsonl,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/_history/r0/logs/claude_model_connection_test/sonnet/stream.jsonl,P/01/06/_history/r0/logs/claude_model_connection_test/sonnet/stream.jsonl,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/outputs/00_REQUIREMENTS_TRACE.csv,P/01/06/outputs/00_REQUIREMENTS_TRACE.csv,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/outputs/00_CLAIM_BASELINE.csv,P/01/06/outputs/00_CLAIM_BASELINE.csv,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/outputs/00_CONFLICT_LEDGER.md,P/01/06/outputs/00_CONFLICT_LEDGER.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/outputs/00_INPUT_INVENTORY.md,P/01/06/outputs/00_INPUT_INVENTORY.md,3
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/RUN_PHD_RESEARCH.ps1,P/01/06/RUN_PHD_RESEARCH.ps1,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/CHATGPT_HANDOFF.md,P/01/06/state/CHATGPT_HANDOFF.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/CLAUDE_EVENT_LOG.jsonl,P/01/06/state/CLAUDE_EVENT_LOG.jsonl,17366
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/OPERATION_LOG.csv,P/01/06/state/OPERATION_LOG.csv,154
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/CHATGPT_HANDOFF_STATE.json,P/01/06/state/CHATGPT_HANDOFF_STATE.json,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/SESSION_INDEX.csv,P/01/06/state/SESSION_INDEX.csv,24
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/CLAUDE_MODEL_CONNECTION_TEST.json,P/01/06/state/CLAUDE_MODEL_CONNECTION_TEST.json,8
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/state/WORKLOG.md,P/01/06/state/WORKLOG.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/RUN_HISTORY.jsonl,P/01/06/logs/RUN_HISTORY.jsonl,24
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/10a_literature_gan/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/10a_literature_gan/cycle_0_attempt_1_new/stream.jsonl,174
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/80_synthesis/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/80_synthesis/cycle_0_attempt_1_new/stream.jsonl,185
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/50_patent/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/50_patent/cycle_0_attempt_1_new/stream.jsonl,173
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/20_direction/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/20_direction/cycle_0_attempt_1_new/stream.jsonl,196
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/10c_literature_methods/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/10c_literature_methods/cycle_0_attempt_1_new/stream.jsonl,278
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/40_experiment/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/40_experiment/cycle_0_attempt_1_new/stream.jsonl,238
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/70_redteam/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/70_redteam/cycle_0_attempt_1_new/stream.jsonl,340
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/30_manuscript/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/30_manuscript/cycle_0_attempt_1_new/stream.jsonl,680
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/10b_literature_fusion/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/10b_literature_fusion/cycle_0_attempt_1_new/stream.jsonl,190
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/60_timeline/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/60_timeline/cycle_0_attempt_1_new/stream.jsonl,220
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/10d_literature_merge/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/10d_literature_merge/cycle_0_attempt_1_new/stream.jsonl,273
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/run_2026-07-24_231243_734/00_inventory/cycle_0_attempt_1_new/stream.jsonl,P/01/06/logs/run_2026-07-24_231243_734/00_inventory/cycle_0_attempt_1_new/stream.jsonl,923
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/claude_model_connection_test/fable/stream.jsonl,P/01/06/logs/claude_model_connection_test/fable/stream.jsonl,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/logs/claude_model_connection_test/sonnet/stream.jsonl,P/01/06/logs/claude_model_connection_test/sonnet/stream.jsonl,2
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/inputs/ORIGINAL_REQUEST.txt,P/01/06/inputs/ORIGINAL_REQUEST.txt,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/inputs/ORIGINAL_REQUEST_AND_SETUP.md,P/01/06/inputs/ORIGINAL_REQUEST_AND_SETUP.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/README_START.md,P/01/06/README_START.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/06_PhD_Strategy_and_HSX_Publication_2026-07/ENVIRONMENT_SETUP_MANIFEST.md,P/01/06/ENVIRONMENT_SETUP_MANIFEST.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/RUN_EVERYTHING.ps1,P/01/RUN_EVERYTHING.ps1,2
PHD_HYBRID_2026-07-27/01_PhD_Research/CHATGPT_WINDOWS_START_PROMPT.md,P/01/CHATGPT_WINDOWS_START_PROMPT.md,1
