uid,canonical_key,title,authors_or_org,publisher,year,date,source_type,tier,language,geography,url,doi,arxiv_id,patent_number,jurisdiction,assignee,verification,access_level,peer_review_status,accepted,first_accessed,last_accessed,projects,used_in,n_occurrences,claim_supported,notes
S03c794abb902,url:theva.com/products,"THEVA TAPESTAR — non-contact continuous critical-current scan of HTS tape, mm resolution; 'all well-known tape producers rely on this method'",THEVA Dünnschichttechnik GmbH,THEVA Duennschichttechnik GmbH,2026,2026,company,T2,en,DE,https://www.theva.com/products/,,,,,,fetched,full_page,not_applicable,True,2026-07-03,2026-07-13T00:00:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 03_C12_C10_Strategy_IP_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,02_MERGED_FULL_RANKING | 10_COMPETITORS/CS_D_coil_tape_qc.md | 20_UNSOLVED/U_D.md | 30_PHASE3_SCORING/REDTEAM_C33.md | DD-C33-08 | DD_C33 | INCUMBENTS | L03 | P3R2-D-02 | RT-C33-06,15,THEVA's TAPESTAR is a non-contact instrument producing 'continuous scans of the critical current along the tape with millimeter resolution' and detecting local faults/non-uniformities in the superconducting coating; THEVA states 'many laboratories and all well-known tape producers rely on this method'; a TAPESTAR XL model targets production-line incoming-goods inspection. THEVA is itself both a REBCO tape producer (Pro-Line) and the instrument vendor.,"Confirms the idea record's own competitor claim ('THEVA Tapestar-class -- judgment' in competition_outlook_2030) with a direct, named, fetched primary vendor source -- upgrades that competitor claim from judgment to confirmed. Crucially, THEVA is a tape maker selling its own QC tool, not an independent/buyer-trusted third-party acceptance-metrology vendor, which supports D-02's 'no neutral referee' wedge framing, though it also shows the specific contactless-Ic-scanning technique itself is not novel/undefended IP."
S4c775f253308,doi:10.1017/s1759078724000175,The conceptual design of the high-efficiency 400 kW solid-state power station at 352 MHz for the European Spallation Source (notes IBA supplies its own SSPA at 176 MHz for MYRRHA),Authors not itemized via direct Crossref works fetch this session (International Journal of Microwave and Wireless Technologies; European Spallation Source RF group),International Journal of Microwave and Wireless Technologies (Cambridge/Uppsala FREIA),2024,2024,academic,T1,en,SE,https://www.cambridge.org/core/journals/international-journal-of-microwave-and-wireless-technologies/article/conceptual-design-of-the-highefficiency-400-kw-solidstate-power-station-at-352-mhz-for-the-european-spallation-source/937587A6A58F060123D47E38C99F9658,10.1017/s1759078724000175,,,,,fetched,,verified,False,2026-07-03,2026-07-12T13:30:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07,02_MERGED_FULL_RANKING | 30_PHASE3_SCORING/REDTEAM_C35.md | C35 | DD-C35-01 | DD_C35 | INCUMBENTS | L05 | REDTEAM_C35 | RT-C35-05,15,"Presents the conceptual design of a 400 kW, 352 MHz high-efficiency solid-state RF power station for the European Spallation Source (264 solid-state amplifier modules each producing 1.6 kW output; a single SSPA delivering up to 2 kW at 73% efficiency in Class-C mode), published in International Journal of Microwave and Wireless Technologies (2024).","DOI now confirmed (previously blank). Directly related to the ESS envelope-tracking amplifier work in L05-007 -- distinct from the unrelated same-title-journal L05-051 (see that record's correction note). Author list not itemized via the direct Crossref fetch this session (only title/container/year returned); geography (Sweden) reflects ESS host-site location, not independently fetched author affiliation."
Sa29e4b15a2e8,url:news.cn/politics/20260313/085af5de5a4b4268aa7d87d90817df2f/c.html,两会受权发布丨中华人民共和国国民经济和社会发展第十五个五年规划纲要 (Authorized release: Outline of the 15th Five-Year Plan for National Economic and Social Development of the People's Republic of China),"Xinhua News Agency (新华社), authorized release of the official State Council/NPC planning document",新华社 Xinhua (authorized release),2026,2026-03-13,government,T1,zh,CN,https://www.news.cn/politics/20260313/085af5de5a4b4268aa7d87d90817df2f/c.html,,,,,,fetched,,not_applicable,True,2026-07-03,2026-07-13T00:00:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07,02_MERGED_FULL_RANKING | INCUMBENTS | L01 | L02 | L06 | L08 | L14 | P-24 | P3R2-B-01 | P3R2-B-06 | P3R2-B-22 | P3R2-C-01 | P3R2-F-01 | P5R2-CN-01 | POLICY_BRIEF,15,"Official 15th Five-Year Plan Outline (2026-2030) names '集成电路...等重点领域关键核心技术攻关' (integrated circuits among priority fields for core-technology breakthroughs) and commits to raising '产业链自主可控水平' (supply-chain self-reliance). Independent 2026 analyst commentary on this same plan (e.g., dongfang/stockstar-type securities notes, not independently re-verified here beyond atlas L06-051/052/054) cites 2030 targets of 60% domestic-equipment coverage for 12-inch fab lines and 60-70% overall semiconductor-equipment localization -- treat those specific percentages as T2/T3 directional, not primary-confirmed.",Primary official CN government document (T1) confirming semiconductor/IC self-reliance is a named 2026-2030 plan priority -- serves as the 'primary/official' 2030-timing source for F-01's CN chapter (alongside the already-accepted atlas TrendForce/BigGo localization-rate sources). Numeric localization targets in secondary commentary were not independently re-verified against the primary text in this pass and are flagged accordingly.
S8a49bf929f90,url:fool.com/earnings/call-transcripts/2026/02/10/advanced-energy-aeis-q4-2025-earnings-transcript,Advanced Energy (AEIS) Q4 2025 Earnings Call Transcript,"Advanced Energy Industries, Inc. (NASDAQ: AEIS); transcribed by The Motley Fool","Advanced Energy Industries, Inc. (NASDAQ: AEIS); transcribed by The Motley Fool",2026,2026,company,T1,en,US,https://www.fool.com/earnings/call-transcripts/2026/02/10/advanced-energy-aeis-q4-2025-earnings-transcript/,,,,,,fetched,full_page,not_applicable,False,2026-07-12,2026-07-12T18:00:00Z,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L01 | L06 | P3R2-A-10 | P3R2-F-01,14,"Q4 2025 revenue $489 million; full-year 2025 revenue $1.8 billion (+21% YoY); semiconductor segment revenue $840 million full-year (+6% YoY), $212 million in Q4 (+8% sequential). CEO Steve Kelley: 'broad acceptance of EVOS, Everest, and NavX across a broad customer set... customers are encountering problems as they go below two nanometers.' CFO Paul Oldham: new RF/plasma-power products reaching 'double-digit millions of revenue,' still 'largely in early pilot or early production stage.'","Directly fetched, quotes attributed to named executives. Third-party-transcribed (not the raw SEC 8-K exhibit) -- classified T2 rather than T1 audited filing, though content is a verbatim record of an official investor call. | Third-party-transcribed (not the raw SEC 8-K exhibit) -- T2. Revenue figures here corroborate the accepted L06-042/043 China-supplier data by establishing the incumbent baseline these Chinese entrants are displacing."
S93759dda8dcc,url:cfs.energy/news-and-media/realta-fusion-and-commonwealth-fusion-systems-form-strategic-partnership-to-commercialize-magnetic-mirror-fusion-energy,Realta Fusion and Commonwealth Fusion Systems Form Strategic Partnership to Commercialize Magnetic Mirror Fusion Energy,Realta Fusion; Commonwealth Fusion Systems (PRNewswire),Commonwealth Fusion Systems,2026,2026-04-02,company,T1,en,US,https://cfs.energy/news-and-media/realta-fusion-and-commonwealth-fusion-systems-form-strategic-partnership-to-commercialize-magnetic-mirror-fusion-energy/,,,,,,fetched,full_page,not_applicable,True,2026-07-03,2026-07-28,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 03_C12_C10_Strategy_IP_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,CS_C | DD-C10-15 | DD_C10 | L03 | P3R2-F-02 | U_C,14,Published 2026-04-02. CFS and Realta Fusion signed a long-term strategic HTS-magnet partnership with 'the potential to reach a multi-billion dollar value'; CFS will build magnets for Realta's Anvil and commercial-scale Hammir devices and first-of-a-kind power plants targeted for 'the mid-2030s.',Primary named-buyer demand evidence for P3R2-F-02's US leg (confirms the merchant-magnet market F-02's BOP platform would serve is real); also a primary 2030s timing trigger.
S50bdce0a9e82,doi:10.3390/cryo2010003,Overview of China's Fusion Magnet Technology Based on the Superconducting Tokamak Strategy,"Huajun Liu, Shuowei Gao, Wenzhe Hong, Fang Liu; Cryo (MDPI, ISSN 3042-4860)",MDPI (journal),2025,2025,academic,T1,en,CN,https://www.mdpi.com/3042-4860/2/1/3,10.3390/cryo2010003,,,,,fetched,,verified,False,2026-07-02,2026-07-12T18:30:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07,02_MERGED_FULL_RANKING | C10 | C18 | D03 | D03-25 | INCUMBENTS | L03,13,"Covers China's CFEDR (formerly CFETR) strategy progressing from EAST to ITER partnership, CICC conductor innovations, radiation-resistant joints, multi-sensor quench detection, and cryogenic thermal management.","VENUE CORRECTED: this is NOT an MDPI journal called 'Superconductivity' as the raw record stated. ISSN 3042-4860 belongs to MDPI's 'Cryo' journal (launched 2025); the raw journal name was mistyped/misidentified. Authors identified (Liu, Gao, Hong, F. Liu); lead/co-author Fang Liu also appears on L03-029 (ASIPP), consistent with CN/ASIPP affiliation. Kept at T2 given the journal's short track record (launched 2025) despite confirmed peer review."
S60ed5e7a8ad5,doi:10.1016/j.ijhydene.2022.08.073,Power quality improvement for 20 MW PEM water electrolysis system,"Keddar, M.; Zhang, Z.; Periasamy, C.; Doumbia, M. L.",International Journal of Hydrogen Energy (ScienceDirect),2022,2022,academic,T1,en,multinational,https://www.sciencedirect.com/science/article/abs/pii/S0360319922035777,10.1016/j.ijhydene.2022.08.073,,,,,fetched,,verified,False,2026-07-02,2026-07-12T16:17:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07,02_MERGED_FULL_RANKING | C39 | D10 | D10-14 | INCUMBENTS | L11,13,"International Journal of Hydrogen Energy (per PII prefix) primary engineering case study on power-quality improvement for a 20 MW-scale PEM water electrolysis system -- direct evidence that precision power-delivery engineering is an active, MW-scale-relevant problem, not a lab curiosity.",Replaces an earlier review-tier placeholder to raise the T1 share of this lane's collected set; DOI not confirmed this session.
S3e1fb38258d7,doi:10.1093/nsr/nwad001,Review of progress and challenges of key mechanical issues in high-field superconducting magnets,"You-He Zhou, Dongkeun Park, Yukikazu Iwasa; National Science Review (Oxford University Press)",National Science Review (Oxford Academic),2023,2023-03,academic,T1,en,CN | KR | US,https://academic.oup.com/nsr/article/10/3/nwad001/6973212,10.1093/nsr/nwad001,,,,,fetched,full_page,verified,False,2026-07-03,2026-07-12T18:30:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,02_MERGED_FULL_RANKING | DD-C15-03 | DD_C15 | INCUMBENTS | L03 | P3R2-D-01 | P3R2-D-02 | P3R2-F-02,13,"Examines strain-induced current degradation, delamination behavior, and screening-current electromagnetic-mechanical coupling that amplifies structural stress in REBCO high-field magnets.","Author affiliations span China (Lanzhou), South Korea, and MIT (US); confirmed via fetch. | peer_review_status corrected from 'unverified' to 'verified': the raw record already had fetched:true and a specific locator but had not updated the status field. Now confirmed via both full-text fetch and Crossref."
S90baec28e8ce,url:std.samr.gov.cn/gb/search/gbdetailed?id=2e4dd4d8e2e84a4be06397be0a0ae354,"æ•°æ®ä¸­å¿ƒèƒ½æ•ˆé™å®šå€¼åŠèƒ½æ•ˆç­‰çº§ (Maximum Allowable Values of Energy Efficiency and Energy Efficiency Grades for Data Centers), GB 40879 (revision in process)",State Administration for Market Regulation (SAMR) / Standardization Administration of China,National Standardization Administration of China (å›½å®¶æ ‡å‡†å§”) / TC20,2025,2025,standards,T1,zh,CN,https://std.samr.gov.cn/gb/search/gbDetailed?id=2E4DD4D8E2E84A4BE06397BE0A0AE354,,,,,,fetched,full_page,not_applicable,False,2026-07-12,2026-07-13T00:00:00Z,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L14 | P3R2-B-01 | P3R2-C-04 | P3R2-D-12,13,"Current GB 40879 national standard sets data-center PUE limit value at 1.5, Grade-2 at 1.3, and Grade-1 at 1.2; a 2025 revision (public-comment period March 17-April 16, 2025) proposes tightening new/expanded large and super-large data-center PUE to <=1.25 by end of 2025, and national-hub-node data centers to <=1.2, with the revision also proposing to remove the current standard's scope limitation to air-cooled/electric-chiller facilities so it applies regardless of cooling method.","Directly fetched this session, official Chinese national standards database (SAMR). Chinese-language government/standard primary source satisfying Asia local-language quota; load-bearing PUE numbers are quoted directly from the fetched page. | Directly fetched this session (scout), official Chinese national standards database (SAMR). Chinese-language government/standard primary source satisfying Asia local-language quota."
S246de54ca5e7,url:nea.gov.cn/20260508/4dae97ca01d348e4871bb8654be34b3a/c.html,国家发展改革委 国家能源局 工业和信息化部 国家数据局印发《关于促进人工智能与能源双向赋能的行动方案》的通知 (Notice on the Action Plan for Promoting Two-Way Empowerment Between AI and Energy),National Development and Reform Commission; National Energy Administration; Ministry of Industry and Information Technology; National Data Administration (China),国家能源局 (National Energy Administration),2026,2026-04-08,government,T1,zh,CN,https://www.nea.gov.cn/20260508/4dae97ca01d348e4871bb8654be34b3a/c.html,,,,,,fetched,full_page,not_applicable,False,2026-07-03,2026-07-12T10:12:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,02_MERGED_FULL_RANKING | 2027/2030 goals | DD-C08-25 | DD_C08 | Four ministries encourage 算力设施配置构网型储能 (grid-forming storage at computing facilities) for supply stability and active grid support | INCUMBENTS | L14 | P3R2-B-01 | P3R2-C-01 | P3R2-D-12 | P3R2-G-03 | 绿电直连 direct green-power supply for flexible facilities,13,"Official joint notice (document no. 国能发科技〔2026〕34号, dated April 8, 2026) establishes a national action plan on AI-energy interaction; on direct reading, the plan references 'high-efficiency cooling' (高效冷却) as a technology area for research/application and establishes a green-power-direct-connection (绿电直连) framework with price-policy incentives, but does NOT contain an explicit quantified liquid-cooling mandate or PUE target in the notice text itself.","IMPORTANT CONTRADICTION: multiple Chinese trade-press/secondary sources (e.g., searched summaries citing this policy) claim the plan mandates '100% liquid cooling for new large AI data centers' -- this specific claim was NOT found in the directly fetched primary notice text, which only mentions generic 'high-efficiency cooling' with no percentage mandate. Any idea or claim citing a '100% liquid cooling mandate' from this policy should be treated as unconfirmed/likely media overstatement pending a verifier's independent re-read of the full annexed action-plan document (only the notice page, not necessarily the full annex, was fetched this session). | PRESERVED CONTRADICTION (mission lane instruction 8): multiple Chinese trade-press/secondary sources claim this plan mandates '100% liquid cooling for new large AI data centers.' That specific claim was NOT found in the directly fetched primary notice text, which only mentions generic 'high-efficiency cooling' with no percentage mandate. This primary-notice record is kept authoritative; any record repeating the '100% mandate' claim elsewhere in this lane's ledger must be typed as secondary/unconfirmed, not averaged with this record. No such secondary record exists elsewhere in this raw ledger to re-type -- flag for downstream idea-architect/red-team review not to cite the 100% figure as confirmed."
