# B40_portfolio FULL attempt-1 claim-level source ledger. Rows map decision-critical claims to sources: this-run web actions (B40-01 failed fetch disclosed; B40-02/03 discovery-level searches), A30/B20/B25 opened primaries reused WITHOUT re-opening (reuse and original claim_id noted), and internal prerequisite-output evidence rows (url = repository-relative path, following the B25/pilot precedent). Search snippets are discovery aids only, never evidence (SOURCE_POLICY). Corpus-dated facts not listed here are record-vintage per the citing row.
claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
B40-11,https://www.theva.com/products/,"THEVA TAPESTAR family - non-contact reel-to-reel critical-current inspection",THEVA GmbH,not_stated,2026-07-28,vendor_product_page_reused_open,"RANKING.csv (P3R2-D-02 falsifier/defensibility); DECISION.json (D-02 defensibility 2)",medium,"Reused from B20 S-B20-01 (opened in the B20 stage chain; not re-opened). Verifies the merchant incumbent instrument class exists with no listed delamination/thermal channel; accuracy/speed figures unverified."
B40-12,https://cfs.energy/news-and-media/realta-fusion-and-commonwealth-fusion-systems-form-strategic-partnership-to-commercialize-magnetic-mirror-fusion-energy/,"Realta Fusion and Commonwealth Fusion Systems form strategic partnership",Commonwealth Fusion Systems,2026-04-02,2026-07-28,company_press_release_reused_open,"RANKING.csv (D-02/D-01/F-02 buyer cells); DECISION.json (D-01/F-02 buyer_access)",high,"Reused from B20 S-B20-02 (opened in the B20 stage chain; not re-opened). Verifies the merchant-magnet buyer class is current; a partnership announcement, not a purchase order for metrology or protection."
B40-13,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,"NVIDIA 800 VDC Architecture Will Power the Next Generation of AI Factories",NVIDIA Developer Technical Blog,2025-05-20,2026-07-28,vendor_technical_blog_reused_open,"RANKING.csv (P3R2-C-01 main_risk); DECISION.json (C-01 technical_proof 3)",medium-high,"Reused from B25 S-B25-03 (opened live in the B25 stage chain; not re-opened). Vendor roadmap: 2027 800VDC production is a plan, not an observed shipment; names protection/fault detection as an open innovation area and Eaton/Schneider/Vertiv as ecosystem partners."
B40-14,https://webstore.iec.ch/en/publication/28936,"IEC 62477-1:2022 Safety requirements for power electronic converter systems - Part 1 (scope page)",International Electrotechnical Commission,2022-05-20,2026-07-28,standard_scope_page_reused_open,"RANKING.csv (P3R2-C-01 first_proof; P3R2-A-02 phd_leverage)",high (scope level only),"Reused from B25 S-B25-01 (opened live; not re-opened). Scope level only (<=1000VAC/1500VDC: 800VDC in scope, MVDC A-02 NOT in scope); full text never read; supports existence/scope, not compliance judgments."
B40-15,https://www.impedans.com/semion-rfea-system/,"Semion RFEA | Impedans (retarding field energy analyser system)",Impedans Ltd,not_stated,2026-07-28,vendor_product_page_reused_open,"RANKING.csv (P3R2-A-10 first_proof); DECISION.json (A-10 reason)",medium,"Reused from B20 S-B20-03 (opened live by B20; not re-opened this run; URL transcribed from B20's ledger). Verifies the merchant IEDF metrology incumbent is measurement-only with no closed-loop product per its own page - supporting A-10's stated gap; a vendor page cannot prove a market-wide negative (B20's caveat carried); does not verify the closed-loop premise."
B40-16,https://www.danfysik.com/en/products/power-supplies/system-9700,"SYSTEM 9700 magnet power supply - ultra-high long-term stability of 10ppm, 0.75kW to 100kW",Danfysik A/S,undated (page as fetched by B25),2026-07-28,vendor_catalog_page_reused_open,"RANKING.csv (P3R2-F-02/F-06 main_risk); DECISION.json (F-02/F-06 technical_proof 1)",high for the stated catalog spec class,"Reused from B25 S-B25-15 (opened live by B25; not re-opened; URL transcribed from B25's ledger). Verifies 10 ppm-class catalog incumbent grade in magnet power - the incumbency fact capping F-02/F-06 venture scores; page states no dynamics figures (B25's caveat carried)."
B40-17,https://www.fusionindustryassociation.org/fia-launches-2026-fusion-industry-supply-chain-report/,"FIA Launches 2026 Fusion Industry Supply Chain Report",Fusion Industry Association,2026-06-23,2026-07-28,industry_association_page_reused_open,"RANKING.csv (P3R2-F-02 power_relevance); DECISION.json (W2 context)",medium-high for the survey's own figures,"Reused from B25 S-B25-18 (opened live by B25; not re-opened; URL transcribed from B25's ledger). 2025 supply-chain spend $538M, $681M projected 2026, power systems the top-cited bottleneck at 48% - W2 demand context, not idea-specific demand; association survey data, underlying PDF never opened."
B40-18,https://hsi.com/blog/what-you-need-to-know-prc-028-1-inverter-based-resource,"What You Need to Know About PRC-028-1: Inverter-Based Resource Data Collection",HSI (training/compliance vendor blog),undated (page as fetched by B25),2026-07-28,secondary_compliance_page_reused_open,"RANKING.csv (P3R2-G-03/F-06 power_relevance); DECISION.json",medium (secondary),"Reused from B25 S-B25-16 (opened live by B25; not re-opened; URL transcribed from B25's ledger; official NERC PDF returned HTTP 403 there - disclosed and carried). In effect 2025-04-01; 50% by 2028-04-01; 100% by 2030-01-01 - demand-context only; B25's instruction to re-verify against NERC before deeper reliance is carried."
B40-19,https://patternenergy.com/projects/southern-spirit/,"Southern Spirit Transmission - ~3000 MW +/-525 kV HVDC; target full construction start 2029; target in-service 2032",Pattern Energy,undated (page content appears not updated since ~2023 - disclosed by B25),2026-07-28,project_developer_page_reused_open,"RANKING.csv (P3R2-F-06 origin context; P3R2-E-14 time_horizon)",medium (developer targets on a stale page),"Reused from B25 S-B25-17 (opened live by B25; not re-opened; URL transcribed from B25's ledger). 2029/2032 targets are the developer's stated plan, not verified construction status - HVDC window context for F-06/E-14; pre-order demand, no OEM evaluation evidenced."
B40-20,https://www.epa.gov/newsreleases/epa-releases-proposal-commercial-sterilizers-safeguard-supply-life-saving-medical,"EPA Releases Proposal for Commercial Sterilizers to Safeguard the Supply of Life-Saving Medical Tools",U.S. Environmental Protection Agency,2026-03-13,2026-07-28,regulator_press_release_primary_reused_open,"RANKING.csv (P3R2-C-09 first_proof); DECISION.json (C-09 watch basis)",high,"Reused from A30 C09-DIS-02 (opened in full by A30; not re-opened; URL transcribed from A30's ledger). Verifies the EtO regulatory reversal (proposal to rescind the 2024 EtO NESHAP risk-based standards) - the fact that makes BLIND's rank 4 too high and grounds C-09's non-EtO-led mid-pack watch."
B40-21,https://www.rapiscansystems.com/en/news-and-events/article/osi-systems-receives-15-million-order-cargo-and-vehicle,"OSI Systems Receives $15 Million Order for Cargo & Vehicle Inspection Systems & Services",Rapiscan Systems / OSI Systems,2026-05-14,2026-07-28,official_company_press_release_primary_reused_open,"RANKING.csv (P3R2-C-09 first_proof); DECISION.json",high,"Reused from A30 C09-DIS-03 (opened in full by A30; not re-opened; URL transcribed from A30's ledger). ~$15M U.S. government task order for cargo and vehicle inspection systems with follow-on service - live dated cargo-NII procurement, C-09's surviving demand leg."
B40-22,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV01/EV35/EV12/EV16; gaps G3/M3; paper P0008),"B15-adjudicated: traceable-budget calibration exists as a single exemplar; tesla-scale traceable calibration with harsh-candidate sensors is an under-published niche; calibration-transfer and inverse-localization method families exist",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"RANKING.csv (D-02/C-05/D-09/G-03/F-06 phd_leverage/defensibility); DECISION.json",strong within corpus bounds,"Corpus-bounded: absence from the 62-paper adjudicated ledger is not proof of world absence (B15/LIT_POLICY). Every method-authority defensibility score leans on this scarcity and carries the bound."
B40-23,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV06/EV23/EV26/EV34; papers P0033/P0038; gaps M7),"B15-adjudicated: quench detection is weak-signal-under-EMI limited (<=9 mV vs >100 mV EMI); no Hall-based HTS-monitoring method exists in the corpus; fused DC+AC sensing is a real cross-domain convergence",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"RANKING.csv (P3R2-D-01 phd_leverage/falsifier); DECISION.json (D-01 bridge)",strong (multi-source primary per B15),"Establishes D-01's problem class and its M7 upgrade condition; does not establish demand maturity or founder capability (B30 anti-inference guard)."
B40-24,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV30/EV31),"B15-adjudicated: converter topology/control and WBG device/reliability engineering are loose analogy to Hall metrology - distinct disciplines the PhD does not evidence",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"RANKING.csv (every WEAK power-family phd_leverage cell); DECISION.json",strong,"The load-bearing negative adjudication behind every WEAK power-family score (C-01/C-13/E-14/F-01/C-09/A-02/F-12-class); read in B15 LIT_REVIEW/GAPS this run, not only as carried by B20/B25."
B40-25,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV27/EV34; papers P0050/P0048/P0056),"B15-adjudicated: WBG switching-current metrology has quantified unmet requirements; trip-grade sensing is shunt/CT/Rogowski territory; DC-capable channels compete only for DC/low-frequency content",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"RANKING.csv (P3R2-C-01/C-13 phd_leverage slivers); DECISION.json",strong for problem existence,"Basis of the protection-intelligence/telemetry sliver scoring; the sliver's founder-scale premise is untested until BR-G/BR-B run (their kill gates are the honest counterparty)."
B40-26,outputs/A30_verify/attempt-1/COMPARE.json; outputs/A30_verify/attempt-1/VERDICT.md; outputs/A30_verify/attempt-1/SOURCES.csv,"A30 three-way membership/ranks, SEM ledger (SEM-01..04, NON-MATCH-C14), four verified disagreements (DIS-C05/C07/C09/D10), provenance conditioning, prioritized rerun list",A30_verify accepted output,2026-07-28 (stage output),2026-07-28,prerequisite_output,"RANKING.csv (origin column, all 24 rows); DECISION.json (universe, selection rule, comparisons); PORTFOLIO.md section 6",high within A30's stated provenance limits,"Origin summaries transcribed exactly; A20 limits carried: old06 decision-layer authorship is CONTRADICTED provenance; overlap is agreement evidence, not correctness proof; the eight unverified OLD-to-NEW reversals are treated as unverified throughout."
B40-27,outputs/B20_align/attempt-1/ALIGNMENT.csv; outputs/B20_align/attempt-1/ALIGNMENT.md,"B20 alignment classes (1 STRONG / 7 MEDIUM / 30 WEAK / 1 ADVERSE), mechanisms, founder-fit corrections, per-idea falsifiers and upgrade conditions",B20_align accepted output,2026 (stage output),2026-07-28,prerequisite_output,"RANKING.csv (phd_leverage column, all rows; falsifier column); DECISION.json (phd_leverage criterion)",high,"phd_leverage scores transcribe B20's classes rather than re-deriving them; B20's confidence labels are inherited in the band widths; watch triggers are B20's stated upgrade conditions verbatim."
B40-28,outputs/B25_power/attempt-1/POWER_MAP.csv; outputs/B25_power/attempt-1/POWER.md,"B25 wedge verdict (W1/W2), explicit non-wedges, role taxonomy, family reconciliations (F-02/ST01-C10; C-01 sliver/ST01-C06P), startup-corpus rows as evidence",B25_power accepted output,2026 (stage output),2026-07-28,prerequisite_output,"RANKING.csv (power_relevance column, all rows); DECISION.json (buckets wedge annotation, wedge_logic)",high,"Wedges are bets on Element-1 execution (C06 gated by C04) per B25's own honesty bounds; startup-corpus records used as documented engineering analyses, never as verified market facts; ST objects are evidence, not ranked ideas (pilot open question resolved and disclosed)."
B40-29,outputs/B30_skills/attempt-1/BRIDGES.json; outputs/B30_skills/attempt-1/PREP_PLAN.md; outputs/B30_skills/attempt-1/SKILLS.md,"B30 unified bridge ladder BR-A..BR-I with stop/continue gates, calendar, budget EST ranges, and capability ground truth",B30_skills accepted output,2026 (stage output),2026-07-28,prerequisite_output,"RANKING.csv (disposition + first_proof columns); DECISION.json (bridge_gates, dependencies)",high,"Every bridge disposition cites only gates that exist in BRIDGES.json; no new experiment invented by this stage; BR-I remains unscheduled (first activation condition met by this portfolio, host condition not)."
B40-30,outputs/B10_phd/attempt-1/OPT2.md; outputs/B10_phd/attempt-1/PHD_FACTS.json (C04/C06/C33/C34/C38/C40/C42/C45/C49),"B10 founder constraints and critical path: C04 blocks calibration; G5 = accepted paper + real-die calibration; zero accepted publications; OTL disclosure gates; international-student status; module location undocumented; folder-08 pre-redteam",B10_phd accepted output,2026 (stage output),2026-07-28,prerequisite_output,"DECISION.json (founder_goal_fit/downside criteria; dependencies); PORTFOLIO.md section 8",high,"Folder-08-derived claims are pre-redteam within the corpus's own process (C40) - inherited and disclosed wherever estimator methodology enters a score (D-01/C-01/E-14/C-13 cells)."
