# B40_portfolio FULL attempt-1 (pap06-fable-xhigh, requested Fable 5/xhigh). Combined portfolio: EXACTLY 24 ranked directions from the 41-idea A30 universe. RANK CONVENTION: the stage schema's exact column list has no rank column, so ROW ORDER IS THE RANKING (rank 1 = first data row, rank 24 = last). score = weighted ordinal aggregate on a 0-4 scale, one decimal (criteria, declared weights, per-criterion audit scores, and two-decimal ordering values in DECISION.json; method carried from the accepted B40 pilot with refinements disclosed in PORTFOLIO.md section 3). uncertainty = conservative linear-combined half-width of per-criterion bands, one decimal - overlapping bands mean adjacent ranks are NOT separated (base-score ties at ranks 3/4 and 13/14 are resolved by stated judgment, and dispositions are more robust than fine rank order). origin = A30 COMPARE.json three-way membership with ranks. Idea IDs verbatim from the A30/B20 universe; SEM-01 (E-01 inside C-01) and SEM-02 (B-01 inside C-04) consolidations honored - no semantic duplicate appears twice; universe reconciliation: 24 ranked + 15 rejected (DECISION.json) = 39 concepts = 41 IDs minus 2 consolidations. B40-xx = SOURCES.csv claim rows; BR-x = B30 BRIDGES.json gates; Cxx/EVxx/Pxxxx/G-M-BT = B10/B15 evidence IDs.
idea_id,name,origin,disposition,score,uncertainty,phd_leverage,power_relevance,first_proof,capital_band,main_risk,falsifier
P3R2-F-01,"Solid-state microsecond impedance-matching engines (switched SiC/PIN capacitor arrays) for pulsed/tailored-waveform RF plasma tools","all three finals, triple intersection: BLIND 20 / OLD 4 / NEW 10 (B40-26)",watch,1.7,"+/-0.7 (ties rank 12 region; overlaps 10-15)","WEAK: switch-stack design, arc-safe transitions, and OEM co-qualification are RF power electronics (EV30 boundary exactly; EV31); one real sliver - calibrated directional-power sensing under RF EMI (C03-adjacent) - is a supporting subsystem, not the socket","pulsed/RF power family (B25 section 8); PhD-independent verdict carried","no founder gate; watch trigger: an OEM evaluation pricing the calibrated sensing/state-estimation layer as the differentiator (B20's upgrade condition); venture kill: no generator/tool-vendor paid evaluation by end-2029 (its own rule)","moderate (module-scale, record level)","design-in window 2028-2029 collides with PhD mid-years; CN-leg export-compliance restructuring corpus-recorded; no PhD-adjacent moat","the OEM-evaluation trigger firing upgrades the sliver to adjacent leverage; the end-2029 no-evaluation kill fires and it drops to stop"
P3R2-A-05,"US merchant NEG-coating and low-outgassing surface engineering line for UHV/XHV chambers","BLIND 17 / OLD P4 survivor then P5 KILL (82%) / NEW 11 - an unverified red-team reversal (A30 rerun item 5)",watch,1.6,"+/-0.8 (overlaps ranks 10-16)","WEAK: component-level UHV practice is demonstrated (C46) but the core - CERN-lineage NEG sputter process engineering at chamber scale - has zero PhD evidence; the honest note: the venture whose daily working environment most resembles the PhD's lab practice (familiarity, not leverage - B20)","not a power idea (B25 excluded: materials-process discipline)","no founder gate; watch triggers: independent verification of NEW's revival facts (the 82%-kill reversal is unaudited - A30 item 5); this run's discovery-level search (B40-02) found no SAES US-capacity announcement, so the venture's own kill condition has not visibly fired; EIC/PIP-II procurement cadence","high (coating line, record level)","the OLD P5 kill (82%) vs NEW rank 11 contradiction is the sharpest unverified red-team reversal in the corpus; sole-incumbent (SAES) response risk; scope drift high","SAES announcing US capacity kills the venture (its own kill condition); independent verification of the revival facts either promotes it into the 11-13 band or confirms the P5 kill and demotes to stop"
P3R2-C-01,"800-VDC rack power-path protection shelf: solid-state breaker + precharge/inrush + insulation monitoring + hot-swap sequencing (consolidates P3R2-E-01 per A30 SEM-01)","all three finals via SEM-01: BLIND 1 as E-01 / OLD 5 / NEW 2 - the corpus's strongest cross-run commercial consensus (B40-26)",watch,1.6,"+/-0.7 (base 1.57 ties rank 14; ordered above C-04 because its protection-intelligence sliver is two-corpus-converged and BR-G-testable - stated judgment)","WEAK: sliver only - condition-monitoring telemetry and series-arc discrimination (EV27 class, B40-25; C03/C13 bench discipline); B10's demonstrated ledger contains no power-electronics or protection hardware (B20 correction 3); consensus strength and PhD alignment are independent axes","application context for the W1/W2-adjacent protection-intelligence lane - ST01-C06P independently scoped the surviving sliver as a standalone product (B25 section 8, the strongest cross-corpus signal); the founder-led breaker is an explicit B25 non-wedge","founder sliver only: BR-G (PB-3) pre-registered discrimination statistics at 48-100 V bench scale gates the sliver (G-BR-G); the venture-level proof (800VDC interruption + IEC 62477-1 certification, B40-14) requires a hired power/certification team; watch triggers: OCP/NVIDIA embed check end-2027 (ST01-C06P kill), paid design-in pricing the telemetry layer","high (power lab + certification campaign 2027-2029 + rack productization; corpus-dated)","no founder path to the core product; merchant SSCB entries press the window - Siemens SENTRON 3QD2 launch opened (B40-04); the ABB SACE Infinitus shipping claim remains discovery-level after a THIRD fetch timeout this run (B40-01); incumbents already inside the NVIDIA spec process (B40-13)","a paid design-in that prices the telemetry/discrimination layer upgrades the sliver to adjacent leverage (B20 falsifier); OCP/NVIDIA embedding the function in reference-design firmware by end-2027 closes the sliver lane; BR-G failure kills the sliver's technical premise at founder scale"
P3R2-C-04,"PFAS-free pumped two-phase direct-to-chip cooling loop (hermetic fluid-agnostic evaporator/condenser subsystem; consolidates P3R2-B-01 per A30 SEM-02)","all three finals: BLIND 11 / OLD 16 / NEW 19 (B-01 OLD 12 absorbed per SEM-02) (B40-26)",stop,1.6,"+/-0.7 (ties rank 13 - see C-01 note; disposition differs because no founder lane exists here)","WEAK, mechanism absent: two-phase thermal-fluids engineering and fluid co-qualification share nothing with Hall metrology (EV30/EV31); B20: the conceivable sliver (paid instrumented two-phase metrology) appears in NO record read","not a power idea (B25 excluded: thermal/fluids)","none founder-relevant: no B30 bridge touches two-phase fluids; no watch trigger exists in any record read (B20's falsifier cell states none appears) - which is precisely why this triple-final idea is a stop while lower-scored ideas with live triggers are watch","moderate-high (loop development + fluid qualification 2027-2031, record level)","total scope drift; regulatory driver (AIM Act/EU F-gas step-downs) is a market tailwind that maps to no PhD asset; window spans the entire remaining PhD","a buyer paying specifically for instrumented two-phase metrology (flow/void-fraction measurement with budgets) would create a thin sliver and justify re-scoring; none appears in any record read"
P3R2-C-22,"Electrolyzer stack degradation-emulation and bankability test systems (programmable ripple/intermittency benches)","all three finals, triple intersection: BLIND 15 / OLD 2 / NEW 13 (B40-26)",watch,1.6,"+/-0.7 (overlaps ranks 12-17)","WEAK (held against B25's wedge retest): the differentiator is stress-synthesis power electronics plus electrochemical degradation attribution - both outside PhD evidence; the bankability THEME parallels W1 but the load-bearing skill is electrochemistry (why it loses the W1 retest, B25 section 9)","qualification-platform family member that LOSES the W1 retest (B25); the family's honest venture on OLD's rank-2 evidence","no founder gate; watch triggers: paid engagements pricing the uncertainty-budgeted measurement/acceptance layer rather than stress synthesis (B20's upgrade condition); hydrogen FID trajectory; Greenlight adding stress synthesis = kill (its own record)","moderate-high (bench product line + campaigns, record level)","hydrogen FID collapse kills the venture independent of alignment; OLD's rank 2 reflected venture quality, not founder fit - the axes are not conflated here (B20)","the acceptance-layer pricing trigger upgrades forward toward adjacent; Greenlight shipping stress synthesis or hydrogen FID collapse demotes to stop"
P3R2-E-14,"Multi-terminal DC fault-discrimination protection relay + vendor-neutral HIL qualification platform (SEL of DC grids)","all three finals, triple intersection: BLIND 7 / OLD 7 / NEW 5 (B40-26)",watch,1.5,"+/-0.7 (overlaps ranks 13-18)","WEAK: traveling-wave/wavelet protection, real-time simulation, and utility qualification are kV/kA grid-protection engineering with no shared instrument/dataset/buyer (EV30/EV31, B40-24); the detection-statistics affinity is thematic (C23/C31, pre-redteam C40)","DC protection family; its HIL/qualification LEG is retained in the W1 comparison (B25) - the platform role is right, the domain skills are not the founder's","no founder gate; watch triggers: US multi-terminal DC actually reaching FID (its own key_kill: point-to-point through 2034), or a funded HIL engagement that specifically buys calibrated measurement-uncertainty work (B20's thin-link condition, PB-2-class deliverable)","moderate (HIL platform) to high (relay product), record level","the venture's core demand (US MTDC) is structurally unproven by its own record; strong consensus (7/7/5) reflects venture quality on an axis the founder cannot execute (no protection-firmware or utility-qualification capability in B10)","a funded HIL engagement pricing measurement-uncertainty work creates the thin adjacent link and upgrades; MTDC failing to materialize by its record's own horizon demotes to stop"
P3R2-C-13,"Precision GaN pump-driver and laser-power modules (merchant nanosecond-class programmable current drive)","all three finals, triple intersection: BLIND 24 / OLD 10 / NEW 9 (B40-26)",watch,1.4,"+/-0.7 (overlaps ranks 15-19)","WEAK: the GaN overlap is vocabulary not mechanism (Hall-sensing 2DEG vs power HEMT switching - EV31, B40-24); one narrow sliver: calibrated pulse-current sensing and diode-health telemetry under switching EMI (EV27/P0050 class)","pulsed/RF family subsystem (B25); deprioritized as founder-led module business; the calibrated-telemetry lane is the only PhD-adjacent element and is not the socket","no founder gate; the sliver's method evidence rides BR-B (PB-1/PB-4 rehearse calibrated pulse-current measurement); watch trigger: a paid OEM evaluation pricing the calibrated-telemetry layer rather than edge speed or BOM (B20's falsifier); venture gate: the record's own unpassed $72k make-vs-buy socket study","moderate (module bench + $72k socket gate, corpus-dated)","the OEM merchant socket is the unproven core per its own record; export-compliance burden on defense-adjacent variants; design-in 2028-2029 collides with PhD years","the OEM-evaluation trigger upgrades the sliver to adjacent leverage; the socket study failing (or never running) leaves it a permanent watch and eventual stop"
P3R2-C-08,"Thermal-shock-tolerant printed-circuit heat exchangers (PCHE) - merchant diffusion-bonded recuperators for sCO2/heat pumps/H2 precooling","all three finals, triple intersection: BLIND 8 / OLD 11 / NEW 14 (B40-26)",stop,1.4,"+/-0.7 (overlaps ranks 16-20)","WEAK, mechanism absent: metallurgy/manufacturing plus thermal-hydraulic qualification - no measurement-electronics, magnetics, or estimator content anywhere in its record (B20); the closest hook is thermal-mechanical test engineering, a different discipline","not a power idea (B25 excluded: thermal/materials)","none founder-relevant; the hypothetical sliver (a named buyer demanding third-party instrumented transient-qualification metrology) appears in no record read - stop rather than watch for exactly that reason; $600k first experiment misfits PhD-parallel work (B20)","high ($600k first experiment + manufacturing build, record level)","total scope drift; capital misfit; ASME-code and manufacturing execution risks belong to a different founder profile","a named buyer demanding instrumented transient-qualification metrology as the purchased value would create a thin sliver and justify re-scoring; none found in any record read"
P3R2-C-09,"Standardized solid-state pulsed-power platform (stackable Marx/modulator modules, digital droop control) for e-beam/X-ray/accelerator RF","BLIND 4 / OLD double-kill (P4 G7 64.4; P5 revival re-kill 52.2) / NEW 12; A30 DIS-C09 verified the split on opened primaries (B40-20/21)",watch,1.4,"+/-0.6 (overlaps ranks 17-20)","WEAK: stacked kV-class solid-state switching with droop/jitter control is power-conversion platform engineering (EV30/EV31); slivers: IEC 60060-1-class module acceptance testing and fleet telemetry - measurement-flavored, non-core","pulsed-power platform + reference-design exemplar (B25 section 7); PhD-independent verdict carried","no founder gate; watch triggers: a paid acceptance-metrology engagement (droop/jitter qualification as the purchased deliverable - B20's thin-link condition); OEM design-in cadence toward the record's own 2033 kill; adjudication basis: A30's verified non-EtO-led mid-pack demand (EtO leg reversed by EPA's own proposal - B40-20; cargo-NII and isotope legs verified - B40-21)","high (platform build 2027-2030, record level)","BLIND's rank 4 leaned on the reversed EtO leg (verified blind error component); incumbent (ScandiNova) moving toward MORE proprietary integration; CGN Entity-List-adjacency counsel question open (A30 rerun item 4)","a paid acceptance-metrology engagement creates the thin adjacent link and upgrades; no OEM design-in by 2033 kills the venture (its own rule)"
P3R2-F-23,"PEM electrolyzer protective operating-envelope controllers with warranty-grade black-box logging","OLD 22 / NEW 23; BLIND not selected (CONTINGENT) - both baselines' bottom tail (B40-26)",stop,1.3,"+/-0.7 (overlaps ranks 18-21)","WEAK, mechanism absent with one nuance: the evidence layer is logging/attestation (data engineering), not traceable measurement; no PhD asset maps onto embedded plant control or electrochemical degradation economics (B20)","rectifier/electrolyzer family completeness row (B25); family verdict: no founder wedge","none founder-relevant; its only conceivable sliver is identical to C-22's acceptance-layer condition, which is already monitored on C-22's row (the family's stronger member) - a second monitoring slot adds nothing; venture gate: the 2000h A/B trial (its own kill)","moderate (controller product + trials, record level)","bottom-tail in both baselines that selected it; hydrogen-window dependence; attestation layer contestable by incumbents' firmware","if C-22's acceptance-layer trigger fires AND the buyer specifically prices warranty-grade traceable measurement (not logging), re-scoring is justified; otherwise closed"
P3R2-D-19,"Distributed composite-flywheel kinetic buffers for off-grid AI power plants","NEW 20 only; OLD P4 survivor then P5 HOLD; BLIND near-miss (CONTINGENT) - two-of-three soft-positive signals, no verified facts (B40-26)",stop,1.2,"+/-0.7 (overlaps ranks 20 and 22-23)","WEAK, mechanism absent: magnetic-bearing flywheels are machine-level electromagnetics (levitation control, rotordynamics) - not field metrology (EV30/EV31); bearing-gap sensing is commodity position sensing; B20: no sliver worth naming","power-infrastructure boundary case whose decisive risk is rotor/machine engineering, not the converter (B25 inclusion boundary); retired","none founder-relevant; no watch trigger identified in any record read (B20: none realistic); included in the ranked 24 on its two-of-three positive cross-run signal, closed on founder evidence","high (composite rotor manufacturing + deployment, selection-entry record depth - disclosed)","NEW's revival is unverified (A30 item 5 class); selection-entry record depth only; program/procurement facts corpus-dated","a funded deployment explicitly purchasing instrumented rotor-health metrology would be a different idea; none exists in any record read"
