claim_id,claim,classification,evidence_path,evidence_locator,status,confidence,notes
C016,"Fabricated Hall-effect sensors feature a regular octagonal geometry with a 200 micron inscribed diameter",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. II-A line 457,active_in_manuscript,high,"Cited to ref10 (Alpert et al. 2019 IEEE Sensors J. geometry-optimization paper)"
C017,"Current-spinning readout (project 02) achieves offset cancellation from 686 mV raw offset to <=5 mV (>=130x reduction) in bench emulator tests",measured_value,../02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.md; ../02_HSX_Hall_Sensor_Readout/NOTES.md,2026-07-08 dated entries,unresolved,medium,"prior_project measured value from bench emulator test, not from a real Hall die in HSX; internally dated and reproducible from data/2026-07-08_test_spin.csv per project 02's own record, but not independently re-run in Stage 00"
C018,"Project 02's demodulated bandwidth is approximately 1-2 kHz (vs. the manuscript's 1 MHz raw bandwidth)",measured_value,../02_HSX_Hall_Sensor_Readout/docs/SPECS.md,Bandwidth entry,active_in_project02,medium,"See 00_CONFLICT_LEDGER Conflict 3 -- these are two different quantities (raw analog bandwidth vs. demodulated chopped-signal bandwidth) for two different readout architectures, not yet explicitly reconciled in any single supplied document"
C019,"An unresolved approximately 109x amplitude anomaly exists in the current-spinning readout bench measurements, blocking calibration",unknown,../02_HSX_Hall_Sensor_Readout/NOTES.md; ../05_HSX_ChatGPT_Windows_App/outputs/OPEN_GATES.md,NOTES.md 2026-07-08 entry; OPEN_GATES.md G50-06,open_gate,high,"Independently corroborated across two separate prior-project folders (Claude project 02 and ChatGPT/Codex project 05) using the same AD8429 G=100.3 hardware basis -- treated as a real open technical gate, not resolved by either prior project"
C020,"Vector-probe project (03) targets Review of Scientific Instruments, submission around March 2027, using a 2-3 axis ceramic-cube probe with a second HSX campaign in Nov 2026",proposal,../03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.md,plan header and timeline table,planned_not_executed,medium,"prior_project plan; no hardware built yet per ../03_HSX_Vector_Probe_RSI2026/NOTES.md ('Project created', 2026-07-06) -- this is the user's own proposed alternative route referenced in MISSION.md item 5, to be evaluated (not assumed) in Stage 20/40"
C021,"A prior literature-review pipeline (project 04) compiled 122 unique deduplicated references (from 124 raw lines / 123 keys), approximately 80 flagged as peer-reviewed journal articles, targeting MDPI Sensors",prior_project_claim,../04_Magnetic_Sensor_Review_Sensors2026/outputs/70_bibliography_report.md; ../04_Magnetic_Sensor_Review_Sensors2026/outputs/reference_registry.csv,bibliography report counts; registry row count,unresolved,medium,"Candidate seed set for this mission's 150-source requirement per SOURCE_POLICY.md, but every entry needs independent re-verification against the stricter verified_peer_reviewed classification before being counted -- not automatically eligible"
C022,"ChatGPT/Codex-run packaging project (05) recommends a three-seat flat 9.60 mm zirconia die-seat package on an open CP-Ti base/cage as the final vector-probe packaging concept",prior_project_claim,../05_HSX_ChatGPT_Windows_App/outputs/FINAL_RECOMMENDATION_250C_UHV.md,final recommendation summary,open_gate,medium,"Status is COMPLETE_WITH_OPEN_GATES with explicit holds (DO NOT FABRICATE/ORDER, DO NOT BOND, DO NOT CONNECT REAL SENSORS); produced by a non-Claude tool and not independently verified by this mission"
C023,"Root-level project trajectory narrative: 2023 published paper -> calibrated single-axis readout (02, Aug 2026 install) -> calibrated 2-3 axis vector probe with second HSX campaign (03, RSI ~Mar 2027)",prior_project_claim,../CLAUDE.md,Trajectory section items 1-3,partially_contradicted,medium,"Items 2 and 3 (projects 02 and 03 existing and in-progress) are independently corroborated by those projects' own dated files; item 1's '2023, published' framing is contradicted per C014/Conflict 1. The overall arc concept (single-axis then vector probe) is not itself in dispute, only the publication-status premise it is built on"
C024,"No neutron or gamma radiation experiments are planned in Tim's own experimental work; radiation content belongs only to the co-authored TCAD simulation paper (Van Gorp, Dawes, Zhao, Senesky)",supplied_fact,../CLAUDE.md; ../01_Publications/in_preparation/vangorp_dawes_zhao_senesky_radiation_TCAD_sensitivity_modeling_DRAFT.pdf,parent CLAUDE.md Scope rule; in-preparation draft existence,active,high,"Consistent with MISSION.md fixed constraint 'No new neutron or gamma experiments are in scope' -- this is a scope boundary, not contradicted by any inspected evidence"
C025,"The HSX August-2025 campaign data includes calibrated, physical-unit stored-energy (Joules) and density traces for shots #18-#21, but no independent magnetic-field reference measurement",supplied_fact,../07_HSX_august2025_results/hsx_20250821/25_8_21_#18_stored_energy.dat; ...#19/#20/#21,file headers 'time [s] / stored energy [J]' and 'time [s] / density [10^18/m^-3]',verified_in_stage00,high,"Directly inspected in Stage 00; supports the Group D conclusion in 00_INPUT_INVENTORY.md that the supplied data cannot by itself close the reviewers' calibration request"
