concept,item_id,category,description,nominal_mm,tolerance_or_bound_mm,worst_case_min_mm,worst_case_max_mm,requirement_mm,calculation_or_kernel_check,result,status,evidence_or_gate
COMMON,C-014,cartridge,Total lateral clearance A and B at 20 C,0.250,worst-case subtraction,0.150,0.350,clearance >0,"11.100-10.950; 11.200-10.850",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-04
COMMON,C-015,cartridge,Total lateral clearance A and B at 250 C,0.248,"Ti 9.5e-6/K; zirconia 10.4e-6/K; Delta T=230 C",0.148,0.348,clearance >0,"rail*(1+9.5e-6*230)-cartridge*(1+10.4e-6*230)",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,S050 and S051
COMMON,C-016,preload,Zirconia guard shoulder thickness controlling flexure gap,2.400,+/-0.040,2.360,2.440,measured per cartridge,post-ground or selected shoulder,PENDING,HOLD - DO NOT FABRICATE,G30-03
COMMON,C-017,preload,Ti clamp hard-stop gap,2.220,+/-0.040,2.180,2.260,less than guard shoulder,formed/lapped datum,PENDING,HOLD - DO NOT FABRICATE,G30-04
COMMON,C-018,preload,Flexure displacement at 20 C,0.180,worst-case subtraction,0.100,0.260,positive and within qualified elastic range,C-016 minus C-017,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-04
COMMON,C-019,preload,Flexure displacement at 250 C,0.1805,"zirconia minus Ti CTE over 2.40 and Delta T=230 C",0.1005,0.2605,positive after dwell,"C-018 + (10.4-9.5)e-6*2.40*230",PASS displacement only,ENGINEERING PROPOSAL - VALIDATE,Relaxation remains G30-04
COMMON,C-020,preload,Per-cartridge clamp force using proposed k=1 to 2 N/mm,0.180 to 0.361,full k and displacement bounds,0.100,0.521,retain cartridge without ceramic overload,F=k*delta,NOT QUALIFIED,HOLD - DO NOT FABRICATE,G30-04 hot-force coupon and ceramic contact stress
COMMON,C-021,bond protection,Minimum guard height above measured maximum bond loop,0.300,additional clearance proposal,0.300,not calculated,no contact at tolerance and service load,measure every bonded lot,PENDING,HOLD - DO NOT FABRICATE,G10-03 and G30-05
COMMON,C-022,wire bend,Minimum supported pigtail bend radius,5 x finished wire OD,wire OD unknown,not calculated,not calculated,no smaller than qualified cable rule,drawn route plus mandrel inspection,PENDING,HOLD - DO NOT FABRICATE,G30-02
COMMON,C-023,DFM,Internal ceramic corner radius,0.750,minimum proposal,0.750,not applicable,vendor-approved radii on every pocket and slot,Drawing requirement not modeled in concept STEP,PENDING,HOLD - DO NOT FABRICATE,G30-03
COMMON,C-024,DFM,External ceramic edge radius,0.500,minimum proposal,0.500,not applicable,chip-safe vendor-approved edge,Drawing requirement,PENDING,HOLD - DO NOT FABRICATE,G30-03
COMMON,C-025,DFM,Ceramic edge chamfer,0.200,minimum proposal,0.200,not applicable,all service edges broken,Drawing requirement,PENDING,HOLD - DO NOT FABRICATE,G30-03
COMMON,C-026,CAD collision,Maximum unintended pairwise solid overlap,0.000000,kernel volume tolerance <=0.000001,0.000000,0.000000,zero unintended overlap,OpenCascade pairwise intersection of critical bodies,PASS,VERIFIED CALCULATION,30_CAD_KERNEL_REPORT.txt
COMMON,C-027,tool access,Reserved straight driver or pull corridor diameter,3.000,proposal,3.000,3.000,no collision with neighboring face hardware,Axis staggering and external negative-edge placement,PASS concept model,ENGINEERING PROPOSAL - VALIDATE,30A/B/C fastener-axis SVGs
A,A-001,envelope,Nominal installed height,26.700,sum of modeled stack,26.700,26.700,height <=27.500,OpenCascade bounding box,PASS margin 0.800,VERIFIED CALCULATION,30_CAD_KERNEL_REPORT.txt
A,A-002,envelope,Worst-case installed height,27.110,"+0.10 base datum +0.05 frame +0.10 cage +0.05 seat +0.04 cartridge +0.04 clamp +0.03 head",26.290,27.110,height <=27.500,worst-case arithmetic,PASS margin 0.390,ENGINEERING PROPOSAL - VALIDATE,G30-01 and vendor tolerances
A,A-003,ceramic seat,Identical flat seat outside width,9.600,+/-0.100,9.500,9.700,three identical parts,part count and CAD,PASS,ENGINEERING PROPOSAL - VALIDATE,G30-03
A,A-004,ceramic seat,Seat thickness,1.000,+/-0.050,0.950,1.050,vendor DFM acceptance,flat plate post-fire process,PENDING,HOLD - DO NOT FABRICATE,G30-03
A,A-005,ceramic seat,Minimum window ring width,1.600,worst-case size and 6.40 opening,1.500,1.700,>=1.500 proposal,"(9.60-6.40)/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
A,A-006,adjacent faces,Minimum plate-to-plate gap,0.200,worst-case size stack,0.100,0.300,positive,"5.00-(9.60/2)",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
A,A-007,adjacent faces,Minimum cartridge-to-adjacent-cartridge gap,0.550,worst-case size stack,0.425,0.675,positive,"(5.00+1.00)-(10.90/2)",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
A,A-008,adjacent faces,Minimum clamp-to-adjacent-clamp gap,0.600,worst-case size stack,0.410,0.790,positive,"5.00+1.00+2.40-(15.60/2)",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
A,A-009,service,One-cartridge replacement dependency,0 other cartridges removed,hard gate,0,0,0 other cartridges,negative-edge fasteners and downstream pigtail disconnect,PASS concept,ENGINEERING PROPOSAL - VALIDATE,Service demonstration G30-06
B,B-001,envelope,Nominal installed height,27.000,sum of modeled stack,27.000,27.000,height <=27.500,OpenCascade bounding box,PASS margin 0.500,VERIFIED CALCULATION,30_CAD_KERNEL_REPORT.txt
B,B-002,envelope,Worst-case installed height,27.360,"+0.10 base datum +0.05 frame +0.10 core +0.04 cartridge +0.04 clamp +0.03 head",26.640,27.360,height <=27.500,worst-case arithmetic,PASS margin 0.140,ENGINEERING PROPOSAL - VALIDATE,G30-01 and vendor tolerances
B,B-003,core,Monolithic core outside size,11.300,+/-0.100,11.200,11.400,three orthogonal fired faces,part CAD,PENDING,HOLD - DO NOT FABRICATE,G30-03 orthogonality and firing distortion
B,B-004,core,Open-bottom cavity side wall,1.650,worst-case core and cavity,1.550,1.750,>=1.500 proposal,"(11.30-8.00)/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
B,B-005,core,Face relief perimeter wall,2.250,worst-case core and relief,2.150,2.350,>=1.500 proposal,"(11.30-6.80)/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
B,B-006,adjacent faces,Minimum cartridge-to-adjacent-cartridge gap,0.200,worst-case size stack,0.125,0.275,positive,"11.30/2-10.90/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
B,B-007,adjacent faces,Minimum clamp-to-adjacent-clamp gap,0.250,worst-case size stack,0.110,0.390,positive,"11.30/2+2.40-15.60/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
B,B-008,service,One-cartridge replacement dependency,0 other cartridges removed,hard gate,0,0,0 other cartridges,external saddle clamp and downstream pigtail disconnect,PASS concept,ENGINEERING PROPOSAL - VALIDATE,Service demonstration G30-06
C,C-001,envelope,Nominal installed height,26.550,sum of modeled stack,26.550,26.550,height <=27.500,OpenCascade bounding box,PASS margin 0.950,VERIFIED CALCULATION,30_CAD_KERNEL_REPORT.txt
C,C-002,envelope,Worst-case installed height,26.910,"+0.10 base datum +0.05 frame +0.10 core +0.08 cassette +0.03 pin projection",26.190,26.910,height <=27.500,worst-case arithmetic,PASS margin 0.590,ENGINEERING PROPOSAL - VALIDATE,G30-01 and vendor tolerances
C,C-003,core,Small open core outside size,10.500,+/-0.100,10.400,10.600,orthogonal datum faces,part CAD,PENDING,HOLD - DO NOT FABRICATE,G30-03
C,C-004,core,Open-bottom cavity side wall,2.000,worst-case core and cavity,1.900,2.100,>=1.500 proposal,"(10.50-6.50)/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
C,C-005,cassette,Rear zirconia datum outside width,9.800,+/-0.050,9.750,9.850,adjacent-face clearance positive,part CAD,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
C,C-006,cassette,Rear datum window ring width,1.700,worst-case outside and window,1.625,1.775,>=1.500 proposal,"(9.80-6.40)/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
C,C-007,cassette,Internal axial LCC clearance,0.100,LCC thickness tolerance and warpage missing,not calculated,not calculated,positive at 20 and 250 C,"3.25-1.00-0.50-1.65",UNRESOLVED,HOLD - DO NOT FABRICATE,G30-07 exact LCC thickness lot and front-guard flatness
C,C-008,rail,Ti rail inside separation,10.400,+/-0.100,10.300,10.500,greater than cassette width,rail center +/-5.70 and 1.00 width,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-04
C,C-009,rail,Total cassette lateral clearance at 20 C,0.600,worst-case subtraction,0.450,0.750,positive,"10.300-9.850; 10.500-9.750",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-04
C,C-010,adjacent faces,Minimum cassette-to-adjacent-cassette gap,0.350,worst-case size stack,0.275,0.425,positive,"10.50/2-9.80/2",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,CAD
C,C-011,pin,Pin cylinder to core clearance,0.150,"axis +/-0.05; pin radius +/-0.02; core +0.10",0.030,0.270,positive,"6.10-0.70-10.50/2",PASS but low margin,ENGINEERING PROPOSAL - VALIDATE,G30-04
C,C-012,pin,Closest X/Y retention-axis level gap,2.000,pin diameter 1.400,0.600 clear,2.000,axis surfaces do not geometrically cross,"max X z=16.25; min Y z=18.25",PASS,VERIFIED CALCULATION,30C_fastener_axes.svg
C,C-013,service,One-cassette replacement dependency,0 other cassettes removed,hard gate,0,0,0 other cartridges,remove two same-side pins and one downstream pigtail disconnect,PASS concept,ENGINEERING PROPOSAL - VALIDATE,Service demonstration G30-06
