item_id,category,description,nominal_mm,tolerance_or_bound,worst_case_or_clearance_mm,requirement,calculation_or_kernel_check,result,status,evidence_or_gate
F50-021,ceramic,Seat thickness,1.000,+/-0.050 proposed,0.950 to 1.050,vendor DFM acceptance,flat finished part,PENDING,HOLD - DO NOT FABRICATE,G50-04 vendor drawing redline
F50-022,ceramic,Seat window,6.400,proposal,minimum ring 1.500 at worst size,ring >= vendor-approved minimum,"(9.500-6.500 proposed worst opening)/2",PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-04 zirconia process
F50-023,ceramic,Tapped or internal ceramic threads,0,hard target,0,exactly zero,final fastener schedule sum,PASS,VERIFIED DESIGN RULE,AGENTS.md
F50-024,ceramic,Post-fire operations,not numeric,"proposed flat grinding/lapping; through-window and exit-notch finishing only; no tapping",not released,vendor-approved low-chip process required,drawing/process traveler,PENDING,HOLD - DO NOT FABRICATE,G50-04 vendor process and cleaning
F50-025,cartridge,Protected cartridge guard outside width,10.900,+/-0.050 proposed,10.850 to 10.950,adjacent-face clearance positive,CAD and tolerance stack,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-02 loop survey and fanout geometry
F50-026,cartridge,Protected cartridge thickness envelope,2.400,+/-0.040 proposed,2.360 to 2.440,positive clamp and guard clearances,CAD and tolerance stack,PENDING,HOLD - DO NOT FABRICATE,G50-02 bonded stack/guard measurement
F50-027,cartridge,Minimum adjacent cartridge gap,0.550,nominal concept geometry,0.425 proposed worst,greater than zero,"(5.00+1.00)-(10.90/2)",PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-04 complete tolerance CAD
F50-028,clamp,Clamp outside width,15.600,proposal,nominal,straight external access and no adjacent collision,kernel collision,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-05 flexure detail
F50-029,clamp,Clamp thickness envelope,0.500,proposal,nominal,formed flexure geometry required,kernel envelope only,PENDING,HOLD - DO NOT FABRICATE,G50-05 flexure FEA/coupon
F50-030,preload,Proposed displacement at 20 C,0.180,0.100 to 0.260 proposed,not qualified,positive and elastic,guard shoulder minus hard stop,PENDING,HOLD - DO NOT FABRICATE,G50-05 exact flexure/contact stress
F50-031,preload,Thermal displacement increment,0.00050,"(10.4-9.5)e-6*2.40*230",not a force margin,document only,first-order CTE arithmetic,PASS arithmetic,VERIFIED CALCULATION,G50-05 full hot stack still open
F50-032,bond protection,Guard clearance above measured loop,0.300,minimum proposal,measurement not available,no contact through tolerance/service,measured loop plus allowance,PENDING,HOLD - DO NOT FABRICATE,G50-02 loop/heel survey and sweep test
F50-033,nut capture,Open-sided nut cassette keeper count,6,one per face screw,all external,positive retention without clamp-load path through keeper,CAD architecture,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-05 exact keeper pin/fastener and hot-cycle test
F50-034,venting,Closed intentional volumes,0,design target,not yet vacuum-proven,no blind pockets or trapped faying volumes,open slots/holes/backframes in CAD,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-05 pump-down/borescope and drawing audit
F50-035,service,Other cartridges removed to service one axis,0,hard requirement,0,independent module replacement,one face clamp plus remote pigtail disconnect,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-06 instrumented service trial
F50-036,service,Tool directions,3,"+X +Y +Z straight external",noncrossing,all heads/keepers accessible,corrected CAD and drawing,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-06 chamber tool mockup
F50-037,magnetics,Allowable installed perturbation,not numeric,user budget absent,not calculated,complete head must meet signed Hall error budget,field-map requirement,PENDING,HOLD - DO NOT ORDER,G50-07 numeric budget and delivered hardware screen
F50-038,qualification,Continuous hot-vacuum duration,not numeric,user duty duration absent,not calculated,qualified to signed conservative life envelope,same-stack aging plan,PENDING,HOLD - DO NOT RELEASE,G50-02 and G50-08
