req_id,domain,requirement,source_or_artifact,evidence,red_team_status,finding_id,required_correction_or_closure
R40D-030,service,Straight +X/+Y/+Z driver axes,30D drawing,"axis intent present",CONDITIONAL,F40D-M06,model driver-body swept volumes and chamber mockup
R40D-031,service,Clamp disengagement motion valid,30D report,"0.8 mm less than independent 1.30-mm minimum",FAIL,F40D-B01,1.4-mm nominal slide and physical coupon
R40D-032,service,Cartridge withdrawal clears neighbours,30D CAD,"nominal static adjacency positive",CONDITIONAL,F40D-M06,model full normal withdrawal/jig sweep
R40D-033,thermal,Representative CTE arithmetic correct,30D ledger,"0.005766 lateral and 0.001270 normal",PASS,F40D-N03,replace with actual lots before release
R40D-034,thermal,Clamp retained force qualified at 250 C,AGENTS.md,"no exact formed-clamp data",FAIL,F40D-B06,20/250 C FEA/dwell/cycle coupons
R40D-035,accuracy,Bends not assumed perfect orthogonality,30D report,"full matrix strategy stated",PASS,F40D-N03,carry into final controls
R40D-036,accuracy,Axis matrix stable after hot cycles/service,User accuracy priority,"no measured budget or evidence",FAIL,F40D-B08,20/250 C pre/post service 3x3 calibration
R40D-037,magnetic,Complete head meets signed perturbation budget,AGENTS.md,"CP Ti candidate only; no head map",FAIL,F40D-B08,delivered hardware screen and full field map
R40D-038,electrical,No p1-p4 orientation guess,AGENTS.md/Stage 10,"Stage-30D retains parametric map",PASS,F40D-N04,microscope/traveler gate remains
R40D-039,electrical,Pad 14/18 notation remains normalized,AGENTS.md/Stage 10,"no mechanical-stage remap",PASS,F40D-N04,preserve 14<->18 and rejected jumper disposition
R40D-040,electrical,Three axes remain electrically isolated,AGENTS.md/Stage 50,"mechanical revision does not change isolated domains",CONDITIONAL,F40D-N04,final whole-package audit must preserve GND1_X/Y/Z
R40D-041,cost,Cost scored after hard gates,AGENTS.md/30D matrix,"D3 rejected; D1/D2 conditional",PASS,F40D-N05,preserve ordering
R40D-042,cost,No unsupported dollar savings claimed,30D report,"part/volume proxies labeled not prices",PASS,F40D-N03,keep final language narrow
R40D-043,cost,Complete BOM basis compared,30D cost CSV,"caddy post and strain details incomplete",FAIL,F40D-M05,add complete hardware/caddy lines before quote
R40D-044,cost,Comparable 1/3/10 live quotes,Stage-30 prompt,"no vendor quotes",FAIL,F40D-M05/G30D-08,drawing-identical RFQs with NRE/yield/inspection/qualification
R40D-045,drawings,Drawing/table/CAD agree on hook slot,Stage-30 evidence,"drawing says open; CAD is closed",FAIL,F40D-B01,correct final drawing/CAD/ledger together
R40D-046,drawings,Drawing/table/CAD agree on guard relief,Stage-30 evidence,"cartridge envelope relieved; guard not",FAIL,F40D-B02,include guard in final collision/drawing
R40D-047,drawings,Load-path labels identify caddy not guard,Stage-30 selected drawing,"drawing loads guard",FAIL,F40D-m03,correct final section and report
R40D-048,qualification,All fabrication details held pending evidence,30D gates,"G30D-01..08 explicit",PASS,F40D-N03,carry unresolved blockers into final checklist
