idea_id,rank,concept,primary_lane,sector_cluster,product_role,primary_customer_archetype,primary_market,current_trl,precompany_validation_by_2029,launch_2030_fit,timing_window,first_experiment_budget_usd,us_beachhead,china_beachhead,secondary_markets,asia_beachhead,score_total,confidence
P3R2-C-08,11,"Thermal-shock-tolerant printed-circuit heat exchangers (PCHE): merchant diffusion-bonded recuperators for sCO2 power, heat pumps, and hydrogen precooling",L04,heat-to-power components,process_output,industrial,US+CN,5,True,True,Export separability: heat exchangers for CN steel/waste-heat retrofits are low-sensitivity; nuclear-qualified US product line kept in US entity (no CN transfer). Risks: sCO2 commercialization slips (kill if no >=10MW-class merchant order by end-2033); Chinese institutes verticalize; manufacturing capex heavier than electronics seeds. All 2026 project schedules must be re-verified 2029.,65000,True,True,,True,51.6,medium
P3R2-B-01,12,"Sealed negative-pressure (subatmospheric) water/low-GWP two-phase cold-plate loop for >2 kW/chip Chinese AI racks - leak-safe by physics (air leaks in, coolant never leaks out), PFAS-free by design",L14,AI datacenter thermal,infrastructure,infrastructure_utility_transport,CN,4,True,True,Foreign-founder access: direct sales to Chinese hyperscalers unrealistic; route is IP licensing/joint development with a Chinese thermal vendor (Envicool-class) or ODM design-in via HK entity. Risk that Chinese incumbents productize two-phase in-house before 2030; mitigated by patent position and the documented non-convergence of two-phase architectures.,55000,False,True,TW;JP,True,51.0,medium
P3R2-E-04,13,"High-density cryogenic interconnect loader with co-packaged 4K readout front-end (superconducting flex harness + cryo-CMOS multiplexing + cryo-LNA), breaking the 256-channel-per-loader wall for quantum computers.",L13,quantum infrastructure,scientific_system,scientific_big_physics,US,3,True,True,"On-chip multiplexing (1000:1) or optical cryo-links could leapfrog external harness density; quantum capex is cyclical and government-dependent. Substitution risks kept on record (from D-17): on-chip 1000:1 multiplexing, SFQ readout, cryo-CMOS moving control fully cold, and optical cryo-links could each leapfrog external harness density; roadmap-validation angle - the only public density roadmap is a single vendor's unvalidated claim, so independent validated density data is itself a wedge.",60000,True,False,,False,51.0,medium
P5R2-CN-03,14,Field-deployable industrial high-temperature heat-pump commissioning and measurement-and-verification island,L04,new_supplemental_idea,diagnostic_test,industrial,US+CN,5,True,True,"China's official heat-pump action plan sets 2030 deployment and industrialization objectives, while MIIT's 2026-2028 program explicitly calls for industrial heat pumps and wide-range actual-load efficiency evaluation. The validation window precedes the scale-up and acceptance wave.",120000,False,True,,True,50.0,medium
P3R2-F-02,15,Superconducting-magnet electrical balance-of-plant platform: standardized precision drive-and-dump skids (10 ppm-class high-current DC converters + energy-extraction/dump units + current leads + busbars),L03,fusion_bigscience,scientific_system,scientific_big_physics,US+CN,6,True,True,Fusion schedule slip pushes serial magnet builds past 2034; hedge is research/industrial magnet and accelerator PSU demand that exists regardless of fusion outcomes.,400000,True,True,JP;KR,True,49.4,medium
P3R2-C-04,16,"PFAS-free pumped two-phase direct-to-chip cooling loop: hermetic, fluid-agnostic evaporator/condenser subsystem co-qualified with low-GWP non-PFAS working fluids",L14,AI datacenter thermal,infrastructure,infrastructure_utility_transport,US+CN,4,True,True,"Fluid availability is the binding risk - if no non-PFAS two-phase fluid reaches datacenter-scale qualification by 2031, single-phase water wins another cycle (kill trigger). Export separability good: thermal hardware is uncontrolled; CN entity can localize manufacturing. Do not rely on the unconfirmed Chinese '100% liquid-cooling mandate' (contradicted by primary text, L14-036). FIX: the 2031 fluid-availability kill trigger is retained and extended to cover the subatmospheric-water variant.",400000,True,True,KR;JP;TW,True,49.0,medium
P3R2-F-12,17,"Classification-certified DC power and protection stacks for battery-electric and battery-swap inland/coastal vessels (CCS Rules-native string protection, insulation monitoring, containerized-pack power interface)",L10,heavy_electrification,infrastructure,infrastructure_utility_transport,CN,5,True,True,"Access is the honest risk: if CATL bundles the full electrical stack with packs, the merchant socket closes; the wedge is non-CATL integrators and class-rule complexity.",75000,False,True,KR;JP,True,47.6,medium
P3R2-G-01,18,"Closed-loop UHV chamber conditioning and acceptance-certification systems for China's big-science vacuum supply chain: instrumented vacuum-firing/bakeout stations with measured hydrogen-outgassing endpoints, integrated rate-of-rise/leak/RGA acceptance metrology, and tamper-evident per-chamber certification - sold as equipment plus recurring calibration to the China-registered fabricators who alone may bid HEPS/CEPC-class chamber tenders.",L07,big-science vacuum / ultraclean process hardware,process_output,industrial,CN,4,True,True,"CEPC slip is the dominant risk (single lumpy anchor - the exact defect that killed B-12); mitigated by multi-facility cadence (HEPS upgrades, ASIPP, CSNS-class - BINDING P4 pre-promotion condition: >=2 additional chamber-class tenders evidenced, else no promotion) and by equipment+calibration economics that work at fabricator level, not only facility level. Access risk: foreign founder cannot bid tenders directly - sells equipment/certification to eligible fabricators via licensed CN entity; margins mid; IP risk is bench absorption, countered by calibrated reference standards and model updates rather than a one-time transferable recipe.",300000,False,True,KR;JP,True,47.6,medium
P3R2-A-10,19,Vendor-neutral ion-energy-distribution metrology + tailored-waveform bias control retrofit for plasma etch chambers,L06,Semiconductor fab subsystems,process_output,industrial,US+CN,4,True,True,OEMs may lock chamber data behind proprietary interfaces; if generator vendors integrate good-enough IEDF inference by 2030 the retrofit market narrows to process-development labs.,450000,True,True,JP;KR;TW,True,47.4,medium
P3R2-G-03,20,"DC-conversion acceptance and commissioning instrumentation: a portable measurement island (swept-impedance bus-stability analyzer, IT-network insulation/ground-fault characterization, hot-swap/inrush transient capture) plus standardized acceptance protocols and signed dossiers, for facilities converting legacy UPS power rooms to 240V/336V/+-400V/800VDC and for vendors qualifying DC shelves - the measurement layer of the DC transition, not another in-path power product.",L02,DC power infrastructure test & measurement,diagnostic_test,infrastructure_utility_transport,US+CN,4,True,True,"Datacenter-adjacency declared honestly: demand is deliberately anchored to retrofit/acceptance of the EXISTING installed base and per-project commissioning spend, not to incremental AI capex (the downturn-resistant slice, F-19 precedent); a total freeze of DC investment would still slow it - stated, not hidden. Core demand risk: operators may accept vendor self-certification instead of paying for third-party acceptance - the 2029 frame-agreement gate is binding. CN access: services/instrument sales via licensed entity; hardware is copyable, so the moat must be the validated methodology + sequence library + dossier credibility; margins on instrument plus per-project license; State-Grid-facing work is explicitly out of scope (commercial operators/integrators only), avoiding the F-06/C-12 domestic-only trap.",38000,True,True,TW;JP;KR,True,47.0,low
P3R2-D-12,21,"Electrohydrodynamically-pumped two-phase cold plates: field-driven, no-moving-parts per-chip flow control for 3-5 kW AI packages, with a non-PFAS working-fluid plan.",L14,AI datacenter extreme thermal,infrastructure,infrastructure_utility_transport,US+CN,3,True,True,"EHD is a documented enthusiasm zone: two 2025 reviews note no industrial-scale deployment (L16-003, L16-004); fluid qualification (dielectric + low-GWP + non-PFAS) may not intersect; hyperscalers may brute-force with bigger CDUs. Hard fluid-intersection gate (FIX): the working fluid must simultaneously be dielectric, non-PFAS, and low-GWP; if no candidate passes qualification, kill regardless of EHD results.",180000,True,True,TW;KR,True,46.8,low
P3R2-F-23,22,PEM electrolyzer 'protective operating envelope' controllers with warranty-grade black-box logging: embedded plant hardware that shapes current/OCV stress and produces bankable degradation evidence,L11,electrochemical_plant,process_output,industrial,US+CN,5,True,True,"If hydrogen FIDs stay depressed (documented order-book contraction), volume never arrives; the device concept then retargets battery/fuel-cell assets (same physics of warranty).",45000,True,True,JP,True,44.2,low
P3R2-F-06,23,"Precision wideband DC current/voltage sensing platform (optical and zero-flux hybrid) for HVDC converter stations, electrolyzer plants, and magnet systems",L08,dc_grids,infrastructure,infrastructure_utility_transport,US,5,True,True,"Component-margin business with entrenched incumbents; if HVDC protection stays vertically bundled inside converter OEMs, merchant sensing stays niche.",35000,True,False,KR,True,42.4,medium
P3R2-F-03,24,High-speed permanent-magnet turbo-generator + power-converter 'electrical cartridge' (0.3-20 MW) for waste-heat sCO2 and geothermal/ORC power blocks,L04,heat_to_power,process_output,industrial,US+CN,5,True,True,"If sCO2 retrofit demand stays CNNC-internal and ORC incumbents keep generators in-house, the merchant socket is small; mitigated by multi-cycle applicability and the documented turbine capacity shortage.",68000,True,True,KR;JP,True,37.2,low
