old_id,new_id,kept_as,doi
A0070,S0070,S0070,10.1007/s10582-006-0185-4
B0001,S0071,S0071,10.1007/BF01788387
B0002,S0072,S0072,10.1063/1.3272713
B0003,S0073,S0073,10.1063/5.0190619
B0004,S0074,S0074,10.1063/5.0244636
B0005,S0075,S0075,10.1088/1361-6587/abc395
B0006,S0076,S0076,10.1063/1.3246785
B0007,S0077,S0077,10.1109/TPS.2019.2918300
B0008,S0078,S0078,10.1088/0741-3335/50/12/125005
B0009,S0079,S0079,10.1063/5.0043802
B0010,S0080,S0080,10.1063/5.0174405
B0011,S0081,S0081,10.1063/5.0074127
B0012,S0082,S0082,10.1016/j.fusengdes.2019.02.123
B0013,S0083,S0083,10.1016/j.fusengdes.2013.05.087
B0014,S0084,S0084,10.1016/j.fusengdes.2015.06.047
B0015,S0085,S0085,10.1016/j.fusengdes.2008.11.022
B0016,S0086,S0086,10.1088/1741-4326/aacab0
B0017,S0087,S0087,10.1088/1741-4326/aad78b
B0018,S0088,S0088,10.13182/fst10-a10833
B0019,S0089,S0089,10.1063/1.1400155
B0020,S0090,S0090,10.1585/pfr.5.s2054
B0021,S0091,S0091,10.1016/j.fusengdes.2018.11.001
B0022,S0092,S0092,10.1063/1.1614856
B0023,S0093,S0093,10.1063/1.2166493
B0024,S0094,S0094,10.1088/1741-4326/aa86fd
B0025,S0095,S0095,10.1088/1741-4326/adaed0
B0026,S0096,S0096,10.1063/1.4816842
B0027,S0097,S0097,10.1080/10420150.2024.2378424
B0028,S0098,S0098,10.1063/1.3131627
B0029,S0099,S0099,10.1063/1.2220073
B0030,S0100,S0100,10.1063/1.2957933
B0031,S0101,S0101,10.1016/S0920-3796(03)00329-6
B0032,S0102,S0102,10.1088/2058-6272/ace87d
B0033,S0103,S0103,10.1016/j.fusengdes.2014.02.019
B0034,S0104,S0104,10.1016/j.fusengdes.2021.112255
B0035,S0105,S0105,10.1063/1.1789620
B0036,S0106,S0106,10.1063/1.3519303
B0037,S0107,S0107,10.1063/1.4940027
B0038,S0108,S0108,10.13182/fst08-a1674
B0039,S0109,S0109,10.1016/j.jnucmat.2004.04.252
B0040,S0110,S0110,10.1016/j.jnucmat.2011.01.081
B0041,,A0068,10.1088/1741-4326/ac8aad
B0042,S0111,S0111,10.1088/0029-5515/55/8/083006
B0043,S0112,S0112,10.1088/1361-6587/ae6c59
B0044,S0113,S0113,10.1063/1.4732077
B0045,S0114,S0114,10.1063/1.5038871
B0046,S0115,S0115,10.1063/1.5038812
B0047,S0116,S0116,10.3390/s23031492
B0048,S0117,S0117,10.1063/1.2971209
B0049,S0118,S0118,10.1088/1741-4326/adb599
B0050,S0119,S0119,10.1016/j.fusengdes.2023.113476
B0051,S0120,S0120,10.1016/j.fusengdes.2017.05.142
B0052,S0121,S0121,10.1016/j.fusengdes.2019.03.201
B0053,S0122,S0122,10.1016/j.fusengdes.2025.115180
B0054,,A0070,10.1007/s10582-006-0185-4
B0055,S0123,S0123,10.1016/0375-9601(88)90080-1
B0056,S0124,S0124,10.1063/1.859916
B0057,S0125,S0125,10.1088/0741-3335/37/11a/007
B0058,S0126,S0126,10.13182/fst95-a11947086
B0059,S0127,S0127,10.1109/27.763074
B0060,S0128,S0128,10.1088/1361-6587/adb179
B0061,S0129,S0129,10.1088/0741-3335/43/12a/318
B0062,S0130,S0130,10.13182/fst10-a10832
B0063,S0131,S0131,10.1016/j.fusengdes.2015.07.020
B0064,S0132,S0132,10.1088/0029-5515/55/11/113012
B0065,S0133,S0133,10.1063/1.2472368
B0066,S0134,S0134,10.1063/1.2229227
B0067,S0135,S0135,10.1088/0029-5515/25/11/007
B0068,S0136,S0136,10.1088/0029-5515/30/6/006
B0069,S0137,S0137,10.1038/ncomms13493
B0070,S0138,S0138,10.1088/0029-5515/56/10/106005
B0071,S0139,S0139,10.1088/0741-3335/58/6/064003
B0072,S0140,S0140,10.1016/S0920-3796(01)00430-6
B0073,S0141,S0141,10.1088/1741-4326/ad5c80
B0074,S0142,S0142,10.1063/1.4938031
B0075,S0143,S0143,10.1063/1.4894209
B0076,S0144,S0144,10.1088/0029-5515/53/4/043009
B0077,S0145,S0145,10.1088/1361-6587/ae1870
B0078,S0146,S0146,10.1088/1741-4326/ad3fcd
B0079,S0147,S0147,10.1088/1741-4326/ae151c
B0080,S0148,S0148,10.1016/j.fusengdes.2021.112398
B0081,S0149,S0149,10.1016/j.fusengdes.2017.03.043
B0082,S0150,S0150,10.1016/j.fusengdes.2022.113316
B0083,S0151,S0151,10.1016/j.fusengdes.2015.04.047
B0084,S0152,S0152,10.1016/j.fusengdes.2016.02.051
B0085,S0153,S0153,10.3390/s21030721
B0086,S0154,S0154,10.1063/5.0002193
B0087,S0155,S0155,10.1016/j.fusengdes.2018.12.092
B0088,S0156,S0156,10.1088/0029-5515/52/7/074015
B0089,S0157,S0157,10.1016/j.fusengdes.2022.113122
C0001,S0158,S0158,10.1155/2010/967245
C0002,S0159,S0159,10.1063/1.1787607
C0003,S0160,S0160,10.1063/1.1789611
C0004,S0161,S0161,10.1111/1467-9868.00294
C0005,S0162,S0162,10.1109/5.554205
C0006,S0163,S0163,10.1016/0005-1098(71)90059-8
C0007,S0164,S0164,10.1088/0741-3335/50/8/085002
C0008,S0165,S0165,10.1109/TAES.2011.5751259
C0009,S0166,S0166,10.1109/TMAG.2012.2192287
C0010,S0167,S0167,10.1155/2018/7452863
C0011,S0168,S0168,10.1109/TIM.2007.908635
C0012,S0169,S0169,10.1109/TIM.2014.2344332
C0013,S0170,S0170,10.1109/TBME.2006.875664
C0014,S0171,S0171,10.1115/1.3662552
C0015,S0172,S0172,10.3390/s22145348
C0016,S0173,S0173,10.1063/1.5039356
C0017,S0174,S0174,10.1109/JSEN.2020.2997292
C0018,S0175,S0175,10.1109/TMAG.2011.2158600
C0019,S0176,S0176,10.1109/5.542410
C0020,S0177,S0177,10.1119/1.17629
C0021,S0178,S0178,10.3390/s20102929
C0022,S0179,S0179,10.3390/s22010182
C0023,S0180,S0180,10.3390/s19245455
C0024,S0181,S0181,10.1088/1741-4326/ab555f
C0025,S0182,S0182,10.1088/1741-4326/ac77e6
C0026,S0183,S0183,10.1103/PhysRevLett.75.3594
C0027,S0184,S0184,10.1088/0029-5515/38/7/308
C0028,S0185,S0185,10.1088/0029-5515/34/10/i05
C0029,S0186,S0186,10.1162/neco.1995.7.1.206
C0030,S0187,S0187,10.1038/s41586-021-04301-9
C0031,S0188,S0188,10.1088/0029-5515/49/7/075031
C0032,S0189,S0189,10.1088/1741-4326/acc852
C0033,S0190,S0190,10.1063/1.3677362
C0034,S0191,S0191,10.1038/s41598-023-42991-5
C0035,S0192,S0192,10.1063/5.0188634
C0036,S0193,S0193,10.1088/1741-4326/aab22d
C0037,S0194,S0194,10.1088/1741-4326/ae2937
C0038,S0195,S0195,10.1088/1741-4326/ad142f
C0039,S0196,S0196,10.1109/ACCESS.2025.3561920
C0040,S0197,S0197,10.2514/1.6278
C0041,S0198,S0198,10.1017/s0022377825100962
C0042,S0199,S0199,10.3390/s21165288
C0043,S0200,S0200,10.1063/5.0249846
C0044,S0201,S0201,10.1016/j.fusengdes.2017.11.006
C0045,S0202,S0202,10.1088/0741-3335/55/10/105003
C0046,S0203,S0203,10.1088/1741-4326/add16e
C0047,S0204,S0204,10.1109/acc.2014.6858781
C0048,S0205,S0205,10.1088/1741-4326/ae34c6
C0049,S0206,S0206,10.1016/j.fusengdes.2025.115363
C0050,S0207,S0207,10.1016/j.asoc.2026.115267
C0051,S0208,S0208,10.1038/s43246-021-00206-2
C0052,S0209,S0209,10.3390/s24051659
C0053,S0210,S0210,10.1109/TMAG.2009.2027899
C0054,S0211,S0211,10.3390/s16060754
C0055,S0212,S0212,10.1002/hbm.25586
C0056,S0213,S0213,10.1109/JSEN.2009.2035711
C0057,S0214,S0214,10.3390/s24123773
C0058,S0215,S0215,10.3390/mi12030299
C0059,S0216,S0216,10.5194/angeo-19-1207-2001
C0060,S0217,S0217,10.3390/s18020578
C0061,S0218,S0218,10.3390/jsan2010085
C0062,S0219,S0219,10.21014/actaimeko.v13i4.1762
C0063,S0220,S0220,10.3390/s25051633
C0064,S0221,S0221,10.1149/2754-2726/ad9936
C0065,S0222,S0222,10.1063/1.2972024
C0066,S0223,S0223,10.1063/5.0218498
C0067,S0224,S0224,10.1088/1748-0221/12/07/c07007
C0068,S0225,S0225,10.1016/j.fusengdes.2023.114115
C0069,S0226,S0226,10.1063/5.0095907
C0070,S0227,S0227,10.1007/s11214-025-01170-w
C0071,S0228,S0228,10.5194/gi-11-375-2022
C0072,S0229,S0229,10.3390/s19081850
C0073,S0230,S0230,10.1186/s40517-021-00204-0
C0074,S0231,S0231,10.3390/s21123979
