# B30_skills FULL attempt-1 — complete shared skill stack (20 rows, referred to as S1..S20 in file order; S1-S5 carried from the accepted pilot with their grounding, extended per the full-run rules). current_level vocabulary is exactly: current_demonstrated / literature_backed_near_transfer / missing / collaborator_or_vendor. Grounding rule: current skill levels rest ONLY on B10's demonstrated ledger (PHD_FACTS.json C01-C50) as corrected by the SIX founder-fit corrections (B20 ALIGNMENT.md §9 five: D-02 array/DAQ+thermography, D-10 'home ground', C-01 power-electronics, C-05 scaled metrology, A-10 control/system-ID; plus B25 POWER_SKILLS.md §3.6: startup-corpus founder profile not adopted); literature prevalence is NEVER proof the user has a skill. Cxx = B10 claims; EVxx/Pxxxx/G-M-BT = B15 rows/papers/gaps/bridge tests; PB-x = B25 ladder; FT-x = B10-cited corpus falsification tests; W1/W2 = B25 POWER.md §9 wedges; BR-A..BR-I = this run's BRIDGES.json unified ladder; idea IDs verbatim from the A30/B20 universe. All time/cost figures are EST order-of-magnitude planning labels carried from cited records, not quotes; 'not estimable' is used where the record supplies no figure. Family-to-row mapping against B25 §4 is in SKILLS.md §3.
skill,category,current_level,evidence,target_level,needed_for,acquisition_path,validation_artifact,time,cost,priority,owner
"Pre-registered detection-statistics practice (ROC/false-alarm evaluation on held-out events, frozen thresholds and features, signature-library construction)",estimator/software (shared),literature_backed_near_transfer,"NOT demonstrated: no detection-statistics work in B10's ledger; the estimator-methodology basis is proposed and pre-redteam (C23/C31/C40) and correction 5 (B20 §9, A-10) applies. Transfer path: the demonstrated analysis-scripting base (C13) plus BR-G's fully specified protocol (B25 PB-3) plus the FT-02 freezing discipline imported from BR-A. The quench-detection literature class (EV06/EV23: <=9 mV signatures under >100 mV EMI) documents the problem class, not the user's skill",current_demonstrated,"W2 detection lane (P3R2-D-01 and ST01-C11's shared false-trigger methodology; C-01/ST01-C06P sliver evidence); Opt2 Element 3 adjacency (same honesty discipline, C31); the one sliver two corpora independently converged on (B25 PB-3 thesis)","Execute BR-G after BR-A Phase 0 passes and the BR-B bed exists (it is the noise source); thresholds/features frozen before the held-out set is unblinded; explicit scale honesty carried (48-100 V results do not transfer to 800 VDC arc physics or certification claims)","BR-G's pre-registered detector evaluation report: held-out ROC results, localization trial, transferability statement","3-5 bench-weeks EST (B25 PB-3)","$2-8K EST (B25 PB-3: arc fixture, contactors, resistor networks, DAQ reuse)",3,founder
"Sensor-chain dynamic/bandwidth characterization (small-signal frequency response, overlap-band injection, pole/delay identification)",sensing/readout,literature_backed_near_transfer,"NOT demonstrated — demonstrably absent: the manuscript's 1 MHz bandwidth figure has no derivation, measurement, or reference anywhere and the reviewer disputes it (C05, status unknown); the corpus's own Case-9 theory shows near-DC operation cannot verify bandwidth at all (C08/C23). Transfer path: the demonstrated bench base (C03/C13) plus specified methods (BR-B step 5 injected-ripple frequency response; C23 Case-9 overlap-band injection)",current_demonstrated,"P1/SENSL revision (the 1 MHz claim must be measured, bounded, or removed — C22 Reviewer 1 minor point 2); Opt2 Element 2 bandwidth fusion (C08 is blocked in practice until the real bandwidth is known); BR-B's bandwidth metric","Measure the actual chain frequency response on the bench by injected-signal methods (BR-B step-5 protocol works at low voltage without the converter bed); overlap-band injection per C23 Case 9 only if Element 2 proceeds","A measured frequency-response dataset with stated uncertainty replacing the unsupported 1 MHz figure in the P1 revision","Not separately sized by the record; rides BR-B step 5 (inside its 3-6 bench-weeks EST) or a standalone bench block the record does not size","$0-low-$K EST (existing bench plus a signal source; no record figure — labeled EST on that basis)",2,founder
"First-author manuscript writing, revision, and reviewer-response execution (P1/SENSL revision under venue-route and wording constraints)",publication/disclosure process,current_demonstrated,"Demonstrated at submission grade ONLY: a complete manuscript with LaTeX source, figures, and graphical abstract was written and submitted (C02/C21); it was declined with invitation to revise under a new Manuscript ID (C02/C22) and the researcher holds zero accepted first-author publications (C49). The revision-to-acceptance step has never been completed; binding wording constraints exist (C44: 'first fusion Hall diagnostic' is forbidden; exact HSX facility phrase required) and the venue route is decided but unexecuted (C35 Route A then C)","current_demonstrated at accepted-paper grade (>=1 first-author paper accepted or in revision by G5 — C38's own condition)","G5 gate (C38: the external clock of this whole plan); the P1/P2/P3 sequence; every publication-facing bridge output (BR-A/BR-B/BR-C/BR-E write-ups); B25 §4(f)'s qualification-authority path (earned partly through publication)","Execute the P1 revision against C22's itemized asks (GaN-sensor comparison table, repeatability statistics, bench calibration at minimum, Fig. 5 in field units) on the C35 route; the calibration ask depends on C04->BR-D and the repeatability ask on C45 module recovery; FT-01 kill search before any novelty claim; C44 wording rules enforced throughout","Resubmitted revised manuscript under a new Manuscript ID; the decision letter on it; G5 status record at ~month 12","Revision writing effort not separately sized by the record; the bench-evidence package it needs is BR-D's ~19-29 bench-days EST (C06)","$0 beyond bench work already carried on BR-D's line",1,"founder (advisor sign-off)"
"IP/disclosure gatekeeping process (G-A..G-H checklist execution, advisor + Stanford OTL pre-disclosure screen, inventorship and AI-provenance hygiene)",IP/disclosure process,literature_backed_near_transfer,"The screens exist as completed corpus artifacts — six candidate concepts screened against prior art (C33) and eight named disclosure gates (C34, with G-C/arXiv called 'the single most consequential disclosure event on the board') — but they were AI-mission-produced (C50) and have never been executed: the advisor+OTL pre-disclosure conversation (M13) is recorded not_started and no disclosure has occurred (C34 limitation). 'Near transfer' here means: the process is fully documented in-corpus and the founder's demonstrated documented-process discipline (C13/C46 as-builts) is adjacent; the legal substance (patentability, ownership, Bayh-Dole/funding obligations C41, AI-assisted inventorship C33) is permanently collaborator territory — OTL and counsel, never the founder","current_demonstrated for the gatekeeping process itself; collaborator_or_vendor permanently for all legal determinations","Every public artifact of this plan: P1 resubmission, any arXiv posting (G-C hard gate), conference talks, T0 code release with P2 (C10), any W1/W2 collateral; BR write-ups","Hold the M13 advisor+OTL conversation (a first-90-days action); route every planned disclosure through G-A..G-H and log the decision; escalate CC-4/CC-6-class AI-inventorship questions to counsel (C33), never resolve them personally","A dated gate-decision log; the M13 meeting record; the P1 resubmission documented as gate-cleared through the checklist","Meeting-scale, not a training item; calendar-dependent on advisor/OTL availability","$0 (counsel costs are OTL's/institutional, none committed by this plan)",2,"founder + advisor + Stanford OTL/counsel"
"Commissioning, configuring, and auditing autonomous AI research missions (evidence-ledger construction, red-team stages, provenance labeling)",research operations process,current_demonstrated,"B10 C16/C17/C50: the researcher commissioned, configured, and directed missions that produced a 231-row independently red-team-audited source ledger (C16/C39) and a 219-row pre-redteam ledger (C17/C40). Honest bounds: this is direction/orchestration competence, NOT the underlying research labor (C50's explicit distinction — a PhD-portfolio reader must not mistake mission outputs for personal literature-review labor); the folder-08 mission stopped at 10/12 stages with no redteam/synthesis output (C40), so the audit-closure discipline is the part still unevenly exercised","current_demonstrated with closed-loop audit discipline: no mission output used as load-bearing evidence before its adversarial audit stage has run","FT-01 kill searches before publication novelty claims; BR-F desk audits; literature maintenance for P1/P2; any future venture research; keeping C50-class provenance flags present in every derived claim","Maintain; complete folder-08's own redteam/synthesis stages (or commission an equivalent independent audit) before further load-bearing reliance on its claims (C40); apply the C50 provenance flag uniformly, not just where the IP screen does","A folder-08-class redteam/synthesis output existing before its claims are re-used; provenance flags verifiably present in derived documents","Rides existing practice; folder-08 audit closure not separately sized by the record","$0",3,founder
"External collaboration and partner-engagement practice (host-facility campaign execution; brokering new engagements: supervision, instrument loans, irradiation hosts, advisor/OTL process)",collaboration/venture process,current_demonstrated,"Demonstrated NARROWLY: an in-vessel campaign was executed inside the established HSX collaboration (C01 — researcher-attributed hardware/campaign work). NOT demonstrated: initiating new external engagements — the corpus's own collaboration strategy records that no contact, submission, or external write has occurred (C28); the supervision arrangement (S3), reference-chain loan (S10), irradiation host (BR-H), and the advisor+OTL conversation (S14/M13) are all still unopened as of the corpus's latest record","current_demonstrated (extended: >=2 NEW engagements actually executed — a supervision partnership and at least one loan/host/OTL engagement)","S3's supervision (hard pre-flight gate for BR-B); S10's borrow-first path; BR-H's host campaign (collaborator-led by design, C09); BR-I if ever activated; B25 §4(f)'s qualification-authority path (EST 1-3 years of partner engagements AFTER the credential exists)","Execute the PREP_PLAN's named outreach items (days 0-90): supervision scouting, reference-loan enquiries into the magnet-lab community (S-B20-02), the M13 advisor/OTL meeting; irradiation-host scouting stays option-level (C09: never on the critical path)","A signed/acknowledged supervision arrangement; a loan agreement or rental record; the M13 meeting record","Calendar-dependent, not effort-bounded — not estimable as a training figure","$0 (enquiries and meetings)",2,founder
"Product manufacturing, DFM, and quality-system practice (serialized production, reliability engineering, supplier quality)",manufacturing/quality-dossier,collaborator_or_vendor,"No manufacturing, DFM, or quality-system entry in B10's ledger; the one packaging-adjacent design project's own acceptance checklist holds fabrication/purchase at FAIL/HOLD with 8 BLOCKER findings (C19); B25 §4(a): DFM/reliability is HIRE/PARTNER at company scale. The founder-shaped part of 'quality-dossier' work is ONLY the measurement/uncertainty dossier content, which stays on S2's row (PB-2 class) — the distinction the task's family list requires stating","collaborator_or_vendor (engaged only if a B40-ranked direction productizes)","Any W1/W2 productization (P3R2-D-02 scanner, G-03 instrument island, D-09 instrument); explicitly NOT needed for any ladder entry or any PhD outcome","PARTNER/HIRE at company scale only; $0 and no engagement in this plan beyond the S4 decision memo's scope","None personal; would be a partner/hire engagement record","n/a in this plan","$0 committed",5,"partner organization / future hire (not founder)"
"Field commissioning, safety-rated electrical trades work, and utility/station qualification",converter/certification (field),collaborator_or_vendor,"B25 §4(d): station acceptance and field-safety-rated electrical work are HIRE/PARTNER (field-safety-rated staff or an EPC partner); the founder-shaped part is only the measurement-uncertainty/dossier content (PB-2 class, on S2's row); no field-electrical entry exists in B10's ledger; B20's G-03 row names the safety-rated field domain as unevidenced and classifies at the weak/medium boundary for exactly that reason","collaborator_or_vendor","P3R2-G-03/F-06/E-14/C-07-class field deployment if W1 ever productizes; NOT needed for any bridge or PhD outcome","PARTNER (EPC/field-safety-rated staff) only at company scale; nothing scheduled in this plan","None personal","n/a in this plan","$0 committed",5,"partner organization (not founder)"
"Irradiation-campaign qualification practice (species-matched screening, facility dosimetry, in-situ/pre-post irradiation protocols)",radiation qualification (collaboration),collaborator_or_vendor,"By the corpus's own design: radiation qualification is collaborator-led, never on the HSX critical path, never claimed as first-author experimental work (C09); zero GaN/AlGaN irradiation data exists to build on (C29/M1) and cross-species scaling has failed ~14x in a cited comparable case, so wrong-species screening is worse than none (C29); radiological safety and facility access are entirely the host's regime (B25 PB-7). Founder-side contributions are S6 coupon packaging (C46 reuse) and S1/S2 pre/post bench characterization","collaborator_or_vendor (a host campaign engaged if one materializes — BR-H; the witness-material single-source dependency C30 tested there)","Closing M1/C29 — which decides whether C09's compensation architecture is needed at all (the corpus names 'unnecessary' as a good outcome); radiation-instrument variants of F-06/D-09; E-10/D-16 record closure","COLLABORATE (BR-H): scout host campaigns via existing communities; the founder never funds or leads the campaign; coupons ride the C46 process; blind parameter extraction before dose labels attach","A host-campaign agreement plus the BR-H coupon characterization dataset (pre/post sensitivity, offset, mobility-proxy at stated fluence)","Host-schedule-dependent — not estimable","Founder-side low-$K EST (coupon packaging and characterization, B25 PB-7); campaign costs are the host's",4,"collaborator-led; founder as coupon supplier and pre/post analyst"
"Application-domain specialist disciplines outside the measurement stack (electrochemistry; laser/photonics; plasma/RF power engineering; space power; rotating machines)",application-domain (B25 §4(e) families),collaborator_or_vendor,"None of these disciplines appear anywhere in B10's ledger. B25 §4(e) routes them: electrochemistry HIRE/PARTNER (the scarce skill per B20 for C-07/C-22/F-23); laser/photonics PARTNER at most with D-10 ADVERSE (correction 2 — B20 §9's rejection of the 'founder's home ground' claim — and D-10's controlled-regime conflict with the PhD's open-publication gates C33/C34); plasma/RF PARTNER (F-01, C-14); space power COLLABORATE only (E-10/D-16 — the reverse channel is BR-H); rotating machines retire (F-03, D-19). Correction 6 (B25 §3.6) bars adopting any startup-corpus breadth assertion here","collaborator_or_vendor for the PARTNER-eligible families; EXCLUDED entirely for rotating machines and for D-10's controlled regime (no engagement at all)","Only idea-specific stacks that the option-preserving rule deliberately excludes from the shared stack; the row exists so the stack is honest about what the founder will NOT become (the S4 pattern applied domain-wide)","None — PARTNER at most, decided only by B40; $0 committed; no training, no purchase, no outreach in this plan","None claimed or planned","n/a","$0",5,"partner organizations (not founder)"
