idea_id,role,application,phd_leverage,missing_capabilities,buyer,proof_experiment,safety_certification,capital,moat,confidence,falsifier,disposition
P3R2-C-05,"measurement-qualification platform (standards-grade thermal emulation and conformance metrology for liquid cooling: programmable TTVs, rack load emulators, traceable calorimetry, round-robin protocol) — power-adjacent boundary case, included because its bench IS kW-class programmable electrical load plus traceable electrical-energy-balance metrology (inclusion boundary, POWER.md §1)","datacenter liquid-cooling conformance; BLIND 2 / NEW 3 / OLD killed-then-A30-verified-revival (DIS-C05 on opened primaries); eight-vendor Deschutes ecosystem live 2025-2026 (A30-verified); bench/protocol window 2027-2029","adjacent leverage (B20 class MEDIUM): the venture's moat is method authority — traceable calorimetry closing energy balances to reference-grade uncertainty plus round-robin statistics with published uncertainty budgets — structurally the same GUM/traceable-budget discipline the PhD proposes in WP-C (C06, proposed, gated by C04) and that B15 shows is scarce (EV01 single exemplar; EV35/G3); the measurement DOMAIN differs completely (thermal/fluid kW-class vs magnetic mT-T): calorimetry, two-phase fluids, and multi-kW heat handling are nowhere in B10's ledger — the transfer is methodology, not domain (B20 correction 3 carried: bench DAQ demonstrated, multi-kW calorimetric metrology not)","multi-kW calorimetry and thermal/fluids engineering; TTV die/emulator design; two-phase handling; round-robin governance and conformance-body standing; bench productization — none PhD-evidenced","cooling vendors, hyperscalers, conformance bodies in the Deschutes/OCP ecosystem (A30-verified current)","venture gate = the round-robin variance experiment (its own record); founder-shaped proof = PB-2 (uncertainty-budgeted acceptance-dossier exercise — the same methodology exercised on an electrical current chain first, where the PhD's instruments actually are)","laboratory-scale electrical/thermal safety; the commercial certification surface is conformance-protocol authority, not product safety certification (record level)","moderate — bench + protocol build (record level)","method authority with published uncertainty budgets (record); contestable if the differentiator proves to be thermal/fluids domain engineering (B20's falsifier)","medium","if the venture's actual differentiator proves to be TTV die design / two-phase handling rather than uncertainty-budget authority, forward downgrades to speculative; a lab-to-lab round-robin variance too large to discriminate products kills the method-authority premise (B20)","carry as a W1-family qualification play (POWER.md §9): methodology-nearest but domain-farthest of the wedge family; its role in this stage is to prove the wedge CLASS generalizes beyond current metrology — not to be the founder's first wedge"
P3R2-D-01,"subsystem (merchant quench-detection-and-protection subsystem for REBCO/HTS magnets: fiber-optic + RF + voltage fusion, energy extraction/dump)","HTS magnet protection across fusion/magnet programs; BLIND 3 / OLD 3 / NEW 7 (winner-class); 2027 university-lab campaign, 2030 launch, SPARC-results-driven schedule (corpus-dated); merchant magnet-owner buyer class verified current (S-B20-02)","adjacent leverage (B20 class MEDIUM): the venture's value is false-trigger statistics for fused multi-modal detection under EMI — structurally the same weak-signal-under-EMI problem class B15 documents for quench detection (<=9 mV signatures vs >100 mV residual EMI: EV06/EV23/P0033/P0038) and the same fusion-estimator methodology class as proposed Opt2 Elements 2/3 (C08/C10/C23/C31; EV34); BUT no Hall channel appears in the product, no Hall-based HTS-monitoring method exists in the corpus (EV26/M7, open and untested), C27 vetoes the persistent-mode static-field lane, and the fiber/RF/dump-electronics core is outside PhD evidence","fiber-optic (FBG) and RF/microwave detection hardware; dump/energy-extraction power electronics; magnet-protection reliability engineering and false-trip/missed-trip qualification; HTS magnet application knowledge (EV05/EV21 literature exists but is not founder capability) — none PhD-evidenced","fusion companies and magnet labs (S-B20-02 verified class); the record says demand is ecosystem-level pending a 2028 co-test","estimator-honesty methodology applied to quench false-trigger qualification (BT-1/FT-02 class — B20's stated honest bridge); PB-1's EMI discipline transfers; a bench demonstration that a Hall channel adds value in transient/charging HTS monitoring would close M7/EV26 and upgrade the bridge (B20)","magnet-protection reliability qualification (false-trip statistics ARE the safety case); lab electrical safety around stored magnetic energy; no consumer certification regime","moderate — subsystem-scale (record level)","false-trigger statistics + multi-modal fusion authority per the record; ST01-C11 (startup corpus) independently confirms detection as the genuinely unsolved layer and ASIPP's productized-QPS tender as demand evidence (S-B25-12, record-vintage)","medium","NI-winding dominance at pilot scale shrinks both venture and alignment; a Hall-transient-monitoring bench win upgrades it (B20)","carry as the strongest protection-subsystem candidate and the honest home of estimator-methodology transfer (wedge W2 family, POWER.md §9); the bridge is methodology, not Hall hardware — stated exactly that way"
P3R2-D-09,"measurement tool (charge-buildup-immune beam-current and dose metrology for FLASH and industrial electron beams — 'the traceable ammeter the field admits it lacks') — boundary case: measurand is beam current, not converter current; included under the inclusion boundary's precision-current-metrology clause (POWER.md §1)","FLASH radiotherapy and industrial e-beam dosimetry; killed-then-revived (OLD P4 kill 58.2; NEW 17; BLIND 23); FLASH clinical qualification 2028-2032 (corpus-dated); NCI SBIR topic instance expired (record's own caveat)","adjacent leverage (B20 class MEDIUM — elevated by B20 to the significant-coupling set as 'the strongest previously-unanalyzed forward mechanism after D-02'): the buyer's stated requirement is NIST traceability with tolerance budgets — exactly the WP-C/GUM methodology (C06, proposed, gated by C04) that B15 shows is scarce (EV01/EV35/G3/M3); non-intercepting beam-current monitoring is inductive/magnetic-family sensing whose documented FLASH failure mode (charge buildup corrupting BCTs, two independent 2025 papers per the record) needs cross-modality calibration-transfer discipline (EV12 class); harsh-environment survivability parallels C01/C46 though species/regime differ (M1 caveat: no GaN data transfers)","dosimetry/medical physics; accelerator beam physics; Faraday-cup/calorimetric reference engineering; medical-device regulatory pathway; instrument productization — none PhD-evidenced","FLASH clinical programs, e-beam sterilization/industrial operators, NMIs (record); market small and instrument-vendor-shaped (record's own words)","PB-2 (traceable acceptance-dossier exercise) is this idea's methodology rehearsal; PB-5's excursion-chain discipline transfers; venture gate = a funded reference-instrument engagement (record)","medical-device regulatory burden eventually (B20-recorded); metrology-instrument class otherwise; traceability authority is the product","low-moderate — instrument-scale (record level)","NIST-traceable authority in a niche with a documented failure mode and no incumbent reference instrument (record); small market honestly carried","medium","if the winning approach proves calorimetric/Faraday-cup engineering rather than magnetic-family non-intercepting sensing, the sensor-family leg drops and it degrades to the methodology-only C-05 pattern; PTW converting its research detector first kills the position (B20)","carry in the W1 wedge family as the sleeper current-metrology instrument play; small-market honesty must accompany any B40 use (B20's instruction carried)"
P3R2-D-10,"subsystem — power-adjacent boundary case (coherent-beam-combining phase-control engine for directed-energy/ultrafast lasers; electro-optic modulator front-ends and SPGD control, driving high-power laser systems) — included only because the task sweep names it; it is NOT a power converter/supply idea (inclusion boundary, POWER.md §1)","directed-energy and ultrafast laser programs; ADVERSE per B20: A30-verified JLWS awards executed 2026-07-09 with nLIGHT holding CBC as proprietary vertically-integrated technology; Navy JBCS awards from Q4-2026; decision window 2026-2028 collides with the PhD","negative interference both directions (B20 class ADVERSE): no shared hardware, method, dataset, calibration asset, or buyer; 'control/estimation' similarity is thematic and rejected as causation; prime-facing DE work runs under controlled-technical-data/classification regimes that structurally conflict with open-publication gates (G5/C49, C33/C34)","lambda/30 electro-optic phase locking; SPGD control loops; high-power photonics; prime-contractor qualification; classified-program compliance — none PhD-evidenced; B20 correction 5 applied (new06 D04's 'founder's home ground' rejected)","defense primes (A30-verified structure: awardees hold the technology proprietary)","none founder-relevant; pursuing it seriously implies pausing or leaving the PhD (B20's disposition)","classification/controlled-technical-data regimes — the certification surface here is clearance and compliance, not product safety; direct conflict with the PhD's publication gates","program-scale; not founder-relevant","proprietary vertical integration by incumbent awardees (A30-verified)","high (ADVERSE)","a JBCS subsystem carve-out permitting open unclassified merchant participation PLUS a demonstrated PhD-derived electro-optic control asset would falsify ADVERSE; neither exists in any record read (B20)","retire; recorded as the sweep's boundary exemplar of power-adjacent-but-not-power and of adverse alignment — do not co-plan with the PhD"
P3R2-D-16,"full end product (merchant 100 kWe-class space closed-Brayton power conversion unit + high-voltage PMAD for fission surface power)","fission surface power programs (NSTM-3 window 2026-2034, April-2027 downselect, corpus-dated); killed-then-revived (OLD P4 survivor 56.2 + P5 KILL 88%; NEW 24; BLIND not selected)","speculative transfer (B20 class WEAK): closed-Brayton turbomachinery and HV space PMAD have no PhD evidence; the radiation-environment overlap is methodological only (EV15: species-separated methodology transfers, material data do not; M1: no GaN Hall irradiation data to leverage; C29's ~14x cross-species failure); reverse channel identical to E-10's — a qualification program could host GaN Hall coupons (unplanned)","space turbomachinery; HV PMAD design for space (vacuum insulation, thermal); rad-hard qualification flows; program capture (government downselect) — none PhD-evidenced","NASA/DOE program primes (record level); venture held as a cheap option until downselect per its own record","venture-level program capture; founder-relevant channel = PB-7 irradiation piggyback (same as E-10)","space qualification regimes plus government-program compliance; nothing PhD-relevant","high — program-scale (record level)","program incumbency if downselected; none PhD-adjacent","high (that the transfer is weak)","a funded qualification campaign explicitly including magnetic-sensor coupons would create the E-10-class thin reverse channel (B20)","retire as a venture; fold its reverse channel into PB-7 alongside E-10 (one irradiation-piggyback plan, two host-idea candidates)"
P3R2-D-19,"full end product (distributed composite-flywheel kinetic buffers — composite rotor + magnetic-bearing machine + bidirectional converter — for off-grid AI power plants) — boundary case: power-infrastructure product whose decisive risk is rotor/machine engineering, not the converter (inclusion boundary, POWER.md §1)","off-grid AI power plant buffering (corpus-dated procurement); killed-then-revived (OLD P4 survivor 60.4 + P5 HOLD; NEW 20; BLIND not selected); selection-entry record depth only, disclosed","speculative transfer (B20 class WEAK): magnetic-bearing flywheels involve machine-level electromagnetics (levitation control, rotordynamics) — not field metrology (EV30/EV31); bearing-gap sensing inside such machines is commodity position sensing, not the WP-C traceable-calibration niche; B20: no sliver worth naming","composite rotor design/manufacturing and burst containment; magnetic-bearing control; MW bidirectional converter integration; site engineering; project development — none PhD-evidenced","off-grid AI power plant developers (selection-entry level)","venture-level only; no founder-shaped sliver","machine-safety (rotor containment) plus grid/plant interconnection regimes (record level; standards not named in records read)","high — rotor manufacturing plus deployment","none identified at record depth","high (that the transfer is weak)","none realistic identified (B20)","retire; kept as the sweep's completeness row for power-infrastructure storage machines"
P3R2-E-14,"full end product + qualification platform (multi-terminal DC fault-discrimination protection relay + vendor-neutral HIL qualification platform — 'SEL of DC grids')","multi-terminal HVDC protection; BLIND 7 / OLD 7 / NEW 5 (winner-class); qualification phase 2027-2029, relay 2030+; US MTDC actually being built is the venture's own key_kill (point-to-point through 2034, corpus-dated)","speculative transfer (B20 class WEAK): traveling-wave/wavelet grid protection, real-time digital simulation, and utility qualification are kV/kA grid-protection engineering with no shared instrument/dataset/calibration asset/buyer (EV30/EV31); the one honest affinity — deterministic detection statistics under noise — is the proposed estimator-methodology class (C23/C31, pre-redteam C40), thematic until scheduled; DC station sensing (EV28 class) is a non-core sliver","protection-algorithm engineering (traveling-wave/wavelet firmware); real-time HIL simulation infrastructure; utility/lender-grade qualification authority; relay productization and grid certification — none PhD-evidenced","HVDC developers, protection OEMs, lenders (record); corpus-dated project schedule (GBX/Southern Spirit) — Southern Spirit's 2029/2032 targets re-confirmed live on a stale page (S-B25-17, disclosed)","venture gate = a funded HIL-qualification engagement; B20's thin-link condition = an engagement that specifically buys calibrated measurement-uncertainty work rather than protection-algorithm engineering (PB-2-class deliverable)","utility protection qualification and lender-grade acceptance (record); field/station safety regimes; no PhD-relevant surface","moderate (HIL platform) to high (relay product) — record level","HIL benchmark authority + relay design-in per the record; the 'neutral qualification authority' THEME recurs across C-05/G-03/C-22 but theme is not mechanism (B20)","medium-high (that the transfer is weak)","a funded HIL engagement pricing calibrated measurement-uncertainty work would create a thin adjacent link (B20)","PhD-independent as a venture; its HIL/qualification LEG is retained in the W1 wedge-family comparison (POWER.md §9) — the platform role is right, the domain skills are not the founder's"
P3R2-F-01,"subsystem (solid-state microsecond impedance-matching engines — switched SiC/PIN capacitor arrays — for pulsed/tailored-waveform RF plasma tools)","RF match retrofit/design-in for etch tool and generator vendors; OLD 4 / NEW 10 / BLIND 20; design-in window 2028-2029; venture kill = no generator/tool-vendor paid evaluation by end-2029 (its own rule)","speculative transfer (B20 class WEAK): switch-stack design, Smith-chart coverage, arc-safe transitions, insertion-loss/Q engineering are RF power electronics (EV30 boundary exactly; EV31 device layer); one real sliver: the controller estimates load state from calibrated RF measurements — calibrated directional-power sensing under RF EMI is measurement work adjacent to C03 bench discipline, but a supporting subsystem, not the socket","RF power switching (SiC/PIN stacks); RF network engineering; arc-safe transition sequencing; semiconductor-tool OEM co-qualification; EMC at RF — none PhD-evidenced","etch tool/generator vendors (record); same-lane buyer overlap with A-10 is business adjacency, not PhD mechanism (B20)","venture gate = OEM paid evaluation by end-2029; founder-shaped sliver = an OEM evaluation pricing the calibrated sensing/state-estimation layer (B20's condition); PB-1's calibrated-RF-adjacent measurement discipline is the rehearsal","OEM qualification and tool-level EMC; export-compliance restructuring on the CN leg (corpus-recorded); no PhD-relevant certification surface","moderate — module-scale (record level)","switch-stack + transition-sequencing engineering (record); no PhD-adjacent moat","medium-high (that the transfer is weak)","an OEM evaluation pricing the calibrated sensing/state-estimation layer as the differentiator would upgrade the sliver to adjacent leverage (B20)","PhD-independent; the calibrated-RF-sensing sliver is noted for completeness but no record shows a buyer for it separately"
P3R2-F-02,"subsystem + full product (superconducting-magnet electrical balance-of-plant platform: 10 ppm-class drive-and-dump skids, current leads, busbars)","magnet-lab and merchant-magnet electrical BoP; OLD 15 / BLIND 16 / NEW cut; nearer-term lab skids 2027-2029, merchant-magnet procurement mid-2030s (corpus-dated); buyer class verified current (S-B20-02)","speculative transfer with two honest slivers (B20 class WEAK): (a) 10 ppm-class regulation requires precision DC current metrology (DCCT/zero-flux class — not Hall, EV28), method-adjacent to C03 demonstrated bench discipline and C06 proposed methodology; (b) buyer-class overlap with the magnet community (S-B20-02) — buyer adjacency, not mechanism; reverse sliver: a precision-current vendor owns exactly the trusted excursion chains FT-05/BT-3 need (PB-5 linkage), unplanned by anyone","kA-class converter and energy-dump engineering (EV30: topology/control differentiates); precision power productization at incumbent grade — Danfysik SYSTEM 9700 verified live at 10 ppm / 0.75-100 kW catalog class (S-B25-15), OCEM/Danfysik-class incumbency per the record's own map; lab integration and site safety — none PhD-evidenced","magnet labs, fusion companies, merchant-magnet builders (S-B20-02); CFS bundling risk per its record","venture-level skid delivery; founder-shaped proof = PB-5 (trusted excursion-chain demonstration with a magnet-lab partner) and PB-2 (uncertainty-budgeted acceptance of a drive-and-dump chain) — a magnet-lab purchase order naming calibrated measurement uncertainty as the differentiator is B20's upgrade condition","lab electrical safety around stored magnet energy; skid acceptance testing; incumbent-grade reliability expectations (S-B25-15 shows the catalog bar); no consumer certification regime","moderate-high — skid product line (record level)","incumbents strong (OCEM/Danfysik/Magna-Power class, record + S-B25-15); the only contestable layer is measurement/qualification authority — same conclusion as the startup corpus's DD_C10 (S-B25-13: 'ppm lives in the measurement chain, not the switch')","medium","a magnet-lab purchase order that names calibrated measurement uncertainty (not converter capacity) as the differentiator would upgrade forward to adjacent leverage (B20)","keep visible as buyer-class-adjacent to the magnet cluster (D-01/D-02/ST01-C10); the frontier corpus's F-02 and the startup corpus's C10 describe the SAME market layer from two angles — reconciled in POWER.md §8; do not let shared buyers create a false synergy claim (B20's warning carried)"
P3R2-F-03,"full end product (high-speed PM turbo-generator + power-converter electrical cartridge, 0.3-20 MW, for waste-heat sCO2/geothermal/ORC)","waste-heat and geothermal power conversion; OLD-only rank 24 (NEW cut 58.3; BLIND not selected, INCUMBENT)","speculative transfer (B20 class WEAK): PM machine electromagnetics is 'magnetic' vocabulary at most — machine design (torque, cooling, rotordynamics) is a distinct discipline from field metrology (EV30/EV31); Calnetix-class incumbency per its own record; B20: no slivers worth naming","MW-class PM machine design; MW converter integration; rotordynamics; site/plant engineering; incumbent displacement — none PhD-evidenced","waste-heat/geothermal project developers and OEMs (record level)","venture-level only; none founder-shaped (B20: a machine-instrumentation role would be generic engineering services)","MW machine/converter certification and plant interconnection regimes (record level; standards not named in records read)","high — MW product development","none vs Calnetix-class incumbents (record)","high (that the transfer is weak)","none realistic identified (B20)","retire; completeness row for the machines family (with D-19)"
P3R2-F-12,"full end product (classification-certified DC power and protection stacks for battery-electric/battery-swap vessels; CCS Rules-native; CN-primary)","marine electrification (CN shipbuilding procurement; CCS 2025 rules in force, corpus-dated); OLD-only 17 (NEW cut 56.0; BLIND excluded on ACCESS)","speculative transfer (B20 class WEAK): marine DC protection and CCS classification certification are the C-01/E-14 discipline family transposed to a CN-regulated marine market; no instrument, dataset, calibration asset, or buyer overlaps the PhD; CN-primary structure adds access friction for a US-based founder (both baselines' records; BLIND ACCESS exclusion)","marine power-system design; CCS classification-certification execution; containerized-pack interface engineering; CN market access and shipyard relationships — none PhD-evidenced","CN shipyards and vessel operators (record level)","venture-level only; no founder-shaped sliver","CCS classification rules (record-cited, in force 2025); marine electrical safety regimes; entirely outside PhD evidence","high — marine product certification and CN operations","classification-native design per the record; none PhD-adjacent","high (that the transfer is weak)","a US-flag or classification-society-neutral variant with a paid metrology/acceptance role would create a thin sliver; none exists in the record (B20)","retire; completeness row for the DC-protection family under a foreign certification regime"
P3R2-F-23,"subsystem (PEM electrolyzer protective operating-envelope controllers with warranty-grade black-box logging)","electrolyzer fleet protection/warranty; OLD 22 / NEW 23; retrofit audits 2027-2029 (corpus-dated hydrogen window)","speculative transfer (B20 class WEAK): the product shapes electrical stress (current/OCV envelopes) and produces bankable degradation evidence — same electrochemistry-plus-power domain as C-22 (EV30 boundary), with the evidence layer being logging/attestation rather than traceable measurement; no PhD asset maps onto either (B20)","embedded plant-control engineering; electrochemical degradation economics; warranty/insurance structuring; fleet software — none PhD-evidenced","electrolyzer owners/insurers (record); venture gate = 2000h A/B showing measurable degradation-rate reduction (its own kill)","venture-level A/B trial; founder-shaped sliver = same as C-22: a paid uncertainty-budgeted acceptance-measurement role would create a sliver (B20)","functional-safety-class plant control expectations plus warranty/insurer acceptance (record level); no PhD-relevant surface","moderate — controller product plus trials (record level)","attestation/logging layer is data engineering, contestable; none PhD-adjacent","high (that the transfer is weak)","same as C-22's acceptance-layer condition (B20)","retire from founder consideration; completeness row closing the electrolyzer family (C-07/C-22/F-23)"
P3R2-G-03,"measurement tool (DC-conversion acceptance and commissioning instrumentation: portable measurement island + standardized protocols + signed dossiers)","'the measurement layer of the DC transition' — swept-impedance stability, insulation/ground-fault characterization, transient capture, signed acceptance dossiers for DC power rooms; OLD 20 / NEW 15 (BLIND near-miss); DC conversion wave 2026-2030 (corpus-dated; the NERC PRC-028 compliance wave refreshed live — 100% by 2030-01-01, S-B25-16 — is adjacent demand context)","speculative transfer at the weak/medium BOUNDARY (B20's explicit adjudication, carried): bench electrical metrology discipline is real (C03 demonstrated; C06 proposed — the same WP-C family as C-05), but field acceptance at power-system scale is a safety-rated electrical-trades domain with no PhD evidence, and the record read by B20 is selection-entry depth only — both reasons disclosed rather than smoothed","field commissioning competence (safety-rated trades domain); power-room electrical safety practice; protocol authority with operators; instrument-island productization; DC power-systems application knowledge — none PhD-evidenced","datacenter/industrial DC operators and integrators (record); gates: operator acceptance of vendor self-certification and instrument majors (Chroma/Keysight/Hioki) shipping DC suites first (record's own 2026-07 verification, corpus-internal)","PB-2 IS this idea's rehearsal at bench scale (uncertainty-budgeted signed acceptance dossier on a current chain); B20's resolution condition: read the full old06 record or land a paid engagement pricing traceable-uncertainty dossiers — either upgrades it to MEDIUM","safety-rated field electrical work (trades domain, B20's wording); dossier/protocol authority is the commercial surface; instrument-class product safety otherwise","low-moderate — portable instrument island (record level)","protocol + dossier authority; contested by instrument majors if they move first (record)","medium","if the metrology-authority layer dominates paid engagements, upgrade to MEDIUM; if instrument majors ship DC acceptance suites first, the wedge closes (record/B20)","carry in the W1 wedge family (POWER.md §9) as the nearest-term, lowest-capital qualification play — one tier below C-05/F-06 on record depth and domain fit, exactly as B20 classified it"
ST01-C10,"full end product family (fast-dynamics precision magnet power converters: bipolar 4Q SiC 'FastCoil' rack modules 5-50 kW, ±50-1000 A, <=10 ppm/8 h, >=2 kHz loop, N+1 paralleling to multi-kA; magnet test-stand systems; fleet software) — STARTUP corpus (startup/01 idea C10, deep-dived; Round-2 showdown rank 2 at 76.8, conviction MEDIUM; Round-3 locked as second lane, absorbing C11)","fusion fast/aux/trim magnet power + HTS magnet test stands + small accelerators/hadron therapy; demand context verified live this run: FIA's 2026 supply-chain report (published 2026-06-23) puts 2025 supply-chain spend at $538M with $681M projected 2026 and power systems/components the top bottleneck at 48% (S-B25-18, matching the record's DD-C10-14); incumbent grade verified live: Danfysik SYSTEM 9700 at 10 ppm, 0.75-100 kW, no stated dynamics figures on the page (S-B25-15); the record's own verdict: the ppm-catalog framing is dead (CAENels/Danfysik own it), the wedge is fast-dynamics + telemetry + weeks-lead-time modularity, unproductized per its JINST benchmark reading (record-vintage); China = radar/supply chain, NOT revenue (record's own retirement of the CN-procurement claim)","speculative transfer under this project's ground truth, with one genuine adjacent lane: the record's own physics finding is that ppm performance lives in the MEASUREMENT CHAIN (DCCT+ADC+reference+thermal), not the switch (DD-C10-06 class) — that chain is precision-current-metrology territory adjacent to C03 (demonstrated bench discipline) and C06 (proposed WP-C methodology, gated by C04); everything else (interleaved SiC stages, gate drive, magnetics, EMI, NRTL) is converter engineering absent from B10's ledger; DISCLOSURE: the startup corpus's FOUNDER_PROFILE_V3 asserts 'high-power-density power electronics' and applied-superconductivity capabilities — assertions with NO corroborating evidence in B10's accepted capability ground truth, NOT adopted here (B20 correction discipline, POWER_SKILLS.md §3)","interleaved SiC 4Q converter design; precision analog front ends at ppm grade; control firmware; kA test infrastructure ($300-700K per the record); NRTL/CE/EMC campaigns (UL 61010-class, $150-300K + 6-9 months per the record); 3-5 person team by first shipment (record's own honesty); willingness-to-pay for lead time UNPROVEN (record's strongest unresolved objection)","DOE-milestone fusion companies (8 awardees + expansion cohort), magnet test programs, small accelerators/hadron therapy (record); vertical-integration risk: CFS-Realta-style magnets-with-power bundling (record)","the record's own validation ladder: (1) <$40K 2-module 300 A benchmark vs a commercial DCCT (JINST-benchmark class); (2) ~$0 willingness-to-pay interviews with >=8 milestone companies ('what premium for 12-week delivery?'); (3) <$15K WHAM/HSX-adjacent reference deployment; founder-relevant subset under THIS project's discipline = the measurement-chain leg only: PB-1/PB-2/PB-4 exercise exactly the DCCT-chain qualification the record says carries the ppm claim","NRTL (UL 61010-class) + CE LVD/EMC per the record; no nuclear licensing (fusion supplies are conventional electrical equipment, record); ECCN 3A226 design-for-classification flag (threshold text snippet-level per the record, not independently verified — carried as the record's own caveat)","seed $2.5-4M, burn to Series A ~$3.5M, test floor $300-700K, compliance $150-300K (record's own figures, corpus-dated)","fast-dynamics + telemetry + lead-time wedge with EMI-vs-ppm co-design as the stated hard part; measurement-chain authority is the defensible layer per the record's own RT-4 concession; native-CN tender intelligence as radar (record)","medium (the record's own conviction, adopted; founder-fit portion downgraded per B10 ground truth)","the record's own kill gates: <2 fusion LOIs >=$100K by end-2027; bench cannot hold <=20 ppm/8 h at 300 A for <$40K BOM; incumbent ships a kA fast-dynamics catalog line; >=2 of 4 largest prospects announce in-house/bundled sourcing","the corpus's most serious converter-venture record and the anchor of wedge W2's application field (POWER.md §9) — but under B10 ground truth the founder-led form is the measurement-chain/qualification layer inside this market, not the converter company; the converter company requires the record's own 3-5 person team and unproven WTP"
ST01-C11,"subsystem / product line (detection-first magnet protection and management units — MPMU; STARTUP corpus startup/01 idea C11, rescoped by its own max-effort revision to 'a product line, not a company', rank 4 at 71.2, Med-Low; designated absorber = C10)","HTS magnet protection attach market; record's own physics honesty: sub-millisecond kA dump renounced ('dump speed is capped by insulation voltage; ITER extracts 41 GJ over ~30 s at <=10 kV'); detection is the genuinely unsolved layer; ASIPP's 2025 public tender for a productized 100 kA QPS switch proves the hardware layer is bought (record-vintage, S-B25-12); category ceiling <$150M/yr (record's own bottom-up)","adjacent leverage on the detection-statistics layer only: detection under EMI is the same weak-signal problem class as D-01 (EV06/EV23/EV26) and the estimator-honesty methodology (C23/C31, pre-redteam C40) is the PhD-adjacent asset; the actuation/dump side (ID_10's territory) is power-electronics engineering outside B10's ledger; DD_C11 itself was NOT opened this run — this row rests on the audited startup/01 executive summary plus ID_09/ID_10's problem-evidence sections (disclosed)","dump/absorber power hardware; protection reliability engineering at magnet scale; magnet application engineering; OEM channel building — none PhD-evidenced; detection-latency benchmarking is the one founder-adjacent element (the record itself calls it 'the cheapest validation experiment in the portfolio')","fusion/magnet programs buying protection as product (ASIPP tender class, record-vintage); OEM co-development channel per the record","the record's own cheapest experiment: a detection-latency benchmark (2027 class); maps onto BT-1/FT-02 estimator-honesty discipline and PB-1's EMI bench; venture gate = 2 non-fusion LOIs by end-2027 (record's kill gate)","magnet-protection reliability qualification (false-trip/missed-trip statistics as the safety case); lab safety around stored energy; no consumer regime","~$0.75-1.5M to v1 (record's own figure, corpus-dated)","detection authority + published latency contracts (the ID_09/ID_10 status-vocabulary seam); ceiling honestly <$150M/yr category-wide (record)","medium (record conviction Med-Low for standalone, higher as module — adopted)","the record's own gates: 2 non-fusion LOIs by end-2027 or fold into C10/C12; TE-style captive protection methods spreading would close the merchant socket","carry as W2's protection-detection leg: the PhD-adjacent element (detection statistics + honesty methodology) is exactly what D-01 needs too — one methodology serving both corpora's protection ideas; the dump/actuation hardware stays HIRE/PARTNER territory"
ST01-C06P,"subsystem (protection-intelligence modules for 800 VDC AI data centers: per-rack ground-fault LOCATION and series-arc discrimination on ungrounded 800 VDC buses, sold through power-system integrators; STARTUP corpus startup/01 idea C06-pivot, rank 3 at 74.8, Medium)","800VDC datacenter protection layer; the record's pivot logic (record-vintage 2026-07-04, S-B25-12): the original SSCB idea is dead because ABB SACE Infinitus and Siemens SENTRON 3QD2 ship today; what survives is the layer NVIDIA itself calls the open innovation area (consistent with the live S-B25-03 open: fault detection named 'a key area for innovation'); China window opened later than the US one per vendors' own filings (record-vintage); first revenue ~2031","adjacent-leaning sliver, stated carefully: ground-fault localization and series-arc discrimination on an ungrounded DC bus are weak-signal-detection-and-localization-under-EMI problems — EV27-class measurement physics plus EV16-class inverse-localization methods plus proposed estimator honesty (C23/C31, C40); this is the SAME sliver B20 identified inside P3R2-C-01, here scoped as the whole product rather than a breaker's afterthought; B10 still evidences no power-system deployment, datacenter integration, or product engineering — the mechanism is methodology-plus-bench-discipline, not domain capability","DC power-system fault physics at 800VDC scale; datacenter integration engineering; integrator channel building; productization to UL-class listing; validation on real rack infrastructure — none PhD-evidenced; arc-signature ground truth at power scale requires partner infrastructure","power-system integrators (Vertiv/Eaton/Schneider class per the 800VDC ecosystem, S-B25-03); hyperscalers downstream; record's kill check: if NVIDIA/OCP reference designs embed this in power-shelf firmware by end-2027, fold","PB-3 IS this idea's founder-scale proof (pre-registered ground-fault/series-arc discrimination statistics on a low-voltage DC bench with honesty-test discipline); the venture-level proof requires partner rack infrastructure at 800VDC; record gate = OCP/NVIDIA embed check end-2027","module-level product safety/listing within others' certified power path (record level; sold through integrators precisely to avoid owning the breaker's certification burden); the module must still not corrupt the host's safety case","~$1.5-3M to v1 (record's own figure, corpus-dated)","discrimination/localization algorithms + labeled fault data accumulated across deployments (record's framing); incumbents verifiably do not ship this layer (record-vintage claim)","medium (record conviction Medium, adopted; mechanism sliver rated honestly above C-01's because here the sliver IS the product)","the record's own kill: OCP/NVIDIA embedding the function in reference-design firmware by end-2027; a PB-3 result showing discrimination statistics cannot beat trivial thresholds would kill the technical premise","the sharpest cross-corpus triangulation in this stage: the startup corpus independently derived what B20 could only state as C-01's falsifier condition — that the protection-INTELLIGENCE layer is the survivable wedge; carry as W1/W2-adjacent applied lane and the primary application context for PB-3"
