evidence_id,topic_stream,claim,support_direction,paper_ids,study_types,conditions,measurement_quality,consistency,evidence_strength,limitations,phd_relevance,startup_relevance,downstream_use,falsifier
EV11,hall_metrology,"Hall-sensor sensitivity/noise engineering is a mature multi-decade multi-platform field: review-level minimum detectable fields (P0010) reach 0.03-0.05 uT/rtHz for the best graphene devices (CVD-on-SiC and hBN-encapsulated), about 0.08 uT/rtHz for InSb thin film, and about 1 uT/rtHz for GaAs/AlGaAs 2DEG and Si CMOS at the stated device widths; the corpus's primary lineage spans 2DEG III-V heterostructure sensitivity work from 1996 (P0009), monolithic CMOS Hall sensors (P0014, P0016), and ultraclean graphene detection-limit studies (P0012)",supports,P0009;P0010;P0012;P0014;P0016,"review_synthesis (P0010) over primary experiments; primary_experiment (P0009, P0012, P0014, P0016)","room-temperature laboratory characterization; device widths from um to hundreds of um; graphene quantum-Hall operation at 4.2 K also covered","review-level figures are compiled, not measured, in P0010; underlying primaries not traced this run except as corpus rows","P0010's comparison table is consistent with the corpus's own primary items existing across all named platforms","moderate — a robust consensus map of an occupied performance landscape","P0010 notes gate-induced sensitivity instabilities in graphene as an open challenge; figures are best-in-class laboratory values, not qualified-product values; provenance: P0010 opened this run; P0009/P0012/P0016 metadata live-checked by B12 verifier; P0014 cited at B12-ledger metadata level","the GaN die competes in an occupied performance landscape — differentiation must come from environment tolerance and system integration, not raw sensitivity (consistent with B10 C44's novelty constraints)","raw-sensitivity differentiation is a weak basis for any sensor-product claim","B25/B30; novelty-boundary analysis","independent benchmarking showing the review's comparison table materially misstates any platform's noise floor"
EV12,hall_metrology,"Application-setting calibration of Hall/magnetic sensor systems is documented as both procedure and algorithm family: a six-degree-of-freedom Hall measurement system was designed and calibrated with reported measurement uncertainty for structural-motion monitoring (P0011), and in-situ magnetic-sensor calibration algorithms are systematically reviewed and compared (P0015)",supports,P0011;P0015,"primary_experiment with calibration procedure (P0011); review_synthesis of algorithms (P0015)","laboratory/structural test rig (P0011); algorithm survey across consumer/industrial sensor contexts (P0015)","qualitative adjudication — cited at B12-ledger metadata level (titles, venues, editorial records verified by B12); quantitative uncertainty figures not extracted this run","calibration-methodology availability is consistent across P0008, P0011, P0015","moderate for method availability; not evidence about any specific accuracy target","neither record opened at content level this run; claims kept qualitative per the no-fabrication rule; provenance: B12-ledger metadata","enabling infrastructure for B10 WP-C (C06): calibration procedure and algorithm literature exists to build on; nothing here calibrates a GaN die","calibration know-how is available in the open literature — weak moat, useful input","B25/B30","opening the records and finding the calibration/uncertainty content absent or materially different from the ledger characterization"
EV13,hall_metrology,"Temperature is a first-order Hall-sensor systematic with demonstrated but material-specific mitigation: annealing-stabilized InSb thin films achieve a magnetic-sensitivity temperature coefficient below 0.04%/K over -270C to +300C (P0017); AlGaN/GaN 2DEG mobility is reported to fall from about 1000 to about 300 cm2/Vs by 300C with insufficient published data for detailed comparison (P0017, 2011 state); graphene devices carry gate-induced sensitivity instabilities (P0010), and the traceable-calibration exemplar quantified day-to-day graphene sensitivity deviation up to 9.3% (P0008)",supports,P0008;P0010;P0017,"primary_experiment (P0017, P0008); review_synthesis (P0010)","-270C to +300C (P0017); room-temperature lab (P0008); survey across platforms (P0010)","P0017 reports explicit temperature-coefficient engineering with annealing; P0008 quantifies instability honestly; P0010 is compiled review evidence","all three agree that stability/drift, not raw sensitivity, is the binding constraint across platforms","moderate-to-strong for the claim that temperature drift is the central engineering axis","P0017 is 2011 — AlGaN/GaN literature has since grown (its insufficient-data statement is dated and must not be read as current); provenance: P0017/P0010 opened this run; P0008 opened in pilot","directly frames the PhD's temperature-compensation problem (B10 C09's temperature-vs-radiation drift separation) as a recognized, partially solved problem in other materials","drift-compensation capability is a credible differentiation axis — but incumbent materials already achieve strong figures","B25/B30","current AlGaN/GaN literature demonstrating temperature coefficients matching or beating annealed InSb across the same range"
EV14,hall_metrology,"The Hall-metrology traceability chain has a quantum root: quantum Hall resistance standards fabricated from CVD graphene on SiC were demonstrated with metrological accuracy (P0013, 2015, Nature Communications), anchoring resistance-based Hall measurement to invariant quantum standards; the working-level traceable calibration practice (P0008) routes through commercial calibrated reference probes",supports,P0008;P0013,"primary_experiment (P0013 metrology demonstration; P0008 calibration experiment)","cryogenic quantum-Hall conditions (P0013); room-temperature working-level calibration (P0008)","P0013 adjudicated at B12-ledger metadata level plus B12-verifier live metadata check; its specific accuracy figures not extracted this run","the two-tier structure (quantum root, working-level transfer) is standard metrology practice and internally consistent","moderate — existence of the chain is solid; corpus does not contain an end-to-end chain for fusion-relevant field sensing","P0013 record not content-opened this run — quantitative accuracy claims deliberately omitted; provenance: B12 ledger plus B12-verifier metadata check (P0013), pilot open (P0008)","contextualizes WP-C (B10 C06): traceability infrastructure exists; the missing piece is a traceable chain at tesla-scale fusion-relevant conditions (see EV35)","standards-anchored calibration is available infrastructure, not a differentiator","B25/B30","not applicable in practice (quantum Hall standards are among the most replicated results in metrology); a failed replication would falsify"
EV15,hall_metrology,"Radiation-effects methodology for magnetic sensors exists in adjacent systems: TCAD simulation separates total-ionizing-dose, transient-dose-rate, and single-event effects on silicon FD-SOI Hall plates, predicting Hall-voltage increase of 28.9% and sensitivity increase of 29.1% (86.49 to 111.75 mV/T) at 1e16 cm-2 oxide fixed-charge density (P0018); gamma-irradiation campaigns characterize magnetoresistive sensors for space use (P0019) — the methods (species separation, pre/post characterization, simulation-guided screening) transfer, the material data do not",supports,P0018;P0019,"TCAD simulation only, no experimental validation (P0018); primary_experiment gamma irradiation (P0019)","Synopsys Sentaurus TCAD, 50 nm Si film, dose rates 5e8-5e12 rad(Si)/s, LET 0-100 MeV cm2/mg (P0018); gamma irradiation of MR sensors (P0019)","P0018 is simulation-only and says so; its quantitative shifts are model outputs, not measurements; P0019 cited at metadata level","P0018's authors independently confirm the corpus-wide pattern: silicon Hall radiation data are scarce and III-V studies dominate — yet no corpus item covers GaN Hall plates","moderate for methodology existence; weak for any specific device prediction","P0018 predictions unvalidated experimentally; P0019 is gamma-only and magnetoresistive, not Hall; cross-species/cross-material scaling is unreliable (B10 C29 cites a ~14x failure case); provenance: P0018 opened this run; P0019 cited at B12-ledger metadata level","supports the feasibility of the PhD's proposed simulation-guided radiation methodology (and the co-authored TCAD draft, B10 C20) while confirming the GaN data gap (C29)","radiation-qualification methodology is reproducible from literature; data moats would have to be built by new experiments","B25/B30","experimental FD-SOI irradiation data contradicting the TCAD predictions, which would weaken simulation-guided screening generally"
EV16,hybrid_diagnostics,"Inverse reconstruction of currents and fields from external magnetic measurements is an established, actively advancing method family: general principles and reconstruction limits were formalized for toroidal systems (P0020, 2001); current-profile reconstruction from external magnetics plus MSE is current practice on DIII-D (P0021, 2025); sensor-array inverse reconstruction localizes arc currents in circuit breakers (P0025); and physics-informed neural networks map fields in inaccessible regions with quantified error scaling — vector-norm error about 1.9e-3 with 60+ boundary sensors on synthetic data, degrading to 4.1e-2 with 18 sensors under noise sigma 1e-2, outperforming multipole expansion, with experimental validation on lab coils using a commercial triple-axis magnetometer (P0030)",supports,P0020;P0021;P0025;P0030,"theory/seminal synthesis (P0020); primary_experiment plus equilibrium-code analysis (P0021); primary_experiment with array hardware (P0025); method development with synthetic and lab experimental validation (P0030)","tokamak equilibrium reconstruction; circuit-breaker arc localization; nEDM-class shielded-volume mapping (P0030)","P0030's error figures are from controlled synthetic and lab tests, honestly reported with noise sweeps; P0021 adjudicated at metadata level plus B12-verifier check","four independent communities converge: boundary measurements plus physics constraints recover interior currents/fields within quantified limits","strong for the method family's establishment","P0030's own caveat: finite boundary data does not guarantee uniqueness; fusion-plasma reconstruction (P0021) depends on internal constraints (MSE) beyond external magnetics alone — pure external reconstruction is limited (consistent with P0020); provenance: P0030 opened this run; P0020/P0021 metadata live-checked by B12 verifier; P0025 cited at B12-ledger metadata level","directly supports the credibility of B10's named fallback direction (C47: physics-informed stellarator-magnetics reconstruction) and Element 3's estimator/reconstruction package (C10)","reconstruction software/methods are enabling infrastructure with existing open literature — thin proprietary moat, strong capability base","B25/B30","reconstruction methods failing on realistic stellarator geometries at useful accuracy despite adequate sensor counts"
EV17,hybrid_diagnostics,"Sensor-array current-measurement error engineering is a developed sub-field: circular and rectangular arrays of magnetic sensors measure conductor currents with analyzed and mitigated sensitivity to conductor position and external fields (P0023, P0027, P0026), and a 2025 elliptical Hall array corrected via a GWO-BP neural network targets robust current sensing in rectangular conductors (P0022)",supports,P0022;P0023;P0026;P0027,"primary_experiment/design studies with error analysis in all four","industrial current-measurement settings; bench validation rigs","qualitative adjudication — cited at B12-ledger metadata level (P0022 metadata live-checked by B12 verifier); specific error figures not extracted this run","four independent groups over 2018-2025 address the same positional/interference error budget with array design plus computational correction","moderate for the sub-field's existence and maturity","records not content-opened this run; quantitative accuracy claims deliberately omitted; provenance: B12-ledger metadata (P0022 verifier-checked)","establishes prior art density around Hall-array current sensing — relevant boundary for any PhD/startup claim about sensor-placement or array-based current imaging","array current sensing is occupied ground with active Chinese/European groups; differentiation would need harsh-environment or fused-channel angles","B25/B30","opening the records and finding the array/error-analysis content materially different from the ledger characterization"
EV18,hybrid_diagnostics,"A hardware precedent for DC-plus-AC magnetic-channel fusion exists outside fusion: a wide-bandwidth inexpensive current sensor fusing tunneling-magnetoresistance (DC/low-frequency channel) with a current transformer (AC channel) was built and published (P0031, 2024) — structurally the same bandwidth-fusion architecture class as the PhD's proposed Hall+coil element, with TMR in the role the PhD assigns to the Hall die",supports,P0031,"primary_experiment (sensor design and characterization)","power-system current measurement; bench characterization","adjudicated at B12-ledger metadata level plus B12-verifier live metadata check; bandwidth/accuracy figures not extracted this run","consistent with P0050's review-level conclusion that multi-scheme fused sensors are the way forward for wide-band current sensing","moderate — existence of the hardware precedent is solid","record not content-opened this run; note the fused DC channel is TMR, not Hall — this is simultaneously support for the architecture class and evidence for the competing TMR technology (B10 C43); provenance: B12 ledger plus verifier metadata check","supports the feasibility class of B10 C08 (bandwidth fusion) while sharpening C43's competitive threat: the published fused-sensor precedent chose TMR","fused wide-band current sensing is being commercialized-adjacent by others using TMR; a Hall-based variant needs a demonstrated advantage","B25/B30","opening P0031 and finding the fusion architecture or performance materially different from the ledger characterization"
EV19,hybrid_diagnostics,"Fusion magnetic-diagnostic system design is a quantified engineering discipline — and its flagship recent redesign chose coils only: the RFX-mod2 redesign (724 pick-up probes, 1088 signals) targets fraction-of-1% system accuracy via 0.1%-class element calibration and quantifies analog integrator drift error at about 0.6 mT over 10 s for 10 mT-0.5 T signals (P0024); Bayesian experimental design now optimizes pick-up coil placement on WEST (P0028); P0024 explicitly considers only pick-up coils — no Hall channel appears in the redesign",mixed,P0024;P0028,"design study with experimental prototype validation (P0024); Bayesian design/simulation study (P0028)","RFX-mod2 full acquisition chain, bench and proof-of-concept solenoid tests (P0024); WEST tokamak diagnostic set (P0028)","P0024 opened this run: explicit calibration targets, drift quantification, noise characterization; P0028 metadata live-checked by B12 verifier","P0024's drift numbers are consistent with P0003's motivation for Hall-assisted drift correction — yet P0024's designers accepted drift and stayed coil-only","strong for the discipline's existence; the coil-only choice is one design team's decision, not proof Hall channels are unnecessary","P0024 is an RFP-class device with 10 s pulses — drift pressure is far milder than for 1000 s-class long-pulse machines, so its coil-only choice does not generalize to the long-pulse regime; provenance: P0024 opened this run; P0028 B12-verifier metadata check","calibrates B10's framing: the Hall channel's value case is regime-specific (long-pulse steady-state), and incumbent practice remains coil-centric — the PhD must argue the regime, not the generic architecture","diagnostic-system integration is a demanding, quantified discipline; incumbent suppliers/labs are coil-centric","B25/B30; architecture adjudication","a long-pulse-machine diagnostic redesign that evaluates and rejects Hall channels on measured grounds (would sharpen the contradiction), or one that adopts them (would support the regime argument)"
EV20,hybrid_diagnostics,"Radiation-environment validation of current sensors in operating fusion devices exists for fiber-optic current sensing: FOCS performance was assessed under neutron radiation during the JET DTE2 deuterium-tritium campaign (P0029, 2025) — evidence both that in-machine diagnostic radiation-qualification pipelines exist and that a competing non-Hall technology already occupies the radiation-exposed total-current niche",mixed,P0029,"primary_experiment (in-machine assessment during D-T operations)","JET DTE2 campaign neutron environment","adjudicated at B12-ledger metadata level; quantitative radiation-effect figures not extracted this run","consistent with B10 C27's counterexample analysis (Rogowski/FOCS win the total-current niche)","moderate for the niche-occupancy claim","record not content-opened this run; provenance: B12-ledger metadata","confirms B10 C27: total plasma/conductor current is a niche where the Hall/coil hybrid should not compete; also demonstrates the qualification pathway any new diagnostic must pass","total-current sensing in radiation environments is served by FOCS — avoid this niche","B25/B30","opening P0029 and finding FOCS materially degraded by DTE2 radiation (would weaken the niche-occupancy conclusion)"
